,民國102年01月,,,,,,,Jan-13,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
07771PLX元大,35700,65000,4,0.55,0.52,0.63,0.63,1月28日,0.43,1月15日
07772P永豐57,2108270,3095000,47,0.68,0.68,0.64,0.73,1月17日,0.55,1月3日
07773P群益H4,1156970,2360000,38,0.49,0.49,0.44,0.64,1月3日,0.32,1月25日
07774P群益H5,34900,111000,12,0.31,0.36,0.26,0.56,1月2日,0.23,1月29日
07775P國票MI,3900,10000,1,0.39,0.39,0.39,0.39,1月23日,0.39,1月23日
07776P大華5Y,496220,541000,29,0.92,0.89,0.8,1.04,1月2日,0.8,1月23日
07777P大華5Z,85330,220000,32,0.39,0.41,0.26,0.56,1月8日,0.25,1月30日
07778P中信L6,11540,38000,12,0.3,0.32,0.23,0.38,1月21日,0.23,1月28日
07779P兆豐DZ,1066560,5132000,132,0.21,0.19,0.11,0.27,1月2日,0.01,1月18日
07780P兆豐FA,811080,7701000,153,0.11,0.1,0.04,0.15,1月2日,0.04,1月29日
07781P53富邦,5656350,3962000,24,1.43,1.43,1.16,1.79,1月8日,1.16,1月23日
07782P58富邦,914520,1123000,51,0.81,0.81,0.63,0.97,1月17日,0.6,1月30日
07783P62富邦,9300,40000,8,0.23,0.24,0.2,0.32,1月3日,0.2,1月24日
07784P64富邦,1423180,1004000,12,1.42,1.63,1.67,1.81,1月8日,1.34,1月2日
07785P兆豐FE,31040,188000,7,0.17,0.18,0.11,0.23,1月4日,0.11,1月21日
07788P兆豐FK,18110,47000,9,0.39,0.39,0.41,0.43,1月17日,0.32,1月14日
07789PH8凱基,448080,1372000,36,0.33,0.32,0.25,0.45,1月14日,0.25,1月31日
07790PH9凱基,727250,841000,15,0.86,0.86,0.92,1.01,1月2日,0.77,1月7日
07791PMB元大,1663680,3829000,92,0.43,0.44,0.32,0.62,1月2日,0.3,1月30日
07792PMC元大,6962390,6231000,85,1.12,1.09,0.82,1.43,1月7日,0.78,1月30日
07793PMD元大,14420,22000,2,0.66,0.66,0.61,0.71,1月2日,0.61,1月3日
07794PME元大,110470,211000,12,0.52,0.52,0.49,0.59,1月17日,0.46,1月8日
07795P永豐66,162900,286000,8,0.57,0.54,0.51,0.6,1月2日,0.51,1月11日
07796P工銀N9,4385950,2962000,66,1.48,1.44,1.5,1.78,1月16日,1.22,1月11日
07797P中信M2,3415310,4337000,97,0.79,0.74,0.47,0.99,1月17日,0.45,1月30日
07798P中信M3,8078550,7494000,205,1.08,1.07,0.72,1.4,1月17日,0.7,1月30日
07799P69富邦,391360,476000,47,0.82,0.74,0.51,0.93,1月4日,0.49,1月30日
07800P73富邦,4692630,3964000,148,1.18,1.24,1.07,1.51,1月8日,1.02,1月30日
07801P亞東94,563640,759000,29,0.74,0.74,0.77,0.88,1月25日,0.56,1月11日
07802P亞東95,243200,468000,8,0.52,0.52,0.48,0.56,1月18日,0.48,1月28日
07803P國泰2U,5692060,5905000,113,0.96,0.92,1.01,1.07,1月7日,0.66,1月29日
07804P群益H8,8160,136000,3,0.06,0.06,0.04,0.08,1月15日,0.04,1月22日
07805P群益H9,5910930,5530000,367,1.07,1.08,0.83,1.27,1月8日,0.82,1月30日
07806P永豐69,8280,12000,2,0.69,0.69,0.7,0.7,1月8日,0.68,1月7日
07807P永豐70,2155720,3102000,52,0.69,0.67,0.61,0.76,1月25日,0.56,1月4日
07808P01元富,776400,1590000,30,0.49,0.49,0.35,0.66,1月14日,0.34,1月30日
07809P02元富,18657020,14653000,352,1.27,1.24,0.85,1.55,1月17日,0.84,1月30日
07810P03元富,9323650,6105000,229,1.53,1.51,1.12,1.83,1月17日,1.1,1月30日
07811P大華6G,301490,775000,33,0.39,0.36,0.33,0.48,1月2日,0.28,1月21日
07812P大華6H,192060,297000,3,0.65,0.65,0.65,0.65,1月4日,0.64,1月4日
07813PMH元大,798940,1860000,85,0.43,0.37,0.21,0.51,1月2日,0.21,1月30日
07814PMI元大,571670,903000,34,0.63,0.64,0.64,0.68,1月17日,0.59,1月17日
07815P78富邦,5746190,6339000,89,0.91,0.93,0.82,1.09,1月2日,0.8,1月10日
07816P80富邦,5324240,8382000,169,0.64,0.76,0.51,1.2,1月4日,0.38,1月28日
07817P81富邦,3910540,2408000,42,1.62,1.62,1.42,1.78,1月17日,1.42,1月30日
07818P亞東A8,32800,90000,2,0.36,0.36,0.36,0.37,1月3日,0.36,1月10日
07819P亞東B1,1800,80000,8,0.02,0.02,0.02,0.03,1月4日,0.02,1月11日
07820P亞東B3,5630,25000,7,0.23,0.25,0.19,0.33,1月2日,0.19,1月23日
07821P亞東B5,77000,630000,8,0.12,0.12,0.1,0.15,1月2日,0.1,1月8日
07822P兆豐FL,15970,439000,11,0.04,0.03,0.01,0.04,1月4日,0.01,1月29日
07823P兆豐FM,777580,1498000,50,0.52,0.48,0.3,0.66,1月7日,0.29,1月29日
07834P國泰2Y,1369140,2531000,74,0.54,0.54,0.51,0.6,1月8日,0.48,1月2日
07835P康和KM,320150,570000,56,0.56,0.5,0.33,0.74,1月7日,0.33,1月24日
07836P康和KN,6970,27000,7,0.26,0.42,0.78,0.78,1月22日,0.22,1月11日
07837P康和KP,1700,5000,1,0.34,0.34,0.34,0.34,1月28日,0.34,1月28日
07838P統一HF,270660,461000,14,0.59,0.58,0.53,0.75,1月3日,0.52,1月30日
07839P83富邦,79200,297000,3,0.27,0.26,0.24,0.28,1月22日,0.24,1月23日
07840P85富邦,1126420,616000,16,1.83,1.83,1.94,1.94,1月14日,1.72,1月7日
07841P群益I7,2455490,5352000,96,0.46,0.49,0.47,0.59,1月22日,0.32,1月4日
07842P群益I8,1229280,1224000,37,1,0.99,0.85,1.19,1月25日,0.85,1月31日
07843P05元富,248020,3386000,232,0.07,0.07,0.04,0.13,1月2日,0.04,1月29日
07844P06元富,123450,885000,30,0.14,0.16,0.11,0.22,1月2日,0.1,1月31日
07845P07元富,134070,541000,10,0.25,0.28,0.36,0.36,1月25日,0.2,1月3日
07846P09元富,526050,1039000,68,0.51,0.51,0.42,0.64,1月2日,0.42,1月28日
07847P10元富,177420,222000,4,0.8,0.76,0.67,0.92,1月2日,0.67,1月29日
07848P11元富,82700,440000,15,0.19,0.19,0.14,0.24,1月24日,0.14,1月29日
07849PMP元大,243690,195000,13,1.25,1.28,1.35,1.58,1月15日,0.91,1月7日
07850PMQ元大,175610,163000,14,1.08,1.09,1.01,1.22,1月2日,0.95,1月14日
07851P96富邦,1932200,1962000,33,0.98,1.04,0.84,1.2,1月14日,0.84,1月31日
07852PMV元大,2586810,5947000,162,0.43,0.38,0.26,0.6,1月2日,0.25,1月30日
07853P第一5N,71700,228000,4,0.31,0.36,0.3,0.42,1月2日,0.3,1月22日
07854P永豐78,633820,1155000,49,0.55,0.56,0.46,0.7,1月7日,0.46,1月31日
07855P統一HJ,1847660,4206000,104,0.44,0.45,0.42,0.57,1月22日,0.38,1月14日
07856P統一HK,18578230,20147000,475,0.92,0.9,0.66,1.19,1月17日,0.62,1月30日
07858P國票ML,161300,212000,11,0.76,0.76,0.87,0.87,1月25日,0.66,1月10日
07859P98富邦,7180060,5246000,171,1.37,1.41,1.07,1.85,1月7日,1.04,1月30日
07860PK5凱基,12620,28000,5,0.45,0.45,0.43,0.47,1月18日,0.43,1月23日
07861PNE元大,10268060,22002000,352,0.47,0.48,0.31,0.73,1月2日,0.31,1月31日
07862PNF元大,80010,1265000,28,0.06,0.07,0.03,0.15,1月3日,0.03,1月23日
07863PNG元大,6200,20000,1,0.31,0.31,0.31,0.31,1月8日,0.31,1月8日
07864PNH元大,6194430,3566000,129,1.74,2.06,1.43,3.11,1月7日,1.35,1月30日
07865P亞東B7,638590,1562000,42,0.41,0.39,0.26,0.59,1月7日,0.24,1月30日
07866P群益J7,28700270,28818000,1056,1,1.01,0.66,1.6,1月2日,0.64,1月30日
07867P群益J9,4134490,5007000,97,0.83,0.76,0.9,0.9,1月31日,0.54,1月29日
07869PA2富邦,1081400,3188000,81,0.34,0.3,0.16,0.58,1月16日,0.16,1月31日
07870PA3富邦,120110,140000,15,0.86,0.87,0.89,0.89,1月14日,0.84,1月2日
07871P日盛F4,129120,408000,23,0.32,0.28,0.24,0.47,1月16日,0.22,1月22日
07872P日盛F5,595840,879000,33,0.68,0.69,0.67,0.75,1月16日,0.64,1月22日
07873P大華6Q,1016000,2420000,38,0.42,0.41,0.27,0.5,1月9日,0.27,1月30日
07875PNM元大,260990,876000,40,0.3,0.28,0.13,0.41,1月7日,0.13,1月31日
07876PNN元大,1228330,2051000,48,0.6,0.68,0.61,0.75,1月4日,0.56,1月22日
07877PNP元大,7445640,6048000,117,1.23,1.29,0.95,1.51,1月9日,0.94,1月31日
07878P26元富,1491260,4031000,132,0.37,0.38,0.38,0.46,1月25日,0.3,1月14日
07879P28元富,9030930,12177000,204,0.74,0.87,0.81,1.05,1月24日,0.56,1月9日
07880P日盛G2,8940,21000,3,0.43,0.44,0.43,0.48,1月18日,0.4,1月29日
07881P日盛G3,160570,374000,23,0.43,0.43,0.29,0.56,1月3日,0.29,1月31日
07882P亞東C3,204890,561000,14,0.37,0.38,0.31,0.46,1月2日,0.31,1月24日
07883P亞東C5,167470,198000,11,0.85,0.86,0.94,0.94,1月22日,0.78,1月2日
07884P中信N8,842220,659000,17,1.28,1.31,1.21,1.52,1月16日,1.14,1月14日
07885P中信AA,2029410,3038000,37,0.67,0.68,0.64,0.85,1月10日,0.6,1月25日
07886PNQ元大,4130140,1042000,157,3.96,3.8,2.56,5.3,1月4日,2.56,1月31日
07887PNR元大,37355820,8092000,737,4.62,4.26,3.19,6.35,1月2日,3.11,1月30日
07888PNS元大,677390,3244000,52,0.21,0.2,0.12,0.27,1月16日,0.12,1月31日
07889PNT元大,5192510,1103000,64,4.71,4.65,4.39,5.5,1月24日,3.81,1月11日
07890P群益K6,8343100,5613000,135,1.49,1.64,1.08,2.07,1月8日,1.08,1月31日
07891P群益K7,2113400,2302000,155,0.92,0.96,0.92,1.21,1月24日,0.67,1月9日
07892P群益K8,2195290,2238000,95,0.98,0.94,0.77,1.23,1月16日,0.71,1月11日
07893P30元富,23770540,8912000,183,2.67,2.56,2.47,3.03,1月25日,2.19,1月2日
07894P34元富,1947370,3968000,61,0.49,0.51,0.47,0.55,1月25日,0.44,1月9日
07895P35元富,3741450,5944000,100,0.63,0.57,0.35,0.78,1月8日,0.35,1月29日
07896PL2凱基,511850,444000,9,1.15,1.14,1.35,1.42,1月18日,1,1月10日
07897PL4凱基,69780,434000,23,0.16,0.13,0.07,0.26,1月2日,0.07,1月29日
07898P中信AD,9000,80000,7,0.11,0.14,0.09,0.21,1月10日,0.09,1月31日
07899P工銀AS,2048080,3274000,67,0.63,0.6,0.5,0.74,1月7日,0.5,1月21日
07900PA5富邦,2845000,4137000,53,0.69,0.69,0.62,0.87,1月3日,0.56,1月23日
07901PA9富邦,1150,1000,1,1.15,1.15,1.15,1.15,1月17日,1.15,1月17日
07902P統一HV,558050,1557000,66,0.36,0.38,0.26,0.5,1月8日,0.26,1月29日
07903PYL元大,6200,20000,1,0.31,0.31,0.31,0.31,1月2日,0.31,1月2日
07904PYM元大,125650,4654000,161,0.03,0.03,0.02,0.06,1月10日,0.01,1月29日
07905PYN元大,5228010,4792000,205,1.09,1.04,1.03,1.18,1月25日,0.92,1月11日
07907P國泰3U,942900,1976000,41,0.48,0.48,0.38,0.68,1月9日,0.38,1月30日
07908P國泰3V,2265290,1474000,110,1.54,1.54,1.45,1.7,1月8日,1.4,1月3日
07909P37元富,152100,90000,1,1.69,1.69,1.69,1.69,1月7日,1.69,1月7日
07910P中信AE,729850,2937000,85,0.25,0.22,0.11,0.49,1月2日,0.1,1月29日
07911PB2富邦,53551590,33090000,1101,1.62,1.62,1.33,2.03,1月8日,1.3,1月30日
07912PM3凱基,1669830,5106000,170,0.33,0.28,0.18,0.43,1月11日,0.18,1月31日
07913PM7凱基,140780,213000,4,0.66,0.68,0.61,0.8,1月7日,0.61,1月31日
07914PN7凱基,1385660,1598000,37,0.87,0.87,0.91,0.99,1月21日,0.69,1月8日
07915PZA元大,1163990,1313000,36,0.89,0.86,0.84,1.05,1月24日,0.73,1月15日
07917P統一JM,168220,256000,6,0.66,0.65,0.61,0.73,1月25日,0.61,1月31日
07918P統一JN,612110,638000,15,0.96,0.95,0.94,1.03,1月16日,0.89,1月7日
07919P統一JP,872920,833000,57,1.05,1.07,0.82,1.45,1月7日,0.77,1月29日
07920P統一JQ,2302440,2064000,76,1.12,1.12,0.94,1.29,1月17日,0.94,1月31日
07921P兆豐HJ,59700,180000,4,0.33,0.34,0.29,0.37,1月8日,0.29,1月11日
07922P兆豐HK,690570,983000,43,0.7,0.85,0.63,1,1月9日,0.62,1月31日
07923P國泰3Y,16200,146000,11,0.11,0.11,0.08,0.13,1月17日,0.08,1月29日
07924P國泰3Z,551980,2633000,40,0.21,0.2,0.2,0.33,1月2日,0.16,1月21日
07925PZB元大,72700,206000,13,0.35,0.35,0.33,0.38,1月17日,0.29,1月14日
07926P統一JV,76400,60000,4,1.27,1.27,1.31,1.36,1月28日,1.15,1月2日
07927P統一JW,325040,802000,10,0.41,0.41,0.41,0.46,1月9日,0.36,1月10日
07928P統一JX,268110,1611000,36,0.17,0.16,0.09,0.25,1月2日,0.09,1月29日
07929P國票MU,536770,1947000,78,0.28,0.27,0.14,0.43,1月3日,0.13,1月31日
07930P國票MV,1691930,2379000,62,0.71,0.74,0.78,0.85,1月17日,0.56,1月3日
07931P國票MZ,1070740,2362000,58,0.45,0.46,0.43,0.55,1月2日,0.38,1月21日
07932P國票NA,306580,684000,16,0.45,0.45,0.5,0.5,1月28日,0.4,1月11日
07933P76元富,718680,877000,36,0.82,0.83,0.84,1,1月28日,0.72,1月15日
07934P77元富,412060,1606000,23,0.26,0.28,0.25,0.3,1月3日,0.24,1月16日
07935P日盛L3,1179080,10098000,171,0.12,0.13,0.09,0.26,1月2日,0.05,1月29日
07936P日盛L4,20400,30000,1,0.68,0.68,0.68,0.68,1月2日,0.68,1月2日
07937P日盛L5,977770,960000,61,1.02,1.02,0.94,1.12,1月8日,0.93,1月2日
07938PE5富邦,12600,120000,2,0.1,0.11,0.11,0.11,1月22日,0.1,1月21日
07939PE9富邦,2570060,1650000,85,1.56,1.51,1.53,1.78,1月24日,1.26,1月11日
07940P國泰4B,1858740,2044000,81,0.91,0.91,0.73,1.08,1月9日,0.73,1月30日
07941PZQ元大,1487890,1267000,46,1.17,1.14,1.06,1.24,1月28日,0.99,1月4日
07942PZR元大,2176700,3026000,83,0.72,0.7,0.79,0.85,1月9日,0.48,1月3日
07943P80元富,616710,1436000,16,0.43,0.42,0.36,0.53,1月8日,0.34,1月23日
07944P日盛L9,147700,211000,35,0.7,0.67,0.51,0.78,1月17日,0.51,1月29日
07945P日盛M1,618100,767000,33,0.81,0.78,0.57,0.94,1月14日,0.57,1月31日
07946P日盛M2,34390,89000,2,0.39,0.48,0.38,0.57,1月2日,0.38,1月22日
07947P兆豐HM,47030,298000,20,0.16,0.17,0.11,0.21,1月10日,0.11,1月30日
07948P兆豐HN,226470,345000,14,0.66,0.65,0.62,0.69,1月18日,0.6,1月15日
07950P中信AR,362800,793000,16,0.46,0.42,0.28,0.52,1月8日,0.28,1月30日
07951P88元富,66270,45000,8,1.47,1.48,1.6,1.62,1月31日,1.33,1月3日
07953P國泰4C,712850,794000,37,0.9,0.89,0.91,0.94,1月29日,0.82,1月11日
07954PZV元大,3172220,2563000,57,1.24,1.24,1.06,1.55,1月14日,1.01,1月3日
07955PZW元大,66587120,48349000,1505,1.38,1.38,1.12,1.77,1月8日,1.08,1月30日
07956P永豐2W,785180,1371000,60,0.57,0.55,0.35,0.78,1月7日,0.35,1月29日
07957P日盛M7,775860,1574000,39,0.49,0.52,0.31,0.63,1月17日,0.2,1月30日
07958P中信AT,839080,684000,19,1.23,1.14,0.81,1.48,1月7日,0.81,1月25日
07959PF3富邦,3260940,1845000,52,1.77,1.75,1.59,2.06,1月8日,1.55,1月30日
07960PF4富邦,189840,173000,8,1.1,1.11,1.13,1.19,1月8日,1,1月3日
07961P國泰4E,544950,2597000,95,0.21,0.2,0.11,0.3,1月7日,0.1,1月30日
07962P92元富,9555050,29279000,673,0.33,0.32,0.21,0.59,1月2日,0.18,1月30日
07963P93元富,13139930,33617000,826,0.39,0.39,0.31,0.57,1月2日,0.28,1月30日
07964P元大AC,1985390,9837000,242,0.2,0.2,0.12,0.36,1月2日,0.11,1月30日
07965P永豐2Z,1139240,2180000,41,0.52,0.52,0.49,0.6,1月8日,0.45,1月3日
07966P日盛M8,655880,600000,14,1.09,1.06,0.97,1.14,1月11日,0.97,1月31日
07969P統一KH,1159720,5353000,178,0.22,0.23,0.16,0.28,1月17日,0.16,1月31日
07970P統一KJ,80680,359000,14,0.22,0.23,0.2,0.27,1月8日,0.2,1月29日
07971P統一KK,18600,60000,1,0.31,0.31,0.31,0.31,1月9日,0.31,1月9日
07972P統一KL,6839830,8038000,213,0.85,0.83,0.66,1.02,1月17日,0.64,1月31日
07973PF7富邦,754500,938000,56,0.8,0.8,0.55,1.04,1月17日,0.55,1月30日
07974PF8富邦,3469150,2876000,64,1.21,1.16,0.85,1.43,1月17日,0.85,1月30日
07975PG1富邦,418480,1040000,32,0.4,0.4,0.28,0.55,1月17日,0.27,1月30日
07976PG3富邦,788620,594000,8,1.33,1.33,1.36,1.36,1月9日,1.3,1月8日
07977P元大AI,2328270,1770000,55,1.32,1.08,0.74,1.64,1月7日,0.64,1月30日
07979P2D凱基,2551070,18709000,438,0.14,0.13,0.09,0.27,1月2日,0.07,1月31日
07980P中信AW,823390,854000,51,0.96,1.06,0.61,1.77,1月7日,0.61,1月28日
07981P中信AX,555860,690000,28,0.81,0.8,0.63,0.87,1月14日,0.63,1月31日
07982P國票NB,19900,80000,3,0.25,0.29,0.19,0.36,1月3日,0.19,1月28日
07984P日盛N3,535480,751000,23,0.71,0.77,0.45,1.04,1月4日,0.45,1月30日
07985P工銀BE,4278170,7897000,284,0.54,0.56,0.41,0.74,1月17日,0.39,1月30日
07986PG7富邦,55810,152000,9,0.37,0.36,0.27,0.41,1月9日,0.27,1月31日
07987P95元富,4016050,8645000,169,0.46,0.43,0.34,0.65,1月2日,0.34,1月31日
07988P97元富,100800,310000,9,0.33,0.32,0.29,0.36,1月2日,0.28,1月30日
07989P元大AV,629860,565000,36,1.11,1.08,1.16,1.27,1月28日,0.91,1月3日
07990P永豐3F,213800,970000,22,0.22,0.27,0.19,0.35,1月17日,0.18,1月30日
07991P國泰4G,6747790,11124000,295,0.61,0.65,0.42,0.8,1月17日,0.42,1月31日
07992PG8富邦,246100,524000,33,0.47,0.49,0.4,0.59,1月4日,0.4,1月29日
07993PH3富邦,1418670,1000000,26,1.42,1.34,1.41,1.56,1月28日,1.04,1月3日
07994P康和LA,255910,614000,12,0.42,0.45,0.38,0.56,1月10日,0.36,1月30日
07995P康和LE,302130,622000,33,0.49,0.49,0.46,0.66,1月15日,0.31,1月7日
07996P日盛X6,406400,1718000,39,0.24,0.22,0.19,0.28,1月10日,0.19,1月31日
07998P兆豐JJ,8560,52000,6,0.16,0.16,0.18,0.18,1月17日,0.11,1月3日
07999P第一6H,604800,813000,11,0.74,0.74,0.59,0.94,1月8日,0.56,1月23日
08000P第一6K,6000,30000,1,0.2,0.2,0.2,0.2,1月2日,0.2,1月2日
08001P元大BL,2501690,1940000,59,1.29,1.32,1.31,1.47,1月28日,1.13,1月9日
08002P元大BM,1361310,1828000,95,0.74,0.77,0.68,0.9,1月4日,0.67,1月10日
08003P元大BN,2143820,2492000,68,0.86,0.87,0.77,1.13,1月7日,0.71,1月14日
08004P2U凱基,6832780,2703000,117,2.53,2.11,1.72,3.01,1月7日,1.53,1月30日
08005P3C凱基,1339720,907000,56,1.48,1.37,1.29,1.61,1月10日,1.05,1月3日
08006P永昌LC,630070,942000,22,0.67,0.66,0.6,0.71,1月25日,0.59,1月23日
08007P統一KU,129490,251000,8,0.52,0.54,0.51,0.62,1月16日,0.46,1月3日
08008P統一KV,2828310,4276000,76,0.66,0.64,0.47,0.82,1月8日,0.46,1月30日
08009PH8富邦,597640,630000,37,0.95,0.9,1.02,1.04,1月18日,0.8,1月11日
08010PH9富邦,1062670,2109000,41,0.5,0.56,0.41,0.63,1月17日,0.39,1月31日
08012P中信BB,1011210,877000,47,1.15,1.14,0.67,1.54,1月8日,0.67,1月31日
08013P中信BC,5650,10000,2,0.56,0.56,0.56,0.57,1月3日,0.56,1月7日
08014P國票NK,222950,1005000,28,0.22,0.21,0.1,0.29,1月7日,0.1,1月31日
08015P國票NL,452680,1169000,63,0.39,0.38,0.3,0.53,1月3日,0.3,1月31日
08016P日盛Y3,1072750,1836000,24,0.58,0.62,0.56,0.71,1月21日,0.54,1月30日
08017P日盛Y4,1777490,1764000,40,1.01,1,0.99,1.09,1月16日,0.93,1月23日
08018P日盛Y5,2405320,17099000,254,0.14,0.14,0.06,0.23,1月8日,0.03,1月30日
08019P日盛Y6,322190,1612000,33,0.2,0.24,0.11,0.44,1月3日,0.11,1月31日
08020P大華8Q,1431230,2484000,39,0.58,0.56,0.51,0.72,1月3日,0.44,1月29日
08021P兆豐JL,630360,2563000,73,0.25,0.25,0.11,0.38,1月8日,0.11,1月31日
08022P元大BX,18341500,27444000,925,0.67,0.66,0.49,0.9,1月8日,0.49,1月31日
08023P元大BY,3323960,3334000,99,1,0.96,1.04,1.1,1月31日,0.83,1月15日
08024P第一6L,17930,23000,4,0.78,0.8,0.7,0.87,1月18日,0.7,1月22日
08025P兆豐JV,113650,195000,6,0.58,0.54,0.46,0.59,1月21日,0.46,1月31日
08026P兆豐JW,819340,5196000,107,0.16,0.14,0.09,0.89,1月31日,0.09,1月31日
08027P3G凱基,9705250,30361000,929,0.32,0.34,0.18,0.5,1月17日,0.17,1月31日
08028P康和LF,1805290,1466000,41,1.23,1.21,1.08,1.29,1月18日,1.07,1月29日
08029P康和LM,3707030,5937000,167,0.62,0.6,0.49,0.7,1月17日,0.49,1月31日
08030P日盛Y8,31360,48000,7,0.65,0.6,0.56,0.7,1月2日,0.56,1月29日
08031P日盛Y9,76000,110000,4,0.69,0.68,0.67,0.73,1月4日,0.64,1月15日
08032P日盛Z1,1228930,2217000,39,0.55,0.57,0.62,0.7,1月2日,0.39,1月29日
08033P36群益,356960,3290000,57,0.11,0.11,0.06,0.17,1月2日,0.06,1月29日
08034P37群益,1227760,6326000,192,0.19,0.2,0.09,0.28,1月2日,0.09,1月30日
08035PJ8富邦,2301650,2368000,51,0.97,0.99,0.89,1.12,1月8日,0.76,1月25日
08037P國泰4K,1240400,1315000,46,0.94,0.96,0.91,1.2,1月25日,0.8,1月10日
08038P永豐3M,846500,1980000,49,0.43,0.49,0.27,0.66,1月8日,0.27,1月31日
08039P永豐3P,86580,86000,4,1.01,1,1.02,1.02,1月28日,0.98,1月25日
08040P41群益,22911660,9049000,184,2.53,2.61,2.11,3.54,1月7日,1.98,1月30日
08041PB1元富,997880,1420000,30,0.7,0.71,0.59,0.77,1月8日,0.59,1月23日
08042P元大BZ,649960,1634000,55,0.4,0.39,0.21,0.71,1月16日,0.21,1月31日
08043P元大CA,1339140,2821000,82,0.47,0.45,0.33,0.59,1月8日,0.33,1月31日
08044P元大CB,19999620,49211000,1167,0.41,0.4,0.23,0.64,1月8日,0.23,1月31日
08045P中信BE,281660,1769000,36,0.16,0.17,0.13,0.2,1月8日,0.13,1月21日
08046P兆豐JZ,1364130,1622000,42,0.84,0.86,0.92,1,1月15日,0.69,1月4日
08047P統一KY,82240,149000,11,0.55,0.53,0.51,0.66,1月25日,0.48,1月7日
08048P統一KZ,260200,350000,14,0.74,0.71,0.72,0.78,1月25日,0.64,1月4日
08049P永豐3T,5153710,5146000,91,1,1.01,0.94,1.23,1月18日,0.86,1月3日
08050P永豐3U,77050,150000,12,0.51,0.52,0.52,0.57,1月10日,0.45,1月3日
08051P永豐3V,61950,115000,4,0.54,0.53,0.53,0.54,1月9日,0.53,1月11日
08052P永豐3W,4150,10000,2,0.42,0.42,0.4,0.43,1月7日,0.4,1月15日
08053P永豐3X,655570,663000,38,0.99,0.95,0.64,1.18,1月9日,0.64,1月31日
08054P永豐3Y,48860,301000,11,0.16,0.16,0.19,0.2,1月31日,0.13,1月3日
08055P永豐3Z,10485880,27459000,434,0.38,0.38,0.33,0.45,1月14日,0.31,1月31日
08056PB8元富,356480,662000,18,0.54,0.52,0.49,0.59,1月25日,0.47,1月10日
08058P元大CT,3077100,3461000,96,0.89,0.85,0.86,0.99,1月25日,0.75,1月3日
08059P元大CU,830540,1051000,52,0.79,0.78,0.64,0.9,1月14日,0.64,1月31日
08060P元大CV,1310180,1109000,23,1.18,1.1,1.2,1.26,1月28日,0.94,1月2日
08061P工銀BZ,135940,557000,95,0.24,0.23,0.16,0.4,1月7日,0.16,1月24日
08062P工銀CA,97070,312000,11,0.31,0.32,0.21,0.44,1月8日,0.21,1月31日
08063P工銀CB,782170,7069000,136,0.11,0.1,0.06,0.19,1月2日,0.06,1月30日
08065P日盛Z9,81700,200000,4,0.41,0.42,0.39,0.46,1月7日,0.39,1月22日
08066P日盛AA,2902540,3199000,87,0.91,0.93,0.82,1.16,1月2日,0.79,1月30日
08067P大華9G,203610,1517000,56,0.13,0.14,0.09,0.19,1月8日,0.08,1月29日
08068P大華9H,671450,1145000,20,0.59,0.57,0.46,0.65,1月9日,0.43,1月29日
08069PL6富邦,860640,1770000,48,0.49,0.54,0.58,0.64,1月25日,0.41,1月3日
08070PL8富邦,537160,816000,20,0.66,0.67,0.69,0.73,1月2日,0.62,1月17日
08071PM1富邦,3374650,4723000,108,0.71,0.76,0.8,0.98,1月2日,0.54,1月15日
08072P國泰4P,2684400,3663000,78,0.73,0.71,0.81,0.81,1月31日,0.52,1月29日
08073PC1元富,5111120,9399000,129,0.54,0.51,0.48,0.64,1月4日,0.41,1月29日
08074PC4元富,151100,420000,13,0.36,0.32,0.23,0.4,1月4日,0.21,1月11日
08075PC5元富,6015600,8118000,283,0.74,0.73,0.48,0.93,1月8日,0.47,1月30日
08076PC6元富,55000,300000,15,0.18,0.19,0.19,0.23,1月4日,0.14,1月9日
08077P元大DB,142260,338000,7,0.42,0.42,0.46,0.47,1月9日,0.36,1月16日
08078P元大DC,2338230,4069000,78,0.57,0.6,0.44,0.87,1月2日,0.41,1月29日
08079P元大DD,591490,1511000,70,0.39,0.42,0.5,0.5,1月31日,0.32,1月3日
08080P元大DE,7280,24000,8,0.3,0.3,0.29,0.32,1月28日,0.29,1月29日
08081P元大DF,810530,1444000,57,0.56,0.56,0.45,0.67,1月8日,0.44,1月30日
08082P元大DG,3767330,8847000,343,0.43,0.42,0.3,0.54,1月9日,0.29,1月30日
08083P44群益,1734320,4197000,89,0.41,0.45,0.19,0.58,1月2日,0.19,1月31日
08084P45群益,8328300,5509000,125,1.51,1.57,1.33,1.81,1月14日,1.25,1月2日
08085P46群益,6529790,4528000,128,1.44,1.51,0.99,1.97,1月8日,0.99,1月31日
08086P49群益,2222980,2830000,52,0.79,0.78,0.72,0.85,1月4日,0.71,1月3日
08087P永豐4D,564940,1233000,57,0.46,0.46,0.47,0.51,1月29日,0.38,1月15日
