,民國101年10月,,,,,,,Oct-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2473  思源,240206616,4262269,2682,56.36,56.4,56.8,56.8,10月31日,55.7,10月2日,2.04
2481  強茂,210724012,19175807,7071,10.99,10.91,9.7,12.2,10月1日,9.61,10月29日,5.16
3006  晶豪科,331453064,14243147,7477,23.27,23.17,19.4,26.4,10月3日,18.5,10月30日,5.46
3014  聯陽,759348248,29875081,15364,25.42,24.68,20.85,28.2,10月5日,20.3,10月30日,14.5
3016  嘉晶,67757002,5392269,2719,12.57,12.72,10.35,14.85,10月2日,9.8,10月30日,5.74
3034  聯詠,12261179832,114923924,52012,106.69,105.98,110,111.5,10月31日,100,10月11日,19.06
3035  智原,5628123891,139171115,68696,40.44,40.56,35.8,46.6,10月1日,32.4,10月29日,34.59
3041  揚智,5974823137,161749803,68465,36.94,36.26,31.7,40.5,10月5日,30.15,10月30日,52.35
3054  萬國,16656083,1838355,842,9.06,9.12,8.1,10.35,10月3日,7.68,10月29日,2.37
3094  聯傑,59884125,3627788,2098,16.51,16.45,15.2,18.2,10月3日,14.45,10月29日,4.26
3189  景碩,4168326549,51089969,32169,81.59,81.36,80.3,86.8,10月1日,77,10月29日,11.46
3257  虹冠電,228605036,7744519,4344,29.52,28.79,25.9,32.6,10月2日,25,10月29日,20
3443  創意,2808204080,26613615,18208,105.52,104.58,92.7,119.5,10月4日,91.8,10月31日,19.86
3474  華亞科,667851432,155201707,35657,4.3,4.31,3.97,5.04,10月1日,3.83,10月22日,3.34
3519  綠能,1008586160,58530794,23931,17.23,17.66,14,21.15,10月1日,13.9,10月31日,18.19
3532  台勝科,72073371,2189984,1491,32.91,32.55,30.1,36.2,10月5日,29.1,10月29日,0.28
3545  旭曜,1998751796,56737457,30911,35.23,35.14,32.45,39.05,10月3日,29.5,10月30日,40.98
3559  全智科,221297200,13392871,6280,16.52,16.58,15,18.5,10月3日,14.3,10月29日,11.41
3579  尚志,438317840,18414591,10372,23.8,23.64,19.25,28.9,10月2日,18.9,10月29日,15.93
3588  通嘉,119377190,2335022,1474,51.12,52.21,45.6,58.4,10月1日,44.85,10月29日,5.2
3598  奕力,7347298256,76496263,49396,96.05,95.05,89.6,105.5,10月2日,89,10月30日,115.24
3638  F-IML,1334089496,13707725,9738,97.32,97.36,96.4,102,10月5日,91.4,10月29日,16.94
3686  達能,899686724,72909095,27814,12.34,12.26,10.3,14.75,10月1日,9.63,10月29日,35.8
3697  F-晨星,9883178137,40243534,23166,245.58,245.43,247.5,253,10月29日,232.5,10月1日,7.56
4919  新唐,755067113,22635303,12957,33.36,33.18,28.3,38.7,10月3日,28.3,10月31日,10.91
4952  凌通,87796507,4296245,1963,20.44,20,18.35,22.85,10月3日,17.8,10月29日,3.95
5305  敦南,192841731,13295352,5035,14.5,14.21,12.5,15.9,10月3日,12.05,10月31日,2.97
5471  松翰,376807627,9671331,5813,38.96,38.95,36.15,42.8,10月2日,35.1,10月29日,5.76
6145  勁永,1396497691,101950652,30387,13.7,13.4,12.2,14.9,10月5日,11.15,10月30日,45.82
6202  盛群,114591523,3814570,2803,30.04,30.06,28.9,31.4,10月3日,28.7,10月30日,1.71
6239  力成,6524182942,129884205,63844,50.23,50.7,45.4,56.7,10月1日,43.2,10月29日,16.67
6243  迅杰,59546989,4066661,2150,14.64,14.85,12.55,16.85,10月3日,12.4,10月30日,5.4
6257  矽格,772449784,31832587,13072,24.27,24.21,24.25,25,10月17日,22.8,10月26日,8.72
6271  同欣電,2629192443,26528992,16456,99.11,98.68,101.5,103.5,10月5日,91.6,10月11日,16.29
6286  立錡,2022688257,11796765,9002,171.46,170.41,159,181.5,10月4日,156,10月31日,7.89
8016  矽創,567045677,13900488,7887,40.79,40.31,36.65,43,10月2日,35.6,10月29日,11.77
8081  致新,1757429788,17692448,13395,99.33,98.16,94.2,104.5,10月5日,91,10月29日,20.53
8110  華東,188681042,21412455,6386,8.81,8.62,7.64,9.64,10月5日,7.26,10月29日,4.26
8131  福懋科,124717993,6758801,3880,18.45,18.5,15.5,22,10月1日,15.05,10月29日,1.53
8261  富鼎,86216904,8558042,3255,10.07,9.89,8.78,11.2,10月5日,8.68,10月29日,6.07
8271  宇瞻,1127781418,44115631,18279,25.56,25.23,24.65,27,10月3日,23.8,10月29日,33.72
25 電腦及週邊設備業類,,,,,,,,,,,
Computer and Peripheral Equipment,,,,,,,,,,,
2301  光寶科,2310641673,61744043,29871,37.42,37.4,37.2,38.1,10月15日,36.35,10月4日,2.69
2305  全友,4413044,1517706,560,2.91,2.94,2.83,3.09,10月8日,2.72,10月29日,0.74
2315  神達,1372724796,128267754,33155,10.7,10.42,9.67,11.9,10月2日,9.11,10月29日,8.38
2324  仁寶,9472132682,438308766,124264,21.61,21.72,18.4,26.35,10月1日,18.15,10月30日,9.93
2331  精英,1088953419,115789899,31549,9.4,9.1,7.91,10.2,10月4日,7.61,10月29日,9.79
2352  佳世達,1221754177,178791819,38160,6.83,6.65,6.3,7.2,10月25日,6.16,10月29日,9.09
2353  宏碁,11436601686,438145126,152942,26.1,26.5,22.6,29.3,10月3日,22.3,10月29日,15.46
2356  英業達,1049565432,96096534,34513,10.92,10.82,9.99,12.15,10月3日,9.5,10月26日,2.68
2357  華碩,23914096416,78298241,55218,305.42,305.5,313,327,10月31日,286.5,10月11日,10.4
2358  美格,108626768,8399652,1334,12.93,13.05,11.9,13.7,10月2日,11.55,10月31日,12.92
2362  藍天,459642418,11520724,6982,39.9,40.37,38.2,44,10月3日,35.5,10月31日,1.8
2364  倫飛,27030472,11573919,2620,2.34,2.34,2.46,2.64,10月30日,2.06,10月15日,6.09
2365  昆盈,99433946,10490726,3777,9.48,9.71,8.4,10.65,10月3日,8.26,10月29日,3.44
2376  技嘉,521297503,21638242,13575,24.09,24.43,24.1,27.2,10月3日,21.9,10月29日,3.46
2377  微星,307613843,22430545,8673,13.71,13.55,13.2,14.95,10月2日,12.3,10月29日,2.65
2380  虹光,37786993,4325355,1631,8.74,8.94,7.65,9.77,10月3日,7.5,10月30日,1.96
2382  廣達,18551824970,262506459,93372,70.67,70.85,66.8,78.5,10月2日,65.1,10月29日,6.82
2385  群光,2545173629,38192638,23777,66.64,66.69,64.1,69.5,10月1日,63.3,10月11日,5.65
2387  精元,50287496,4019407,1817,12.51,12.74,12.25,13.6,10月5日,10.55,10月29日,1.09
2395  研華,1174039371,10838564,7939,108.32,108.23,101,119.5,10月16日,99.9,10月30日,1.93
2397  友通,49249571,2160778,951,22.79,22.82,22.05,23.45,10月3日,21.9,10月31日,1.88
2399  映泰,55684583,4957987,1909,11.23,11.75,9.79,12.6,10月2日,9.78,10月31日,2.78
2405  浩鑫,256591939,23698153,7209,10.83,10.67,9.95,11.6,10月3日,9.3,10月29日,12.46
2417  圓剛,217589364,13211386,5894,16.47,16.42,13.55,18.25,10月12日,13.5,10月31日,6.38
2424  隴華,112629937,4442170,2423,25.35,23.39,21.8,29.5,10月17日,20.8,10月2日,14.81
