,民國101年10月,,,,,,,Oct-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
056839兆豐JC,1525030,4487000,129,0.34,0.36,0.18,0.56,10月17日,0.16,10月30日
056841兆豐JE,508490,1618000,33,0.31,0.31,0.34,0.4,10月18日,0.25,10月29日
056842兆豐JF,449040,745000,20,0.6,0.7,0.53,0.89,10月16日,0.47,10月29日
056843兆豐JG,365900,550000,25,0.67,0.65,0.39,0.92,10月18日,0.39,10月31日
056844第一6G,83270,165000,17,0.5,0.45,0.24,0.72,10月17日,0.24,10月31日
056845第一6J,113520,152000,6,0.75,0.73,0.6,0.85,10月19日,0.6,10月29日
05684698元富,5898150,11042000,334,0.53,0.56,0.24,0.97,10月18日,0.22,10月31日
056847元大AW,1283110,1049000,32,1.22,1.2,1.02,1.52,10月17日,1,10月29日
056848元大AX,2374170,1774000,57,1.34,1.37,1.34,1.45,10月23日,1.28,10月22日
056849元大AY,150920,357000,20,0.42,0.54,0.27,0.74,10月18日,0.26,10月31日
056850元大AZ,361580,349000,13,1.04,0.97,0.95,1.1,10月18日,0.9,10月23日
056851元大BA,3735380,4083000,163,0.91,0.95,0.64,1.42,10月18日,0.58,10月31日
056852元大BB,43900,60000,10,0.73,0.74,0.72,0.85,10月23日,0.63,10月29日
056853元大BC,6004440,4004000,184,1.5,1.53,1.73,1.82,10月30日,1.09,10月22日
056854元大BD,93100,100000,4,0.93,0.97,0.97,0.97,10月31日,0.92,10月31日
056855元大BE,168490,350000,27,0.48,0.52,0.41,0.77,10月19日,0.29,10月29日
056856元大BF,1880280,1909000,39,0.98,0.9,0.8,1.07,10月24日,0.8,10月31日
056858元大BH,8827100,14223000,424,0.62,0.68,0.39,1.08,10月17日,0.37,10月30日
056859元大BI,154790,188000,10,0.82,0.9,0.53,1.14,10月24日,0.53,10月31日
056860元大BJ,797630,1127000,17,0.71,0.71,0.65,0.78,10月17日,0.63,10月29日
056861元大BK,45180,92000,9,0.49,0.49,0.4,0.56,10月25日,0.38,10月29日
0568622Q凱基,549130,773000,19,0.71,0.64,0.44,0.81,10月19日,0.42,10月30日
0568632R凱基,355200,318000,6,1.12,1.15,1.05,1.28,10月19日,0.93,10月26日
0568642S凱基,32657950,8328000,175,3.92,3.89,3.76,4.29,10月29日,3.61,10月31日
0568652T凱基,3806480,1337000,23,2.85,2.72,2.67,2.98,10月29日,2.61,10月26日
0568662V凱基,611010,510000,16,1.2,1.22,1.62,1.62,10月30日,0.85,10月22日
0568692Y凱基,14000,20000,1,0.7,0.7,0.7,0.7,10月31日,0.7,10月31日
0568702Z凱基,220630,359000,13,0.61,0.62,0.53,0.69,10月30日,0.53,10月31日
0568713A凱基,1819450,1142000,58,1.59,1.58,1.46,1.88,10月23日,1.18,10月29日
0568723B凱基,853360,642000,25,1.33,1.43,1.23,1.77,10月17日,1.21,10月29日
0568733D凱基,4826200,436000,32,11.07,9.93,11.5,12.1,10月31日,8.7,10月24日
056875永昌KW,180710,190000,16,0.95,0.95,0.87,1.05,10月24日,0.87,10月29日
056877永昌KY,2560,5000,2,0.51,0.54,0.4,0.68,10月22日,0.4,10月29日
056878永昌KZ,20510,21000,3,0.98,0.99,1.01,1.01,10月23日,0.95,10月19日
056880永昌LB,15740,19000,6,0.83,0.82,0.92,0.92,10月31日,0.76,10月30日
056881永昌LD,894990,1725000,89,0.52,0.55,0.5,0.65,10月25日,0.46,10月30日
056883永昌LF,23870,31000,1,0.77,0.77,0.77,0.77,10月26日,0.77,10月26日
056884永昌LG,541370,631000,16,0.86,0.78,0.38,0.95,10月18日,0.38,10月29日
056885國泰4J,738570,1561000,36,0.47,0.61,0.37,0.81,10月17日,0.36,10月31日
056886統一KR,676530,1383000,36,0.49,0.56,0.41,0.82,10月17日,0.33,10月29日
056887統一KS,102830,180000,17,0.57,0.59,0.52,0.68,10月18日,0.48,10月30日
056888統一KT,727710,855000,33,0.85,0.9,1.05,1.13,10月31日,0.76,10月31日
056889永豐3G,218590,247000,26,0.88,0.9,0.87,0.95,10月29日,0.83,10月31日
05689016群益,5444380,4855000,164,1.12,1.09,0.94,1.63,10月18日,0.72,10月29日
05689117群益,964790,1069000,19,0.9,0.99,1.12,1.13,10月30日,0.84,10月17日
05689218群益,114860,213000,11,0.54,0.81,0.33,1.18,10月17日,0.32,10月31日
05689319群益,5899820,4587000,110,1.29,1.36,1.22,1.65,10月17日,1.04,10月26日
05689521群益,121060,162000,5,0.75,0.74,0.73,0.8,10月26日,0.7,10月29日
05689622群益,344190,163000,14,2.11,2.18,2.7,2.76,10月18日,1.74,10月30日
05689723群益,2717250,1218000,53,2.23,2.04,2.38,2.41,10月31日,1.23,10月19日
05689824群益,8283940,3054000,112,2.71,2.61,3.11,3.3,10月31日,2.18,10月29日
05689925群益,3663100,3126000,57,1.17,1.15,1.03,1.8,10月18日,0.85,10月29日
05690228群益,722040,768000,19,0.94,1.07,0.69,1.49,10月17日,0.63,10月29日
05690329群益,636150,1057000,22,0.6,0.73,0.66,1.08,10月23日,0.58,10月30日
056904H5富邦,462190,470000,28,0.98,0.95,0.96,1.1,10月29日,0.54,10月30日
056905H6富邦,142350,176000,9,0.81,0.82,0.87,0.89,10月22日,0.7,10月26日
056906H7富邦,2820,4000,2,0.7,0.7,0.64,0.77,10月26日,0.64,10月30日
056907J1富邦,3236290,3617000,71,0.89,0.92,0.87,1.1,10月23日,0.84,10月29日
056909J3富邦,732340,606000,27,1.21,1.12,0.4,1.72,10月18日,0.4,10月31日
056910J4富邦,576100,542000,13,1.06,0.84,0.65,1.3,10月25日,0.65,10月30日
056911J5富邦,1972530,1265000,44,1.56,1.42,1.22,1.77,10月17日,1.02,10月29日
056912J6富邦,215170,261000,11,0.82,0.88,0.71,1.15,10月25日,0.7,10月31日
056913J7富邦,43500,85000,9,0.51,0.47,0.41,0.58,10月31日,0.41,10月31日
056914工銀BS,1714560,2024000,31,0.85,0.97,0.61,1.27,10月17日,0.52,10月31日
056915工銀BT,24400,40000,5,0.61,0.64,0.32,0.85,10月18日,0.32,10月29日
056916工銀BU,110260,190000,16,0.58,0.57,0.46,0.67,10月18日,0.46,10月30日
056917工銀BV,400040,761000,21,0.53,0.54,0.5,0.67,10月17日,0.4,10月26日
056918中信AZ,6222790,2767000,60,2.25,2.52,2.02,3.55,10月18日,1.35,10月30日
056919中信BD,227790,104000,7,2.19,2.16,2.25,2.26,10月18日,2.08,10月17日
056920國票NF,2200,2000,2,1.1,1.1,1.12,1.12,10月18日,1.08,10月17日
056921國票NG,50850,70000,7,0.73,0.7,0.67,0.86,10月23日,0.62,10月26日
056922國票NH,155430,396000,4,0.39,0.38,0.38,0.4,10月23日,0.38,10月24日
056925日盛X7,1063480,1405000,50,0.76,0.73,0.45,1.18,10月17日,0.41,10月29日
056926日盛X8,1673610,1317000,51,1.27,1.04,0.6,1.39,10月18日,0.6,10月31日
056929日盛Y2,195320,195000,20,1,0.92,0.63,1.19,10月18日,0.63,10月31日
056930大華8R,4326090,8326000,90,0.52,0.53,0.42,0.58,10月25日,0.42,10月31日
056931大華8S,3770,10000,2,0.38,0.52,0.34,0.71,10月24日,0.34,10月29日
056932大華8T,669080,1019000,85,0.66,0.66,0.66,0.82,10月18日,0.55,10月24日
056933大華8U,1334500,1315000,24,1.01,1.07,0.94,1.28,10月25日,0.92,10月31日
056935大華8W,82820,43000,11,1.93,1.83,1.28,2.29,10月17日,1.28,10月31日
056936大華8X,166760,143000,8,1.17,1.23,1.04,1.51,10月22日,1.04,10月31日
056937大華8Y,71500,150000,3,0.48,0.49,0.49,0.49,10月31日,0.47,10月31日
056938大華8Z,463690,598000,8,0.78,0.8,0.76,0.91,10月26日,0.73,10月30日
056939大華9A,19800,40000,2,0.5,0.5,0.47,0.52,10月17日,0.47,10月19日
056940大華9B,131800,200000,6,0.66,0.65,0.63,0.69,10月23日,0.63,10月25日
056941兆豐JK,1132630,1802000,73,0.63,0.71,0.46,1.13,10月18日,0.42,10月29日
056943元大BP,122530,104000,12,1.18,1.13,0.91,1.45,10月18日,0.91,10月31日
056944元大BQ,52200,120000,4,0.44,0.44,0.43,0.44,10月30日,0.43,10月31日
056945元大BR,228380,128000,16,1.78,1.69,1.77,2.04,10月31日,1.36,10月19日
056946元大BS,1452750,2252000,46,0.65,0.83,0.63,1.04,10月19日,0.63,10月31日
056947元大BT,2053580,1766000,40,1.16,1.12,1.18,1.25,10月25日,0.88,10月29日
056948元大BU,1114920,1910000,104,0.58,0.65,0.37,0.81,10月25日,0.37,10月31日
056950元大BW,797090,2277000,49,0.35,0.35,0.3,0.39,10月30日,0.3,10月31日
056951兆豐JN,377420,542000,19,0.7,0.66,0.59,0.73,10月19日,0.58,10月29日
056954兆豐JR,9540,11000,2,0.87,0.84,0.84,0.87,10月29日,0.84,10月29日
056957兆豐JU,1110,3000,1,0.37,0.37,0.37,0.37,10月31日,0.37,10月31日
05695899元富,19800,20000,2,0.99,0.99,0.93,1.05,10月18日,0.93,10月19日
056959A1元富,2971940,3148000,62,0.94,1.01,0.63,1.2,10月25日,0.56,10月31日
056960A2元富,87420,91000,5,0.96,1.04,0.93,1.15,10月22日,0.92,10月31日
056961A3元富,89240,164000,15,0.54,0.48,0.29,0.66,10月19日,0.27,10月29日
056962A4元富,484320,414000,268,1.17,1.13,1.1,1.25,10月30日,1.1,10月31日
056963A5元富,10450,20000,2,0.52,0.52,0.52,0.53,10月31日,0.52,10月31日
056964A6元富,9350,10000,2,0.94,0.94,0.82,1.05,10月24日,0.82,10月29日
056965A7元富,1999650,2990000,76,0.67,0.67,0.61,0.8,10月23日,0.52,10月29日
056966A8元富,57160,102000,7,0.56,0.57,0.48,0.64,10月19日,0.48,10月26日
0569673F凱基,4417750,1593000,120,2.77,2.93,2.34,3.96,10月18日,2.18,10月29日
0569683H凱基,180640,212000,7,0.85,0.88,0.83,1.09,10月18日,0.67,10月29日
056970大華9C,33280,38000,12,0.88,0.77,0.51,0.99,10月19日,0.51,10月31日
056972康和LG,5647270,4024000,39,1.4,1.38,1.47,1.64,10月30日,1.04,10月26日
056973康和LH,726770,1573000,37,0.46,0.64,0.32,1.3,10月18日,0.3,10月26日
056974康和LI,51120,242000,15,0.21,0.33,0.15,0.76,10月18日,0.13,10月29日
056975康和LJ,308650,319000,9,0.97,1.02,0.95,1.18,10月19日,0.92,10月26日
056976康和LK,5791610,5491000,157,1.05,1.26,0.81,1.86,10月18日,0.7,10月29日
056977康和LL,1974970,1357000,18,1.46,1.43,1.16,1.58,10月19日,1.16,10月31日
056978臺銀16,29900,50000,3,0.6,0.68,0.5,0.87,10月19日,0.5,10月29日
056979臺銀17,221800,173000,19,1.28,1.27,1.42,1.42,10月29日,1.07,10月25日
056980臺銀18,1616390,2448000,49,0.66,0.68,0.52,0.78,10月18日,0.52,10月29日
056981永豐3H,6080,7000,4,0.87,0.86,0.88,0.92,10月31日,0.85,10月30日
056982永豐3I,12960,14000,5,0.93,0.88,0.92,0.95,10月26日,0.78,10月23日
056983永豐3J,8260,14000,8,0.59,0.62,0.46,0.89,10月23日,0.4,10月29日
05698430群益,13069920,8524000,203,1.53,1.42,1.23,1.76,10月23日,0.99,10月29日
05698531群益,768770,1062000,16,0.72,0.7,0.68,0.77,10月29日,0.65,10月30日
05698632群益,142680,112000,6,1.27,1.26,1.29,1.32,10月31日,1.23,10月30日
05698733群益,73490,44000,9,1.67,1.68,1.52,2.02,10月23日,1.39,10月29日
056990工銀BW,900,1000,1,0.9,0.9,0.9,0.9,10月23日,0.9,10月23日
056991J9富邦,20720,36000,6,0.58,0.63,0.56,0.73,10月24日,0.54,10月29日
056992K1富邦,161190,187000,13,0.86,0.84,0.77,0.92,10月23日,0.73,10月29日
056993K2富邦,710,1000,1,0.71,0.71,0.71,0.71,10月31日,0.71,10月31日
056996K5富邦,44320,52000,4,0.85,0.85,0.75,0.97,10月22日,0.75,10月29日
056997K7富邦,180590,225000,11,0.8,0.89,0.72,1.04,10月18日,0.72,10月31日
056998K8富邦,432320,334000,12,1.29,1.23,1.12,1.42,10月24日,1.06,10月29日
057000L1富邦,1130680,877000,16,1.29,1.38,1.6,1.66,10月29日,0.96,10月22日
057001亞東E1,325000,400000,8,0.81,0.8,0.67,0.86,10月24日,0.67,10月30日
057002國泰4L,22950,45000,4,0.51,0.52,0.47,0.56,10月24日,0.47,10月26日
057003永豐3K,433900,620000,23,0.7,0.74,0.71,0.92,10月26日,0.58,10月29日
057004永豐3L,208330,508000,22,0.41,0.42,0.18,0.57,10月23日,0.18,10月31日
057005永豐3N,51880,74000,15,0.7,0.69,0.61,0.82,10月23日,0.56,10月29日
05700638群益,5945890,1517000,70,3.92,3.85,3.62,4.13,10月29日,3.51,10月26日
05700739群益,6434350,1904000,38,3.38,3.31,3.2,3.57,10月29日,3.13,10月31日
05700840群益,3698170,1313000,76,2.82,2.79,2.74,2.99,10月29日,2.61,10月31日
057009A9元富,19826290,9885000,174,2.01,1.96,1.83,2.3,10月23日,1.72,10月31日
057010B2元富,519000,279000,17,1.86,1.89,2.06,2.07,10月30日,1.78,10月24日
057012B4元富,305920,230000,6,1.33,1.49,1.33,1.65,10月24日,1.23,10月30日
0570133J凱基,4971190,5977000,66,0.83,0.86,0.77,1.02,10月22日,0.71,10月29日
0570143K凱基,4055040,4140000,54,0.98,0.98,0.87,1.2,10月19日,0.74,10月29日
0570163M凱基,239780,199000,11,1.2,1.16,1.24,1.27,10月31日,1.08,10月29日
057017元大CC,1896700,3179000,89,0.6,0.62,0.43,0.9,10月19日,0.37,10月29日
057018元大CD,7707310,8701000,237,0.89,1.11,0.73,1.8,10月22日,0.71,10月29日
057019元大CE,1165430,1839000,87,0.63,0.7,0.62,0.85,10月23日,0.47,10月29日
057020元大CF,76300,80000,6,0.95,0.96,0.87,1.05,10月25日,0.87,10月26日
057023國票NP,12600,20000,2,0.63,0.63,0.64,0.64,10月25日,0.62,10月22日
057024國票NQ,55800,82000,6,0.68,0.7,0.68,0.72,10月22日,0.68,10月23日
057025日盛Z2,13984800,4685000,25,2.99,3.01,2.84,3.22,10月30日,2.72,10月31日
057026日盛Z3,110220,254000,13,0.43,0.47,0.45,0.57,10月23日,0.36,10月29日
057028日盛Z5,6728800,6579000,126,1.02,1.06,1,1.3,10月23日,0.89,10月29日
057029大華9E,91800,120000,4,0.76,0.77,0.76,0.79,10月23日,0.76,10月25日
05702P3M富邦,620,62000,1,0.01,0.01,0.01,0.01,10月1日,0.01,10月1日
057030大華9F,1906620,1357000,75,1.41,1.59,0.95,2.16,10月24日,0.7,10月30日
057032兆豐JY,47600,60000,2,0.79,0.81,0.81,0.81,10月31日,0.79,10月31日
057033L2富邦,711020,506000,12,1.41,1.33,1.13,1.46,10月23日,1.13,10月26日
057034L3富邦,127300,120000,6,1.06,1.07,1.13,1.15,10月25日,0.95,10月29日
057035L4富邦,7200,8000,2,0.9,0.81,0.63,0.99,10月22日,0.63,10月30日
057036國泰4M,499720,455000,14,1.1,1.26,0.96,1.55,10月26日,0.88,10月31日
057037統一KW,146620,150000,8,0.98,0.89,0.81,1.09,10月24日,0.75,10月29日
057038統一KX,1074980,1548000,16,0.69,0.86,0.67,1.1,10月23日,0.63,10月31日
057039統一LA,6500,10000,1,0.65,0.65,0.65,0.65,10月31日,0.65,10月31日
057041永豐3Q,533900,1070000,21,0.5,0.6,0.52,0.76,10月24日,0.45,10月30日
057042永豐3R,88620,100000,15,0.89,0.88,0.84,1.07,10月24日,0.69,10月29日
057043永豐3S,1190720,1654000,47,0.72,0.83,0.64,1.09,10月22日,0.54,10月29日
057044永豐4A,16450,24000,6,0.69,0.71,0.58,0.81,10月24日,0.58,10月29日
057045B5元富,392250,834000,29,0.47,0.46,0.49,0.63,10月26日,0.32,10月29日
057046B6元富,380770,501000,21,0.76,0.91,0.72,1.56,10月22日,0.63,10月29日
057047B7元富,37900,70000,5,0.54,0.49,0.47,0.68,10月23日,0.38,10月29日
0570483N凱基,1172070,838000,30,1.4,1.26,0.98,1.61,10月26日,0.86,10月31日
0570493P凱基,379160,338000,10,1.12,1.08,0.95,1.19,10月23日,0.95,10月26日
057052元大CG,1674030,2214000,62,0.76,0.79,0.72,0.93,10月23日,0.68,10月29日
057053元大CH,81480,124000,9,0.66,0.68,0.53,0.77,10月23日,0.53,10月29日
057054元大CI,1152130,1266000,39,0.91,0.9,0.86,1.07,10月23日,0.84,10月30日
057055元大CJ,635570,943000,32,0.67,0.7,0.64,0.77,10月30日,0.59,10月29日
057056元大CK,1436490,2094000,79,0.69,0.67,0.79,0.83,10月31日,0.61,10月29日
057057元大CL,2314200,2103000,88,1.1,1,1.18,1.27,10月31日,0.91,10月29日
057058元大CM,2619390,963000,31,2.72,2.68,2.55,2.84,10月29日,2.42,10月31日
057059元大CN,285530,439000,12,0.65,0.73,0.64,0.85,10月25日,0.63,10月31日
057060元大CP,677420,554000,11,1.22,1.2,1.12,1.29,10月24日,1.12,10月30日
057061元大CQ,976430,396000,47,2.47,3.35,2.01,4.85,10月24日,1.5,10月30日
057062元大CR,268620,370000,31,0.73,0.73,0.6,0.95,10月23日,0.58,10月30日
057064工銀BY,1186600,1450000,30,0.82,0.88,0.84,1.02,10月23日,0.75,10月30日
057065中信BF,216550,117000,26,1.85,1.78,1.72,2.86,10月30日,1.61,10月26日
057066中信BG,141400,142000,11,1,1.2,0.71,1.46,10月24日,0.71,10月31日
057067日盛Z6,3387300,5854000,70,0.58,0.58,0.48,0.66,10月25日,0.48,10月31日
057068日盛Z7,101950,161000,11,0.63,0.69,0.47,0.92,10月22日,0.47,10月26日
057069日盛Z8,179510,311000,11,0.58,0.59,0.58,0.7,10月26日,0.48,10月29日
057070大華9I,133800,120000,3,1.12,1.12,1.07,1.16,10月25日,1.07,10月26日
057072大華9K,91650,190000,7,0.48,0.53,0.46,0.61,10月26日,0.45,10月31日
057073大華9L,870,3000,1,0.29,0.29,0.29,0.29,10月31日,0.29,10月31日
057076L5富邦,1992500,2332000,70,0.85,0.86,0.8,0.92,10月23日,0.8,10月31日
057077L7富邦,1790640,2710000,49,0.66,0.7,0.48,1,10月25日,0.47,10月30日
057079M2富邦,158380,174000,12,0.91,0.9,0.96,0.99,10月30日,0.84,10月24日
057080M3富邦,119200,75000,5,1.59,1.52,1.32,1.73,10月23日,1.32,10月31日
057081兆豐KA,676940,1708000,26,0.4,0.42,0.4,2.54,10月30日,0.36,10月29日
057082兆豐KB,4680,6000,2,0.78,0.66,0.48,0.84,10月25日,0.48,10月29日
057084兆豐KD,51700,55000,1,0.94,0.94,0.94,0.94,10月31日,0.94,10月31日
057085兆豐KE,24600,30000,1,0.82,0.82,0.82,0.82,10月24日,0.82,10月24日
057086兆豐KF,65100,160000,7,0.41,0.39,0.28,0.44,10月22日,0.28,10月31日
057087兆豐KG,20310,21000,5,0.97,0.97,0.92,1.07,10月26日,0.91,10月29日
057088兆豐KH,272960,445000,16,0.61,0.79,0.61,1.13,10月23日,0.47,10月30日
057089兆豐KJ,4750,10000,2,0.48,0.48,0.44,0.51,10月30日,0.44,10月31日
057092兆豐KM,724680,594000,6,1.22,1.22,1.23,1.23,10月23日,1.21,10月22日
057093國泰4N,2563990,3714000,106,0.69,0.75,0.55,1.07,10月23日,0.46,10月29日
057094B9元富,6186260,7998000,94,0.77,0.78,0.63,0.92,10月25日,0.63,10月31日
057096C3元富,447360,361000,10,1.24,1.21,1.23,1.45,10月26日,1.19,10月29日
057098元大CW,25850,38000,8,0.68,0.73,0.63,0.89,10月24日,0.63,10月31日
057100元大CY,832790,1124000,39,0.74,0.77,0.72,0.9,10月25日,0.69,10月29日
057101元大CZ,26850,30000,2,0.9,0.9,0.96,0.96,10月29日,0.83,10月26日
057102元大DA,329500,350000,9,0.94,0.96,0.89,1.1,10月30日,0.88,10月26日
05710442群益,122350,150000,78,0.82,0.82,0.67,0.98,10月26日,0.67,10月29日
05710543群益,1850940,1787000,64,1.04,1.28,1.01,1.57,10月26日,0.81,10月31日
05710647群益,115450,100000,9,1.15,1.15,1.18,1.28,10月31日,1.09,10月29日
05710748群益,7100,10000,1,0.71,0.71,0.71,0.71,10月26日,0.71,10月26日
057108永豐4B,1562520,1412000,30,1.11,1.11,1.07,1.19,10月29日,1.04,10月31日
057109永豐4C,9030,14000,8,0.64,0.67,0.59,0.83,10月25日,0.59,10月31日
057110永豐4E,22980,33000,13,0.7,0.72,0.7,0.83,10月26日,0.6,10月29日
057111永豐4F,802580,1003000,15,0.8,0.8,0.82,0.82,10月31日,0.78,10月31日
057112日盛AB,4441620,2427000,55,1.83,1.46,0.75,2.51,10月24日,0.49,10月29日
057113日盛AC,124740,198000,2,0.63,0.63,0.67,0.67,10月30日,0.59,10月29日
057114大華9N,2247000,1863000,31,1.21,1.14,1.23,1.28,10月31日,0.96,10月29日
057115大華9P,125400,120000,5,1.04,1.04,1,1.09,10月23日,1,10月24日
057116大華9Q,280400,735000,31,0.38,0.4,0.31,0.6,10月25日,0.24,10月30日
057117康和LR,476670,594000,31,0.8,0.8,0.63,0.96,10月25日,0.63,10月29日
057118康和LS,1280070,1188000,12,1.08,1.06,1.07,1.12,10月25日,1.03,10月25日
057119康和LT,6275050,1876000,31,3.34,3.35,3.1,3.61,10月29日,3,10月31日
057120康和LU,279840,320000,7,0.87,0.84,0.81,0.88,10月26日,0.78,10月29日
057121康和LV,7543310,7188000,100,1.05,1.02,0.85,1.17,10月25日,0.85,10月31日
057122康和LW,1143650,890000,10,1.28,1.28,1.3,1.3,10月25日,1.27,10月24日
057123康和LX,34200,40000,2,0.86,0.86,0.82,0.89,10月25日,0.82,10月26日
057124M4富邦,25800,37000,5,0.7,0.76,0.62,0.9,10月25日,0.6,10月31日
057125M5富邦,362500,260000,7,1.39,1.79,1.1,2.56,10月23日,0.99,10月31日
057126M6富邦,1469700,2264000,44,0.65,0.77,0.67,1.03,10月25日,0.61,10月31日
057128亞東E3,13910,22000,3,0.63,0.71,0.62,0.79,10月25日,0.62,10月31日
057130亞東E5,12500,22000,3,0.57,0.58,0.5,0.65,10月30日,0.5,10月31日
057131亞東E6,81340,124000,18,0.66,0.68,0.64,0.74,10月30日,0.64,10月31日
057132亞東E7,71750,78000,6,0.92,0.85,0.94,0.94,10月30日,0.71,10月23日
057133亞東E8,356210,310000,20,1.15,1.15,1.15,1.86,10月31日,1.03,10月24日
057134亞東E9,2068930,2715000,33,0.76,0.76,0.73,0.94,10月24日,0.63,10月29日
057136兆豐KN,15870,17000,3,0.93,0.93,0.92,0.95,10月30日,0.91,10月26日
057137兆豐KP,92740,63000,8,1.47,1.45,1.43,1.52,10月30日,1.42,10月29日
057139兆豐KR,4530,9000,4,0.5,0.52,0.47,0.65,10月25日,0.43,10月26日
057140兆豐KS,60150,508000,19,0.12,0.2,0.1,0.36,10月23日,0.1,10月31日
057141兆豐KT,104940,99000,1,1.06,1.06,1.06,1.06,10月31日,1.06,10月31日
057143兆豐KV,9950,31000,6,0.32,0.33,0.34,0.43,10月25日,0.25,10月29日
057145兆豐KX,16540,95000,10,0.17,0.19,0.14,0.28,10月25日,0.14,10月31日
057146工銀CC,335300,230000,6,1.46,1.47,1.49,1.52,10月26日,1.39,10月29日
057147元大DH,641290,1297000,51,0.49,0.72,0.38,1.17,10月24日,0.38,10月31日
057148元大DI,623390,757000,20,0.82,1.05,0.82,1.32,10月26日,0.77,10月31日
057150統一LC,4909240,5502000,289,0.89,0.86,0.79,1.04,10月24日,0.72,10月26日
057152統一LG,15095210,4897000,177,3.08,3.04,2.89,3.25,10月29日,2,10月31日
057153永豐4G,76750,78000,7,0.98,0.96,0.97,1.02,10月29日,0.93,10月29日
057154永豐4H,383770,439000,11,0.87,0.87,0.89,0.93,10月24日,0.8,10月29日
057155永豐4K,22400,40000,4,0.56,0.56,0.54,0.61,10月29日,0.54,10月31日
057157C8元富,12080,12000,4,1.01,1.02,0.98,1.07,10月26日,0.98,10月30日
057158D1元富,209090,38000,5,5.5,5.28,5.45,5.55,10月25日,4.94,10月25日
0571593S凱基,919060,395000,13,2.33,2.26,2.28,2.75,10月31日,2.03,10月24日
057160國票NR,37100,30000,2,1.24,1.24,1.25,1.25,10月31日,1.23,10月26日
057161國票NS,38000,40000,2,0.95,0.95,1.05,1.05,10月30日,0.85,10月24日
057164國票NV,30950,53000,8,0.58,0.63,0.45,0.75,10月25日,0.43,10月29日
057166大華9S,219480,381000,19,0.58,0.66,0.59,0.81,10月24日,0.49,10月29日
05716750群益,1360,4000,2,0.34,0.34,0.33,0.35,10月30日,0.33,10月31日
05716851群益,354800,217000,6,1.64,1.65,1.69,1.7,10月30日,1.57,10月29日
05716954群益,1303760,1014000,31,1.29,1.12,0.83,1.99,10月24日,0.48,10月30日
057170中信BH,23100,20000,2,1.16,1.16,1.02,1.29,10月29日,1.02,10月31日
057171元大DK,327110,485000,22,0.67,0.77,0.58,1.08,10月25日,0.56,10月31日
057172元大DL,343970,343000,11,1,0.8,0.8,1.5,10月26日,0.4,10月30日
057173元大DM,527850,535000,31,0.99,1,0.88,1.32,10月25日,0.88,10月31日
05717655群益,332980,475000,17,0.7,0.7,0.7,0.73,10月30日,0.68,10月30日
05717756群益,6330,6000,2,1.06,1.06,0.86,1.25,10月25日,0.86,10月29日
05717857群益,10650,10000,2,1.06,1.06,0.95,1.18,10月25日,0.95,10月26日
05717958群益,169000,141000,9,1.2,1.15,1.17,1.29,10月25日,1.01,10月29日
057181統一LJ,115370,332000,12,0.35,0.33,0.32,0.45,10月26日,0.31,10月29日
057183統一LL,11740,15000,4,0.78,0.76,0.76,0.83,10月31日,0.76,10月31日
057184統一LM,1205340,856000,14,1.41,1.53,1.79,1.82,10月31日,1.3,10月29日
057185統一LN,90200,92000,6,0.98,0.95,1.03,1.03,10月31日,0.87,10月26日
057186兆豐KY,29750,25000,1,1.19,1.19,1.19,1.19,10月31日,1.19,10月31日
057187兆豐KZ,692070,458000,20,1.51,1.49,1.48,1.74,10月31日,1.42,10月25日
057189兆豐LC,1000,2000,1,0.5,0.5,0.5,0.5,10月31日,0.5,10月31日
057191兆豐LE,463740,1054000,16,0.44,0.44,0.43,0.45,10月30日,0.43,10月31日
057195兆豐LL,13150,25000,2,0.53,0.54,0.52,0.55,10月26日,0.52,10月31日
057198兆豐LP,3190,2000,2,1.6,1.58,1.58,1.61,10月31日,1.58,10月31日
057199兆豐LQ,920,2000,1,0.46,0.46,0.46,0.46,10月29日,0.46,10月29日
057200兆豐LR,1400,2000,1,0.7,0.7,0.7,0.7,10月30日,0.7,10月30日
057201兆豐LS,7600,10000,1,0.76,0.76,0.76,0.76,10月31日,0.76,10月31日
057202康和LY,547470,495000,13,1.11,1.11,1.1,1.15,10月26日,1.08,10月29日
057206康和MC,6230,7000,1,0.89,0.89,0.89,0.89,10月31日,0.89,10月31日
057208日盛AK,95500,120000,4,0.8,0.81,0.78,0.87,10月26日,0.73,10月30日
057209日盛AL,3301760,8769000,133,0.38,0.34,0.23,0.62,10月25日,0.22,10月31日
057211大華9T,630110,778000,16,0.81,0.82,0.78,0.91,10月26日,0.76,10月31日
057212永豐4N,32700,70000,7,0.47,0.46,0.44,0.5,10月30日,0.43,10月29日
057214永豐4Q,8400,10000,2,0.84,0.84,0.88,0.88,10月29日,0.8,10月26日
