,民國101年08月,,,,,,,Aug-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
1514  亞力,126927935,14351330,3934,8.84,8.78,8.87,9.32,8月23日,8.1,8月8日,7.14
1515  力山,14134120,2791446,860,5.06,5.04,5.17,5.27,8月17日,4.8,8月9日,1.22
1517  利奇,303484360,23229089,6702,13.06,13.03,12.7,13.7,8月13日,12.5,8月16日,10.2
1519  華城,46732072,3526860,1853,13.25,13.24,13.4,13.7,8月16日,12.6,8月3日,1.35
1521  大億,180553363,3346318,2349,53.96,53.92,51.6,56.2,8月21日,50.8,8月7日,4.39
1522  堤維西,81643420,6724893,2475,12.14,11.9,12,12.7,8月23日,11.3,8月8日,2.15
1524  耿鼎,18392606,3255683,918,5.65,5.6,5.65,5.88,8月23日,5.36,8月7日,2
1525  江申,204255653,4248436,2693,48.08,47.35,50.7,50.8,8月30日,44.65,8月7日,6.14
1526  日馳,3795612,488557,265,7.77,7.8,7.64,8.2,8月6日,7.36,8月6日,0.98
1527  鑽全,87508076,4064625,2054,21.53,21.58,21.2,22.5,8月6日,21.05,8月29日,2.64
1528  恩德,80829475,6797346,1885,11.89,11.74,12.2,12.55,8月28日,11.25,8月9日,4.82
1530  亞崴,86297459,2792622,1631,30.9,30.64,31.25,32.15,8月1日,29.6,8月14日,2.94
1531  高林股,454507074,20059383,6908,22.66,22.2,21.1,24.1,8月14日,20.8,8月31日,10.39
1532  勤美,335169858,17434874,6280,19.22,18.47,20.2,20.45,8月31日,17.05,8月3日,4.61
1533  車王電,44823778,2542039,1238,17.63,17.26,17.85,18.6,8月17日,16.2,8月1日,2.64
1535  中宇,210670835,3308347,2417,63.68,63.53,64.4,65.4,8月30日,62.7,8月3日,2.93
1536  和大,479615264,27901685,9341,17.19,16.69,17.4,18.2,8月27日,15.35,8月3日,17.63
1537  廣隆,1138907359,20810573,10330,54.73,54.48,55.5,56.8,8月20日,52.3,8月1日,25.51
1538  正峰新,81470892,7300576,3359,11.16,10.88,11.5,12.3,8月28日,10,8月7日,4.51
1539  巨庭,1643394,293384,150,5.6,5.54,5.76,6.1,8月28日,5.31,8月1日,0.45
1540  喬福,53392014,2590970,1427,20.61,20.55,20.7,21.2,8月30日,20.1,8月29日,3.03
1541  錩泰,13242888,1112476,650,11.9,11.48,11.9,12.75,8月21日,10.55,8月8日,1.41
1560  中砂,715036330,16593990,9615,43.09,42.2,41.35,45.5,8月20日,40,8月7日,11.77
1582  信錦,1119064221,22853400,13229,48.97,48.5,49.85,50.8,8月22日,45.8,8月3日,16.73
1583  程泰,75195825,1655895,1133,45.41,45.45,45.1,47.8,8月3日,43.2,8月16日,1.7
1589  F-永冠,333098068,7062811,4186,47.16,45.69,45.6,50.5,8月20日,42.55,8月13日,7.95
1590  F-亞德,609383313,3953393,3428,154.14,153.66,146,163.5,8月14日,143,8月28日,2.64
1603  華電,215308002,22734911,5304,9.47,9.35,9.68,9.97,8月24日,7.92,8月3日,6.64
1604  聲寶,1115533863,112305057,23837,9.93,9.7,10.1,10.5,8月29日,9,8月3日,18.99
1605  華新,2103788321,220099939,50277,9.56,9.55,9.42,10.2,8月17日,8.97,8月3日,6.09
1608  華榮,262832918,29881271,6531,8.8,8.87,9.35,9.38,8月28日,7.62,8月6日,4.72
1609  大亞,118890332,16127125,4651,7.37,7.35,7.3,7.53,8月16日,7.19,8月7日,2.78
1611  中電,218160495,11299832,4561,19.31,19.22,19.2,19.8,8月20日,18.55,8月3日,2.84
1612  宏泰,66525715,6823465,2457,9.75,9.73,9.64,9.97,8月17日,9.43,8月1日,2.11
1613  台一,36979737,7319293,2235,5.05,5,5.1,5.3,8月24日,4.66,8月8日,3.66
1614  三洋電,96565772,3488243,1613,27.68,27.56,29.1,29.3,8月31日,26.35,8月3日,1.1
1615  大山,8926361,815752,443,10.94,10.86,11.35,11.35,8月31日,10.6,8月1日,0.73
1616  億泰,24500832,5678140,1409,4.31,4.23,4.49,4.65,8月22日,3.91,8月6日,2.92
1617  榮星,8344547,877982,424,9.5,9.59,9.85,10.15,8月17日,9.17,8月1日,0.61
1618  合機,108623223,10211864,3221,10.64,10.52,11,11.35,8月15日,9.92,8月3日,4.24
1701  中化,498413328,26026057,11082,19.15,19,19.3,20.1,8月24日,18.4,8月3日,8.73
1702  南僑,912778142,29665019,15502,30.77,30.41,29.2,32.15,8月8日,29.1,8月31日,10.09
1704  榮化,890861351,21446129,11961,41.54,41.63,40.7,43.5,8月14日,40,8月31日,2.67
1707  葡萄王,2209113792,35262003,22743,62.65,62.5,62,65.9,8月6日,60.1,8月28日,27.08
1708  東?,1303701363,36609891,17195,35.61,35.32,32.85,37.4,8月6日,32.55,8月31日,23.19
1709  和益,390045250,18952971,5372,20.58,20.27,17.75,21.55,8月13日,17.75,8月31日,4.41
1710  東聯,2567043549,73449233,34252,34.95,34.7,33.55,36.2,8月17日,32.85,8月31日,8.29
1711  永光,382637740,19961001,9336,19.17,18.99,19.35,20.1,8月27日,17.3,8月3日,4.43
1712  興農,543594353,38278931,10604,14.2,14.1,13.75,14.7,8月6日,13.6,8月29日,11.47
1713  國化,42210566,3752839,1187,11.25,11.07,11.65,11.9,8月28日,10.7,8月8日,2.49
1714  和桐,832034234,46764745,14289,17.79,17.7,17.65,18.45,8月8日,17,8月1日,6.02
1715  亞化,370150170,24462727,6021,15.13,15.16,14.15,16.2,8月10日,14.05,8月30日,7.8
1717  長興,479866646,19529005,9216,24.57,24.6,24.75,25.3,8月23日,22.8,8月3日,1.97
1718  中纖,900095175,82301950,19428,10.94,10.84,10.75,11.5,8月10日,9.92,8月1日,5.83
1720  生達,204977511,8050921,4217,25.46,25.35,24.75,26.2,8月16日,24.7,8月22日,4.78
1721  三晃,12563658,1763803,790,7.12,7.1,7.21,7.5,8月27日,6.81,8月13日,2.39
1722  台肥,7795925291,105513225,59569,73.89,73.58,73.9,77.8,8月17日,71.1,8月3日,10.77
1723  中碳,1289952124,10148287,7236,127.11,127.27,125.5,131.5,8月1日,125,8月30日,4.28
1724  台硝,342528566,13457011,6505,25.45,25.29,25.65,26.4,8月27日,23.3,8月3日,10.53
1725  元禎,21102309,1419695,602,14.86,14.87,14.9,15.5,8月22日,14.5,8月21日,0.78
1726  永記,925566759,15542413,8548,59.55,58.82,63.3,66,8月27日,51.7,8月1日,9.59
1727  中華化,339858418,17411090,6558,19.52,19.28,19.6,20.5,8月27日,17.85,8月10日,18.62
1729  必翔,713243869,19359827,8452,36.84,36.63,37.4,38.6,8月1日,35,8月16日,10.33
1730  花仙子,128528343,6775292,2779,18.97,19,19.25,19.9,8月24日,18.35,8月3日,12.67
1731  美吾華,192100431,14259061,4586,13.47,13.18,13.8,14.2,8月31日,12.75,8月13日,10.73
1732  毛寶,16101600,1126765,624,14.29,14.21,14.1,14.7,8月23日,14,8月30日,2.65
1733  五鼎,1282252438,16653468,10969,77,76.91,75.6,80.2,8月6日,74,8月20日,16.9
1734  杏輝,553200274,20901278,10134,26.47,26.27,26.6,27.5,8月27日,25.55,8月7日,14
1735  日勝化,9578032,879379,418,10.89,10.85,11.25,11.4,8月27日,10.3,8月3日,0.96
1736  喬山,493303980,6390480,5415,77.19,77.57,69.1,84.4,8月15日,69.1,8月31日,3.21
1737  臺鹽,544364783,23740338,7177,22.93,22.82,22.5,23.8,8月21日,21.95,8月1日,8.54
1762  中化生,886485530,17415458,10509,50.9,49.54,53.4,54.5,8月31日,46.7,8月1日,22.45
1773  勝一,86957511,2236817,1301,38.88,38.77,39.4,40.4,8月28日,37.2,8月1日,1.68
1789  神隆,4641746020,76792424,40701,60.45,60.1,61,64.5,8月27日,57.4,8月9日,11.82
1802  台玻,1460583368,50880576,19456,28.71,28.64,29.75,30.3,8月31日,27.05,8月3日,2.14
1805  寶徠,3065626,218062,186,14.06,14.28,14.65,14.95,8月21日,13,8月6日,0.43
1806  冠軍,261948612,23230615,6804,11.28,11.17,11.25,11.8,8月20日,10.55,8月3日,5.31
1808  潤隆,782022994,20666626,11121,37.84,36.52,39.15,40.8,8月28日,34.3,8月16日,14.38
1809  中釉,86955948,6089331,2708,14.28,14.1,14.05,14.9,8月21日,13.5,8月7日,3.21
1810  和成,67733419,8367987,2429,8.09,8.09,8.18,8.39,8月28日,7.63,8月1日,2.26
1902  台紙,103677535,10804505,3385,9.6,9.56,9.65,9.98,8月27日,9.07,8月3日,2.69
1903  士紙,254092439,5676391,3025,44.76,43.56,46,47.3,8月17日,40,8月3日,2.18
1904  正隆,152820424,13591593,4891,11.24,11.29,11.2,11.5,8月28日,10.75,8月1日,1.27
1905  華紙,218691536,22721390,6477,9.62,9.59,9.7,10.25,8月27日,9.07,8月7日,3.69
1906  寶隆,2562869,472900,215,5.42,5.45,5.52,5.7,8月27日,5.11,8月7日,0.31
1907  永豐餘,187857711,15674029,6130,11.99,11.99,11.7,12.2,8月17日,11.7,8月31日,0.94
1909  榮成,74637935,9532244,2800,7.83,7.76,7.86,8.1,8月30日,7.5,8月3日,1.39
2002  中鋼,9053250157,344015249,113026,26.32,26.36,25.65,26.85,8月15日,25.55,8月31日,2.25
2002A 中鋼特,10619500,272000,89,39.04,39.06,39.3,39.9,8月29日,38.8,8月14日,0.71
2006  東鋼,483229098,17217884,9508,28.07,28.06,27.6,28.85,8月14日,26.9,8月1日,1.76
2007  燁興,18687798,4142553,1254,4.51,4.54,4.48,4.7,8月21日,4.3,8月7日,0.66
2009  第一銅,43982792,5875527,2015,7.49,7.49,7.53,7.8,8月20日,7.03,8月7日,1.63
2010  春源,97881588,8433435,2454,11.61,11.63,11.5,11.8,8月22日,11.35,8月31日,1.3
2012  春雨,27858175,2899140,658,9.61,9.62,9.7,9.78,8月31日,9.2,8月6日,1.01
2013  中鋼構,119863029,4215624,2227,28.43,28.46,28.25,28.95,8月6日,28.1,8月27日,2.62
2014  中鴻,133522726,17551104,6640,7.61,7.59,7.36,7.78,8月21日,7.32,8月31日,1.22
2015  豐興,524953404,10838856,6469,48.43,48.42,46.3,50.5,8月14日,46.3,8月31日,1.86
2017  官田鋼,214906180,30789915,8276,6.98,6.87,6.81,7.45,8月20日,6.57,8月3日,7.93
2020  美亞,62316189,5610415,1650,11.11,11.17,10.9,11.65,8月1日,10.75,8月31日,2.04
2022  聚亨,180467427,35666138,5989,5.06,5.03,4.99,5.25,8月16日,4.8,8月3日,7.37
2023  燁輝,220639571,24226971,7702,9.11,9.1,9.23,9.3,8月29日,8.9,8月8日,1.51
2024  志聯,7823691,1356657,443,5.77,5.75,5.75,6,8月3日,5.63,8月24日,1.24
2025  千興,24775323,8184981,1613,3.03,3,3.04,3.17,8月15日,2.8,8月8日,2.54
2027  大成鋼,145220182,9913082,3912,14.65,14.62,14.85,15.15,8月27日,14.2,8月3日,1.4
2028  威致,16674579,3326394,1007,5.01,5,4.89,5.18,8月20日,4.84,8月3日,1.26
2029  盛餘,31551729,1707935,953,18.47,18.44,18.5,18.95,8月14日,18.3,8月23日,0.53
2030  彰源,22821279,2283300,1182,9.99,9.99,10.1,10.45,8月27日,9.7,8月7日,0.84
2031  新光鋼,133619341,7277171,3327,18.36,18.31,17.7,19.3,8月20日,17.7,8月31日,2.62
2032  新鋼,14498805,1465400,751,9.89,9.87,9.91,10.25,8月17日,9.6,8月3日,1.12
2033  佳大,14938581,1462504,440,10.21,10.19,10.35,10.6,8月29日,9.95,8月3日,1.81
2034  允強,71479062,4687295,2096,15.25,15.22,15.25,15.55,8月27日,15,8月9日,1.27
2038  海光,56974896,5410819,1786,10.53,10.49,10.35,10.8,8月20日,10.25,8月8日,2.03
2049  上銀,21937235150,91728888,69585,239.15,245.05,216,283,8月6日,211.5,8月29日,37.22
2059  川湖,2088298760,12115895,8131,172.36,172.84,178,179,8月31日,164,8月6日,13.12
2062  橋椿,44178736,1466710,966,30.12,30.17,28.85,31.9,8月7日,28.85,8月31日,0.9
2101  南港,1975403185,44934117,22881,43.96,43.68,43.4,46.2,8月16日,41.9,8月1日,6.24
2102  泰豐,1772985203,97727873,29473,18.14,17.55,19.15,19.95,8月24日,14.45,8月3日,24.24
2103  台橡,5025235372,74066139,42616,67.85,67.7,63,71.7,8月9日,62.3,8月28日,9.42
2104  中橡,641421949,22370266,7163,28.67,28.5,29.4,29.5,8月31日,27.65,8月1日,4.07
2105  正新,16254513315,219292625,72248,74.12,73.79,72.8,81.8,8月1日,71.2,8月3日,7.78
2106  建大,2894074484,78117596,26398,37.05,36.91,36.1,38.3,8月6日,35.65,8月29日,10.65
2107  厚生,803590375,41594225,15821,19.32,19.13,19.6,20.3,8月24日,18.2,8月7日,8.37
2108  南帝,344939532,13606710,6055,25.35,25.49,24.9,26.2,8月23日,24.6,8月24日,3.76
2109  華豐,106466107,15290142,2679,6.96,6.84,6.68,7.3,8月9日,6.42,8月31日,4.74
2114  鑫永銓,695724597,10241503,6393,67.93,67.87,68.7,72.1,8月20日,62.7,8月1日,16.68
2201  裕隆,7782361316,141032191,59902,55.18,55.11,54.4,57,8月8日,52.2,8月1日,8.97
2204  中華,2207952537,83295677,34330,26.51,26.27,27.4,27.7,8月30日,25.15,8月20日,6.02
2206  三陽,868260314,44931296,10601,19.32,19.28,19.05,19.65,8月1日,19,8月30日,5.01
2207  和泰車,3144711436,14876592,12161,211.39,210.5,216,223,8月9日,199,8月1日,2.72
2208  台船,411944588,19556644,9512,21.06,21.42,19.85,21.95,8月3日,19.8,8月31日,2.63
2227  裕日車,1890176263,7248588,5736,260.76,260.75,265,277.5,8月8日,241.5,8月6日,2.42
2231  為升,90753011,1713331,1149,52.97,52.34,51.9,55.7,8月17日,49.6,8月3日,2.84
2301  光寶科,3262326818,90076345,36258,36.22,36.02,36.25,38.7,8月6日,34.85,8月30日,3.92
2302  麗正,12524385,3078974,1166,4.07,4.03,4.05,4.24,8月27日,3.84,8月1日,1.92
2303  聯電,8375418684,677270754,103532,12.37,12.36,12,13,8月9日,11.9,8月22日,5.23
2305  全友,15218948,5304465,1385,2.87,2.84,2.85,2.99,8月28日,2.72,8月7日,2.58
2308  台達電,12985819097,126983475,63743,102.26,101.85,102,108,8月20日,96.9,8月6日,5.27
2311  日月光,13284982237,554984898,130767,23.94,23.77,22.4,26.1,8月16日,22,8月20日,7.31
2312  金寶,167916018,25415600,6245,6.61,6.57,6.45,6.8,8月17日,6.22,8月7日,1.74
2313  華通,3801634534,287431410,60290,13.23,13.12,12.75,13.8,8月10日,12.5,8月3日,24.12
2314  台揚,432572982,38836741,11908,11.14,11.12,10.2,11.8,8月6日,10.2,8月31日,9.4
2315  神達,466243647,49590499,13645,9.4,9.34,9.66,9.77,8月31日,9.07,8月7日,3.24
2316  楠梓電,131479737,9921410,3722,13.25,13.14,13.25,13.85,8月16日,12.7,8月7日,2.92
2317  鴻海,75804034297,885112255,346489,85.64,85.61,84.8,91.5,8月9日,79,8月3日,7.48
2323  中環,610982115,125368819,27189,4.87,4.83,4.8,5.06,8月27日,4.64,8月7日,4.49
2324  仁寶,6250460105,228880937,73516,27.31,27.41,26.25,28.8,8月17日,25.5,8月30日,5.19
2325  矽品,6914646136,206365623,65959,33.51,33.41,33.8,34.5,8月21日,32.15,8月3日,6.62
2327  國巨,461639844,53678442,16133,8.6,8.54,8.62,8.89,8月17日,8.09,8月1日,2.43
2328  廣宇,2899151277,94923005,44252,30.54,30.23,29.05,31.9,8月10日,28.7,8月30日,18.63
2329  華泰,41759324,9872286,2705,4.23,4.22,4.25,4.45,8月22日,3.95,8月6日,1.22
2330  台積電,60999749940,744129328,176416,81.97,82.18,83.3,83.9,8月21日,79.2,8月3日,2.87
2331  精英,2813293945,267205393,67435,10.53,10.43,10.05,12.5,8月14日,8.85,8月16日,22.58
2332  友訊,855557728,43607268,17085,19.62,19.47,18.6,20.7,8月28日,18.2,8月1日,6.73
2337  旺宏,2396457955,306742020,74928,7.81,7.82,8.08,8.32,8月16日,7.03,8月3日,8.71
2338  光罩,127283022,12311361,3353,10.34,10.48,9.96,11.35,8月14日,9.61,8月29日,4.56
2340  光磊,562125461,47141073,15261,11.92,11.78,11.95,12.5,8月14日,10.75,8月8日,8.96
2342  茂矽,99404311,39314700,8765,2.53,2.52,2.48,2.94,8月1日,2.23,8月8日,5.81
2344  華邦電,484050570,108726875,19636,4.45,4.43,4.45,4.72,8月20日,4.13,8月7日,2.95
2345  智邦,802623146,50215390,17233,15.98,15.91,15.5,16.4,8月10日,15.5,8月31日,9.62
2347  聯強,4522419356,68670406,32812,65.86,66.59,66.8,68.7,8月16日,62.4,8月3日,4.35
2349  錸德,579191454,142280307,24178,4.07,4.04,3.92,4.22,8月16日,3.9,8月7日,5.37
2351  順德,127701665,6191456,2810,20.63,20.75,21.2,21.8,8月17日,19.5,8月9日,3.57
2352  佳世達,666742072,101495656,24539,6.57,6.54,6.35,6.85,8月21日,6.01,8月7日,5.16
2353  宏碁,12240333544,457759613,154386,26.74,26.54,26.45,28.25,8月16日,25.75,8月7日,16.15
2354  鴻準,39232658027,349512669,156977,112.25,112.7,114,120,8月17日,100,8月3日,28.25
2355  敬鵬,2534248634,72629811,28323,34.89,34.98,36.6,37,8月31日,32.2,8月3日,18.27
2356  英業達,838055107,85793141,32160,9.77,9.77,9.8,10.25,8月30日,8.85,8月1日,2.39
2357  華碩,28944829929,102116810,60159,283.45,283.25,299,302,8月31日,266,8月8日,13.57
2358  美格,155559364,11543815,3039,13.48,13.43,13.3,14.1,8月17日,12.45,8月28日,17.76
2359  所羅門,24120306,2399008,872,10.05,10.05,10.05,10.25,8月17日,9.91,8月8日,1.28
2360  致茂,1858987386,29389346,14152,63.25,63.22,62.6,68,8月1日,59.5,8月9日,7.8
2362  藍天,701002190,17195184,10554,40.77,40.45,39.4,42.9,8月17日,38.65,8月3日,2.69
2363  矽統,216753672,21476250,7931,10.09,10.01,9.38,10.5,8月6日,9.38,8月31日,3.42
2364  倫飛,63500735,27032874,4645,2.35,2.16,2.52,2.71,8月30日,1.92,8月7日,10.57
2365  昆盈,105344016,10294041,3266,10.23,10.2,10.3,10.6,8月30日,9.77,8月1日,3.36
2367  燿華,373343598,37204438,10820,10.03,9.94,9.91,10.55,8月27日,9.25,8月6日,6.77
2368  金像電,256796279,39501167,9210,6.5,6.46,6.38,6.8,8月17日,6.04,8月7日,6.99
2369  菱生,1014342086,61216605,22582,16.57,16.27,17.1,17.55,8月27日,15.2,8月7日,16.11
2371  大同,917966981,149660616,29223,6.13,6.09,6.12,6.48,8月20日,5.62,8月7日,6.4
2373  震旦行,143995256,3215464,2128,44.78,44.77,44.7,45.8,8月14日,43,8月22日,0.95
2374  佳能,997888592,35217159,15818,28.34,28.27,29,29.85,8月27日,26.65,8月8日,7.88
2375  智寶,14474552,3860108,1130,3.75,3.75,3.7,3.89,8月14日,3.65,8月7日,2.01
2376  技嘉,500381149,19217959,10232,26.04,26.02,25.9,27.15,8月6日,24.65,8月7日,3.08
2377  微星,411629317,29369615,10898,14.02,13.94,14.35,14.6,8月21日,13.1,8月9日,3.48
2379  瑞昱,5694693263,101638023,54313,56.03,55.93,56.4,59.6,8月28日,51.8,8月3日,20.38
2380  虹光,131117630,13558022,3708,9.67,9.57,9.66,10.15,8月16日,9,8月7日,6.16
2382  廣達,14381635864,190295933,78171,75.58,76.19,77.3,80.9,8月9日,70.2,8月3日,4.95
