,民國101年11月,,,,,,,Nov-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
07760PLM元大,1295020,817000,19,1.59,1.72,1.44,2.27,11月1日,1.42,11月29日
07761P統一GR,2849720,4274000,88,0.67,0.62,0.22,0.93,11月2日,0.22,11月30日
07762P國泰2P,90670,72000,3,1.26,1.27,1.26,1.27,11月27日,1.2,11月30日
07763P永豐49,16000,30000,3,0.53,0.53,0.55,0.55,11月5日,0.5,11月1日
07764P永豐55,2261630,6012000,218,0.38,0.34,0.21,0.46,11月1日,0.21,11月30日
07765P群益G8,1154040,368000,48,3.14,3.12,3.09,3.32,11月6日,2.89,11月1日
07766P中信K7,8681890,4825000,57,1.8,1.81,1.51,2.05,11月21日,1.51,11月29日
07767P48富邦,6300920,6479000,177,0.97,0.92,0.77,1.06,11月16日,0.77,11月29日
07768P兆豐DV,593440,1462000,36,0.41,0.45,0.31,0.71,11月1日,0.3,11月30日
07769P兆豐DW,101470,273000,20,0.37,0.36,0.19,0.57,11月5日,0.18,11月27日
07770P元富9W,5223310,3395000,90,1.54,1.44,1.21,1.74,11月1日,1.21,11月29日
07771PLX元大,3092760,2479000,75,1.25,1.22,0.98,1.39,11月15日,0.94,11月29日
07772P永豐57,1992370,2090000,30,0.95,0.94,0.94,0.98,11月6日,0.93,11月1日
07773P群益H4,5861240,5105000,116,1.15,1.11,0.97,1.28,11月16日,0.86,11月9日
07774P群益H5,1608460,1455000,64,1.11,1.09,0.92,1.2,11月5日,0.92,11月27日
07775P國票MI,47100,40000,4,1.18,1.16,1.14,1.21,11月13日,1.14,11月14日
07776P大華5Y,715900,373000,24,1.92,2.1,1.49,2.58,11月15日,1.47,11月30日
07777P大華5Z,85260,62000,20,1.38,1.34,1.04,1.5,11月15日,1.04,11月28日
07778P中信L6,1562030,1274000,114,1.23,1.25,1.04,1.41,11月2日,0.98,11月30日
07779P兆豐DZ,7827670,9800000,411,0.8,0.83,0.5,1.08,11月1日,0.48,11月30日
07780P兆豐FA,3462010,5392000,213,0.64,0.7,0.36,0.98,11月1日,0.35,11月30日
07781P53富邦,5275020,2658000,29,1.98,1.95,1.99,2.14,11月6日,1.81,11月2日
07782P58富邦,2367740,1100000,53,2.15,2.1,1.35,2.49,11月16日,1.35,11月30日
07783P62富邦,2355430,2816000,117,0.84,0.84,0.79,1.18,11月1日,0.71,11月27日
07784P64富邦,3515510,2244000,70,1.57,1.47,1.22,1.73,11月15日,1.22,11月29日
07785P兆豐FE,375700,891000,37,0.42,0.41,0.33,0.49,11月5日,0.33,11月30日
07786P兆豐FF,1269080,1256000,23,1.01,1,0.93,1.1,11月22日,0.86,11月9日
07787P兆豐FJ,5000,10000,1,0.5,0.5,0.5,0.5,11月1日,0.5,11月1日
07788P兆豐FK,195840,280000,13,0.7,0.7,0.59,0.8,11月5日,0.59,11月29日
07789PH8凱基,2464980,2516000,85,0.98,0.97,0.8,1.13,11月5日,0.8,11月30日
07790PH9凱基,3180590,2474000,49,1.29,1.26,1.24,1.39,11月22日,1.17,11月8日
07791PMB元大,1794110,1530000,77,1.17,1.14,1.03,1.35,11月1日,1,11月26日
07792PMC元大,5298630,3818000,95,1.39,1.36,1.1,1.53,11月21日,1.1,11月30日
07793PMD元大,693500,732000,23,0.95,0.89,0.76,1.02,11月5日,0.76,11月30日
07794PME元大,1931840,1963000,150,0.98,0.96,0.87,1.22,11月1日,0.86,11月29日
07795P永豐66,3307840,3807000,81,0.87,0.84,0.8,0.93,11月22日,0.78,11月16日
07796P工銀N9,2559420,1739000,50,1.47,1.57,1.19,1.86,11月5日,1.18,11月30日
07797P中信M2,1470050,700000,43,2.1,2.28,1.68,2.9,11月9日,1.68,11月30日
07798P中信M3,2412120,688000,38,3.51,2.95,1.99,3.94,11月1日,1.99,11月30日
07799P69富邦,12400,7000,2,1.77,1.69,1.5,1.88,11月1日,1.5,11月26日
07800P73富邦,2595900,836000,44,3.11,2.58,1.88,3.45,11月2日,1.88,11月30日
07801P亞東94,645430,1060000,35,0.61,0.7,0.52,0.83,11月5日,0.52,11月29日
07802P亞東95,22100,30000,3,0.74,0.73,0.73,0.75,11月30日,0.73,11月30日
07803P國泰2U,1973190,1208000,15,1.63,1.68,1.62,1.79,11月7日,1.62,11月29日
07804P群益H8,208800,363000,18,0.58,0.56,0.52,0.71,11月1日,0.43,11月2日
07805P群益H9,23653280,9931000,601,2.38,2.37,1.59,2.88,11月1日,1.58,11月30日
07806P永豐69,414210,632000,21,0.66,0.62,0.52,0.75,11月1日,0.52,11月22日
07807P永豐70,1614890,1535000,33,1.05,0.98,0.78,1.11,11月21日,0.78,11月30日
07808P01元富,5880650,3978000,91,1.48,1.47,1.13,1.7,11月21日,1.12,11月29日
07809P02元富,10710650,3269000,169,3.28,3.49,2.12,4.4,11月1日,2.08,11月30日
07810P03元富,219620,67000,9,3.28,3.47,2.21,4.05,11月1日,2.17,11月30日
07811P大華6G,3172320,2652000,148,1.2,1.12,0.82,1.52,11月15日,0.82,11月30日
07812P大華6H,558200,786000,19,0.71,0.79,0.63,0.93,11月5日,0.63,11月28日
07813PMH元大,1985630,1312000,98,1.51,1.51,0.9,1.87,11月1日,0.9,11月30日
07814PMI元大,2644910,2568000,64,1.03,0.9,0.84,1.23,11月1日,0.74,11月28日
07815P78富邦,1299230,780000,27,1.67,1.88,1.39,2.42,11月15日,1.39,11月30日
07816P80富邦,2076540,1320000,41,1.57,1.62,1.6,1.8,11月1日,1.42,11月7日
07817P81富邦,1181950,602000,17,1.96,1.93,1.64,2.09,11月1日,1.62,11月26日
07818P亞東A8,1504970,1428000,24,1.05,0.91,0.73,1.1,11月1日,0.71,11月30日
07819P亞東B1,4462400,17352000,202,0.26,0.23,0.08,0.36,11月5日,0.07,11月30日
07820P亞東B3,272570,407000,34,0.67,0.64,0.6,0.73,11月5日,0.54,11月26日
07821P亞東B5,360480,820000,18,0.44,0.42,0.4,0.62,11月1日,0.32,11月30日
07822P兆豐FL,1229530,5618000,92,0.22,0.23,0.19,0.27,11月13日,0.17,11月23日
07823P兆豐FM,4146890,6653000,218,0.62,0.59,0.39,0.75,11月7日,0.39,11月30日
07834P國泰2Y,6738530,10862000,314,0.62,0.62,0.51,0.77,11月1日,0.5,11月30日
07835P康和KM,351960,414000,15,0.85,0.79,0.56,0.97,11月7日,0.56,11月30日
07836P康和KN,939770,1102000,31,0.85,0.84,0.45,1.29,11月5日,0.45,11月28日
07837P康和KP,557450,746000,18,0.75,0.85,0.71,1.12,11月9日,0.7,11月30日
07838P統一HF,2924310,2655000,92,1.1,1.09,0.86,1.37,11月5日,0.85,11月30日
07839P83富邦,6185200,5418000,115,1.14,1.1,0.61,1.43,11月1日,0.6,11月30日
07840P85富邦,4750910,2001000,34,2.37,2.4,2.11,2.71,11月1日,2.05,11月28日
07841P群益I7,1611790,1733000,92,0.93,1.05,0.82,1.42,11月21日,0.81,11月30日
07842P群益I8,3286060,1769000,85,1.86,2.03,1.68,2.78,11月15日,1.49,11月1日
07843P05元富,27898990,40738000,1183,0.68,0.61,0.23,0.98,11月1日,0.22,11月30日
07844P06元富,7573570,11924000,226,0.64,0.58,0.31,0.78,11月1日,0.31,11月30日
07845P07元富,571080,441000,11,1.29,1.1,0.87,1.45,11月1日,0.87,11月23日
07846P09元富,29141560,24285000,390,1.2,1.2,1.21,1.6,11月1日,1.05,11月30日
07847P10元富,16000,10000,2,1.6,1.6,1.63,1.63,11月2日,1.57,11月1日
07848P11元富,1858740,1649000,45,1.13,1.03,0.66,1.3,11月1日,0.66,11月29日
07849PMP元大,548250,324000,36,1.69,1.63,1.39,1.94,11月6日,1.31,11月26日
07850PMQ元大,7491810,5092000,126,1.47,1.73,1.49,2.27,11月1日,1.3,11月28日
07851P96富邦,3501780,2286000,93,1.53,1.55,1.45,1.89,11月1日,1.26,11月30日
07852PMV元大,31399310,29812000,867,1.05,1.04,1.1,1.45,11月1日,0.87,11月9日
07853P第一5N,1699980,2367000,134,0.72,0.71,0.66,0.91,11月1日,0.63,11月26日
07854P永豐78,206860,166000,34,1.25,1.25,0.88,1.8,11月6日,0.88,11月30日
07855P統一HJ,3720480,3386000,124,1.1,1.16,0.81,1.39,11月1日,0.8,11月30日
07856P統一HK,15444000,6084000,300,2.54,2.6,1.49,3.37,11月1日,1.46,11月30日
07857P國票MK,132460,462000,44,0.29,0.33,0.1,0.55,11月1日,0.1,11月30日
07858P國票ML,119540,142000,4,0.84,0.86,0.81,0.93,11月13日,0.81,11月14日
07859P98富邦,2892550,1197000,87,2.42,2.39,3.03,3.03,11月19日,2.02,11月9日
07860PK5凱基,2040540,2680000,70,0.76,0.74,0.58,0.9,11月21日,0.58,11月30日
07861PNE元大,3892970,2171000,114,1.79,1.7,1.25,2.27,11月15日,1.25,11月30日
07862PNF元大,5376900,10510000,285,0.51,0.48,0.4,0.67,11月1日,0.39,11月29日
07863PNG元大,1523150,2632000,55,0.58,0.62,0.52,0.73,11月5日,0.51,11月29日
07864PNH元大,29533050,9429000,1023,3.13,2.98,2.28,3.59,11月6日,2.28,11月30日
07865P亞東B7,4820040,7876000,146,0.61,0.59,0.39,0.76,11月6日,0.35,11月30日
07866P群益J7,29235330,9339000,500,3.13,2.99,1.99,3.75,11月1日,1.93,11月30日
07867P群益J9,20515710,12793000,463,1.6,1.67,1.3,1.93,11月21日,1.22,11月30日
07868P國泰3A,922770,1206000,31,0.77,0.76,0.83,0.83,11月22日,0.67,11月2日
07869PA2富邦,11437320,17118000,352,0.67,0.65,0.46,0.84,11月16日,0.45,11月30日
07870PA3富邦,505110,531000,27,0.95,0.92,0.76,1.13,11月1日,0.75,11月29日
07871P日盛F4,858970,1437000,33,0.6,0.59,0.37,0.76,11月16日,0.37,11月30日
07872P日盛F5,4983850,6274000,195,0.79,0.74,0.58,0.99,11月1日,0.5,11月26日
07873P大華6Q,2616230,2832000,82,0.92,0.92,0.72,1.04,11月21日,0.71,11月29日
07874P康和KU,350600,452000,14,0.78,0.74,0.7,0.84,11月13日,0.69,11月7日
07875PNM元大,15453400,17783000,397,0.87,0.81,0.57,1.06,11月1日,0.56,11月30日
07876PNN元大,794700,1022000,51,0.78,0.78,0.78,0.85,11月5日,0.68,11月23日
07877PNP元大,786870,704000,62,1.12,1.11,1,1.29,11月1日,0.99,11月26日
07878P26元富,7150480,9232000,199,0.77,0.77,0.67,0.91,11月22日,0.66,11月30日
07879P28元富,651910,590000,39,1.1,1.13,0.9,1.43,11月1日,0.9,11月28日
07880P日盛G2,217340,285000,15,0.76,0.74,0.61,0.86,11月1日,0.61,11月30日
07881P日盛G3,2209710,1307000,103,1.69,1.57,1.17,2.15,11月15日,1.12,11月29日
07882P亞東C3,59410,76000,10,0.78,0.84,0.74,1.01,11月15日,0.72,11月26日
07883P亞東C5,865570,1291000,110,0.67,0.68,0.6,0.78,11月22日,0.58,11月30日
07884P中信N8,1022930,785000,14,1.3,1.36,1.04,1.97,11月5日,1.04,11月30日
07885P中信AA,441490,193000,9,2.29,2.38,2,2.62,11月2日,2,11月9日
07886PNQ元大,13264850,1843000,156,7.2,7.14,6.3,7.9,11月5日,6.15,11月30日
07887PNR元大,90219650,8339000,527,10.82,10.46,6.9,13,11月1日,6.9,11月30日
07888PNS元大,1013530,1263000,24,0.8,0.78,0.79,0.9,11月1日,0.74,11月12日
07889PNT元大,1257730,265000,66,4.75,5.11,4,6.3,11月5日,3.8,11月30日
07890P群益K6,6474330,4593000,207,1.41,1.41,1.16,1.76,11月1日,1.06,11月30日
07891P群益K7,6290970,4806000,223,1.31,1.3,0.88,1.73,11月1日,0.88,11月30日
07892P群益K8,12270950,7625000,154,1.61,1.62,1.08,2.24,11月5日,1.01,11月30日
07893P30元富,86047690,31835000,513,2.7,2.69,2.05,3.33,11月5日,2.03,11月30日
07894P34元富,746950,1140000,21,0.66,0.69,0.71,0.81,11月19日,0.62,11月28日
07895P35元富,11139200,7943000,270,1.4,1.33,0.92,1.9,11月1日,0.89,11月30日
07896PL2凱基,2926340,2640000,83,1.11,1.05,0.99,1.26,11月5日,0.97,11月14日
07897PL4凱基,7431990,8371000,220,0.89,0.84,0.37,1.24,11月1日,0.37,11月30日
07898P中信AD,178540,255000,47,0.7,0.66,0.36,1.03,11月6日,0.36,11月30日
07899P工銀AS,4847120,1836000,81,2.64,2.18,1.28,3.01,11月2日,1.28,11月30日
07900PA5富邦,8438370,6700000,120,1.26,1.3,1.05,1.6,11月1日,1.03,11月29日
07901PA9富邦,330820,211000,12,1.57,1.59,1.61,1.79,11月1日,1.39,11月9日
07902P統一HV,3746410,3622000,281,1.03,0.89,0.49,1.44,11月5日,0.49,11月30日
07903PYL元大,2620040,4660000,109,0.56,0.56,0.45,0.65,11月1日,0.45,11月30日
07904PYM元大,1009920,3823000,115,0.26,0.24,0.16,0.34,11月1日,0.16,11月30日
07905PYN元大,4244730,2931000,197,1.45,1.41,1.2,1.68,11月5日,1.15,11月30日
07906PYP元大,35300,82000,5,0.43,0.45,0.4,0.55,11月1日,0.4,11月22日
07907P國泰3U,616910,585000,23,1.05,1.01,0.9,1.22,11月1日,0.9,11月29日
07908P國泰3V,27147280,15452000,294,1.76,1.78,1.47,2.17,11月1日,1.46,11月30日
07909P37元富,41951200,20422000,258,2.05,1.96,1.34,2.53,11月6日,1.34,11月30日
07910P中信AE,35506160,23026000,809,1.54,1.57,0.62,2.43,11月1日,0.6,11月30日
07911PB2富邦,454110,117000,20,3.88,3.68,2.55,4.96,11月5日,2.46,11月30日
07912PM3凱基,3190820,4767000,119,0.67,0.74,0.56,0.92,11月1日,0.5,11月29日
07913PM7凱基,2295360,1653000,99,1.39,1.45,1.19,2.04,11月1日,1.05,11月28日
07914PN7凱基,421280,346000,16,1.22,1.25,0.98,1.33,11月1日,0.98,11月30日
07915PZA元大,2003540,1648000,63,1.22,1.46,1.08,1.7,11月1日,1.08,11月30日
07916P1M凱基,364430,266000,9,1.37,1.46,1.2,1.74,11月1日,1.2,11月27日
07917P統一JM,889570,833000,19,1.07,1.02,0.79,1.17,11月1日,0.79,11月29日
07918P統一JN,1979320,2185000,34,0.91,0.91,0.77,1.06,11月1日,0.77,11月28日
07919P統一JP,516430,348000,38,1.48,1.43,1.27,1.74,11月7日,1.27,11月28日
07920P統一JQ,8063280,3454000,204,2.33,2.26,1.64,2.69,11月1日,1.62,11月30日
07921P兆豐HJ,1303760,2179000,40,0.6,0.59,0.51,0.67,11月1日,0.51,11月26日
07922P兆豐HK,739300,1032000,48,0.72,0.72,0.61,0.88,11月1日,0.59,11月30日
07923P國泰3Y,6747270,9839000,134,0.69,0.69,0.32,0.91,11月5日,0.31,11月30日
07924P國泰3Z,9549660,11685000,318,0.82,0.82,0.4,1.19,11月1日,0.39,11月30日
07925PZB元大,4004080,5918000,117,0.68,0.67,0.59,0.8,11月22日,0.59,11月30日
07926P統一JV,10400,10000,1,1.04,1.04,1.04,1.04,11月26日,1.04,11月26日
07927P統一JW,379720,501000,36,0.76,0.71,0.64,0.79,11月5日,0.61,11月27日
07928P統一JX,4645430,7229000,300,0.64,0.61,0.3,0.87,11月1日,0.3,11月30日
07929P國票MU,2671730,3414000,133,0.78,0.75,0.6,0.86,11月1日,0.57,11月30日
07930P國票MV,174730,143000,5,1.22,1.14,1.12,1.31,11月1日,1.08,11月12日
07931P國票MZ,39260,48000,23,0.82,0.83,0.82,0.93,11月22日,0.63,11月6日
07932P國票NA,4189730,5071000,74,0.83,0.82,0.73,0.94,11月21日,0.67,11月30日
07933P76元富,2455340,1400000,50,1.75,1.69,1.39,1.85,11月1日,1.39,11月26日
07934P77元富,602610,1063000,26,0.57,0.55,0.44,0.66,11月19日,0.44,11月30日
07935P日盛L3,2121450,2782000,76,0.76,0.78,0.35,1.15,11月1日,0.34,11月30日
07936P日盛L4,10680,12000,1,0.89,0.89,0.89,0.89,11月30日,0.89,11月30日
07937P日盛L5,1679310,1451000,118,1.16,1.17,0.97,1.41,11月1日,0.97,11月30日
07938PE5富邦,8480070,10145000,137,0.84,0.83,0.37,1.3,11月1日,0.37,11月30日
07939PE9富邦,2737990,2030000,73,1.35,1.47,1.2,1.75,11月5日,1.15,11月30日
07940P國泰4B,6207620,3407000,90,1.82,1.97,1.34,2.82,11月5日,1.34,11月30日
07941PZQ元大,211400,130000,7,1.63,1.63,1.57,1.71,11月21日,1.57,11月23日
07942PZR元大,7406310,3427000,74,2.16,1.92,1.36,2.31,11月1日,1.36,11月26日
07943P80元富,6888520,7086000,110,0.97,0.98,0.77,1.33,11月1日,0.75,11月29日
07944P日盛L9,2533010,1496000,58,1.69,1.61,1.01,2.05,11月1日,1.01,11月30日
07945P日盛M1,1076100,1510000,20,0.71,0.74,0.56,0.88,11月1日,0.56,11月29日
07946P日盛M2,4223800,3255000,158,1.3,1.16,0.78,1.7,11月1日,0.78,11月30日
07947P兆豐HM,193640,373000,22,0.52,0.5,0.43,0.7,11月1日,0.43,11月30日
07948P兆豐HN,333520,387000,16,0.86,0.83,0.69,1.01,11月1日,0.66,11月30日
07949P兆豐HW,2062630,1987000,37,1.04,1.09,1.24,1.24,11月14日,0.99,11月2日
07950P中信AR,4125680,3653000,145,1.13,1.14,0.75,1.65,11月1日,0.75,11月30日
07951P88元富,3948080,1621000,46,2.44,2.42,2.18,2.62,11月20日,2.18,11月28日
07952P1V凱基,801390,798000,12,1,1.01,1.01,1.02,11月20日,0.99,11月16日
07953P國泰4C,2352190,1822000,49,1.29,1.23,1.18,1.38,11月22日,1.13,11月12日
07954PZV元大,4779070,3755000,108,1.27,1.14,0.96,1.41,11月1日,0.94,11月27日
07955PZW元大,15789530,4154000,226,3.8,3.22,2.28,4.55,11月5日,1.99,11月13日
07956P永豐2W,3675020,5068000,120,0.73,0.72,0.55,0.87,11月7日,0.55,11月30日
07957P日盛M7,1908520,2105000,36,0.91,0.91,0.81,1.03,11月21日,0.81,11月30日
07958P中信AT,59110,25000,5,2.36,2.16,1.66,2.61,11月2日,1.66,11月30日
07959PF3富邦,867880,259000,19,3.35,3.25,2.56,4.09,11月2日,2.56,11月29日
07960PF4富邦,4231080,2134000,114,1.98,1.98,1.38,2.9,11月1日,1.35,11月29日
07961P國泰4E,4358710,7623000,155,0.57,0.52,0.27,0.84,11月5日,0.27,11月30日
07962P92元富,99773020,65280000,1389,1.53,1.54,0.74,2.18,11月1日,0.72,11月30日
07963P93元富,12504750,14050000,402,0.89,1.1,0.68,1.35,11月1日,0.65,11月30日
07964P元大AC,24041450,30508000,649,0.79,0.87,0.46,1.21,11月1日,0.46,11月30日
07965P永豐2Z,6134340,10166000,296,0.6,0.58,0.48,0.72,11月1日,0.48,11月30日
07966P日盛M8,367350,284000,26,1.29,1.33,1.19,1.48,11月22日,1.18,11月30日
07968P03群益,2207520,2053000,38,1.08,1.17,0.95,1.32,11月1日,0.95,11月23日
07969P統一KH,8039210,9772000,209,0.82,0.74,0.4,1,11月1日,0.4,11月30日
07970P統一KJ,1508890,2966000,56,0.51,0.51,0.5,0.58,11月1日,0.46,11月23日
07971P統一KK,1051400,1441000,61,0.73,0.82,0.51,1.02,11月1日,0.49,11月30日
07972P統一KL,9362630,4984000,179,1.88,1.88,1.32,2.3,11月1日,1.29,11月30日
07973PF7富邦,237560,156000,20,1.52,1.72,1.48,1.91,11月26日,1.45,11月30日
07974PF8富邦,1798270,530000,35,3.39,3.11,1.96,3.8,11月1日,1.96,11月30日
07975PG1富邦,1271680,847000,24,1.5,1.68,0.92,2.13,11月14日,0.92,11月30日
07976PG3富邦,2795930,2508000,70,1.11,1.08,0.88,1.28,11月5日,0.88,11月27日
07977P元大AI,5017800,2854000,108,1.76,1.75,1.26,2.15,11月6日,1.26,11月30日
07979P2D凱基,51327390,59597000,1151,0.86,0.81,0.35,1.24,11月1日,0.34,11月30日
07980P中信AW,205080,91000,11,2.25,1.93,1.39,2.47,11月5日,1.39,11月30日
07981P中信AX,603500,855000,36,0.71,0.7,0.57,0.85,11月1日,0.57,11月29日
07982P國票NB,2990330,3737000,124,0.8,0.79,0.59,1.01,11月5日,0.58,11月29日
07983P日盛N2,11102810,4410000,53,2.52,2.5,1.55,2.98,11月6日,1.55,11月30日
07984P日盛N3,944700,625000,45,1.51,1.66,1.23,1.84,11月15日,1.2,11月30日
07985P工銀BE,952060,650000,43,1.46,1.63,0.93,2.06,11月1日,0.93,11月30日
07986PG7富邦,164410,191000,9,0.86,0.75,0.62,1.03,11月1日,0.62,11月26日
07987P95元富,15915510,11236000,310,1.42,1.42,1.18,1.8,11月15日,1.11,11月30日
07988P97元富,1913840,1999000,86,0.96,0.93,0.8,1.12,11月22日,0.8,11月30日
07989P元大AV,1406190,1588000,69,0.89,0.89,0.78,1.08,11月1日,0.78,11月30日
07990P永豐3F,5357710,10135000,295,0.53,0.52,0.46,0.67,11月1日,0.44,11月30日
07991P國泰4G,48246140,44882000,1702,1.07,1.06,0.95,1.35,11月1日,0.91,11月30日
07992PG8富邦,1885730,1789000,50,1.05,1.01,0.87,1.16,11月1日,0.87,11月30日
07993PH3富邦,602460,495000,9,1.22,1.13,1.12,1.31,11月1日,0.99,11月7日
07994P康和LA,7197560,5576000,92,1.29,1.33,1.03,1.72,11月1日,1.03,11月30日
07995P康和LE,745760,715000,49,1.04,0.91,0.67,1.21,11月5日,0.62,11月26日
07996P日盛X6,198920,314000,14,0.63,0.61,0.57,0.68,11月22日,0.56,11月27日
07997P兆豐JH,308850,585000,17,0.53,0.54,0.44,0.91,11月1日,0.41,11月28日
07998P兆豐JJ,394790,1494000,53,0.26,0.26,0.16,0.36,11月5日,0.16,11月30日
07999P第一6H,1676310,1275000,82,1.31,1.27,0.88,1.47,11月22日,0.84,11月30日
08000P第一6K,388740,636000,11,0.61,0.57,0.43,0.67,11月2日,0.43,11月29日
08001P元大BL,871950,466000,43,1.87,1.85,1.54,2.26,11月1日,1.48,11月30日
08002P元大BM,13969160,9577000,265,1.46,1.49,1.18,2.15,11月16日,1.13,11月30日
08003P元大BN,1126960,683000,37,1.65,1.62,1.76,1.76,11月22日,1.43,11月2日
08004P2U凱基,111898550,40385000,795,2.77,2.76,2.16,3.36,11月7日,2.08,11月30日
08005P3C凱基,1168280,951000,44,1.23,1.22,1.02,1.55,11月1日,1.01,11月27日
08006P永昌LC,128660,172000,7,0.75,0.77,0.7,0.84,11月5日,0.7,11月7日
08007P統一KU,482120,680000,37,0.71,0.67,0.51,0.78,11月1日,0.51,11月28日
08008P統一KV,1736700,1326000,40,1.31,1.41,1.54,1.8,11月19日,1.1,11月2日
08009PH8富邦,246510,198000,2,1.24,1.25,1.13,1.36,11月6日,1.13,11月30日
08010PH9富邦,140150,130000,5,1.08,1.09,1.06,1.1,11月5日,1.06,11月7日
08011P中信BA,171740,211000,12,0.81,0.79,0.66,0.88,11月5日,0.66,11月26日
08012P中信BB,973130,854000,38,1.14,1.13,0.92,1.3,11月14日,0.92,11月27日
08013P中信BC,247500,254000,6,0.97,0.98,1.01,1.05,11月1日,0.86,11月12日
08014P國票NK,6085770,8856000,164,0.69,0.67,0.46,0.88,11月1日,0.46,11月30日
08015P國票NL,418380,495000,30,0.85,0.85,0.82,0.9,11月21日,0.8,11月28日
08016P日盛Y3,1001060,831000,13,1.2,1.24,0.88,1.65,11月1日,0.88,11月30日
08017P日盛Y4,1075260,1434000,46,0.75,0.76,0.74,0.82,11月22日,0.69,11月7日
08018P日盛Y5,614140,1029000,62,0.6,0.62,0.26,1.04,11月5日,0.26,11月30日
08019P日盛Y6,959140,1010000,92,0.95,0.94,0.82,1.22,11月1日,0.79,11月30日
08020P大華8Q,1486230,1523000,20,0.98,0.96,1.03,1.03,11月9日,0.93,11月7日
08021P兆豐JL,2936160,2003000,89,1.47,1.69,0.86,2.39,11月1日,0.86,11月30日
08022P元大BX,62109410,33512000,1306,1.85,1.89,1.23,2.89,11月5日,1.14,11月30日
08023P元大BY,8130310,4762000,99,1.71,1.66,1.45,1.91,11月20日,1.45,11月29日
08024P第一6L,13734790,17188000,496,0.8,0.75,0.73,1,11月22日,0.61,11月1日
08025P兆豐JV,1063730,1265000,34,0.84,0.84,0.64,0.97,11月1日,0.62,11月30日
08026P兆豐JW,2588710,3896000,98,0.66,0.62,0.41,0.8,11月1日,0.38,11月26日
08027P3G凱基,64973280,32510000,1078,2,2.14,1.05,3.02,11月1日,1.03,11月30日
08028P康和LF,81590,46000,10,1.77,1.77,1.69,1.86,11月2日,1.68,11月9日
08029P康和LM,1500270,3327000,125,0.45,0.44,0.43,0.5,11月22日,0.38,11月7日
08030P日盛Y8,567120,580000,20,0.98,0.99,0.97,1.07,11月20日,0.91,11月9日
08031P日盛Y9,5452870,3510000,133,1.55,1.66,1.19,2.34,11月15日,1.16,11月30日
08032P日盛Z1,1863260,1415000,28,1.32,1.28,1.03,1.47,11月1日,1.03,11月30日
08033P36群益,1870140,2925000,136,0.64,0.79,0.39,1.11,11月1日,0.38,11月30日
08034P37群益,2331580,2851000,118,0.82,1.1,0.58,1.47,11月1日,0.56,11月30日
08035PJ8富邦,1253250,780000,25,1.61,1.57,1.4,1.74,11月16日,1.31,11月9日
08036PK6富邦,2181520,2565000,40,0.85,0.86,0.76,0.96,11月15日,0.76,11月26日
08037P國泰4K,7469610,3678000,108,2.03,2.05,1.55,2.82,11月16日,1.5,11月30日
08038P永豐3M,3110890,2887000,55,1.08,1.11,0.89,1.25,11月15日,0.89,11月29日
08039P永豐3P,3739150,3911000,149,0.96,0.93,0.93,1.15,11月1日,0.81,11月9日
08040P41群益,25505260,7953000,172,3.21,3.25,2.61,3.78,11月6日,2.61,11月30日
08041PB1元富,636890,678000,17,0.94,0.97,0.92,1.07,11月14日,0.92,11月30日
08042P元大BZ,11513720,14094000,299,0.82,0.81,0.61,1.05,11月16日,0.61,11月30日
08043P元大CA,428380,704000,25,0.61,0.6,0.55,0.67,11月20日,0.55,11月30日
08044P元大CB,130768650,59191000,3112,2.21,2.08,1.12,4.28,11月2日,1.03,11月30日
08045P中信BE,955420,2019000,64,0.47,0.57,0.29,1.01,11月5日,0.29,11月30日
08046P兆豐JZ,1619430,2420000,39,0.67,0.71,0.62,0.85,11月5日,0.58,11月26日
08047P統一KY,1000990,821000,41,1.22,1.16,0.92,1.35,11月6日,0.92,11月29日
08048P統一KZ,1300010,1373000,55,0.95,0.96,0.87,1.07,11月21日,0.84,11月7日
08049P永豐3T,6347330,6727000,89,0.94,0.93,0.91,1.09,11月22日,0.83,11月12日
08050P永豐3U,10450,10000,2,1.04,1.04,1.13,1.13,11月13日,0.96,11月12日
08051P永豐3V,379790,537000,17,0.71,0.73,0.67,0.82,11月5日,0.64,11月27日
08052P永豐3W,103650,112000,12,0.93,1.02,0.86,1.14,11月14日,0.84,11月26日
08053P永豐3X,134550,160000,3,0.84,0.86,0.81,0.9,11月1日,0.81,11月2日
08054P永豐3Y,94500,160000,4,0.59,0.58,0.59,0.6,11月20日,0.58,11月20日
08055P永豐3Z,33846030,42209000,612,0.8,0.81,0.78,0.97,11月1日,0.72,11月23日
08056PB8元富,858020,2130000,41,0.4,0.5,0.39,0.63,11月1日,0.39,11月30日
08058P元大CT,2506900,3131000,115,0.8,0.8,0.7,0.95,11月2日,0.68,11月30日
08059P元大CU,12202800,10518000,264,1.16,1.11,1.06,1.36,11月1日,0.93,11月30日
