,民國101年05月,,,,,,,May-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2449  京元電,1403641701,109144345,28568,12.86,12.85,14,14,5月31日,12.2,5月2日,9.11
2451  創見,823953469,10068870,7890,81.83,81.9,84.8,84.8,5月31日,78.5,5月2日,2.34
2454  聯發科,45840349330,173207606,118591,264.66,264.3,264,276,5月17日,249,5月28日,15.09
2458  義隆,7352936192,181711846,85930,40.46,39.78,38.95,44.2,5月3日,34.75,5月28日,43.64
2473  思源,1320791689,31331171,17263,42.16,41.8,42.4,44.4,5月4日,39.7,5月21日,15.19
2481  強茂,362954274,28536971,11147,12.72,12.75,12.75,14.05,5月4日,11.65,5月25日,7.67
3006  晶豪科,295941676,11997884,6545,24.67,24.52,24.2,26.65,5月3日,22.2,5月28日,4.61
3014  聯陽,485658768,18919121,10247,25.67,25.35,25.2,27.5,5月3日,23.6,5月25日,9.33
3016  嘉晶,156267015,9576897,5098,16.32,16.18,16.1,17.5,5月9日,15.1,5月17日,10.2
3034  聯詠,5047139904,56995647,35126,88.55,88.39,88.6,92.6,5月3日,84.4,5月18日,9.45
3035  智原,5084043550,130174613,57725,39.06,38.97,37.5,44.25,5月4日,34.7,5月28日,32.36
3041  揚智,9588498754,260113763,94887,36.86,35.91,34.8,41.75,5月2日,33.1,5月28日,85.58
3054  萬國,13889737,1195586,596,11.62,11.41,11.1,12.5,5月8日,10.2,5月25日,1.54
3094  聯傑,60154733,3286524,2007,18.3,18.27,18.2,19.4,5月4日,17.2,5月28日,3.86
3189  景碩,7226763710,80448442,49828,89.83,90.49,86.5,97,5月2日,82.1,5月31日,18.04
3257  虹冠電,189907749,7089750,4113,26.79,26.48,26.4,28.25,5月4日,24.15,5月28日,18.31
3443  創意,5705410302,53959095,33715,105.74,105.02,114,114.5,5月31日,94.5,5月2日,40.26
3474  華亞科,2079936260,259532562,60638,8.01,7.85,7.68,8.97,5月8日,6.82,5月24日,5.59
3519  綠能,2964342853,105653468,49431,28.06,27.88,27.15,29.95,5月4日,26.1,5月28日,32.83
3532  台勝科,69968288,2263925,1687,30.91,30.72,30.75,33.8,5月4日,29.05,5月16日,0.29
3545  旭曜,1669969326,51992077,26125,32.12,32.03,33,36.25,5月4日,28,5月22日,37.58
3559  全智科,886261935,42515563,18069,20.85,20.55,21.2,22.1,5月4日,19.3,5月28日,38.16
3579  尚志,864454426,25478505,14715,33.93,33.16,37.2,37.2,5月31日,30.5,5月18日,22.05
3588  通嘉,117551913,2239735,1701,52.48,51.66,50.5,55.5,5月8日,48.15,5月24日,5.02
3598  奕力,2305289519,29656855,19514,77.73,77.19,74.9,88.4,5月3日,67.5,5月25日,46.74
3638  F-IML,3253417781,28355686,18863,114.74,113.48,122,122,5月31日,105,5月25日,39.49
3686  達能,2217658828,111826926,45006,19.83,19.62,20.1,21,5月22日,17.65,5月2日,54.91
3697  F-晨星,13494786538,74510893,48925,181.11,180.14,181,193,5月8日,171,5月28日,14.07
4919  新唐,1220725970,37853034,19728,32.25,31.47,30.5,35.4,5月9日,28.2,5月28日,18.24
4952  凌通,63964665,2970612,1483,21.53,21.18,20,23.8,5月4日,18.6,5月28日,2.73
5305  敦南,627408605,38852355,13367,16.15,15.8,16.05,17.5,5月4日,14.65,5月28日,8.68
5471  松翰,1271610607,24921982,14241,51.02,49.35,48.95,54.8,5月3日,45.8,5月18日,14.85
6145  勁永,168895728,17352669,5484,9.73,9.63,9.63,10.4,5月3日,8.91,5月15日,7.8
6202  盛群,245975779,7386261,4178,33.3,33.17,34,35.8,5月2日,31.9,5月18日,3.3
6239  力成,16992236053,300603263,131587,56.53,56.25,57.8,59.8,5月30日,50,5月2日,37.62
6243  迅杰,115230576,6758677,3441,17.05,16.91,16.65,18.95,5月3日,15.1,5月25日,8.98
6257  矽格,677713539,30472899,12959,22.24,22.19,22.4,23.55,5月2日,20.1,5月25日,8.4
6271  同欣電,4309534877,42792770,26403,100.71,102.37,96,116.5,5月4日,86.1,5月28日,26.27
6286  立錡,6139159762,32602660,24897,188.3,187.55,179,211.5,5月8日,167,5月28日,21.81
8016  矽創,596554624,15476157,8705,38.55,38.07,38.2,41,5月8日,35.9,5月25日,13.1
8081  致新,2564776028,25360180,17228,101.13,100.25,91.6,117,5月9日,86.2,5月25日,29.43
8110  華東,322978598,34595344,9607,9.34,9.24,9.5,9.94,5月18日,8.9,5月2日,6.88
8131  福懋科,102175040,3615313,2234,28.26,28.24,26.9,32,5月8日,25.9,5月18日,0.82
8261  富鼎,112494133,9250127,3284,12.16,12.06,11.8,12.8,5月4日,11.6,5月28日,6.41
8271  宇瞻,4635060492,184190889,74290,25.16,24.8,26.55,26.85,5月8日,23.15,5月28日,143.19
25 電腦及週邊設備業類,,,,,,,,,,,
Computer and Peripheral Equipment,,,,,,,,,,,
2301  光寶科,3830091310,106672651,44320,35.91,35.93,38.2,38.2,5月31日,33.8,5月25日,4.68
2305  全友,7925453,2683483,994,2.95,2.98,2.84,3.24,5月2日,2.66,5月28日,1.3
2315  神達,918750607,93632707,25121,9.81,9.8,9.94,10.45,5月3日,9.01,5月24日,6.12
2324  仁寶,6815564953,207753633,71890,32.81,32.72,30.8,35.7,5月4日,30.2,5月23日,4.71
2331  精英,4444480215,425124795,80984,10.45,9.87,10.75,11.35,5月21日,8.2,5月2日,35.93
2352  佳世達,687940062,96577062,25829,7.12,7.05,7.15,7.58,5月4日,6.66,5月28日,4.91
2353  宏碁,11436297633,360214286,136991,31.75,31.85,30.55,35.8,5月4日,29.2,5月24日,12.71
2356  英業達,1559204206,152153079,45162,10.25,10.24,9.93,11.85,5月3日,9.56,5月28日,4.39
2357  華碩,36077754057,119013168,80905,303.14,302.8,299,326.5,5月8日,279,5月23日,15.81
2358  美格,229262638,18028107,6188,12.72,12.6,12.15,14,5月11日,11.4,5月2日,27.74
