,民國101年04月,,,,,,,Apr-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
05106P元大FK,485110,1234000,44,0.39,0.29,0.13,0.61,4月5日,0.13,4月10日
051070統一F4,81900,60000,2,1.36,1.36,1.35,1.38,4月16日,1.35,4月17日
051071統一F5,4800060,5480000,115,0.88,1.02,0.61,1.46,4月12日,0.54,4月30日
051073工銀32,311170,525000,33,0.59,0.64,0.36,0.93,4月12日,0.36,4月27日
051074工銀33,1797900,1028000,28,1.75,1.71,1.69,2.01,4月19日,1.54,4月13日
051075工銀34,5367360,4592000,234,1.17,1.16,1,1.37,4月19日,0.95,4月27日
051076工銀35,2711930,2582000,176,1.05,1.04,1.09,1.31,4月12日,0.78,4月24日
051077工銀36,771760,1094000,71,0.71,0.64,0.45,0.86,4月16日,0.44,4月30日
051078工銀37,2319480,2548000,60,0.91,0.88,0.82,1.02,4月16日,0.75,4月24日
051079工銀38,1322310,913000,52,1.45,1.65,2.02,2.09,4月11日,1.21,4月27日
05107P元大FL,117920,523000,23,0.23,0.22,0.19,0.26,4月5日,0.19,4月30日
051080工銀39,491260,398000,36,1.23,1.15,1.02,1.51,4月11日,0.95,4月27日
051081工銀40,720100,696000,15,1.03,1.02,0.84,1.29,4月16日,0.82,4月24日
051082工銀41,2000,5000,1,0.4,0.4,0.4,0.4,4月30日,0.4,4月30日
051083中信40,2411370,2439000,63,0.99,0.88,0.48,1.16,4月13日,0.48,4月30日
0510849Q富邦,169620,134000,12,1.27,1.31,1.28,1.54,4月16日,1.01,4月24日
0510859R富邦,130880,181000,8,0.72,0.69,0.53,0.88,4月19日,0.51,4月26日
0510869S富邦,30040,24000,4,1.25,1.25,1.22,1.32,4月12日,1.22,4月17日
0510879T富邦,12566720,13442000,320,0.93,0.97,0.69,1.26,4月16日,0.66,4月30日
0510889U富邦,50270,77000,3,0.65,0.72,0.65,0.81,4月18日,0.65,4月23日
0510899V富邦,1306260,1418000,56,0.92,0.91,0.99,1.08,4月12日,0.7,4月23日
05108P元富MV,500,50000,1,0.01,0.01,0.01,0.01,4月10日,0.01,4月10日
0510909W富邦,113280,154000,9,0.74,0.74,0.8,0.8,4月30日,0.69,4月27日
0510919X富邦,168470,183000,18,0.92,0.82,0.58,1.02,4月13日,0.58,4月24日
0510929Y富邦,7325180,6101000,156,1.2,1.04,0.8,1.39,4月13日,0.8,4月30日
0510939Z富邦,6320990,6040000,117,1.05,1.01,0.89,1.14,4月19日,0.86,4月27日
051094富邦01,568370,506000,13,1.12,1.05,0.98,1.14,4月16日,0.98,4月18日
051095富邦02,69200,103000,9,0.67,0.55,0.44,0.71,4月13日,0.44,4月27日
051097富邦04,34080,36000,5,0.95,0.95,0.64,1.13,4月16日,0.64,4月30日
051098富邦05,726740,682000,21,1.07,1.18,1.03,1.54,4月13日,0.89,4月23日
05109PES寶來,190,13000,2,0.01,0.02,0.01,0.03,4月3日,0.01,4月9日
051100亞東NX,10700,20000,2,0.54,0.54,0.62,0.62,4月13日,0.45,4月12日
051102亞東NZ,185870,218000,4,0.85,0.8,0.72,0.91,4月19日,0.72,4月26日
051103亞東01,1169240,1339000,88,0.87,0.85,0.76,1.19,4月16日,0.69,4月23日
051104亞東02,2289560,3230000,660,0.71,0.82,0.62,1.21,4月13日,0.55,4月23日
05110639元大,414920,487000,9,0.85,0.85,0.82,0.89,4月26日,0.82,4月30日
05110740元大,5790330,6553000,123,0.88,0.93,0.7,1.33,4月13日,0.7,4月30日
05110841元大,312740,372000,8,0.84,0.81,0.74,0.89,4月17日,0.74,4月30日
05110942元大,231810,222000,19,1.04,1.06,1.01,1.14,4月13日,0.99,4月19日
05110P兆豐L5,290,1000,1,0.29,0.29,0.29,0.29,4月2日,0.29,4月2日
05111043元大,2836000,2041000,44,1.39,1.23,1.1,1.51,4月13日,1.1,4月26日
05111144元大,1737960,1822000,27,0.95,0.88,0.72,1.02,4月13日,0.72,4月23日
05111245元大,280540,289000,5,0.97,0.97,0.93,1.01,4月18日,0.93,4月30日
05111346元大,599240,514000,13,1.17,1.09,0.94,1.21,4月16日,0.94,4月27日
05111447元大,7752200,10694000,441,0.72,0.78,0.57,1.14,4月13日,0.48,4月30日
05111548元大,14827760,9878000,385,1.5,1.37,0.98,2.02,4月13日,0.82,4月30日
05111750元大,2695860,2884000,76,0.93,0.78,0.65,1.08,4月16日,0.61,4月30日
05111952元大,1015590,1712000,612,0.59,0.57,0.39,0.71,4月13日,0.39,4月25日
05111P國票BW,200,20000,1,0.01,0.01,0.01,0.01,4月5日,0.01,4月5日
05112053元大,181700,298000,5,0.61,0.63,0.53,0.79,4月16日,0.51,4月23日
05112154元大,3371850,3589000,174,0.94,0.97,0.95,1.41,4月13日,0.71,4月20日
05112356元大,2175860,1554000,24,1.4,1.37,1.33,1.48,4月26日,1.33,4月30日
05112457元大,1204090,1267000,42,0.95,0.83,0.58,1.29,4月17日,0.58,4月30日
05112558元大,2627470,5888000,149,0.45,0.59,0.41,0.91,4月13日,0.35,4月30日
05112760元大,4665330,5744000,75,0.81,0.8,0.81,0.86,4月19日,0.72,4月25日
05112861元大,329320,436000,17,0.76,0.99,0.77,1.44,4月13日,0.68,4月30日
05112962元大,520100,490000,27,1.06,1.03,0.89,1.27,4月16日,0.86,4月30日
05112P國票CH,75760,183000,5,0.41,0.51,0.4,0.65,4月5日,0.34,4月10日
051130元富J9,171000,208000,7,0.82,0.97,0.79,1.26,4月17日,0.78,4月24日
051131元富K1,104510,101000,3,1.03,1.03,1.01,1.06,4月19日,1.01,4月30日
051132元富K2,77200,120000,4,0.64,0.65,0.66,0.66,4月30日,0.63,4月19日
051133元富K3,2211130,1630000,42,1.36,1.29,1.12,1.73,4月16日,1.07,4月30日
051134元富K4,651000,762000,40,0.85,0.88,0.84,1,4月17日,0.78,4月23日
051135元富K5,189530,259000,10,0.73,0.84,0.7,1.04,4月13日,0.69,4月24日
051136元富K6,13050,12000,3,1.09,1.08,1.06,1.12,4月17日,1.06,4月18日
051137元富K7,4230,4000,4,1.06,1.06,1.05,1.15,4月17日,0.98,4月24日
051138元富K8,267000,221000,13,1.21,1.26,1.14,1.51,4月13日,1.08,4月20日
051139元富K9,604550,425000,23,1.42,1.41,1.39,1.57,4月20日,1.24,4月23日
05113P國票CI,10000,100000,2,0.1,0.1,0.1,0.1,4月9日,0.1,4月9日
051140元富L1,422400,312000,21,1.35,1.33,1.33,1.59,4月20日,1.01,4月24日
051141元富L2,5750940,8221000,287,0.7,1.08,0.46,1.67,4月13日,0.41,4月30日
051142元富L3,1290720,1036000,27,1.25,1.17,1.06,1.36,4月19日,1.04,4月23日
051143元富L4,6198940,5509000,150,1.13,1.22,0.82,1.75,4月16日,0.8,4月30日
051144元富L5,94680,110000,12,0.86,0.81,0.57,1.06,4月13日,0.54,4月30日
051145元富L6,6700,5000,1,1.34,1.34,1.34,1.34,4月30日,1.34,4月30日
051146元富L7,52650,44000,6,1.2,1.16,1.31,1.31,4月30日,1.03,4月24日
051147元富L8,211860,198000,2,1.07,1.07,1.02,1.12,4月19日,1.02,4月20日
051148凱基BP,572600,420000,12,1.36,1.36,1.34,1.62,4月16日,1.1,4月24日
051149凱基BQ,937590,511000,28,1.83,1.78,1.73,2.03,4月16日,1.68,4月18日
051150凱基BR,2823790,2048000,106,1.38,1.31,1.37,1.66,4月20日,1.1,4月17日
051151凱基BS,5458650,4301000,127,1.27,1.26,1.37,1.58,4月12日,0.93,4月23日
051152凱基BT,9341620,5942000,234,1.57,1.54,1.75,1.88,4月17日,1.26,4月27日
051153凱基BV,4353010,3769000,221,1.15,1.25,0.67,1.98,4月12日,0.63,4月30日
051154凱基BW,6943700,7281000,174,0.95,0.99,0.86,1.16,4月19日,0.82,4月27日
051155凱基BX,69900,48000,4,1.46,1.43,1.32,1.51,4月13日,1.32,4月27日
051156凱基CB,4792290,3009000,163,1.59,1.58,1.47,1.9,4月13日,1.19,4月24日
051157凱基CC,247830,291000,15,0.85,0.87,0.78,1.16,4月16日,0.7,4月24日
051158凱基CE,1134220,956000,27,1.19,1.29,0.71,2.03,4月13日,0.71,4月30日
051159凱基CG,1776900,1515000,41,1.17,1.16,0.9,1.47,4月16日,0.88,4月30日
05115PH7凱基,50,5000,1,0.01,0.01,0.01,0.01,4月9日,0.01,4月9日
051160凱基CH,4231750,3017000,61,1.4,1.61,1.53,2.02,4月13日,1.18,4月30日
051161凱基CJ,361770,422000,14,0.86,0.92,0.71,1.03,4月18日,0.71,4月27日
051162凱基CM,470870,375000,22,1.26,1.29,0.9,1.92,4月12日,0.9,4月27日
051163凱基CP,594500,635000,26,0.94,0.97,0.84,1.19,4月17日,0.71,4月23日
051164凱基CR,769930,825000,30,0.93,0.91,0.83,1.17,4月16日,0.68,4月23日
051165凱基CS,87610,114000,9,0.77,0.75,0.73,0.8,4月19日,0.7,4月23日
051166凱基CT,1077600,1050000,27,1.03,1.11,1.13,1.35,4月13日,0.87,4月24日
051167凱基CU,493500,320000,10,1.54,1.5,1.44,1.77,4月17日,1.36,4月19日
051169大華DB,1231920,1586000,28,0.78,0.84,0.54,1.25,4月16日,0.54,4月30日
051170大華DC,1582240,1394000,30,1.14,1.16,1.04,1.4,4月13日,1.04,4月30日
051171大華DD,631960,919000,42,0.69,0.63,0.61,0.76,4月13日,0.51,4月24日
051172大華DE,3358590,4739000,124,0.71,0.72,0.54,1.12,4月13日,0.5,4月30日
051173大華DF,4718900,3236000,108,1.46,1.44,1.55,1.73,4月13日,1.1,4月23日
051174大華DG,883990,624000,91,1.42,1.26,0.86,1.71,4月16日,0.86,4月30日
051178大華DK,16100,20000,2,0.8,0.8,0.75,0.86,4月17日,0.75,4月18日
051179大華DL,613930,869000,36,0.71,0.72,0.51,0.93,4月13日,0.51,4月30日
05117P日盛L8,2720,272000,6,0.01,0.01,0.01,0.01,4月5日,0.01,4月5日
051181大華DN,1283280,3934000,54,0.33,0.55,0.3,0.85,4月12日,0.29,4月30日
051182大華DP,1252790,1875000,50,0.67,0.69,0.38,1.07,4月12日,0.38,4月30日
051183大華DQ,246390,308000,8,0.8,0.86,0.8,1.05,4月17日,0.75,4月25日
051184大華DR,96720,148000,6,0.65,0.67,0.67,0.71,4月17日,0.59,4月19日
051185國票FW,35600,50000,3,0.71,0.72,0.67,0.77,4月25日,0.67,4月30日
051186國票FX,11800,20000,1,0.59,0.59,0.59,0.59,4月24日,0.59,4月24日
051187國票FY,189520,179000,20,1.06,1.03,0.9,1.26,4月13日,0.85,4月19日
051188國票FZ,471990,474000,38,1,0.94,0.76,1.17,4月13日,0.72,4月24日
0511895N永豐,20510,39000,8,0.53,0.49,0.4,0.64,4月19日,0.4,4月30日
05118P日盛M2,6900,230000,15,0.03,0.03,0.02,0.04,4月5日,0.02,4月9日
0511905S永豐,1600,4000,1,0.4,0.4,0.4,0.4,4月30日,0.4,4月30日
0511915T永豐,262040,299000,14,0.88,0.84,1.02,1.02,4月30日,0.63,4月24日
0511925V永豐,698900,1544000,190,0.45,0.42,0.18,0.74,4月13日,0.18,4月30日
0511935X永豐,58400,70000,4,0.83,0.78,0.49,0.97,4月13日,0.49,4月30日
051194國泰NB,270320,540000,17,0.5,0.5,0.5,0.61,4月17日,0.41,4月27日
051195國泰NG,287590,314000,17,0.92,0.96,0.96,1.08,4月20日,0.83,4月13日
051196國泰NH,1619760,1277000,39,1.27,1.27,1.21,1.43,4月16日,1.18,4月23日
051197國泰NJ,47350,45000,7,1.05,1.05,1,1.21,4月16日,0.96,4月24日
051198國泰NK,60700,80000,3,0.76,0.77,0.78,0.78,4月25日,0.73,4月24日
051199國泰NL,29370,50000,2,0.59,0.76,0.58,0.95,4月12日,0.58,4月20日
05119P日盛M3,13810,102000,8,0.14,0.16,0.18,0.18,4月5日,0.11,4月3日
051200國泰NM,1983070,2533000,92,0.78,0.73,0.54,0.96,4月16日,0.52,4月30日
051201國泰NN,3087800,3359000,94,0.92,0.98,0.87,1.15,4月13日,0.8,4月23日
051202國泰NP,615580,827000,159,0.74,0.69,0.36,1.04,4月12日,0.35,4月30日
051203國泰NQ,705540,989000,34,0.71,0.72,0.54,1,4月18日,0.53,4月30日
051204國泰NR,411700,390000,19,1.06,0.86,0.55,1.24,4月13日,0.55,4月27日
051205國泰NS,2965500,2277000,90,1.3,1.33,1.19,1.6,4月13日,1.06,4月24日
051206國泰NT,46230,79000,9,0.59,0.58,0.37,0.95,4月23日,0.37,4月27日
051207國泰NU,291900,311000,12,0.94,0.92,0.9,1.14,4月18日,0.78,4月27日
051208國泰NV,137900,105000,7,1.31,1.37,1.04,1.68,4月16日,1.04,4月26日
051209國泰NW,6328990,3792000,172,1.67,1.46,1.03,2.01,4月16日,0.96,4月30日
05120PHG群益,490,29000,3,0.02,0.03,0.01,0.05,4月3日,0.01,4月10日
051210國泰NX,1124110,1150000,58,0.98,0.97,0.88,1.17,4月13日,0.7,4月24日
051211國泰NY,74400,65000,10,1.14,1.1,0.9,1.26,4月13日,0.9,4月30日
051212國泰NZ,1860700,3591000,109,0.52,0.53,0.4,0.73,4月13日,0.36,4月30日
051213國泰A1,3270560,3329000,89,0.98,0.98,0.74,1.38,4月13日,0.7,4月30日
051214第一NM,319050,847000,35,0.38,0.41,0.32,0.59,4月13日,0.25,4月23日
051215工銀42,97980,94000,8,1.04,1.02,0.92,1.13,4月18日,0.91,4月27日
051216工銀43,71640,66000,10,1.09,1.04,0.71,1.32,4月13日,0.71,4月30日
051218工銀45,396300,400000,39,0.99,1.01,0.85,1.18,4月16日,0.84,4月26日
051219工銀46,71900,90000,25,0.8,0.8,0.79,0.9,4月16日,0.74,4月23日
05121PHH群益,18050,1254000,15,0.01,0.01,0.01,0.02,4月12日,0.01,4月30日
051220工銀47,244150,201000,29,1.21,1.4,1.24,1.54,4月13日,1.18,4月23日
051221工銀48,30400,38000,2,0.8,0.8,0.81,0.81,4月26日,0.79,4月25日
051223工銀50,115250,226000,9,0.51,0.47,0.39,0.64,4月16日,0.34,4月23日
051224兆豐2E,59000,50000,4,1.18,1.18,1.09,1.27,4月26日,1.09,4月27日
051225兆豐2F,181830,300000,19,0.61,0.59,0.5,0.8,4月13日,0.47,4月20日
051226兆豐2G,1210,2000,2,0.6,0.6,0.56,0.65,4月12日,0.56,4月18日
051227兆豐2H,304800,596000,24,0.51,0.53,0.56,0.62,4月26日,0.47,4月18日
051228兆豐2J,3180,6000,1,0.53,0.53,0.53,0.53,4月25日,0.53,4月25日
051229兆豐2K,109220,160000,18,0.68,0.69,0.68,0.73,4月25日,0.64,4月27日
05122PHI群益,1590590,11742000,238,0.14,0.12,0.09,0.17,4月11日,0.08,4月27日
051230兆豐2L,116900,205000,6,0.57,0.58,0.58,0.58,4月30日,0.57,4月30日
051231兆豐2M,82810,76000,7,1.09,1.05,1.11,1.12,4月27日,0.98,4月25日
051232兆豐2N,2500750,5376000,104,0.47,0.46,0.14,0.74,4月30日,0.14,4月30日
051233兆豐2P,152450,160000,26,0.95,0.94,0.97,1.04,4月20日,0.86,4月26日
051234兆豐2Q,353940,568000,37,0.62,0.63,0.57,0.69,4月13日,0.57,4月30日
051235兆豐2R,44900,60000,2,0.75,0.74,0.75,0.75,4月30日,0.74,4月20日
051237中信42,20800,29000,10,0.72,0.62,0.53,0.81,4月18日,0.52,4月24日
051238中信43,747280,617000,29,1.21,1.28,0.96,1.63,4月13日,0.96,4月30日
05123963元大,277060,312000,23,0.89,0.87,0.86,0.94,4月16日,0.84,4月24日
05124064元大,537500,540000,12,1,0.99,0.97,1.04,4月20日,0.94,4月23日
05124165元大,106000,100000,2,1.06,1.06,1.07,1.07,4月24日,1.05,4月23日
05124266元大,29600,40000,2,0.74,0.74,0.72,0.76,4月13日,0.72,4月17日
05124468元大,3222690,4757000,79,0.68,0.73,0.64,0.86,4月19日,0.61,4月27日
05124569元大,9060,11000,3,0.82,0.82,0.85,0.86,4月20日,0.79,4月19日
05124670元大,670720,1179000,16,0.57,0.61,0.59,0.81,4月17日,0.52,4月24日
05124872元大,2039210,1863000,61,1.09,1.03,0.96,1.32,4月16日,0.85,4月24日
05124973元大,1420880,805000,94,1.77,1.54,1.43,2.06,4月16日,1.26,4月24日
05124PFD寶來,400,40000,1,0.01,0.01,0.01,0.01,4月2日,0.01,4月2日
05125074元大,3036510,2712000,97,1.12,0.99,1.04,1.46,4月13日,0.74,4月23日
05125175元大,2943240,2366000,139,1.24,1.21,1.29,1.63,4月13日,0.95,4月24日
05125276元大,49800,40000,2,1.24,1.25,1.21,1.28,4月16日,1.21,4月17日
05125478元大,139580,152000,6,0.92,0.93,0.89,1,4月13日,0.89,4月27日
05125579元大,9900,15000,2,0.66,0.66,0.66,0.66,4月30日,0.66,4月30日
05125781元大,2409520,1781000,98,1.35,1.32,1.28,1.65,4月19日,1.1,4月17日
05125882元大,310440,456000,5,0.68,0.67,0.62,0.71,4月18日,0.62,4月27日
05125983元大,277960,582000,14,0.48,0.47,0.5,0.5,4月30日,0.42,4月18日
05125PFE寶來,170,1000,1,0.17,0.17,0.17,0.17,4月10日,0.17,4月10日
05126084元大,255650,221000,11,1.16,1.18,1.14,1.3,4月17日,1.13,4月27日
051262亞東05,409320,632000,15,0.65,0.7,0.36,1.09,4月20日,0.36,4月30日
051263亞東06,497210,917000,18,0.54,0.6,0.25,0.81,4月19日,0.25,4月30日
051264亞東07,37050,70000,8,0.53,0.52,0.49,0.59,4月26日,0.49,4月27日
051266亞東09,4340,8000,4,0.54,0.54,0.49,0.57,4月19日,0.49,4月23日
051267富邦07,257130,308000,5,0.83,0.82,0.79,0.86,4月18日,0.79,4月30日
051268富邦08,8000,10000,1,0.8,0.8,0.8,0.8,4月30日,0.8,4月30日
05126P國泰FB,6040,157000,6,0.04,0.06,0.03,0.11,4月5日,0.02,4月2日
051270富邦10,331680,602000,21,0.55,0.58,0.55,0.7,4月23日,0.44,4月30日
051271富邦11,107850,103000,3,1.05,1.02,0.95,1.1,4月16日,0.95,4月26日
051272富邦14,478020,692000,29,0.69,0.68,0.64,0.76,4月16日,0.64,4月30日
051273富邦15,344740,484000,17,0.71,0.82,0.71,1.2,4月13日,0.64,4月24日
051274富邦16,131210,198000,3,0.66,0.61,0.61,0.68,4月20日,0.61,4月20日
051275富邦17,4180,4000,2,1.04,1.04,0.86,1.23,4月13日,0.86,4月18日
051276富邦18,34800,40000,3,0.87,0.8,0.66,1.08,4月16日,0.66,4月30日
05127P統一5W,2760,276000,5,0.01,0.01,0.01,0.01,4月5日,0.01,4月5日
051280富邦23,172800,164000,11,1.05,1.04,1.06,1.09,4月26日,1.01,4月26日
051281第一NN,995400,820000,20,1.21,1.04,0.72,1.35,4月16日,0.72,4月30日
051283第一NQ,157460,230000,8,0.68,0.72,0.45,0.97,4月20日,0.45,4月30日
051286第一NT,233570,405000,9,0.58,0.55,0.44,0.74,4月16日,0.43,4月25日
051287第一NU,1080,2000,1,0.54,0.54,0.54,0.54,4月27日,0.54,4月27日
05128P元大FV,4350,265000,10,0.02,0.02,0.01,0.04,4月5日,0.01,4月11日
051290第一NX,4850,5000,1,0.97,0.97,0.97,0.97,4月30日,0.97,4月30日
051297第一1E,24000,34000,5,0.71,0.73,0.63,0.87,4月16日,0.59,4月23日
051298第一1F,4650,6000,2,0.78,0.78,0.75,0.8,4月26日,0.75,4月27日
05129P元大FW,41030,4103000,63,0.01,0.01,0.01,0.01,4月10日,0.01,4月10日
051302凱基BJ,529140,404000,7,1.31,1.28,1.24,1.33,4月24日,1.24,4月27日
051304凱基BL,941770,1197000,60,0.79,0.8,0.77,0.99,4月19日,0.67,4月17日
051305凱基BM,733340,972000,13,0.75,0.7,0.54,0.8,4月13日,0.54,4月30日
051306凱基BN,21980,26000,4,0.85,0.82,0.73,0.91,4月13日,0.73,4月23日
051307凱基BU,43300,60000,4,0.72,0.69,0.58,0.87,4月13日,0.58,4月26日
051308凱基BY,5640,8000,3,0.7,0.71,0.74,0.74,4月26日,0.66,4月23日
051309凱基BZ,256150,284000,10,0.9,0.84,0.69,1.06,4月13日,0.69,4月30日
05130P元大FX,2120,212000,7,0.01,0.01,0.01,0.01,4月13日,0.01,4月13日
051310凱基CA,790,1000,1,0.79,0.79,0.79,0.79,4月13日,0.79,4月13日
051312凱基CF,8130,7000,2,1.16,1.01,0.64,1.37,4月16日,0.64,4月30日
051314凱基CQ,610,1000,1,0.61,0.61,0.61,0.61,4月13日,0.61,4月13日
051315凱基CV,1262240,676000,50,1.87,2.02,1.82,2.63,4月13日,1.71,4月30日
051316凱基CW,442790,364000,29,1.22,1.3,1.08,1.94,4月16日,0.93,4月30日
051318凱基CY,5458230,3082000,237,1.77,1.72,1.65,2.2,4月17日,1.23,4月25日
051319凱基CZ,12796450,4564000,119,2.8,2.74,2.39,3.23,4月18日,2.31,4月27日
051320凱基DA,243230,485000,19,0.5,0.58,0.43,0.94,4月16日,0.43,4月30日
051321凱基DB,100800,120000,3,0.84,0.84,0.85,0.85,4月18日,0.83,4月17日
051322凱基DC,1440390,1617000,81,0.89,0.98,0.95,1.38,4月13日,0.78,4月23日
051324凱基DE,18800,20000,2,0.94,0.94,0.95,0.95,4月24日,0.93,4月23日
051325凱基DG,9000,20000,2,0.45,0.45,0.46,0.46,4月25日,0.44,4月24日
051326凱基DH,99300,102000,6,0.97,0.94,0.8,1.18,4月16日,0.8,4月30日
051327凱基DJ,47650,38000,7,1.25,1.25,1.24,1.32,4月24日,1.18,4月26日
051328凱基DK,938370,1087000,38,0.86,0.98,0.86,1.38,4月13日,0.81,4月24日
051329凱基DL,11504530,4811000,135,2.39,2.38,2.23,2.93,4月13日,1.94,4月23日
051330統一F7,44000,40000,3,1.1,1.03,1,1.34,4月13日,1,4月17日
051331統一F8,533160,558000,257,0.96,0.9,0.85,1.01,4月16日,0.8,4月24日
051332統一F9,1720750,2081000,105,0.83,0.76,0.37,1.23,4月13日,0.37,4月30日
051333統一G1,485820,748000,345,0.65,0.67,0.7,0.77,4月25日,0.6,4月24日
051334統一G2,367290,666000,21,0.55,0.65,0.37,0.83,4月18日,0.37,4月30日
0513356A永豐,797450,1798000,64,0.44,0.46,0.24,0.73,4月16日,0.22,4月30日
0513366D永豐,531500,1000000,11,0.53,0.56,0.45,0.68,4月16日,0.45,4月27日
0513376E永豐,56300,100000,3,0.56,0.56,0.57,0.57,4月25日,0.55,4月18日
0513386F永豐,216300,456000,10,0.47,0.53,0.43,0.7,4月16日,0.43,4月27日
0513396G永豐,774520,1250000,67,0.62,0.62,0.56,0.82,4月16日,0.45,4月24日
0513406H永豐,299970,396000,4,0.76,0.76,0.73,0.79,4月13日,0.73,4月16日
0513416L永豐,514400,1060000,142,0.49,0.5,0.42,0.62,4月17日,0.37,4月24日
0513426M永豐,771930,1706000,36,0.45,0.46,0.47,0.55,4月18日,0.38,4月27日
0513436P永豐,465950,656000,18,0.71,0.71,0.55,0.85,4月16日,0.55,4月26日
0513446Q永豐,62130,102000,2,0.61,0.58,0.58,0.61,4月26日,0.58,4月26日
0513456R永豐,10800,20000,3,0.54,0.55,0.5,0.59,4月26日,0.5,4月30日
0513476T永豐,139660,258000,6,0.54,0.54,0.53,0.56,4月19日,0.52,4月25日
0513486V永豐,259150,399000,7,0.65,0.61,0.64,0.72,4月13日,0.52,4月19日
0513496X永豐,481510,715000,31,0.67,0.68,0.69,0.9,4月17日,0.53,4月25日
05134P元大GB,350,35000,4,0.01,0.01,0.01,0.01,4月11日,0.01,4月11日
0513506Z永豐,3919690,7188000,170,0.55,0.62,0.51,1,4月13日,0.39,4月24日
051351群益6C,184160,158000,5,1.17,1.2,1.2,1.2,4月30日,1.13,4月30日
051354群益6F,2615210,1807000,85,1.45,1.45,1.36,1.81,4月20日,1.08,4月24日
051355群益6G,128070,120000,15,1.07,1.02,0.91,1.32,4月16日,0.9,4月26日
051358群益6J,10800,10000,2,1.08,1.08,1.07,1.09,4月17日,1.07,4月18日
051359群益6K,732140,520000,13,1.41,1.38,1.32,1.52,4月26日,1.32,4月30日
05135P元大GC,23560,2174000,52,0.01,0.01,0.01,0.03,4月3日,0.01,4月26日
051360群益6L,160220,204000,16,0.79,0.74,0.73,0.83,4月19日,0.65,4月23日
051361群益6M,1230,2000,2,0.62,0.62,0.63,0.63,4月26日,0.6,4月25日
051362康和EH,657420,752000,15,0.87,0.83,0.69,1.07,4月13日,0.69,4月24日
051363康和EI,570,1000,1,0.57,0.57,0.57,0.57,4月23日,0.57,4月23日
051365康和EK,2922840,2767000,114,1.06,1.04,1.06,1.2,4月20日,0.9,4月18日
051366康和EL,1980,2000,2,0.99,0.99,0.99,0.99,4月16日,0.99,4月16日
051367康和EM,18180,28000,3,0.65,0.64,0.63,0.67,4月20日,0.63,4月24日
051368康和EN,89600,120000,6,0.75,0.74,0.74,0.86,4月20日,0.69,4月24日
051369康和EP,663140,566000,52,1.17,1.18,0.99,1.52,4月17日,0.92,4月30日
051370康和EQ,1800490,1312000,92,1.37,1.5,1.26,1.92,4月16日,1.16,4月24日
051371康和ER,428050,407000,23,1.05,1.07,0.73,1.61,4月16日,0.62,4月30日
051372康和ES,452870,583000,15,0.78,0.78,0.6,1.07,4月23日,0.56,4月24日
051373康和ET,20700,20000,3,1.04,1,0.89,1.15,4月13日,0.89,4月30日
051374康和EU,626520,684000,259,0.92,1.11,0.83,1.64,4月13日,0.81,4月24日
051375康和EV,397830,273000,20,1.46,1.47,0.94,1.88,4月16日,0.94,4月30日
051376康和EW,99000,100000,2,0.99,0.99,1.03,1.03,4月26日,0.95,4月24日
051377康和EX,258670,272000,23,0.95,0.93,0.89,1.07,4月20日,0.74,4月24日
051378康和EY,488270,449000,22,1.09,1.09,1.18,1.2,4月19日,0.92,4月23日
051379康和EZ,251330,406000,5,0.62,0.63,0.68,0.68,4月27日,0.56,4月23日
05137PAU富邦,1660,166000,5,0.01,0.01,0.01,0.01,4月3日,0.01,4月3日
051380康和FA,191770,254000,129,0.76,0.76,0.77,0.77,4月30日,0.74,4月27日
051381康和FB,1066400,842000,146,1.27,1.27,1.31,1.31,4月26日,1.24,4月24日
051382康和FC,399780,461000,207,0.87,0.98,0.78,1.13,4月17日,0.78,4月23日
051383日盛ZE,333360,416000,16,0.8,0.7,0.51,0.88,4月20日,0.51,4月30日
051384日盛ZF,14660,28000,9,0.52,0.5,0.5,0.57,4月24日,0.5,4月25日
051385大華DS,91500,183000,2,0.5,0.5,0.5,0.5,4月27日,0.5,4月27日
051386大華DT,22710,29000,3,0.78,0.78,0.75,0.8,4月16日,0.75,4月17日
051387大華DU,350400,445000,13,0.79,0.79,0.84,0.86,4月30日,0.71,4月27日
051388大華DV,1133180,2543000,66,0.45,0.44,0.21,0.61,4月20日,0.19,4月30日
05138PFG寶來,1219830,1689000,110,0.72,0.63,0.52,0.96,4月5日,0.51,4月12日
051390大華DX,34230,34000,7,1.01,1,1,1.03,4月25日,0.97,4月25日
051392大華DZ,126200,166000,5,0.76,0.77,0.74,0.8,4月16日,0.74,4月30日
051393大華EA,244200,407000,202,0.6,0.6,0.6,0.62,4月23日,0.58,4月25日
051396大華ED,228690,297000,3,0.77,0.77,0.77,0.77,4月25日,0.77,4月25日
051397大華EE,60700,80000,6,0.76,0.76,0.75,0.78,4月26日,0.74,4月30日
