,民國101年04月,,,,,,,Apr-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1507  永大,712610902,14972423,8516,47.59,47.49,48.4,49.75,4月27日,44.75,4月5日,3.64
1512  瑞利,41595760,5094600,1672,8.16,8.14,8,8.76,4月2日,7.79,4月23日,2.8
1513  中興電,528020499,31306716,9863,16.87,16.77,16.7,17.35,4月2日,16.3,4月5日,6.52
1514  亞力,51169369,6369521,1759,8.03,8.04,8.04,8.48,4月2日,7.62,4月5日,3.17
1515  力山,19331850,3861799,1213,5.01,5.01,4.88,5.56,4月2日,4.76,4月6日,1.69
1517  利奇,1251879239,84656640,24924,14.79,14.52,13.85,16,4月17日,13.2,4月5日,37.16
1519  華城,71849553,5074731,2639,14.16,14.08,13.85,15.1,4月2日,13.2,4月5日,1.94
1521  大億,119910522,2137389,1352,56.1,56.07,55,58.8,4月2日,52.5,4月24日,2.8
1522  堤維西,56525741,4335628,2169,13.04,12.85,12.3,14.05,4月2日,12.05,4月24日,1.39
1524  耿鼎,22892710,3446848,1001,6.64,6.58,6.2,7.06,4月13日,6.2,4月30日,2.12
1525  江申,63182142,1497693,1084,42.19,41.95,43.4,45.1,4月2日,39.1,4月24日,2.16
1526  日馳,12703840,1481679,724,8.57,8.45,8.19,9.1,4月13日,8,4月24日,2.96
1527  鑽全,162148113,7349455,3541,22.06,22.17,21.05,24,4月2日,20.65,4月24日,4.71
1528  恩德,97183819,7128904,2611,13.63,13.55,12.7,14.95,4月2日,12.7,4月30日,5.06
1530  亞崴,91487656,2807495,1771,32.59,32.53,31.3,34.25,4月13日,30.1,4月5日,2.96
1531  高林股,261822855,11676166,5282,22.42,22.28,21.65,23.75,4月2日,21.2,4月24日,6.05
1533  車王電,25644429,1429257,838,17.94,17.93,18,19.1,4月2日,17,4月5日,1.48
1535  中宇,143927434,2321517,1435,62,62.13,62.2,63.3,4月17日,59.9,4月5日,2.05
1536  和大,216097209,13962434,4781,15.48,15.52,15.8,16.55,4月2日,13.95,4月5日,8.82
1537  廣隆,296444498,6005332,2983,49.36,49.46,48.8,52.4,4月12日,45.6,4月24日,7.36
1538  正峰新,370957847,27609276,11314,13.44,13.94,10.65,16.6,4月2日,10.05,4月30日,17.04
1539  巨庭,2941106,491354,244,5.99,5.95,5.64,7.03,4月2日,5.38,4月24日,0.75
1540  喬福,53419893,2539201,1372,21.04,21.04,21.1,21.65,4月3日,20.15,4月5日,2.97
1541  錩泰,12256893,975205,561,12.57,12.33,11.6,13.5,4月2日,11.3,4月24日,1.24
1560  中砂,916333123,20780325,11767,44.1,43.62,45.3,47.5,4月2日,40.6,4月5日,14.74
1583  程泰,81376673,1626380,1154,50.04,50.06,48.45,52.8,4月13日,46.9,4月5日,1.67
1589  F-永冠,192786974,3703287,1929,52.06,52.8,52.7,53.5,4月27日,49,4月27日,4.17
1590  F-亞德,1280565518,7716520,6557,165.95,165.72,167.5,180,4月18日,146,4月5日,5.14
2049  上銀,25760790905,91098564,68683,282.78,284.23,277,332,4月2日,250,4月30日,38.82
2231  為升,28593733,593403,448,48.19,48.36,46.55,50,4月16日,44.35,4月30日,0.99
4526  東台,537846413,19495417,10266,27.59,27.34,26.15,30,4月2日,25.9,4月30日,8.78
4532  瑞智,1487718839,53303744,21529,27.91,27.88,26.7,29.9,4月3日,25.95,4月23日,12.44
6605  帝寶,183293876,3044817,2032,60.2,60.46,63,63.8,4月30日,57.3,4月5日,1.84
8374  羅昇,879553812,16040373,11123,54.83,53.48,50.9,63.4,4月2日,49,4月30日,21.05
06 電器電纜類,,,,,,,,,,,
Electrical and Cable,,,,,,,,,,,
