,民國101年12月,,,,,,,Dec-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
058652永豐CI,1762380,1346000,119,1.31,1.28,1.58,1.58,12月28日,1.09,12月18日
058654日盛HD,1097040,975000,21,1.13,1.13,1.09,1.23,12月13日,1.09,12月28日
058655日盛HE,364240,468000,21,0.78,0.81,0.92,0.96,12月28日,0.72,12月24日
058656大華78,4913920,3692000,93,1.33,1.18,1.23,1.45,12月17日,0.96,12月21日
058657大華79,5640800,5322000,160,1.06,1.11,1.51,1.64,12月28日,0.84,12月14日
058658C9兆豐,240060,203000,10,1.18,1.21,1.35,1.35,12月26日,1.05,12月21日
0586599P凱基,132720,94000,17,1.41,1.37,1.2,1.72,12月13日,1.15,12月22日
058660第一6V,783420,1216000,20,0.64,0.66,0.6,0.69,12月25日,0.6,12月28日
058661永豐CK,10672390,24994000,723,0.43,0.47,0.44,0.8,12月13日,0.33,12月17日
058662永豐CL,7866700,8307000,424,0.95,0.93,1.15,1.23,12月28日,0.81,12月18日
058663永豐CM,122750,210000,8,0.58,0.58,0.56,0.62,12月27日,0.54,12月24日
058664永豐CN,130920,146000,8,0.9,0.87,0.81,0.99,12月19日,0.8,12月24日
058665永豐CP,298700,380000,36,0.79,0.79,0.7,1.23,12月13日,0.6,12月24日
058666永豐CQ,1103560,1218000,85,0.91,0.91,0.93,0.96,12月28日,0.84,12月17日
058668中信EQ,2917960,2178000,26,1.34,1.3,1.23,1.48,12月14日,1.08,12月21日
058669中信ER,782610,1410000,56,0.56,0.58,0.58,0.7,12月14日,0.45,12月17日
058670國票4D,741120,1052000,25,0.7,0.66,0.63,0.75,12月20日,0.61,12月24日
058671國票5D,5696910,10579000,413,0.54,0.57,0.55,0.83,12月13日,0.45,12月24日
058672國票6D,321050,285000,14,1.13,1.14,1.2,1.27,12月25日,0.95,12月21日
058673日盛HF,9920,10000,6,0.99,0.97,1.05,1.05,12月28日,0.85,12月24日
058675日盛HH,54280,61000,4,0.89,0.89,0.85,0.93,12月25日,0.85,12月28日
058676日盛HJ,6194480,4248000,153,1.46,1.4,1.41,1.8,12月17日,1.15,12月22日
058677日盛HK,1995220,2045000,32,0.98,1,0.92,1.12,12月17日,0.91,12月27日
058678日盛HL,143000,200000,7,0.72,0.71,0.6,0.91,12月14日,0.6,12月27日
058679大華80,6450350,6905000,109,0.93,0.93,0.89,1.11,12月13日,0.81,12月24日
058680DX元富,126950,182000,18,0.7,0.69,0.66,0.75,12月17日,0.57,12月25日
058681DZ元富,36260,35000,12,1.04,1.04,1.07,1.12,12月19日,0.98,12月24日
058682EB元富,2231470,1752000,61,1.27,1.22,1.18,1.45,12月24日,1.16,12月22日
058683EE元富,7921730,9087000,457,0.87,0.87,0.88,0.96,12月20日,0.82,12月25日
058684EG元富,758550,735000,15,1.03,1.02,0.98,1.16,12月19日,0.95,12月24日
058685EH元富,3084780,3366000,42,0.92,0.91,0.84,0.95,12月26日,0.84,12月27日
058686EJ元富,5080190,3565000,287,1.43,1.38,1.39,1.67,12月17日,1.18,12月21日
058687EK元富,153500,165000,17,0.93,0.93,0.92,1.05,12月19日,0.88,12月27日
058688EL元富,2004080,2744000,72,0.73,0.73,0.64,0.88,12月14日,0.63,12月21日
058689EM元富,2269120,2692000,101,0.84,0.9,0.84,1.45,12月13日,0.75,12月21日
058690EN元富,362650,530000,12,0.68,0.67,0.56,0.76,12月13日,0.53,12月22日
058692FV富邦,14200,10000,2,1.42,1.42,1.42,1.42,12月26日,1.42,12月26日
058693FW富邦,108500,130000,4,0.83,0.88,0.87,0.99,12月13日,0.73,12月25日
058694FX富邦,28650,41000,4,0.7,0.65,0.65,0.76,12月28日,0.65,12月28日
058695FY富邦,974320,1785000,43,0.55,0.58,0.46,0.88,12月13日,0.46,12月26日
058696亞東BZ,1683590,3066000,211,0.55,0.57,0.54,0.99,12月13日,0.39,12月17日
058697元大KR,1099270,734000,92,1.5,1.49,1.43,1.65,12月17日,1.35,12月21日
058698元大KS,1574170,1858000,449,0.85,0.82,0.86,0.9,12月27日,0.7,12月24日
058699元大KT,1908950,500000,129,3.82,3.79,3.69,4.3,12月19日,3.51,12月22日
058700元大KU,712490,701000,21,1.02,1,0.96,1.05,12月14日,0.92,12月21日
058701元大KV,3595380,2903000,87,1.24,1.22,1.46,1.53,12月28日,1.09,12月24日
058703統一3X,1154280,2102000,126,0.55,0.53,0.52,0.75,12月14日,0.45,12月21日
058704統一3Y,457780,456000,9,1,1.05,1.02,1.16,12月25日,0.93,12月21日
058705統一3Z,889230,859000,42,1.04,1.01,1.03,1.19,12月19日,0.86,12月21日
0587069R凱基,3244060,2387000,108,1.36,1.41,1.41,1.75,12月14日,1.1,12月17日
0587079S凱基,3884280,2020000,55,1.92,1.98,2.41,2.41,12月28日,1.65,12月18日
0587089U凱基,30500,40000,4,0.76,0.76,0.73,0.79,12月19日,0.73,12月25日
0587094L群益,2844990,2406000,51,1.18,1.15,1.16,1.31,12月20日,0.95,12月17日
0587104M群益,4394120,2997000,76,1.47,1.42,1.5,1.56,12月28日,1.35,12月26日
0587114N群益,2436660,2595000,58,0.94,0.91,0.94,1.06,12月21日,0.77,12月24日
0587124P群益,16105930,7803000,166,2.06,2.04,2.09,2.49,12月17日,1.86,12月25日
0587134Q群益,5100,5000,1,1.02,1.02,1.02,1.02,12月19日,1.02,12月19日
0587154S群益,1213550,1660000,37,0.73,0.72,0.72,0.77,12月21日,0.67,12月20日
0587164T群益,205200,240000,6,0.86,0.83,0.82,0.89,12月27日,0.75,12月21日
0587174U群益,4550460,3280000,40,1.39,1.42,1.5,1.51,12月28日,1.3,12月21日
058718永豐CR,1534260,1455000,46,1.05,0.98,1.06,1.15,12月25日,0.85,12月20日
058719永豐CS,572940,662000,18,0.87,0.89,0.85,0.98,12月14日,0.82,12月22日
058720永豐CT,5505880,5135000,195,1.07,1.07,1.08,1.38,12月17日,0.88,12月25日
058721康和11,468640,497000,22,0.94,0.95,0.92,1.05,12月18日,0.9,12月28日
058722大華81,233900,210000,15,1.11,1.1,1.14,1.21,12月27日,1.07,12月21日
058723FZ富邦,10819660,4205000,58,2.57,2.26,2.37,2.67,12月14日,1.93,12月21日
058724GB富邦,1725930,2139000,49,0.81,0.8,0.81,0.89,12月19日,0.64,12月17日
058725亞東CA,5561830,3973000,136,1.4,1.44,1.41,1.96,12月14日,1.27,12月21日
058726D1兆豐,199600,280000,20,0.71,0.69,0.71,0.75,12月18日,0.6,12月20日
058728永豐CV,264760,196000,24,1.35,1.3,1.59,1.63,12月28日,1.16,12月20日
058729永豐CW,1141030,1082000,42,1.05,1.13,1.54,1.62,12月26日,0.87,12月21日
058730永豐CX,19200,30000,3,0.64,0.64,0.64,0.67,12月19日,0.61,12月18日
058731永豐CY,1274290,2098000,15,0.61,0.59,0.57,0.64,12月25日,0.57,12月28日
058732永豐CZ,625950,937000,11,0.67,0.66,0.75,0.79,12月28日,0.61,12月22日
058733永豐DA,5895590,3110000,181,1.9,1.93,1.96,2.3,12月24日,1.49,12月17日
058734第一6W,51850,90000,8,0.58,0.62,0.56,0.69,12月19日,0.55,12月27日
058735統一4A,2513800,3026000,91,0.83,0.83,0.8,0.9,12月24日,0.8,12月27日
058736統一4B,391160,242000,10,1.62,1.63,1.72,1.72,12月25日,1.55,12月19日
058737統一4C,50100,40000,3,1.25,1.25,1.27,1.27,12月28日,1.23,12月27日
058739中信EU,2337170,2090000,43,1.12,1.1,1.15,1.21,12月21日,1.03,12月25日
058740中信EV,344520,396000,201,0.87,0.87,0.87,0.87,12月27日,0.87,12月27日
058742國票7D,4698090,3119000,179,1.51,1.52,1.56,1.85,12月24日,1.22,12月19日
058743國票8D,5597750,3876000,103,1.44,1.4,1.46,1.66,12月24日,1.05,12月21日
058744國票9D,1052730,1577000,63,0.67,0.67,0.68,0.74,12月27日,0.61,12月21日
058745國票1E,808780,911000,17,0.89,0.91,0.98,1.03,12月20日,0.72,12月24日
058746國票2E,2520410,2144000,29,1.18,1.13,0.99,1.36,12月19日,0.99,12月25日
058747日盛HQ,1393090,1474000,77,0.95,1.02,1.06,1.19,12月17日,0.87,12月21日
058748日盛HR,671040,436000,6,1.54,1.54,1.32,1.74,12月17日,1.32,12月27日
058749日盛HS,7700,10000,1,0.77,0.77,0.77,0.77,12月22日,0.77,12月22日
058750日盛HT,594880,452000,16,1.32,1.3,1.36,1.38,12月19日,1.21,12月21日
058751日盛HU,17400,15000,1,1.16,1.16,1.16,1.16,12月27日,1.16,12月27日
058752GD富邦,631430,458000,12,1.38,1.38,1.46,1.53,12月18日,1.25,12月22日
058753GF富邦,4280330,2764000,72,1.55,1.44,1.57,1.68,12月26日,1.14,12月22日
058754GH富邦,391430,223000,21,1.76,1.8,1.83,1.92,12月19日,1.64,12月21日
058755GK富邦,3673690,2832000,52,1.3,1.37,1.31,1.5,12月19日,1.2,12月27日
0587569V凱基,534520,512000,19,1.04,1.04,1.1,1.14,12月26日,0.87,12月24日
0587579W凱基,1014330,961000,30,1.06,1.09,1.04,1.35,12月18日,0.96,12月22日
0587589X凱基,1723070,823000,49,2.09,2.17,2.08,2.77,12月18日,1.95,12月22日
0587599Y凱基,5150,6000,3,0.86,0.86,0.87,0.87,12月18日,0.84,12月17日
0587609Z凱基,1295820,1670000,48,0.78,0.79,0.71,1,12月19日,0.71,12月28日
058761AA凱基,303300,553000,48,0.55,0.57,0.58,0.75,12月17日,0.48,12月22日
058762AB凱基,423450,377000,34,1.12,1.13,1.09,1.21,12月19日,1.05,12月21日
058763AC凱基,466740,228000,21,2.05,1.78,2.16,2.2,12月28日,1.52,12月18日
058764EQ元富,7659300,5654000,194,1.35,1.42,1.4,1.66,12月18日,1.11,12月17日
058765ER元富,114230,121000,5,0.94,0.96,0.93,1.04,12月19日,0.93,12月28日
058766ES元富,3637850,1954000,51,1.86,1.82,1.88,1.97,12月19日,1.68,12月21日
058767元大KZ,4519440,3252000,38,1.39,1.37,1.33,1.51,12月19日,1.29,12月27日
058768元大LA,795850,317000,37,2.51,2.4,2.5,2.74,12月26日,2.02,12月20日
058769元大LB,10430320,13828000,337,0.75,0.75,0.73,0.87,12月19日,0.66,12月21日
058770元大LC,4571130,3883000,66,1.18,1.18,1.26,1.28,12月28日,1.08,12月22日
058771元大LD,559940,538000,35,1.04,1.03,1.03,1.13,12月20日,0.93,12月21日
058772元大LE,1993110,2569000,87,0.78,0.76,0.83,0.9,12月28日,0.68,12月21日
058773元大LF,991840,1728000,82,0.57,0.55,0.52,0.66,12月20日,0.5,12月27日
058775元大LJ,382240,791000,67,0.48,0.47,0.47,0.54,12月21日,0.43,12月24日
058776元大LK,382860,456000,67,0.84,0.83,0.87,0.95,12月19日,0.74,12月25日
058777元大LL,40210,43000,4,0.94,0.96,1,1.03,12月28日,0.91,12月27日
058779AJ凱基,21414710,9738000,266,2.2,2.28,2.24,2.64,12月24日,1.87,12月19日
058780永豐DB,50110,57000,8,0.88,0.9,0.88,1.07,12月19日,0.83,12月22日
058781永豐DC,79900,90000,6,0.89,0.88,0.81,0.99,12月19日,0.81,12月22日
058782永豐DD,2394560,2473000,143,0.97,0.92,0.97,1.13,12月26日,0.69,12月21日
058783永豐DE,1126520,1803000,73,0.62,0.63,0.59,0.79,12月18日,0.57,12月24日
058785第一6Y,308680,374000,31,0.83,0.85,0.77,1.14,12月18日,0.74,12月24日
058786第一6Z,1150830,1045000,23,1.1,1.06,1.06,1.14,12月27日,1.02,12月20日
058788國泰7F,424180,448000,16,0.95,0.94,1,1.01,12月18日,0.88,12月21日
058789日盛HY,763390,495000,31,1.54,1.56,1.94,2.1,12月28日,1.11,12月21日
05878P寶來F8,20000,20000,1,1,1,1,1,12月4日,1,12月4日
058790日盛HZ,1253580,885000,119,1.42,1.34,1.37,2.21,12月25日,1,12月21日
058791日盛JA,1726240,1266000,48,1.36,1.31,1.31,1.42,12月27日,1.19,12月25日
058792日盛JB,2512420,1226000,76,2.05,2.05,2.06,2.45,12月24日,1.74,12月19日
058793日盛JC,2133180,1482000,18,1.44,1.4,1.34,1.52,12月19日,1.32,12月21日
058794大華83,966420,814000,12,1.19,1.18,1.16,1.23,12月19日,1.16,12月28日
058795大華84,1620,2000,2,0.81,0.81,0.85,0.85,12月26日,0.77,12月20日
058796D4兆豐,448930,584000,30,0.77,0.71,0.71,0.86,12月19日,0.65,12月21日
058797亞東CC,156600,109000,4,1.44,1.44,1.4,1.47,12月18日,1.4,12月19日
058798亞東CD,71240,64000,11,1.11,1.12,1.17,1.17,12月27日,1.06,12月24日
058799亞東CE,35750,25000,1,1.43,1.43,1.43,1.43,12月28日,1.43,12月28日
058800亞東CF,266010,410000,17,0.65,0.7,0.72,0.84,12月19日,0.62,12月20日
058801亞東CG,1660,2000,1,0.83,0.83,0.83,0.83,12月21日,0.83,12月21日
058802亞東CH,127750,291000,31,0.44,0.45,0.43,0.6,12月19日,0.39,12月24日
058804永昌NY,23320,32000,4,0.73,0.73,0.72,0.76,12月21日,0.7,12月24日
058805永昌NZ,72800,80000,2,0.91,0.91,0.91,0.91,12月28日,0.91,12月28日
058808永昌03,651630,810000,11,0.8,0.79,0.72,0.84,12月19日,0.72,12月21日
058809永昌04,127450,163000,15,0.78,0.77,0.74,0.84,12月20日,0.74,12月28日
058810永昌05,177000,240000,7,0.74,0.75,0.72,0.78,12月26日,0.72,12月27日
058811永昌06,703290,600000,36,1.17,1.12,1.2,1.38,12月19日,1.02,12月24日
058812永昌07,5040230,8471000,149,0.59,0.58,0.58,0.73,12月19日,0.52,12月21日
058815永昌10,1220,2000,1,0.61,0.61,0.61,0.61,12月20日,0.61,12月20日
058816永昌11,1987020,2265000,85,0.88,0.81,0.91,1.05,12月26日,0.67,12月22日
058817永昌12,42500,53000,6,0.8,0.8,0.82,0.84,12月26日,0.76,12月24日
058818永昌13,699170,1181000,62,0.59,0.58,0.61,0.65,12月27日,0.54,12月20日
058819永昌14,145100,190000,6,0.76,0.78,0.71,0.86,12月21日,0.71,12月28日
058820元大LM,60240,84000,6,0.72,0.72,0.71,0.81,12月19日,0.65,12月22日
058821元大LN,19990,22000,4,0.91,0.93,0.86,1,12月20日,0.86,12月26日
058822元大LP,764350,613000,24,1.25,1.21,1.12,1.41,12月19日,1.11,12月22日
058824AL凱基,85000,80000,3,1.06,1.1,1.14,1.14,12月28日,1.04,12月22日
058825康和12,2530,3000,2,0.84,0.85,0.83,0.87,12月25日,0.83,12月26日
058826康和14,157760,145000,18,1.09,1.11,1.31,1.31,12月28日,1,12月25日
058827日盛JD,999650,721000,36,1.39,1.29,1.33,1.5,12月26日,1.2,12月22日
058828日盛JE,268290,530000,26,0.51,0.5,0.5,0.59,12月19日,0.44,12月21日
058830大華86,96660,132000,7,0.73,0.72,0.7,0.79,12月26日,0.68,12月24日
058831大華87,456620,577000,22,0.79,0.75,0.83,0.93,12月26日,0.59,12月22日
058832統一4F,444000,280000,5,1.59,1.58,1.6,1.6,12月28日,1.55,12月25日
058833統一4G,135120,158000,15,0.86,0.86,0.89,0.89,12月28日,0.77,12月21日
058834統一4H,3771730,3272000,85,1.15,1.16,1.22,1.25,12月25日,0.95,12月22日
058835統一4J,321650,275000,21,1.17,1.15,1.18,1.22,12月26日,1.11,12月22日
058836統一4K,1220180,1293000,14,0.94,0.99,1.19,1.19,12月26日,0.87,12月21日
058837統一4P,289550,254000,9,1.14,1.08,1.11,1.15,12月28日,1.06,12月27日
058838統一4Q,26000,20000,2,1.3,1.3,1.32,1.32,12月28日,1.28,12月27日
058839統一4R,2726720,3439000,122,0.79,0.8,0.79,0.97,12月19日,0.73,12月24日
058840統一4S,6195160,5130000,82,1.21,1.21,1.21,1.32,12月25日,1.1,12月22日
058841統一4T,2114380,782000,35,2.7,2.64,2.81,2.83,12月28日,2.37,12月21日
058842永豐DF,1085870,933000,44,1.16,1.15,1.23,1.29,12月26日,1.02,12月19日
0588434V群益,44440,44000,2,1.01,1.01,1.07,1.07,12月27日,0.95,12月26日
0588444W群益,96190,124000,12,0.78,0.77,0.81,0.81,12月28日,0.73,12月21日
0588464Y群益,1095200,883000,43,1.24,1.17,1.18,1.37,12月26日,0.97,12月20日
0588474Z群益,1239950,895000,21,1.39,1.36,1.46,1.54,12月28日,1.16,12月21日
0588485A群益,291580,436000,23,0.67,0.68,0.68,0.88,12月19日,0.62,12月24日
058849國泰7H,44610,43000,3,1.04,1.05,0.99,1.08,12月22日,0.99,12月24日
058850國泰7J,11593820,16569000,702,0.7,0.73,0.67,0.9,12月25日,0.54,12月19日
058851工銀EP,3692630,7947000,219,0.46,0.47,0.4,0.53,12月25日,0.39,12月20日
058852工銀EV,187120,139000,13,1.35,1.24,1.43,1.43,12月28日,1.08,12月21日
058855工銀EY,755920,949000,25,0.8,0.78,0.76,0.91,12月24日,0.74,12月27日
058856工銀EZ,2188540,2022000,31,1.08,1.01,1.03,1.15,12月26日,0.92,12月24日
058857工銀FA,190210,274000,11,0.69,0.69,0.76,0.76,12月25日,0.63,12月21日
058858GM富邦,29100,30000,1,0.97,0.97,0.97,0.97,12月24日,0.97,12月24日
058860GP富邦,1649370,1375000,29,1.2,1.18,1.07,1.46,12月25日,1.06,12月27日
058861GQ富邦,505120,415000,6,1.22,1.21,1.21,1.22,12月28日,1.21,12月28日
058862GR富邦,21600,20000,2,1.08,1.08,1.04,1.12,12月19日,1.04,12月20日
058863GS富邦,24050,49000,2,0.49,0.5,0.5,0.5,12月25日,0.49,12月22日
058864亞東CQ,3025480,4404000,59,0.69,0.64,0.68,0.74,12月27日,0.58,12月24日
058865亞東CR,6892730,1881000,66,3.66,3.57,3.57,3.77,12月26日,3.35,12月27日
058866國泰7K,436990,551000,9,0.79,0.85,0.88,0.88,12月28日,0.76,12月24日
058869EV元富,236880,202000,5,1.17,1.19,1.19,1.19,12月24日,1.14,12月22日
058870EW元富,2331650,1490000,72,1.56,1.58,1.66,1.66,12月28日,1.41,12月21日
058871EY元富,2648770,1352000,23,1.96,1.79,2,2.04,12月28日,1.53,12月24日
058872AD凱基,358720,103000,22,3.48,3.43,3.76,3.81,12月28日,2.87,12月21日
058875AQ凱基,4072190,1948000,54,2.09,1.84,2.2,2.27,12月28日,1.65,12月21日
058876國票3E,498240,724000,20,0.69,0.68,0.64,0.73,12月24日,0.64,12月28日
058877國票4E,786740,798000,15,0.99,1,1.04,1.04,12月28日,0.92,12月25日
058878國票5E,1241890,962000,48,1.29,1.27,1.25,1.4,12月20日,1.18,12月25日
058879日盛JF,378520,320000,11,1.18,1.19,1.42,1.42,12月28日,1.05,12月24日
058881日盛JH,2360,2000,2,1.18,1.18,1.25,1.25,12月28日,1.11,12月25日
058883日盛JK,441040,592000,6,0.74,0.74,0.74,0.75,12月24日,0.74,12月25日
058884大華88,5100,5000,1,1.02,1.02,1.02,1.02,12月27日,1.02,12月27日
058885D5兆豐,144800,110000,4,1.32,1.31,1.32,1.33,12月28日,1.29,12月25日
058886D6兆豐,119460,133000,14,0.9,0.92,0.92,1,12月20日,0.8,12月21日
058888D9兆豐,67820,67000,8,1.01,1.03,1.11,1.12,12月26日,0.86,12月24日
058889E1兆豐,129760,98000,9,1.32,1.27,1.29,1.39,12月21日,1.24,12月22日
058890E2兆豐,292070,467000,24,0.63,0.57,0.62,0.65,12月28日,0.52,12月25日
058892E5兆豐,3157790,3730000,48,0.85,0.84,0.87,0.91,12月28日,0.75,12月24日
058893E6兆豐,23230,22000,4,1.06,1.02,1.07,1.07,12月27日,0.95,12月21日
058895E8兆豐,936790,1280000,24,0.73,0.7,0.67,0.78,12月25日,0.67,12月28日
058897元大LT,956570,1130000,27,0.85,0.91,0.93,0.96,12月25日,0.78,12月25日
058898元大LU,886770,990000,20,0.9,0.93,1.03,1.05,12月27日,0.85,12月24日
058899永豐DG,497690,538000,44,0.93,0.91,1.09,1.1,12月28日,0.79,12月20日
058900永豐DH,1753250,2752000,34,0.64,0.64,0.67,0.72,12月28日,0.58,12月24日
058901永豐DI,59850,56000,4,1.07,1.07,1.07,1.08,12月25日,1.05,12月25日
058902永豐DJ,180490,219000,5,0.82,0.83,0.85,0.85,12月25日,0.8,12月24日
058903永豐DK,959710,1470000,55,0.65,0.65,0.68,0.7,12月28日,0.59,12月27日
058905永豐DM,130900,133000,14,0.98,0.99,0.97,1.04,12月22日,0.91,12月27日
0589065C群益,50400,29000,4,1.74,1.76,1.8,1.8,12月28日,1.68,12月27日
0589075D群益,19700,10000,1,1.97,1.97,1.97,1.97,12月28日,1.97,12月28日
0589085E群益,287920,298000,20,0.97,0.94,1.07,1.07,12月28日,0.81,12月21日
0589095J群益,3499800,2818000,38,1.24,1.26,1.24,1.29,12月25日,1.14,12月25日
058910GT富邦,314880,288000,27,1.09,1.09,1.08,1.12,12月27日,1.08,12月28日
058911GU富邦,281000,160000,13,1.76,1.69,1.87,1.9,12月28日,1.52,12月21日
058912GV富邦,2540,2000,2,1.27,1.23,1.23,1.31,12月28日,1.23,12月28日
058914元大LV,62590,91000,7,0.69,0.69,0.69,0.72,12月25日,0.66,12月21日
058916元大LX,358300,310000,8,1.16,1.14,1.14,1.19,12月26日,1.1,12月25日
058917元大LY,6302120,5741000,237,1.1,1.01,1.18,1.35,12月28日,0.67,12月22日
058918元大LZ,1290510,409000,27,3.16,2.76,3.23,3.36,12月28日,2.41,12月21日
058919EZ元富,245880,270000,33,0.91,0.93,0.94,0.99,12月21日,0.87,12月24日
058920FA元富,175950,155000,10,1.14,1.12,1.09,1.14,12月26日,1.09,12月28日
058921AR凱基,384730,408000,20,0.94,0.94,0.99,0.99,12月28日,0.87,12月21日
058922AS凱基,1705920,964000,30,1.77,1.77,1.72,1.98,12月26日,1.67,12月25日
058923AT凱基,310950,168000,15,1.85,1.8,2.01,2.01,12月28日,1.65,12月24日
058928統一5A,660330,594000,6,1.11,1.12,1.17,1.17,12月28日,1.03,12月25日
058929統一5B,702120,522000,34,1.35,1.33,1.35,1.37,12月28日,1.3,12月25日
058930統一5C,982700,905000,17,1.09,1.09,1.14,1.14,12月28日,1,12月25日
058932統一5E,858350,810000,12,1.06,1.1,1.12,1.12,12月27日,1.03,12月21日
058933統一5F,34180,23000,3,1.49,1.5,1.56,1.56,12月27日,1.46,12月26日
058934統一5G,4756930,3192000,86,1.49,1.42,1.48,1.61,12月25日,1.25,12月22日
058935統一5H,607850,366000,32,1.66,1.66,1.95,1.97,12月28日,1.5,12月21日
058936F3兆豐,225080,214000,6,1.05,1.08,1.12,1.12,12月27日,1.05,12月26日
058937F4兆豐,1616840,739000,65,2.19,1.96,2.21,2.41,12月28日,1.43,12月24日
058938F5兆豐,22010,23000,5,0.96,0.96,0.94,1.08,12月26日,0.94,12月28日
058941F8兆豐,56020,42000,13,1.33,1.34,1.29,1.68,12月27日,1.18,12月25日
058942F9兆豐,700,1000,1,0.7,0.7,0.7,0.7,12月26日,0.7,12月26日
058943G1兆豐,146180,159000,7,0.92,0.92,0.92,0.93,12月28日,0.91,12月27日
058944日盛JL,203850,73000,8,2.79,2.48,2.97,3.03,12月28日,2.03,12月21日
058945大華89,567150,970000,20,0.58,0.61,0.68,0.71,12月28日,0.5,12月21日
058946大華90,163050,105000,7,1.55,1.54,1.56,1.58,12月27日,1.51,12月25日
058947大華91,162500,200000,4,0.81,0.78,0.8,0.87,12月21日,0.76,12月21日
058948中信EY,3230,2000,2,1.62,1.62,1.68,1.68,12月28日,1.55,12月25日
058949中信EZ,5450,5000,1,1.09,1.09,1.09,1.09,12月22日,1.09,12月22日
058950永豐DN,276450,170000,13,1.63,1.62,1.95,1.95,12月28日,1.41,12月21日
058951GY富邦,553410,559000,36,0.99,0.96,0.94,1.07,12月22日,0.9,12月27日
058952GZ富邦,65370,74000,8,0.88,0.89,0.95,0.95,12月27日,0.84,12月21日
058953HB富邦,1598260,1086000,28,1.47,1.48,1.51,1.68,12月26日,1.31,12月21日
058954HC富邦,38280,15000,3,2.55,2.52,2.6,2.6,12月27日,2.38,12月24日
058955HE富邦,1455150,379000,32,3.84,3.5,4.08,4.17,12月28日,3.06,12月25日
058956HF富邦,1483430,1122000,146,1.32,1.3,1.3,1.36,12月25日,1.27,12月27日
058957HG富邦,847560,663000,19,1.28,1.26,1.3,1.32,12月27日,1.24,12月25日
058958HH富邦,32600,20000,2,1.63,1.63,1.58,1.68,12月26日,1.58,12月27日
058960FB元富,26480,26000,3,1.02,1.01,1.03,1.03,12月25日,0.97,12月25日
058961FE元富,514820,488000,10,1.05,1.06,1.08,1.08,12月28日,0.98,12月25日
058962FG元富,1098040,698000,8,1.57,1.59,1.62,1.62,12月28日,1.55,12月26日
058963AX凱基,401750,54000,16,7.44,7.13,7.85,8,12月28日,6.1,12月24日
058964AY凱基,209220,301000,12,0.7,0.75,0.7,0.85,12月24日,0.65,12月22日
058965AZ凱基,700660,946000,16,0.74,0.75,0.79,0.79,12月28日,0.72,12月26日
058967元大MC,53000,60000,4,0.88,0.89,0.85,0.93,12月25日,0.85,12月28日
058969元大ME,21100,20000,2,1.06,1.06,1.07,1.07,12月26日,1.04,12月25日
058970元大MF,3331990,1797000,120,1.85,1.75,2.02,2.13,12月28日,1.55,12月26日
058971國泰7M,788790,639000,41,1.23,1.27,1.46,1.61,12月28日,0.92,12月24日
058972統一5J,2759310,2686000,38,1.03,1.06,1.14,1.14,12月28日,0.99,12月25日
058973統一5K,4520950,2990000,187,1.51,1.5,1.49,1.62,12月25日,1.46,12月24日
058974統一5L,1477530,1232000,17,1.2,1.22,1.22,1.27,12月26日,1.11,12月25日
058978國票7E,46290,45000,4,1.03,1,0.97,1.25,12月24日,0.87,12月22日
058980日盛JN,556270,217000,16,2.56,2.67,2.58,2.85,12月27日,2.49,12月28日
058981日盛JP,13970,18000,5,0.78,0.78,0.76,0.8,12月27日,0.76,12月28日
058982大華93,45200,20000,1,2.26,2.26,2.26,2.26,12月25日,2.26,12月25日
058983永豐DP,1276640,1271000,34,1,1.03,0.98,1.18,12月24日,0.89,12月22日
058984永豐DQ,31760,32000,3,0.99,1,0.97,1.03,12月26日,0.97,12月26日
058985永豐DR,3193500,2874000,38,1.11,1.05,1.07,1.15,12月27日,1.03,12月26日
058988永豐DU,24600,30000,1,0.82,0.82,0.82,0.82,12月26日,0.82,12月26日
058989永豐DV,4280,6000,3,0.71,0.7,0.71,0.74,12月26日,0.69,12月25日
058990永豐DW,400950,558000,27,0.72,0.71,0.71,0.76,12月28日,0.66,12月25日
058991永豐DX,1133590,1601000,22,0.71,0.7,0.75,0.75,12月28日,0.66,12月24日
058992永豐DY,1303140,1538000,26,0.85,0.85,0.78,0.92,12月26日,0.78,12月28日
0589935K群益,2004590,1324000,38,1.51,1.48,1.46,1.58,12月27日,1.42,12月26日
0589955M群益,1634930,731000,47,2.24,2.13,2.15,2.29,12月27日,2.05,12月25日
0589965N群益,4710,4000,4,1.18,1.17,1.13,1.22,12月26日,1.13,12月28日
0589975P群益,82410,21000,2,3.92,4.01,4.01,4.01,12月28日,3.92,12月28日
058999HK富邦,591060,544000,19,1.09,1.1,1.19,1.19,12月26日,1.04,12月22日
059000HL富邦,438590,404000,5,1.09,1.08,1.06,1.11,12月24日,1.06,12月25日
059001HP富邦,73000,50000,1,1.46,1.46,1.46,1.46,12月26日,1.46,12月26日
