,41306,,,,,,,41306,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2007  燁興,37447030,5057205,1699,7.4,7.38,7.08,7.85,41323,7.04,41331,0.8
2009  第一銅,30279835,3134863,1253,9.66,9.67,9.36,10.15,41306,9.3,41331,0.87
2010  春源,37276738,3216475,1442,11.59,11.57,11.5,11.75,41323,11.45,41332,0.5
2012  春雨,29647115,2493132,732,11.89,11.87,11.65,12,41328,11.6,41332,0.87
2013  中鋼構,155951980,4835243,2264,32.25,32.24,32.7,32.7,41332,31.75,41306,3.01
2014  中鴻,403783066,39758168,11692,10.16,10.12,9.98,10.45,41323,9.8,41331,2.77
2015  豐興,363267879,6890010,4648,52.72,52.6,51.7,53.8,41323,51.7,41332,1.18
2017  官田鋼,101631030,12975934,3429,7.83,7.8,7.71,7.99,41309,7.71,41332,3.34
2020  美亞,45898942,3684820,981,12.46,12.45,12.55,12.7,41323,12.2,41310,1.4
2022  聚亨,235692761,37774711,7182,6.24,6.2,6.05,6.44,41309,6,41331,7.81
2023  燁輝,140155795,14857489,4778,9.43,9.4,9.21,9.65,41323,9.21,41332,0.91
2024  志聯,30974410,4476306,1024,6.92,7.01,7.09,7.18,41330,6.68,41310,4.09
2025  千興,83177554,18476031,4281,4.5,4.51,4.39,4.91,41306,4.16,41331,5.72
2027  大成鋼,107548521,7209702,2617,14.92,14.86,14.8,15.2,41323,14.7,41331,1.02
2028  威致,23669324,4381036,1342,5.4,5.4,5.34,5.7,41309,5.18,41310,1.65
2029  盛餘,37575342,2020998,764,18.59,18.65,18.8,18.8,41332,18.25,41311,0.63
2030  彰源,49727914,4766667,1604,10.43,10.41,10.25,10.7,41323,10.15,41331,1.75
2031  新光鋼,132345623,6054477,2492,21.86,21.75,21.35,22.35,41323,21.2,41331,2.18
2032  新鋼,31703871,2738878,994,11.58,11.53,11.25,11.9,41309,11.25,41332,2.1
