,民國101年07月,,,,,,,Jul-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
4952  凌通,32051814,1620640,846,19.78,19.58,19.35,21.6,7月5日,18.5,7月24日,1.49
5305  敦南,525978544,33840974,11128,15.54,15.29,15.4,16.65,7月5日,14.2,7月25日,7.56
5471  松翰,571399588,13074959,6783,43.7,43.54,42.2,46.65,7月5日,40.25,7月25日,7.79
6145  勁永,91518341,11273831,4035,8.12,8.21,7.38,9.43,7月4日,6.55,7月25日,5.07
6202  盛群,130215117,4063111,2208,32.05,31.89,32.35,32.7,7月5日,30.9,7月25日,1.82
6239  力成,15289948901,247516131,111056,61.77,61.74,60.5,65.3,7月12日,58.5,7月27日,30.97
6243  迅杰,75553335,4664695,2384,16.2,15.88,15.35,17.5,7月5日,14.9,7月25日,6.2
6257  矽格,846917726,38251620,14506,22.14,21.94,21.9,23.35,7月5日,20.9,7月25日,10.48
6271  同欣電,1286613567,14168973,10178,90.8,90.73,85.8,99.5,7月4日,83.6,7月25日,8.7
6286  立錡,4174152135,24373762,18717,171.26,171.68,167,186,7月4日,155,7月25日,16.3
8016  矽創,387417716,11020462,5919,35.15,34.9,35.3,36.9,7月4日,33.55,7月24日,9.33
8081  致新,1284693333,14082399,11009,91.23,88.47,85,101.5,7月3日,80.1,7月24日,16.34
8110  華東,181048897,19648870,6291,9.21,9.06,9.06,9.65,7月4日,8.7,7月26日,3.91
8131  福懋科,134533747,5458753,3315,24.65,24.45,22.5,26.4,7月3日,22,7月26日,1.23
8261  富鼎,45279960,4244001,2029,10.67,10.65,10.35,11.85,7月4日,9.71,7月24日,2.94
8271  宇瞻,2364022021,97601335,40311,24.22,23.9,25.05,25.4,7月31日,21.25,7月17日,74.61
25 電腦及週邊設備業類,,,,,,,,,,,
Computer and Peripheral Equipment,,,,,,,,,,,
