,民國101年07月,,,,,,,Jul-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
053623元大76,47210,66000,6,0.72,0.72,0.68,0.75,7月4日,0.68,7月31日
053624元大77,43250,50000,5,0.86,0.86,0.89,0.94,7月4日,0.8,7月13日
053626元大79,328400,280000,25,1.17,1.1,1.49,1.49,7月31日,0.93,7月24日
053627元大80,2419910,1882000,85,1.29,1.21,1.44,1.53,7月30日,0.99,7月24日
053628元大81,62340,114000,10,0.55,0.56,0.54,0.7,7月3日,0.47,7月27日
053629元大82,2403380,1575000,64,1.53,1.43,1.67,1.67,7月31日,1.3,7月11日
053630元大83,2930680,2854000,47,1.03,1.02,1.02,1.07,7月4日,0.94,7月18日
053631元大84,6880,8000,5,0.86,0.87,0.93,0.96,7月12日,0.76,7月25日
053632元大85,1173080,1494000,345,0.79,0.72,0.6,0.94,7月5日,0.57,7月17日
053633元大86,9060890,3139000,136,2.89,2.91,3.83,3.83,7月31日,2.3,7月18日
053634元大87,984980,1137000,90,0.87,0.84,0.91,0.92,7月31日,0.79,7月23日
053635元大88,2468730,2351000,93,1.05,1.13,1.11,1.48,7月9日,0.94,7月25日
053636元大89,305960,506000,18,0.6,0.6,0.61,0.76,7月3日,0.48,7月24日
053637元大90,706960,1145000,51,0.62,0.59,0.63,0.72,7月5日,0.5,7月25日
053638永昌FM,2953720,3486000,54,0.85,0.81,0.76,0.93,7月6日,0.7,7月23日
053639永昌FN,2779600,3129000,89,0.89,0.82,1,1,7月31日,0.66,7月26日
053640永昌FP,22220,38000,5,0.58,0.56,0.48,0.62,7月9日,0.48,7月23日
053641永昌FQ,870840,1200000,19,0.73,0.53,0.33,0.75,7月12日,0.33,7月31日
053643永昌FS,1068430,1651000,39,0.65,0.62,0.66,0.72,7月5日,0.5,7月23日
053644永昌FT,53700,60000,7,0.9,0.89,0.91,0.91,7月25日,0.83,7月6日
053645永昌FU,486570,416000,12,1.17,1.16,1.02,1.25,7月5日,0.98,7月31日
053646永昌FV,8126260,7001000,94,1.16,1.1,1.33,1.34,7月27日,0.9,7月4日
053647大華MJ,156420,198000,2,0.79,0.79,0.8,0.8,7月4日,0.78,7月3日
053648大華MK,440960,794000,16,0.56,0.53,0.36,0.65,7月4日,0.36,7月25日
053650大華MM,288200,517000,7,0.56,0.55,0.5,0.6,7月19日,0.5,7月26日
053651大華MN,15207080,14016000,517,1.08,1.09,1.25,1.28,7月31日,0.91,7月10日
053652臺銀11,222000,210000,4,1.06,1.06,1.05,1.08,7月11日,1.05,7月12日
053653臺銀12,809550,1178000,68,0.69,0.7,0.79,0.87,7月9日,0.57,7月23日
053654臺銀13,1181150,2749000,73,0.43,0.36,0.3,0.48,7月12日,0.25,7月27日
053655臺銀14,81150,102000,7,0.8,0.8,0.44,1.07,7月5日,0.44,7月17日
053656群益FJ,442160,518000,39,0.85,0.84,0.83,0.93,7月17日,0.76,7月4日
053657群益FK,5187920,5360000,153,0.97,0.94,1.04,1.13,7月30日,0.71,7月3日
053658群益FL,3637100,1968000,73,1.85,1.88,1.86,2.36,7月5日,1.59,7月13日
053659群益FM,8320,8000,2,1.04,1.04,1.06,1.06,7月18日,1.02,7月16日
053660群益FP,9110590,4827000,212,1.89,2.03,2.03,2.68,7月6日,1.58,7月26日
053661群益FR,132190,114000,17,1.16,1.17,1.26,1.26,7月9日,1.01,7月4日
053662群益FS,4305150,7471000,269,0.58,0.52,0.24,0.88,7月5日,0.24,7月31日
053663群益FT,70150,180000,7,0.39,0.36,0.2,0.53,7月9日,0.2,7月31日
053664群益FU,535730,2481000,44,0.22,0.3,0.12,0.55,7月4日,0.12,7月31日
053665FY永豐,622310,1386000,30,0.45,0.46,0.42,0.65,7月12日,0.36,7月24日
053666FZ永豐,226820,333000,16,0.68,0.68,0.49,0.79,7月13日,0.49,7月24日
053667GA永豐,1843470,3128000,123,0.59,0.6,0.61,0.81,7月5日,0.46,7月27日
053668GB永豐,725000,978000,25,0.74,0.71,0.58,0.84,7月5日,0.57,7月25日
053669GC永豐,253180,298000,6,0.85,0.83,0.6,0.96,7月3日,0.6,7月24日
053671GE永豐,2606580,3763000,78,0.69,0.71,0.68,0.76,7月20日,0.64,7月18日
053672GF永豐,918330,1245000,20,0.74,0.74,0.75,0.75,7月31日,0.73,7月31日
053673GG永豐,1099890,2376000,30,0.46,0.47,0.36,0.58,7月10日,0.34,7月25日
053674GH永豐,1732710,3219000,48,0.54,0.54,0.54,0.62,7月12日,0.48,7月24日
053675GI永豐,5760,8000,1,0.72,0.72,0.72,0.72,7月6日,0.72,7月6日
053676GJ永豐,341830,737000,19,0.46,0.49,0.32,0.81,7月3日,0.31,7月24日
053677GK永豐,232040,346000,7,0.67,0.69,0.69,0.7,7月31日,0.66,7月31日
053678元富NS,110100,320000,9,0.34,0.39,0.25,0.75,7月11日,0.24,7月24日
053680元富NU,1950800,1873000,65,1.04,1.05,1.08,1.12,7月19日,0.93,7月25日
053681凱基NS,531980,269000,34,1.98,1.95,2.26,2.38,7月6日,1.61,7月26日
053682工銀G4,295250,472000,12,0.63,0.58,0.39,0.79,7月5日,0.37,7月17日
053683富邦EE,924510,1477000,42,0.63,0.6,0.34,1.08,7月6日,0.33,7月30日
053684富邦EF,2694850,4949000,202,0.54,0.5,0.39,0.79,7月3日,0.35,7月18日
053685富邦EG,1464510,1459000,24,1,0.92,0.95,1.05,7月4日,0.81,7月12日
053686富邦EH,142890,218000,3,0.66,0.66,0.67,0.67,7月30日,0.64,7月27日
053687富邦EJ,1795170,1917000,107,0.94,0.93,0.9,1.08,7月10日,0.85,7月16日
053688富邦EK,1293290,886000,23,1.46,1.37,1.24,1.48,7月17日,1.24,7月24日
053689富邦EL,9765020,6870000,238,1.42,1.39,1.41,1.6,7月4日,1.25,7月16日
053690富邦EM,3534660,1588000,21,2.23,2.14,1.91,2.35,7月5日,1.91,7月11日
053691富邦EN,557160,636000,14,0.88,0.88,0.86,1.1,7月6日,0.8,7月24日
053692富邦EP,432320,627000,43,0.69,0.68,0.68,0.79,7月3日,0.57,7月26日
053693兆豐66,2731080,4893000,271,0.56,0.6,0.59,1,7月5日,0.43,7月26日
053694兆豐67,524870,1359000,23,0.39,0.4,0.34,0.5,7月13日,0.34,7月31日
053696兆豐69,535580,655000,21,0.82,0.78,0.85,0.9,7月30日,0.69,7月24日
053697兆豐70,108380,140000,20,0.77,0.8,0.89,0.91,7月30日,0.71,7月11日
053698兆豐71,400990,546000,19,0.73,0.7,0.52,0.89,7月5日,0.45,7月18日
053699兆豐72,1493120,1369000,97,1.09,1.12,1.4,1.46,7月30日,0.89,7月12日
053700兆豐73,127780,158000,18,0.81,0.78,0.77,0.9,7月25日,0.6,7月17日
053702兆豐75,5598260,3654000,69,1.53,1.41,1.73,1.74,7月23日,1.09,7月18日
053704元富NV,2764040,2457000,90,1.12,1.12,1.13,1.29,7月18日,1.01,7月12日
053705元富NW,302380,180000,28,1.68,1.71,1.67,1.96,7月20日,1.45,7月26日
053706凱基NU,104000,180000,7,0.58,0.56,0.54,0.61,7月18日,0.54,7月18日
053707凱基NW,5620410,6334000,91,0.89,0.95,0.66,1.26,7月6日,0.66,7月25日
053708凱基NX,2056230,2574000,26,0.8,0.81,0.63,0.93,7月10日,0.63,7月26日
053709凱基NY,206910,198000,2,1.04,1.04,1.04,1.05,7月18日,1.04,7月19日
053710凱基NZ,1486690,866000,31,1.72,1.63,1.77,1.83,7月30日,1.48,7月25日
053711元大93,1477360,2198000,58,0.67,0.73,0.93,1.14,7月5日,0.51,7月18日
053712元大94,2026770,1588000,52,1.28,1.25,1.4,1.44,7月30日,1.09,7月13日
053713元大95,386790,572000,23,0.68,0.69,0.73,0.89,7月16日,0.63,7月25日
053714日盛1P,2953310,10208000,184,0.29,0.33,0.19,0.62,7月5日,0.19,7月31日
053715日盛1R,260520,427000,17,0.61,0.6,0.49,0.66,7月12日,0.49,7月16日
053716國票JC,573020,588000,30,0.97,0.97,1.05,1.07,7月9日,0.87,7月16日
053717國票JE,2734300,4571000,237,0.6,0.62,0.26,1.24,7月4日,0.26,7月31日
053718國票JF,1865710,3064000,32,0.61,0.64,0.86,0.98,7月10日,0.47,7月18日
053719統一BX,666940,923000,31,0.72,0.7,0.57,1,7月5日,0.53,7月23日
053720國泰75,2283620,2025000,100,1.13,1.12,1.04,1.3,7月18日,1,7月13日
053721GM永豐,208280,272000,8,0.77,0.76,0.69,0.87,7月6日,0.67,7月18日
053722GN永豐,69470,111000,8,0.63,0.63,0.64,0.67,7月26日,0.57,7月11日
053723GP永豐,128460,233000,12,0.55,0.6,0.55,0.66,7月18日,0.53,7月26日
053724GQ永豐,110000,350000,9,0.31,0.31,0.34,0.35,7月27日,0.26,7月24日
053725GR永豐,342220,421000,18,0.81,0.76,0.87,0.87,7月31日,0.7,7月24日
053726GS永豐,5480810,6015000,95,0.91,0.92,1.15,1.15,7月31日,0.83,7月11日
053727GT永豐,19500,25000,2,0.78,0.78,0.78,0.78,7月6日,0.78,7月6日
053728GU永豐,1469910,2491000,49,0.59,0.58,0.53,0.71,7月5日,0.49,7月25日
053729GV永豐,41140,66000,14,0.62,0.61,0.62,0.65,7月13日,0.55,7月24日
053730GY永豐,15640,51000,6,0.31,0.3,0.27,0.36,7月20日,0.26,7月25日
053731GZ永豐,678540,2397000,77,0.28,0.37,0.2,0.63,7月9日,0.2,7月30日
053732HA永豐,280400,420000,12,0.67,0.68,0.63,0.72,7月13日,0.63,7月24日
053733HB永豐,33710,48000,17,0.7,0.67,0.73,0.74,7月30日,0.62,7月24日
053734HC永豐,48300,75000,4,0.64,0.62,0.52,0.68,7月18日,0.52,7月26日
053735HD永豐,580920,772000,20,0.75,0.77,0.82,0.85,7月12日,0.69,7月18日
053736HE永豐,2136010,2731000,92,0.78,0.76,0.91,1.1,7月26日,0.6,7月25日
053737HF永豐,267770,451000,18,0.59,0.61,0.58,0.69,7月11日,0.53,7月23日
053738HG永豐,39800,55000,5,0.72,0.72,0.74,0.74,7月31日,0.7,7月27日
053739康和IG,254010,145000,12,1.75,1.75,1.68,1.87,7月10日,1.68,7月31日
053740國泰78,102220,148000,6,0.69,0.85,0.68,0.99,7月5日,0.67,7月19日
053742富邦EQ,4741240,3552000,187,1.33,1.31,1.36,1.44,7月19日,1.17,7月9日
053743富邦ER,2938730,2383000,64,1.23,1.41,1.24,1.73,7月12日,1.02,7月26日
053744富邦ES,1092790,797000,55,1.37,1.46,1.26,2.14,7月5日,1.18,7月24日
053745富邦ET,12700,20000,3,0.64,0.71,0.4,0.9,7月5日,0.4,7月30日
053746第一3K,8650,12000,4,0.72,0.7,0.66,0.81,7月9日,0.65,7月11日
053747第一3L,295190,417000,16,0.71,0.7,0.73,0.77,7月30日,0.67,7月27日
053749群益FW,3050,5000,1,0.61,0.61,0.61,0.61,7月27日,0.61,7月27日
053750群益FX,11561960,6116000,161,1.89,1.71,2.2,2.2,7月31日,1.55,7月11日
053751群益GA,27000,80000,4,0.34,0.38,0.31,0.44,7月6日,0.31,7月31日
053753群益GC,2325070,1629000,73,1.43,1.48,1.76,1.87,7月31日,1.24,7月12日
053754群益GD,5678620,9117000,116,0.62,0.61,0.46,0.76,7月10日,0.45,7月24日
053755群益GE,431430,668000,14,0.65,0.64,0.8,0.8,7月31日,0.58,7月23日
053756群益GF,487700,526000,13,0.93,1.19,0.82,1.64,7月6日,0.82,7月31日
053757HI永豐,157470,298000,4,0.53,0.52,0.55,0.56,7月27日,0.49,7月26日
053758HJ永豐,350440,466000,24,0.75,0.73,0.72,0.81,7月19日,0.67,7月24日
053759HK永豐,569550,907000,14,0.63,0.62,0.68,0.68,7月31日,0.57,7月18日
053760HL永豐,112000,200000,4,0.56,0.56,0.55,0.57,7月24日,0.55,7月25日
053762HN永豐,8500,10000,1,0.85,0.85,0.85,0.85,7月31日,0.85,7月31日
053763大華MS,227250,245000,10,0.93,0.92,0.84,0.99,7月11日,0.84,7月18日
053764大華MT,1956600,2178000,81,0.9,0.88,0.86,0.99,7月23日,0.75,7月13日
053765大華MU,307640,355000,17,0.87,0.84,0.94,0.94,7月31日,0.72,7月26日
053766大華MV,1454850,1110000,61,1.31,1.32,1.4,1.64,7月27日,1.1,7月19日
053767日盛1U,10795990,9927000,202,1.09,1.06,1.28,1.28,7月31日,0.95,7月25日
053768日盛1W,180970,203000,12,0.89,0.9,0.87,0.91,7月13日,0.84,7月17日
053769日盛1X,1334970,1178000,41,1.13,1.11,1.14,1.2,7月9日,0.94,7月16日
053770凱基1B,65820,63000,6,1.04,1.03,1.19,1.24,7月31日,0.9,7月26日
053771凱基1C,812110,894000,23,0.91,0.88,0.88,0.94,7月19日,0.8,7月25日
053772凱基1D,1219490,878000,26,1.39,1.34,1.39,1.41,7月31日,1.26,7月24日
053773凱基1E,28650,50000,3,0.57,0.65,0.74,0.74,7月26日,0.54,7月19日
053775凱基1G,11500,12000,4,0.96,0.95,0.92,0.98,7月18日,0.92,7月23日
053776凱基1H,2274860,2338000,77,0.97,1.01,1.01,1.25,7月17日,0.79,7月25日
053777凱基1J,23690,23000,5,1.03,1.04,1.09,1.21,7月9日,0.9,7月27日
053779凱基1L,8900,20000,2,0.44,0.44,0.45,0.45,7月11日,0.44,7月9日
053780凱基1M,245460,408000,7,0.6,0.58,0.57,0.61,7月20日,0.54,7月24日
053781元富NX,15982660,18988000,396,0.84,0.95,0.88,1.2,7月10日,0.6,7月24日
053782元富NY,906420,718000,19,1.26,1.35,1.18,1.62,7月10日,1.18,7月26日
053783元大96,1169150,823000,60,1.42,1.36,1.56,1.68,7月31日,1.16,7月23日
053784元大97,286970,318000,20,0.9,0.88,0.78,1.14,7月6日,0.75,7月24日
053785元大98,526460,453000,20,1.16,1.16,1.22,1.24,7月20日,1,7月25日
053786AC元大,550300,770000,18,0.71,0.7,0.69,0.75,7月20日,0.68,7月26日
053787AD元大,564130,693000,51,0.81,0.8,0.75,0.94,7月11日,0.72,7月23日
053788AE元大,280500,310000,28,0.9,0.91,0.87,0.97,7月17日,0.83,7月17日
053790AG元大,1511050,1228000,119,1.23,1.28,1.19,1.48,7月6日,1.13,7月26日
053791AH元大,1130770,2132000,59,0.53,0.51,0.54,0.63,7月9日,0.41,7月24日
053792AI元大,392630,862000,33,0.46,0.36,0.33,0.54,7月6日,0.29,7月26日
053793統一BY,726110,1144000,50,0.63,0.69,0.49,1.14,7月6日,0.48,7月31日
053794富邦EU,2104650,1906000,90,1.1,1.12,1.07,1.18,7月23日,1.02,7月18日
053795富邦EV,293670,311000,20,0.94,0.93,0.82,1.22,7月10日,0.77,7月26日
053796富邦EW,159810,99000,19,1.61,1.55,1.56,1.72,7月17日,1.42,7月12日
053797富邦EX,430020,423000,11,1.02,1.01,1.12,1.14,7月27日,0.88,7月17日
053798富邦EY,903940,896000,18,1.01,1.02,0.94,1.17,7月10日,0.93,7月24日
053800兆豐77,27610,55000,9,0.5,0.48,0.38,0.6,7月10日,0.38,7月30日
053801兆豐78,41120,84000,7,0.49,0.44,0.29,0.57,7月11日,0.29,7月31日
053802兆豐80,2164840,2674000,65,0.81,0.8,0.74,0.87,7月19日,0.74,7月31日
053804兆豐82,30080,50000,14,0.6,0.57,0.68,0.68,7月27日,0.51,7月25日
053805兆豐83,54650,120000,27,0.46,0.47,0.18,0.69,7月10日,0.18,7月31日
053806富邦EZ,2085490,2240000,33,0.93,0.93,0.93,0.97,7月31日,0.87,7月31日
053808富邦FB,120800,198000,3,0.61,0.62,0.62,0.62,7月31日,0.61,7月31日
053809富邦FC,280470,400000,23,0.7,0.72,0.72,0.89,7月19日,0.65,7月24日
053810富邦FD,4994780,1671000,38,2.99,2.82,3.26,3.35,7月23日,2.28,7月19日
053811富邦FF,272250,594000,6,0.46,0.47,0.44,0.55,7月23日,0.42,7月26日
053813富邦FH,703840,767000,15,0.92,0.94,1,1.06,7月30日,0.85,7月25日
053814富邦FJ,2119230,1943000,63,1.09,1.04,0.89,1.37,7月12日,0.76,7月27日
053815富邦FK,19890,21000,6,0.95,0.92,1.01,1.01,7月31日,0.83,7月19日
053816富邦FM,273780,412000,8,0.66,0.67,0.63,0.75,7月18日,0.63,7月30日
053817富邦FN,3856520,1837000,101,2.1,2.09,2.28,2.58,7月11日,1.64,7月26日
053818富邦FP,21247870,12961000,260,1.64,1.72,1.55,2.27,7月10日,1.27,7月26日
053819富邦FQ,25777590,15890000,277,1.62,1.76,1.47,2.48,7月10日,1.14,7月26日
053820富邦FR,26270,25000,4,1.05,0.94,1.07,1.07,7月31日,0.82,7月25日
053821富邦FS,827420,659000,14,1.26,1.32,1.04,1.86,7月16日,1.04,7月26日
053822富邦FT,1803840,2804000,70,0.64,0.76,0.77,1.15,7月10日,0.53,7月17日
053823富邦FU,264480,210000,4,1.26,1.27,1.23,1.3,7月20日,1.22,7月23日
053825富邦FW,81100,80000,7,1.01,0.99,1.01,1.34,7月9日,0.8,7月18日
053826大華MY,70300,60000,4,1.17,1.16,1.16,1.18,7月31日,1.16,7月31日
053827大華MZ,1673660,1191000,46,1.41,1.39,1.66,1.66,7月31日,1.13,7月18日
053828大華NA,134800,120000,4,1.12,1.12,1.11,1.13,7月31日,1.11,7月31日
053829大華NB,763830,1207000,20,0.63,0.62,0.62,0.71,7月20日,0.58,7月27日
053830大華NC,339300,914000,27,0.37,0.38,0.5,0.5,7月31日,0.29,7月25日
053831國票JL,113160,245000,19,0.46,0.52,0.4,0.67,7月10日,0.31,7月24日
053832國票JM,153600,228000,6,0.67,0.76,0.69,0.93,7月10日,0.63,7月18日
053833國票JN,577550,1140000,53,0.51,0.55,0.53,0.71,7月18日,0.43,7月27日
053834國票JP,12200,20000,2,0.61,0.61,0.49,0.73,7月19日,0.49,7月24日
053835元富1B,395800,341000,11,1.16,1.17,1.41,1.41,7月31日,1.05,7月25日
053836元富1C,6815960,10137000,285,0.67,0.66,0.9,0.96,7月11日,0.47,7月18日
053838元富1E,518490,483000,11,1.07,1.06,1.11,1.13,7月30日,1.02,7月27日
053839元富1F,28200,24000,2,1.18,1.42,1.05,1.8,7月9日,1.05,7月20日
053840元富1G,1278700,1192000,64,1.07,1.06,1.14,1.16,7月30日,0.97,7月23日
053841元富1H,4341330,3951000,77,1.1,1.08,1.11,1.17,7月27日,0.9,7月26日
053842元富1J,2892290,4113000,73,0.7,0.75,0.71,0.99,7月9日,0.55,7月18日
053844元富1L,352800,560000,205,0.63,0.62,0.58,0.65,7月19日,0.58,7月24日
053845元富1M,304120,400000,203,0.76,0.76,0.76,0.77,7月17日,0.76,7月18日
053846元富1N,35650,30000,3,1.19,1.18,1.11,1.28,7月9日,1.11,7月10日
053849元富1R,1716490,1097000,33,1.56,1.6,1.62,1.75,7月18日,1.5,7月30日
053850HP永豐,484530,867000,20,0.56,0.56,0.53,0.78,7月9日,0.47,7月26日
053851HQ永豐,45030,83000,7,0.54,0.52,0.47,0.6,7月30日,0.47,7月31日
053853HS永豐,931750,2961000,129,0.31,0.36,0.25,0.65,7月9日,0.19,7月25日
053854HT永豐,267620,632000,105,0.42,0.42,0.42,0.43,7月17日,0.42,7月17日
053855HU永豐,532630,684000,22,0.78,0.78,0.71,0.86,7月9日,0.71,7月24日
053856HV永豐,675520,1051000,40,0.64,0.64,0.66,0.68,7月20日,0.59,7月25日
053857HW永豐,389660,670000,18,0.58,0.58,0.61,0.8,7月16日,0.54,7月18日
053858HX永豐,17500,40000,4,0.44,0.44,0.44,0.44,7月31日,0.43,7月31日
053859HY永豐,450340,1077000,20,0.42,0.46,0.46,0.57,7月9日,0.4,7月26日
053860HZ永豐,10000,20000,1,0.5,0.5,0.5,0.5,7月31日,0.5,7月31日
053861IA永豐,369330,723000,9,0.51,0.51,0.53,0.53,7月31日,0.48,7月25日
053862凱基1N,15360,26000,5,0.59,0.6,0.65,0.65,7月31日,0.53,7月26日
053863凱基1P,595170,488000,10,1.22,1.26,1.3,1.35,7月24日,1.13,7月26日
053864凱基1Q,611860,772000,391,0.79,0.8,0.8,0.8,7月31日,0.78,7月30日
053865凱基1R,627660,990000,305,0.63,0.63,0.65,0.66,7月24日,0.58,7月18日
053866凱基1S,1675840,1806000,22,0.93,0.94,0.66,1.22,7月10日,0.64,7月18日
053867凱基1T,103300,90000,6,1.15,1.16,1.14,1.21,7月17日,1.09,7月24日
053869凱基1V,1936360,880000,21,2.2,2.11,2.44,2.47,7月31日,1.87,7月20日
053871凱基1X,101980,139000,4,0.73,0.76,0.72,0.81,7月13日,0.72,7月31日
053872國泰82,33200,50000,5,0.66,0.63,0.56,0.74,7月9日,0.54,7月27日
053873國泰83,3247150,2781000,146,1.17,1.16,1.24,1.27,7月30日,1.05,7月23日
053874國泰84,182680,157000,25,1.16,1.13,1.11,1.5,7月19日,1.06,7月26日
053875國泰85,8500,10000,1,0.85,0.85,0.85,0.85,7月31日,0.85,7月31日
053876國泰87,10540,15000,7,0.7,0.71,0.75,0.8,7月16日,0.6,7月18日
053877國泰88,28900,50000,5,0.58,0.58,0.61,0.66,7月27日,0.49,7月18日
053878國泰90,5520,8000,2,0.69,0.69,0.72,0.72,7月30日,0.66,7月27日
053879國泰91,79830,82000,10,0.97,0.97,1.11,1.11,7月27日,0.89,7月26日
053880國泰93,5500,10000,4,0.55,0.55,0.44,0.66,7月13日,0.44,7月17日
053881國泰94,1230730,2396000,164,0.51,0.61,0.39,1.17,7月9日,0.3,7月25日
053882兆豐84,36050,80000,7,0.45,0.47,0.41,0.51,7月13日,0.41,7月25日
053883兆豐85,112370,224000,16,0.5,0.51,0.57,0.57,7月30日,0.44,7月17日
053884AJ元大,42560,88000,8,0.48,0.47,0.41,0.53,7月10日,0.41,7月30日
053885AK元大,11380,28000,4,0.41,0.4,0.33,0.46,7月11日,0.33,7月23日
053887AM元大,1445360,1522000,50,0.95,0.88,0.92,1.07,7月30日,0.75,7月24日
053888AN元大,34650,40000,4,0.87,0.9,0.92,0.92,7月30日,0.81,7月27日
053889AP元大,221900,310000,22,0.72,0.71,0.7,0.78,7月12日,0.64,7月26日
05388P元大KP,11400,17000,3,0.67,0.69,0.69,0.69,7月2日,0.6,7月2日
053890AQ元大,4340,6000,2,0.72,0.71,0.75,0.75,7月31日,0.67,7月23日
053891AR元大,79910,92000,5,0.87,0.86,0.81,0.9,7月24日,0.81,7月31日
053893AT元大,499900,653000,77,0.77,0.76,0.83,0.83,7月31日,0.7,7月23日
053894AU元大,409340,449000,28,0.91,0.9,0.91,0.95,7月30日,0.83,7月25日
053895AV元大,9454120,14702000,319,0.64,0.64,0.71,0.76,7月27日,0.47,7月18日
053896AW元大,125030,137000,15,0.91,0.88,0.97,1.04,7月27日,0.79,7月26日
053897AX元大,82170,102000,8,0.81,0.82,0.88,0.94,7月27日,0.73,7月23日
053898AY元大,42700,40000,4,1.07,1.07,0.99,1.12,7月18日,0.99,7月30日
053899AZ元大,328200,414000,23,0.79,0.79,0.79,0.83,7月18日,0.76,7月10日
053900BA元大,845580,1735000,51,0.49,0.53,0.47,0.68,7月20日,0.39,7月24日
053901BB元大,1838300,5533000,104,0.33,0.34,0.23,0.57,7月10日,0.2,7月24日
053904第一3P,101820,116000,25,0.88,0.89,0.97,0.97,7月27日,0.8,7月18日
053906第一3R,11480,14000,1,0.82,0.82,0.82,0.82,7月31日,0.82,7月31日
053907第一3S,42700,60000,4,0.71,0.65,0.39,0.78,7月11日,0.39,7月24日
053912中信B8,3930,6000,3,0.66,0.66,0.63,0.68,7月23日,0.63,7月24日
053913中信B9,2830160,2594000,41,1.09,1.05,1.16,1.24,7月27日,0.8,7月18日
053914統一BZ,1063070,1168000,41,0.91,0.86,1,1.08,7月27日,0.67,7月25日
053915統一CB,7300,10000,2,0.73,0.73,0.7,0.76,7月20日,0.7,7月23日
053916統一CC,471460,564000,267,0.84,0.85,0.93,0.94,7月27日,0.77,7月18日
053917統一CD,61830,121000,12,0.51,0.62,0.42,1.03,7月13日,0.42,7月31日
053918統一CF,2049340,4391000,66,0.47,0.48,0.43,0.67,7月10日,0.39,7月18日
053919凱基1Y,337790,524000,35,0.64,0.65,0.7,0.73,7月30日,0.61,7月19日
053922凱基2B,689390,674000,22,1.02,0.94,0.93,1.05,7月20日,0.86,7月25日
053923凱基2C,194060,272000,12,0.71,0.74,0.7,0.83,7月11日,0.66,7月27日
053925凱基2E,216590,288000,13,0.75,0.86,0.97,1.1,7月10日,0.63,7月18日
053926凱基2F,2211210,1080000,32,2.05,2.03,1.97,2.2,7月19日,1.85,7月30日
053927凱基2G,27040,36000,8,0.75,0.77,0.93,0.93,7月30日,0.68,7月23日
053928凱基2H,1073930,1030000,18,1.04,1.1,1.03,1.36,7月12日,0.92,7月25日
053930凱基2K,51260,86000,5,0.6,0.6,0.55,0.66,7月27日,0.55,7月30日
053931大眾1R,125000,100000,2,1.25,1.25,1.25,1.25,7月31日,1.25,7月31日
053932大眾2R,279500,420000,8,0.67,0.68,0.65,0.75,7月10日,0.65,7月13日
053933大眾3R,40600,40000,3,1.02,1.02,0.99,1.04,7月24日,0.99,7月26日
053935日盛1Y,801420,947000,22,0.85,0.85,0.73,0.94,7月17日,0.73,7月27日
053936日盛1Z,955980,1007000,52,0.95,0.94,1,1.02,7月31日,0.85,7月23日
053937日盛2A,284450,1140000,12,0.25,0.3,0.24,0.46,7月16日,0.21,7月24日
053938日盛2B,62370,198000,2,0.32,0.32,0.3,0.33,7月24日,0.3,7月31日
053941日盛2E,202270,470000,18,0.43,0.46,0.52,0.52,7月31日,0.37,7月17日
053942大華ND,121250,110000,8,1.1,1.1,1.03,1.17,7月17日,1.03,7月24日
053945大華NG,491370,596000,23,0.82,0.77,0.93,0.93,7月27日,0.62,7月18日
053946大華NH,34820,62000,6,0.56,0.57,0.55,0.59,7月16日,0.55,7月18日
053947大華NI,861300,990000,10,0.87,0.89,0.84,1.01,7月16日,0.83,7月17日
053948工銀G5,15338530,11815000,219,1.3,1.35,1.64,1.64,7月31日,1.18,7月25日
053949工銀G6,109300,244000,11,0.45,0.4,0.32,0.59,7月20日,0.3,7月24日
053950工銀G7,66120,74000,6,0.89,0.89,0.82,0.95,7月11日,0.82,7月13日
053951群益GH,64800,80000,5,0.81,0.77,0.83,0.84,7月31日,0.72,7月12日
053952群益GI,209640,420000,204,0.5,0.57,0.65,0.66,7月27日,0.44,7月19日
053953群益GJ,2843620,3754000,268,0.76,0.81,0.89,1,7月10日,0.6,7月19日
053954群益GK,10360,26000,4,0.4,0.44,0.4,0.54,7月23日,0.36,7月25日
053955群益GL,2775520,3512000,179,0.79,0.99,0.67,1.61,7月11日,0.52,7月25日
053956群益GM,315630,462000,8,0.68,0.67,0.76,0.79,7月30日,0.58,7月24日
053957群益GN,91900,115000,7,0.8,0.75,0.76,0.84,7月30日,0.66,7月17日
053958群益GP,50200,80000,5,0.63,0.63,0.64,0.64,7月31日,0.61,7月30日
053959群益GQ,38900,60000,4,0.65,0.65,0.64,0.67,7月11日,0.63,7月16日
053960群益GR,760,2000,1,0.38,0.38,0.38,0.38,7月23日,0.38,7月23日
053961群益GS,16300,20000,2,0.82,0.82,0.8,0.83,7月10日,0.8,7月11日
053962兆豐86,569570,594000,23,0.96,0.89,0.96,0.99,7月30日,0.79,7月25日
053963大眾5R,39600,40000,21,0.99,0.99,0.98,1,7月18日,0.98,7月19日
