105年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2016,,,,,
證     券     名     稱,,成   交   值,成   交   量,收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
2023,燁輝,"12,079,355,043","1,113,847,014",9.25,64.85
,YP,,,,
2024,志聯工業,"325,458,368","41,020,011",7.24,42.09
,CHIH LIEN,,,,
2027,大成鋼,"5,573,349,696","328,848,056",16.19,39.91
,TC,,,,
2029,盛餘,"6,284,514,304","205,376,066",23.93,63.95
,Sheng Yu Steel,,,,
2030,彰源,"1,752,997,388","168,007,918",9.97,58.62
,FROCH,,,,
2031,新光鋼鐵,"7,332,254,525","375,493,700",16.45,135.83
,Hsin Kuang Steel,,,,
2032,新鋼工業,"1,020,685,714","96,485,814",9.86,73.94
,Sinkang,,,,
2033,佳大世界,"109,290,627","11,790,521",9.23,14.6
,Chia Ta,,,,
2034,允強,"8,385,823,764","336,553,786",23.48,85.54
,YC,,,,
2038,海光企業,"371,909,539","58,016,719",6.27,33.62
,HAIKWANG,,,,
2069,運錩鋼鐵,"1,746,122,362","80,994,435",19.08,65.34
,YC,,,,
3004,豐達科技,"4,185,156,303","69,478,435",58.03,131.97
,NAFCO,,,,
5007,三星科技,"2,050,127,329","34,211,729",59.42,11.6
,SAN SHING,,,,
5538,東明-KY,"326,220,764","12,907,004",25.56,7.68
,TONG MING,,,,
9958,世紀鋼,"461,518,125","43,839,877",10,23.63
,CIAS,,,,
11,橡膠工業類,,,,
,Rubber,,,,
2101,南港輪胎,"8,838,734,526","302,932,145",28.73,36.34
,Nan Kang Rubber Tire,,,,
2102,泰豐輪胎,"1,926,062,884","139,193,600",13.99,29.71
,FEDERAL CORP,,,,
2103,台橡,"21,309,897,124","725,723,274",28.32,87.89
,TSRC,,,,
2104,中國橡膠,"5,589,596,261","220,751,384",24.44,36.88
,China Synthetic Rubber,,,,
2105,正新橡膠,"97,190,754,421","1,514,358,315",63.27,46.72
,CST,,,,
2106,建大工業,"12,464,765,243","241,354,747",50.16,28
,Kenda Rubber Ind.,,,,
2107,厚生,"2,718,167,462","167,916,983",15.86,35.48
,Formosan Rubber Group,,,,
2108,南帝化工,"6,329,134,980","253,099,990",24.45,58.42
,Nantex,,,,
2109,華豐橡膠,"725,226,764","62,735,510",11.28,20.58
,Hwa Fong,,,,
2114,鑫永銓,"1,040,021,413","13,185,497",78.45,19.53
,HYC,,,,
2115,六暉-KY,"5,529,733,193","98,438,621",50.43,132.14
,LU HAI,,,,
12,汽車工業類,,,,
,Automobile,,,,
1338,廣華-KY,"22,831,865,032","188,058,025",116.04,224.31
,Hiroca,,,,
2201,裕隆汽車,"11,330,041,305","401,725,890",28.16,25.54
,Yulon Motor,,,,
2204,中華汽車,"9,043,341,660","381,335,988",23.62,27.55
,China-Motor,,,,
2206,三陽工業,"6,090,454,592","283,048,078",21.09,32.16
,Sanyang Industry,,,,
2207,和泰汽車,"23,307,318,438","69,112,092",341.22,12.65
,Hotai Motor,,,,
2227,裕日車,"5,248,999,144","24,416,296",210.83,8.13
,YNM,,,,
2239,英利-KY,"17,692,996,593","96,292,439",175.22,87.54
,Cayman Engley,,,,
3346,麗清,"1,733,523,608","30,648,032",57.75,44.88
,Laster Tech,,,,
14,建材營造類,,,,
,Building Material and Construction,,,,
1436,華友聯,"478,742,119","12,026,405",40.19,16.61
,HUA YU LIEN,,,,
1438,裕豐,"30,763,855","7,597,181",4.15,7.44
,Yu Foung,,,,
1442,名軒,"646,585,550","32,802,973",19.01,13.04
,ADVANCETEK,,,,
1805,寶徠建設,"99,125,233","15,072,297",6.21,18.64
,KPT,,,,
1808,潤隆,"5,223,285,734","151,923,873",32.11,64.88
,RUN LONG,,,,
2501,國建,"3,507,865,385","226,314,483",14.65,16.01
,Cathay Const.,,,,
2504,國產,"2,275,627,031","301,243,611",7.97,20.86
,GBM,,,,
2505,國揚,"1,119,645,730","92,957,788",11.99,16.13
,Ky,,,,
2506,太設,"347,853,924","26,860,755",12.89,6.94
,PCC,,,,
2509,全坤建,"658,981,291","30,249,680",20.55,19.95
,CHAINQUI,,,,
2511,太子,"3,498,370,620","317,200,241",10.57,19.55
,PHD,,,,
2515,中工,"6,871,908,718","1,156,525,932",5.79,75.54
,BES,,,,
2516,新建,"527,566,352","79,177,619",6.44,34.55
,New Asia,,,,
2520,冠德,"9,395,121,872","534,375,272",16.27,106.06
,Kindom,,,,
2524,京城,"689,376,221","36,694,841",18.83,9.54
,KTC,,,,
2527,宏璟,"384,393,579","21,932,581",17.38,8.14
,Hung Ching,,,,
2528,皇普,"50,968,070","7,025,329",6.87,5.81
,CROWELL,,,,
2530,華建,"1,845,281,873","112,581,357",15.21,41.58
,Delpha Construction,,,,
2534,宏盛,"2,230,895,435","135,852,588",16.23,23.07
,HSC,,,,
2535,達欣工,"1,248,552,965","69,616,874",16.86,31.7
,DA CIN,,,,
2536,宏普,"2,985,172,268","113,820,374",25.46,34.21
,Hung Poo,,,,
2537,聯上開發,"3,337,518,878","307,222,590",10.16,111.94
,WE &WIN,,,,
2538,基泰,"3,640,363,449","285,879,122",12.95,65.44
,Kee Tai,,,,
2539,櫻花建,"429,647,625","15,704,741",26.54,5.17
,SAKURAD,,,,
2540,愛山林,"59,668,727","2,250,219",26.73,1.54
,I- Sunny,,,,
2542,興富發,"55,327,936,267","1,235,768,074",45.45,105.91
,Highwealth,,,,
2543,皇昌,"205,870,126","21,615,411",9.31,12.06
,Hwang Chang,,,,
2545,皇翔,"8,679,983,332","242,142,566",33.83,73.88
,Huang Hsiang,,,,
2546,根基,"324,170,053","20,244,222",15.63,19.11
,Kedge,,,,
2547,日勝生,"2,093,465,519","206,393,600",10.01,23.09
,Radium,,,,
2548,華固,"15,734,149,491","277,706,611",55.74,100.33
,HUAKU,,,,
2597,潤弘精密,"564,707,218","13,457,564",40.27,9.97
,REC,,,,
2841,台開,"4,956,643,481","447,564,376",10.63,61.04
,TDC,,,,
2923,鼎固-KY,"540,276,388","24,705,518",20.92,1.43
,Sino Horizon,,,,
3052,夆典,"688,575,877","77,958,087",8.68,33.47
,APEX,,,,
3056,總太地產,"5,074,053,344","296,951,464",16.38,129.13
,ZongTai,,,,
3266,昇陽,"425,422,008","36,244,953",11.73,10.3
,SUNTY,,,,
3703,欣陸,"1,474,668,811","135,958,049",10.53,16.2
,CONTINENTAL,,,,
5515,建國,"199,906,095","23,117,547",8.61,6.84
,CHIEN KUO,,,,
5519,隆大,"704,511,470","59,531,935",11.65,32.51
,LD,,,,
5521,工信,"1,084,729,529","100,649,742",10.54,28.96
,KSECO,,,,
5522,遠雄建設,"10,048,369,508","276,589,061",36.16,33.12
,Farglory,,,,
5525,順天,"333,141,934","21,606,527",15.45,8.52
,SWEETEN,,,,
5531,鄉林建設,"1,660,218,408","146,566,131",10.79,16.61
,SHINING,,,,
5533,皇鼎建設,"1,069,695,957","64,558,856",16.46,23.15
,FOUNDING,,,,
5534,長虹,"12,113,475,285","220,759,499",53.13,78.12
,CHONG HONG,,,,
6177,達麗,"1,450,588,379","65,846,576",20.96,32.94
,"DA-LI CO., LTD.",,,,
9906,欣巴巴,"4,019,727,913","200,592,278",17.45,286.56
,HSIN BA BA,,,,
9946,三發地產,"1,305,149,300","96,502,894",12.72,36.65
,SanFar,,,,
15,航運業類,,,,
,Shipping and Transportation,,,,
2208,台船公司,"2,467,017,824","166,456,395",14.56,22.4
,CSBC,,,,
2603,長榮,"21,588,544,804","1,755,374,522",12.02,49.97
,EMC,,,,
2605,新興,"5,046,683,588","253,646,553",19.42,44.62
,SNC,,,,
2606,裕民,"9,785,922,709","387,394,696",24.41,45.81
,U-Ming,,,,
2607,榮運,"1,971,543,284","149,977,542",13.05,14.07
,EITC,,,,
2608,嘉里大榮,"5,871,351,347","142,176,262",41.33,29.41
,Kerry TJ,,,,
2609,陽明,"14,372,383,322","2,071,056,685",7.4,68.93
,YMTC,,,,
2610,華航,"29,807,742,106","2,917,153,280",10.14,53.32
,CAL,,,,
