櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"104年6月  Jun., 15",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值：507,779,256,098元",,,,,,"3. 櫃檯買賣月總成交筆數：4,425,719筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,327,078,947股",,,,,,4. 成交量週轉率：12.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量     （ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　                         Average Price （NTD / Share）,,,,月底收盤價    End of Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均  Average,最　高  Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5213,亞昕,"97,213,366","5,523,662","2,045",17.60,18.10,17.10,17.44,17.40,4.96 ,6.32,1.45,0.87
5324,士開,"16,498,123","1,617,709",884,10.20,11.45,9.05,10.30,10.10,N/A,0.00,2.12,1.11
5508,永信建,"538,311,179","9,566,249","4,680",56.27,59.00,53.40,55.81,54.90,6.86 ,14.77,5.28,1.99
5511,德昌,"59,205,342","2,193,690",873,26.99,27.70,26.45,27.03,26.95,7.17 ,9.83,1.45,1.18
5512,力麒,"216,636,219","18,450,809","6,383",11.74,12.40,11.10,11.78,11.80,7.33 ,4.24,2.45,0.64
5514,三豐,"39,575,305","2,291,945","1,142",17.27,19.20,15.90,17.51,17.45,6.76 ,11.46,1.49,1.16
5516,雙喜,"4,756,250","463,000",198,10.27,11.20,9.37,10.54,10.65,N/A,0.00,1.21,0.92
5520,力泰,"2,381,738","88,373",51,26.95,27.00,26.50,26.96,26.90,18.42 ,5.02,0.12,1.04
5523,豐謙,"8,944,156","686,657",159,13.03,13.90,12.30,13.27,12.45,3.66 ,0.00,0.61,1.13
5529,志嘉,"11,276,970","1,151,334",634,9.79,11.30,9.22,9.87,9.72,N/A,5.14,1.13,0.81
