103年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2014,,,,,
證     券     名     稱,,成   交   值,成   交   量,收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
1525,江申,"6,655,362,451 ","86,537,034 ",71.94 ,124.97 
,KSC,,,,
1526,日馳,"895,977,908 ","67,964,811 ",11.90 ,135.94 
,SUNRACE,,,,
1527,鑽全,"16,306,736,121 ","411,409,822 ",38.46 ,268.40 
,BASSO,,,,
1528,恩德科技,"1,213,900,110 ","83,068,297 ",13.59 ,56.51 
,Anderson,,,,
1530,亞崴電機,"4,983,075,616 ","100,455,223 ",47.38 ,109.22 
,Awea,,,,
1531,高林股,"8,738,174,404 ","328,822,559 ",23.93 ,170.24 
,Kaulin,,,,
1533,車王電,"33,501,754,609 ","561,885,155 ",57.24 ,582.78 
,MORE,,,,
1535,中宇,"1,821,689,744 ","24,982,044 ",71.84 ,20.18 
,CEC,,,,
1536,和大,"59,915,431,695 ","1,122,121,461 ",52.53 ,495.54 
,HOTA,,,,
1537,廣隆光電,"16,821,662,612 ","174,998,155 ",97.19 ,214.50 
,KUNG LONG,,,,
1538,正峰新,"1,416,078,507 ","136,972,630 ",9.57 ,90.74 
,JF,,,,
1539,巨庭機械,"3,472,164,723 ","164,332,541 ",20.16 ,251.39 
,GEETECH,,,,
1540,喬福機械,"2,914,710,339 ","124,336,277 ",22.95 ,145.48 
,JOHNFORD,,,,
1541,錩泰,"1,228,613,947 ","68,807,811 ",17.04 ,87.32 
,Chang Type,,,,
1558,伸興,"109,638,507 ","677,635 ",160.75 ,1.12 
,ZENG HSING,,,,
1560,中砂,"25,918,745,882 ","314,418,926 ",78.49 ,222.98 
,KINIK,,,,
1568,倉佑,"2,644,712,369 ","95,177,978 ",24.54 ,92.34 
,T.Y.,,,,
1583,程泰,"6,724,502,476 ","82,133,768 ",82.14 ,84.69 
,GOODWAY,,,,
1589,F-永冠,"57,972,260,336 ","437,176,323 ",132.61 ,425.87 
,YGG,,,,
1590,F-亞德,"55,584,863,894 ","193,082,297 ",286.23 ,113.25 
,AIRTAC,,,,
1592,F-英瑞,"834,475,443 ","25,321,130 ",30.74 ,25.21 
,Enterex,,,,
2049,上銀科技,"195,954,965,385 ","691,004,697 ",285.63 ,268.17 
,HIWIN,,,,
2228,劍麟,"18,587,370,955 ","153,347,813 ",120.50 ,213.87 
,IRF,,,,
2231,為升,"61,513,809,755 ","203,877,988 ",281.91 ,311.59 
,CUB,,,,
2371,大同,"22,360,632,336 ","2,377,982,259 ",9.20 ,101.64 
,Tatung,,,,
3167,大量科技,"3,477,508,537 ","81,234,027 ",39.99 ,116.61 
,TA LIANG,,,,
4526,東台,"8,179,478,928 ","260,438,840 ",30.59 ,110.99 
,TOPPER,,,,
4532,瑞智,"15,340,531,190 ","472,241,481 ",31.99 ,102.77 
,RECHI,,,,
5288,F-豐祥,"2,746,818,837 ","40,751,646 ",61.65 ,63.68 
,Eurocharm,,,,
6605,帝寶,"20,638,166,998 ","169,021,195 ",119.06 ,101.93 
,DEPO,,,,
8374,羅昇,"1,645,969,318 ","64,307,278 ",24.24 ,73.39 
,ACE PILLAR,,,,
8996,高力,"13,587,059,346 ","175,208,702 ",71.32 ,224.13 
,KAORI,,,,
06,電器電纜類,,,,
,Electrical and Cable,,,,
1603,中華電纜,"694,023,912 ","54,239,349 ",12.66 ,15.85 
,CWCO,,,,
1604,聲寶,"4,654,450,425 ","375,550,449 ",12.30 ,69.07 
,Sampo,,,,
1605,華新麗華,"28,563,799,809 ","2,814,573,460 ",10.04 ,78.72 
,WALSIN,,,,
1608,華榮,"2,241,482,793 ","193,446,096 ",11.05 ,30.55 
,HE,,,,
1609,大亞電纜,"1,800,544,757 ","251,082,257 ",7.01 ,43.25 
,TA YA,,,,
1611,中國電器,"2,211,150,180 ","172,568,695 ",12.16 ,43.31 
,CE,,,,
1612,宏泰電工,"1,775,072,730 ","165,814,294 ",10.42 ,51.16 
,Hong Tai,,,,
1613,台一,"1,740,734,359 ","270,233,478 ",5.88 ,135.10 
,Tai-I,,,,
1614,三洋電機,"2,302,925,031 ","62,323,120 ",35.37 ,23.17 
,SANYO,,,,
1615,大山電纜,"535,289,543 ","43,360,346 ",10.88 ,38.77 
,Dah San,,,,
1616,億泰電纜,"596,350,937 ","97,207,003 ",6.02 ,50.06 
,Evertop,,,,
1617,榮星電線,"143,121,846 ","16,130,348 ",8.76 ,11.17 
,JSW,,,,
1618,合機電纜,"553,647,305 ","57,806,955 ",9.27 ,24.01 
,Hold-Key,,,,
1626,F-艾美,"2,509,597,068 ","38,924,720 ",57.98 ,31.78 
,AIRMATE,,,,
4930,燦星網,"3,089,209,062 ","191,356,772 ",16.06 ,81.34 
,Star Comgistic,,,,
08,玻璃陶瓷類,,,,
,Glass and Ceramics,,,,
1802,臺灣玻璃,"7,874,025,675 ","296,635,392 ",26.29 ,12.48 
,Taiwan Glass,,,,
1806,冠軍,"1,811,466,639 ","164,906,273 ",10.71 ,37.72 
,CHAMPION,,,,
1809,中國製釉,"2,894,677,637 ","171,588,059 ",15.45 ,90.41 
,China Glaze,,,,
1810,和成欣業,"3,514,966,993 ","325,951,152 ",10.51 ,88.13 
,HCG,,,,
1817,凱撒衛浴,"1,427,849,221 ","40,088,784 ",33.64 ,55.23 
,SANITAR,,,,
09,造紙工業類,,,,
,Paper and Pulp,,,,
1902,台灣紙業,"2,446,254,487 ","187,210,939 ",12.37 ,46.58 
,TPPC,,,,
1903,士林紙業,"1,396,835,262 ","32,301,163 ",42.78 ,12.44 
,Shihlin Paper,,,,
1904,正隆,"2,704,057,226 ","204,663,317 ",13.22 ,19.07 
,Cheng Loong,,,,
1905,中華紙漿,"1,776,593,098 ","194,565,573 ",9.06 ,15.56 
,CHP,,,,
1906,寶隆,"2,411,906,377 ","202,899,983 ",11.22 ,134.36 
,P.L,,,,
1907,永豐餘,"5,829,499,357 ","417,109,758 ",13.76 ,25.09 
,YFY,,,,
1909,榮成紙業,"12,095,392,145 ","788,742,190 ",15.05 ,97.35 
,LCP,,,,
10,鋼鐵工業類,,,,
,Iron and Steel,,,,
1532,勤美,"7,492,702,110 ","223,305,849 ",33.04 ,57.41 
,CMP,,,,
2002,中國鋼鐵,"94,843,432,071 ","3,690,848,849 ",25.71 ,23.72 
,China Steel,,,,
2002A,中鋼特,"110,449,602 ","2,673,250 ",41.35 ,6.97 
,China Steel  (A Preferred),,,,
2006,東和鋼鐵,"8,015,651,973 ","315,319,280 ",25.18 ,31.58 
,Tung Ho Steel,,,,
2007,燁興,"557,193,446 ","82,887,539 ",6.37 ,13.14 
,YH,,,,
2008,高興昌,"2,768,387,862 ","197,422,182 ",12.41 ,71.66 
,KHC,,,,
2009,第一伸銅,"678,547,614 ","63,131,929 ",10.47 ,17.56 
,FCC,,,,
2010,春源鋼鐵,"2,195,467,537 ","177,809,902 ",11.93 ,27.46 
,Chun Yuan Steel,,,,
2012,春雨工廠,"1,889,129,767 ","141,634,698 ",12.96 ,49.24 
,Chun Yu,,,,
2013,中鋼構,"1,020,512,931 ","33,199,047 ",30.47 ,20.34 
,CSSC,,,,
2014,中鴻,"2,780,441,704 ","348,202,374 ",7.84 ,24.24 
,CHUNG HUNG,,,,
2015,豐興鋼鐵,"10,375,035,464 ","238,279,571 ",44.33 ,40.98 
,FH,,,,
2017,官田鋼,"1,509,130,078 ","221,473,154 ",6.57 ,57.32 
,Quintain Steel,,,,
2020,美亞,"1,445,846,092 ","97,474,548 ",13.98 ,37.45 
,MAYER PIPE,,,,
2022,聚亨,"2,236,030,126 ","364,491,520 ",5.76 ,67.45 
,TYCOONS,,,,
2023,燁輝,"6,312,953,013 ","653,015,094 ",9.37 ,39.55 
,YP,,,,
2024,志聯工業,"1,405,001,777 ","151,831,305 ",8.11 ,140.37 
,CHIH LIEN,,,,
2025,千興,"4,440,792,181 ","778,478,647 ",4.79 ,241.13 
,CSSSC,,,,
2027,大成鋼,"14,231,134,925 ","756,650,406 ",17.65 ,97.37 
,TC,,,,
2028,威致,"756,732,961 ","154,811,431 ",4.56 ,58.42 
,WEI CHIH,,,,
