101年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2012,,,,,
證     券     名     稱,,"成   交   值
(單位：元)","成   交   量
(單位：股)",收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
2104,中國橡膠,"11,244,896,173 ","370,057,788 ",29.49 ,67.37 
,China Synthetic Rubber,,,,
2105,正新橡膠,"113,414,228,024 ","1,556,187,912 ",72.70 ,59.64 
,CST,,,,
2106,建大工業,"18,765,737,175 ","526,216,492 ",35.03 ,73.60 
,Kenda Rubber Ind.,,,,
2107,厚生,"7,722,152,088 ","382,275,987 ",19.94 ,76.72 
,Formosan Rubber Group,,,,
2108,南帝化工,"3,746,308,498 ","155,855,254 ",23.58 ,42.47 
,Nantex,,,,
2109,華豐橡膠,"946,448,292 ","143,617,336 ",6.37 ,44.55 
,Hwa Fong,,,,
2114,鑫永銓,"4,599,718,680 ","65,764,127 ",66.80 ,107.12 
,HYC,,,,
12,汽車工業類,,,,
,Automobile,,,,
1338,F-廣華,"281,676,716 ","3,615,723 ",76.69 ,5.09 
,Hiroca,,,,
2201,裕隆汽車,"101,751,835,639 ","1,851,293,145 ",53.86 ,117.70 
,Yulon Motor,,,,
2204,中華汽車,"37,048,570,501 ","1,300,700,093 ",27.54 ,93.99 
,China-Motor,,,,
2206,三陽工業,"19,070,054,698 ","987,654,527 ",18.70 ,110.18 
,Sanyang Industry,,,,
2207,和泰汽車,"43,257,824,691 ","216,569,607 ",197.70 ,39.64 
,Hotai Motor,,,,
2227,裕日車,"18,791,128,312 ","86,263,569 ",222.58 ,28.77 
,YNM,,,,
14,建材營造類,,,,
,Building Material and Construction,,,,
1436,福益,"1,128,370,646 ","68,076,561 ",29.82 ,25.95 
,FUI,,,,
1442,名軒,"3,178,536,967 ","119,206,265 ",25.96 ,57.79 
,ADVANCETEK,,,,
1805,寶徠建設,"153,474,123 ","9,830,047 ",15.54 ,18.46 
,KPT,,,,
1808,潤隆,"8,749,100,984 ","213,220,874 ",37.83 ,151.68 
,RUN LONG,,,,
2501,國建,"13,939,196,608 ","1,046,469,446 ",13.03 ,63.16 
,Cathay Const.,,,,
2504,國產,"10,004,311,537 ","875,620,544 ",11.11 ,57.64 
,CATHAYRED GDC,,,,
2505,國揚,"10,967,971,895 ","794,370,801 ",13.05 ,191.71 
,Ky,,,,
2506,太設,"1,021,072,090 ","112,213,103 ",8.74 ,27.89 
,PCC,,,,
2509,全坤建,"1,593,315,842 ","79,405,123 ",19.80 ,52.31 
,CHAINQUI,,,,
2511,太子,"29,082,375,477 ","1,393,051,881 ",20.64 ,124.45 
,PHD,,,,
2515,中工,"16,745,945,095 ","2,130,295,877 ",7.60 ,139.69 
,BES,,,,
