,民國99年05月,,,,,,,May-10,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2385  群光,5109191029 ,64093802 ,32593 ,79.71,79.79,78.4,85.4,5月11日,72.8,5月21日,10.84
2387  精元,640188178 ,20595919 ,7592 ,31.08,31.62,30.45,35.8,5月4日,27.05,5月25日,5.52
2395  研華,1095809604 ,16371367 ,9894 ,66.93,67.09,67.7,70.7,5月3日,64.4,5月25日,3.17
2397  友通,184429663 ,5354225 ,3028 ,34.45,33.87,32.7,37.8,5月3日,30.65,5月26日,4.42
2399  映泰,399942429 ,18335922 ,6997 ,21.81,21.31,20.8,23.9,5月3日,19.75,5月25日,10.3
2405  浩鑫,846198339 ,35673015 ,10536 ,23.72,23.75,22.7,26.3,5月12日,20.4,5月25日,17.65
2417  圓剛,2360908772 ,53211183 ,23279 ,44.37,44.21,42.4,47.7,5月4日,39.8,5月25日,23.56
2424  隴華,23090020 ,1740219 ,1001 ,13.27,13.28,13.8,14.25,5月3日,12.25,5月25日,4.35
2442  美齊,198984149 ,15418825 ,5442 ,12.91,12.94,11.45,16.5,5月3日,10.15,5月26日,9.86
2463  研揚,48393155 ,947548 ,847 ,51.07,51,50.1,55.2,5月14日,48,5月7日,1.04
2465  麗臺,812831848 ,61374954 ,20221 ,13.24,12.88,13.5,14.8,5月20日,10.45,5月7日,40.12
