櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年02月 Feb. 10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 239,928,422,738元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,492,700筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,416,941,179股",,,,,,4. 成交量週轉率： 8.85%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4120,友華生技,230828993,4514279,2619,51.13,53.8,46.7,50.48,52.9,13.7,3.59,6.45,1.96,,,,
4121,優盛醫學,30153801,2016659,1071,14.95,16.4,13,15.13,15.75,NA,3.17,3,1.1,,,,
4123,晟德    ,156089242,3881023,2366,40.21,43,37,40.44,40.55,14.38,4.46,5.57,2.04,,,,
4126,太平洋醫,214544120,2881146,1512,74.46,76.5,70.1,74.62,75.2,NA,2.85,4.74,4.46,,,,
4127,天良    ,28555975,1722706,812,16.57,18.05,14.65,16.49,17.15,37.28,0.87,3.76,1.03,,,,
4128,中天生技,1487979984,40710814,18346,36.54,39.25,32.15,36.61,38.15,NA,0.49,18.18,3.1,,,,
4129,聯合骨科,99250269,2845554,1768,34.87,37.75,32,34.47,34.6,73.62,0,6.14,2.51,,,,
4131,晶宇生技,158074362,4149444,2587,38.09,42,35.8,37.42,41,NA,0,8.61,5.72,,,,
8908,欣雄    ,1020980,68650,43,14.87,15.5,14,14.92,15.15,52.24,2.64,0.09,1.41,,,,
8917,欣泰    ,2048509,46701,27,43.87,45.5,41.5,44.45,44.55,18.72,4.71,0.05,2.91,,,,
8927,北基加油,81732235,5155807,1052,15.85,17.25,13.6,15.52,16.45,51.41,3.03,5.11,1.44,,,,
8931,大園汽電,17401005,1402771,680,12.4,13,11.5,12.53,12.85,20.4,2.33,1.32,0.93,,,,
