櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
"101年3月 Mar., 12",,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 394,896,730,495元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,375,348筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,181,868,705股",,,,,,4. 成交量週轉率： 15.41%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
5905,南仁湖  ,727685235,59432734,15837,12.24,13.3,10.7,11.85,11.05,552.5,0,28.11,0.91,,
6195,詩肯    ,1067910500,17021928,10331,62.73,69.8,53.9,60.9,67.3,10.8,2.97,44.83,3.7,,
8941,關中    ,226414314,12749619,5519,17.75,24.3,13,18.66,13.65,N/A,0,9.75,3.17,,
9960,邁達康  ,48329333,2224885,1193,21.72,22.85,19.5,21.29,20.4,11.53,3.92,6.89,1.47,,
1584,精剛精密,416245340,17306401,6393,24.05,25.7,22.55,23.88,23.2,20.35,0.86,21.85,1.26,,
2221,大甲    ,141725898,5915191,3247,23.95,25.2,22,23.9,23,11.39,0,13.94,1.66,,
3284,太普高  ,59925901,5364419,1870,11.17,12.35,9.73,10.6,12,133.33,9.17,10.66,0.96,,
3388,崇越電通,678557706,9021727,6528,75.21,80,67.5,73.3,75,12.32,8,14.55,1.63,,
4430,耀億    ,95510391,2118893,1297,45.07,47.9,42,44.63,43.8,23.8,4.57,4.84,1.5,,
5312,寶島科  ,964155141,10777849,7284,89.45,95.4,84,89.08,87.3,23.28,2.52,17.95,4.28,,
6186,新潤興業,26899809,1597726,787,16.83,17.95,15.5,16.6,17.7,73.75,0,3.18,1.54,,
6803,崑鼎投控,530022232,3559289,2721,148.91,157.5,144,148.3,148,15.86,4.18,6.03,3.34,,
8390,金益鼎  ,822819063,18208277,9888,45.18,47.2,42.1,44.78,47,15.41,3.45,27.08,2.08,,
8401,白紗科技,190375297,9560636,4763,19.91,21.6,16.9,18.95,19.2,12,13.07,23.6,1.2,,
8418,F-必勝  ,581552392,11251974,6387,51.68,57,44.8,50.7,52.4,11.91,0.38,20.29,1.54,,
8423,F-保綠  ,134617202,2700223,1994,49.85,59,41.6,47.54,41.9,28.12,0,16.11,3.3,,
8426,F-紅木  ,172075410,3348364,2326,51.39,54.9,46,50.39,51.2,11.69,1.48,8.37,2.88,,
8705,東隆五金,24692365,814067,627,30.33,31.7,29,30.33,31.45,18.61,5.34,1,2.11,,
8905,裕國    ,36594382,2122116,791,17.24,17.85,16.55,17.23,16.7,29.3,3.59,1.78,1.18,,
8906,花王企業,7388922,1020705,377,7.23,7.7,6.61,7.03,7.18,N/A,0,1.99,0.84,,
8913,華夏資融,25264914,2006712,990,12.59,13.55,11,12.53,11.65,23.78,21.46,4.04,0.79,,
8916,光隆    ,66325592,3161179,1417,20.98,22.45,19,20.31,19.8,12.45,5.56,3.54,0.93,,
8921,沈氏印刷,2190586,140556,96,15.59,16.6,14.4,15.8,16.15,14.95,5.57,0.3,0.93,,
8923,時報出版,5705722,315535,232,18.08,19.7,16,17.33,18,16.07,6.94,1.04,1.25,,
8924,大田精密,103523368,4096069,2145,25.27,27.25,22.75,25.04,23.3,116.5,0,3.38,1.32,,
8925,偉盟工業,1255335782,74658312,15103,16.81,17.25,16.2,16.81,16.55,236.43,3.08,26.08,1.3,,
8928,鉅明    ,16846217,1875774,575,8.98,9.3,8.1,8.91,8.7,51.18,0,2.95,0.92,,
8929,富堡工業,16660410,625625,502,26.63,27.8,25.2,26.53,26,9.12,6.92,2.29,1.27,,
8932,宏大    ,3969456,523155,261,7.58,8.15,6.79,7.71,7.45,N/A,0,1.07,0.88,,
8933,愛地雅  ,223069755,18605150,6671,11.98,12.8,10.9,11.89,11.3,10.97,6.99,14.29,0.81,,
8934,衡平    ,131149,4820,8,27.35,28.15,26.55,27.35,26.55,4.93,0,0.09,2.18,,
8935,邦泰    ,72749973,12202050,2993,5.96,6.61,5.45,5.92,5.49,N/A,0,6.04,0.69,,
8936,國統國際,1572409357,43192280,22213,36.4,38.75,33.25,35.95,35.9,3.36,3.34,31.89,1.35,,
8937,合騏    ,31340065,2762672,1112,11.34,12.25,10.4,11.26,11,N/A,0,3.81,1.01,,
