櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年8月 Aug., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 223,838,048,868元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,608,643筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,817,722,221股",,,,,,4. 成交量週轉率： 8.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
6016,康和證券,113400822,17215629,4129,6.58,6.88,6.3,6.56,6.38,N/A,2.35,2.49,0.57
6020,大展證券,2684819,205298,151,13.07,13.4,12.7,13.05,13,N/A,4.92,0.09,0.91
6021,大慶證券,62235622,5758850,1742,10.8,11.5,9.77,10.79,10.3,N/A,13.59,1.88,0.74
6022,大眾證  ,83177921,9697640,2440,8.57,9.1,7.84,8.51,8.13,N/A,4.18,2.57,0.67
6023,元大期貨,23849617,689309,450,34.59,35.2,33.7,34.66,33.75,14.12133891,7.11,0.3,1.44
6024,群益期  ,66669176,2675462,1228,24.91,25.65,24,24.87,25.1,10.28688525,9.16,2.9,1.2
2916,滿心企業,43887672,2401596,1134,18.27,19.3,17.65,18.24,18,17.64705882,8.33,4.4,1.01
2924,F-東凌  ,42359700,692100,389,61.2,63,60,61.57,61.8,19.43396226,4.53,2.29,2.82
5902,德記洋行,42127915,3130974,1211,13.45,14.3,12.25,13.21,13.6,N/A,0,3.31,2.24
5903,全家    ,705112932,4714409,3479,149.56,154,143,149.54,147,35.76642336,2.44,2.11,7.36
5904,寶雅國際,321674918,5219014,4100,61.63,63.4,59.5,61.85,62.3,13.14345992,5.42,5.74,3.11
5905,南仁湖  ,177756584,14777590,4426,12.02,12.45,11.45,11.94,11.65,N/A,0,6.99,0.97
