櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年11月 Nov. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 435,557,747,218元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,288,778筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,835,527,797股",,,,,,4. 成交量週轉率： 16.27%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4721,美琪瑪  ,761013541,23518167,11457,32.35,35,27.4,31.27,31.85,58.98,4.7,33.82,2.44,,,,
4722,國精化學,20563751,1765115,587,11.65,12.2,11,11.59,11.9,20.52,2.52,2.91,0.78,,,,
4733,上緯企業,485134672,6832187,4117,71,73.9,67.5,70.55,68,13.36,6.22,10.47,3.8,,,,
6509,聚和國際,2419761263,97762614,30490,24.75,26.3,20.5,23.73,26.1,38.38,2.64,65.43,1.6,,,,
1565,精華光學,747688464,4066181,3510,183.87,190,176,183.09,180,15.48,4.45,8.07,4.67,,,,
1752,南光    ,91634830,3733467,2129,24.54,26.1,23.5,24.17,24.85,42.12,4.02,5.93,1.91,,,,
1777,生泰合成,29251730,754084,544,38.79,40.5,37.6,38.71,38.4,19.1,4.68,3.17,2.23,,,,
1781,合世生醫,22446329,1431965,909,15.67,16.75,14.4,15.52,15.15,NA,0,4.09,2.26,,,,
1784,訊聯    ,410787034,5722955,4329,71.77,74.6,68.3,71.01,70.7,20.98,1.79,13.39,3.23,,,,
1788,杏昌生技,151299532,2418176,1891,62.56,65.5,61,62.14,61.8,22.55,4.85,8.27,2.32,,,,
1799,紅電醫  ,47062546,1957098,1084,24.04,25.5,23.4,23.97,23.75,52.78,7.57,6.96,1.59,,,,
1813,寶利徠  ,66180349,1760566,1030,37.59,38.45,36.25,37.56,37.1,24.41,0,4.28,2.69,,,,
3118,進階    ,156308647,4404308,2460,35.48,38.3,30.6,32.5,36.6,27.52,4.91,14.25,2.59,,,,
3164,景岳科技,2459637140,49808342,19734,49.38,61.7,35.5,45.48,61.7,45.7,1.62,101.04,5.17,,,,
3205,天騵生科,41711392,4477418,1323,9.31,10.4,6.33,8.3,,NA,0,15.07,1.12,,,,
3218,大學光學,417493490,10851949,6055,38.47,41.2,31.9,37.06,36.8,NA,2.71,24.01,2.37,,,,
3266,弘如洋  ,39711304,2078456,1256,19.1,19.8,18.3,19.11,19.3,NA,0,8.98,1.63,,,,
4102,永日化工,299744513,7225767,4710,41.48,44.5,39,40.47,41,21.69,1.21,21.86,2.91,,,,
4103,百略    ,1248533664,24505943,13425,50.94,53.8,46.35,50.78,49.6,12.22,5.64,20.05,2.34,,,,
4105,東洋藥品,4512008643,43082330,24445,104.72,110,96.5,101.82,105,41.83,3.14,33.58,6.86,,,,
4107,邦特生技,934469855,21056901,10251,44.37,47.6,40.2,42.63,45,19.74,3.33,26.9,2.92,,,,
4109,加捷    ,64277211,3126727,1657,20.55,21.6,19.2,20.37,19.2,31.48,3.64,6.98,1.43,,,,
4111,濟生    ,78901792,4414302,2119,17.87,18.5,16.9,17.84,18,25,2.77,9.2,1.11,,,,
4113,聯上實業,31897716,1272796,808,25.06,27.2,23.5,25.14,23.6,11.8,0,2.82,2.25,,,,
4114,健喬信元,286518079,8962583,5263,31.96,33.8,30.1,31.62,32.25,NA,2.48,11.67,2.41,,,,
