櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年4月 Apr., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 228,526,362,832元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,612,514筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,168,195,272股",,,,,,4. 成交量週轉率： 9.31%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
6021,大慶證券,53610390,5068528,1557,10.57,11.8,9.62,10.59,9.9,N/A,14.14,1.65,0.715835141
6022,大眾證  ,92984142,11452817,3043,8.11,8.79,7.4,8.06,7.68,N/A,4.43,3.03,0.631059984
6023,寶來期  ,30851077,911137,690,33.85,34.85,33,33.79,33.5,10.44,7.16,0.39,1.426138782
6024,群益期  ,103362430,3896246,1586,26.52,27.3,25.65,26.48,26.45,11.16,3.78,4.22,1.269803169
2916,滿心企業,30678845,1391906,640,22.04,23,21.3,22.21,21.4,13.72,9.35,2.55,1.20292299
2924,F-東凌  ,13181912,223055,196,59.09,61,56.7,59.44,58.3,18.33,3.43,0.74,2.656036446
5902,德記洋行,28414377,2413766,745,11.77,12.8,10.7,11.4,11.1,N/A,0,2.55,1.831683168
5903,全家    ,729886138,5014276,3630,145.56,158,138,146.02,139,33.9,2.45,2.25,6.963927856
5904,寶雅國際,221628514,4845362,3155,45.74,49.7,43.5,45.44,49.4,11.82,5.87,5.38,2.46506986
5905,南仁湖  ,281902009,24628832,6167,11.44,12.4,10.1,11.18,12.35,77.19,0,11.65,1.030025021
6195,詩肯    ,407299451,6915841,4851,58.89,68.6,50.7,59.74,54.5,9.04,3.67,18.21,2.822371828
8941,關中    ,48174341,4637847,1337,10.38,13.25,7.9,9.27,8.78,N/A,0,3.55,2.353887399
9960,邁達康  ,12019081,595046,349,20.19,20.95,19.35,20.26,19.75,11.55,4.05,1.84,1.383053221
1584,精剛精密,511101879,21389961,7037,23.89,25.9,20.7,23.27,22.5,35.16,0.89,26.98,1.201923077
2221,大甲    ,56970907,2608964,1534,21.83,23.5,19.65,21.68,20.9,12.37,0,6.15,1.491791577
3284,太普高  ,86348605,7414275,2676,11.64,12.5,10.5,11.47,12,80,9.17,14.73,0.939702428
3388,崇越電通,218796632,3020864,2209,72.42,75,69.5,72.33,70.7,13.02,8.49,4.87,1.508427566
4430,耀億    ,107397329,2398374,1604,44.77,48,39.8,44.03,41,25.15,4.88,5.48,1.391245334
5312,寶島科  ,1533412585,17622327,12254,87.01,93.2,78,86.28,80.2,19.85,2.74,29.34,3.697556478
6186,新潤興業,14623723,854093,346,17.12,18,16.4,17.17,16.55,87.11,0,1.7,1.449211909
6803,崑鼎投控,150317396,1023076,838,146.92,151,141.5,147.05,146,15.38,4.24,1.73,3.101763331
8390,金益鼎  ,496537333,11312484,6717,43.89,48.4,39.1,42.54,39.6,13.99,4.09,16.78,1.696658098
8401,白紗科技,46032623,2536555,1319,18.14,19.35,16.5,18.26,19.25,10.35,13.04,6.26,1.203877423
8418,F-必勝  ,172263299,3510121,1907,49.07,52.3,45.25,48.62,46.9,10.66,0.43,6.33,1.379411765
8423,F-保綠  ,21749595,551145,391,39.46,42.3,32.75,38.38,35.85,24.06,0,3.29,2.82061369
8426,F-紅木  ,51205350,1064000,690,48.12,51.4,45.2,48.63,47.5,10.84,1.6,2.66,2.67454955
8705,東隆五金,23726586,758222,516,31.29,32.65,29,31.05,31.7,18.54,5.3,0.93,2.075965946
8905,裕國    ,18362282,1148799,412,15.98,16.7,15.6,15.98,15.95,32.55,3.76,0.96,1.096973865
8906,花王企業,18516545,2264541,677,8.17,8.7,7.43,7.99,8.3,207.5,0,4.41,0.970760234
8913,華夏資融,9594547,853234,400,11.24,11.85,10.9,11.36,11.85,10.97,21.1,1.72,0.764023211
8916,光隆    ,18788724,974329,511,19.28,20.5,18.55,19.29,19.1,10.44,5.76,1.09,0.928536704
8921,沈氏印刷,2990240,198356,53,15.07,16.05,14.35,15.1,15.5,14.76,0,0.43,0.879682179
8923,時報出版,21657663,1225507,63,17.67,18.15,17.1,17.66,17.2,16.38,7.27,4.03,1.164522681
8924,大田精密,59263477,2558764,1396,23.16,24.8,21.3,22.97,24.6,70.29,0,2.11,1.385915493
8925,偉盟工業,726632193,45516068,10641,15.96,17,15.25,15.98,15.45,N/A,3.3,15.9,1.211764706
8928,鉅明    ,17696586,1898834,625,9.31,10.3,8.08,9.08,10.3,27.84,0,2.99,1.049949032
8929,富堡工業,10476093,412806,312,25.37,27.2,23.95,25.38,27,8.23,6.67,1.51,1.274185937
8932,宏大    ,1800622,259005,107,6.95,7.23,6.7,6.99,6.99,N/A,0,0.53,0.81754386
