櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年09月 Sep. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 247,911,835,357元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,769,136筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,399,491,231股",,,,,,4. 成交量週轉率： 9.57%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
2221,大甲    ,458869654,18331091,10730,25.03,28.5,19.25,23.96,20.95,11.84,0,43.21,1.64
3284,太普高  ,41274195,3506190,1160,11.77,13.05,10.7,11.68,13,18.06,8.46,6.57,1.02
3388,崇越電通,158758832,2432691,2007,65.26,71,60.4,65.89,62.5,8.33,9.6,3.92,1.54
4430,耀億    ,157580980,3133600,1969,50.28,57,41.85,51.16,44.3,69.22,4.51,7.15,1.6
5312,寶島科  ,742227011,10646195,6484,69.71,79.6,57.8,71.53,62,16.15,3.54,17.73,3.53
6186,晶磊興業,14797623,839053,407,17.63,18.5,16.4,17.69,17.5,N/A,0,1.67,1.61
6803,崑鼎投控,414554761,3064853,2418,135.26,145,127.5,134.57,145,17.77,4.26,5.3,3.72
8390,金益鼎  ,198684136,4948196,2992,40.15,42.95,36,39.69,37.5,13.54,4.32,7.33,1.76
8401,白紗科技,45153915,2310212,1254,19.54,20.5,18,19.51,18.9,9.59,13.28,5.7,1.21
8705,東隆五金,12648169,461719,345,27.39,29,26,27.27,26.7,13.28,6.29,0.55,2.04
8905,裕國    ,103990239,5960475,2314,17.44,18.8,14.9,16.48,17.4,17.23,3.44,4.99,1.26
8906,花王企業,11179678,1699929,792,6.57,7.24,5.4,6.63,6.75,N/A,0,3.31,0.79
8913,華夏資融,37176817,2859398,1413,13,14.65,11.35,13.05,11.95,N/A,20.92,5.76,0.76
8916,光隆    ,104530501,5250261,2069,19.9,21.2,18.3,19.83,20.4,13.25,5.39,5.89,1.08
8921,沈氏印刷,448380,35100,26,12.77,13.35,12.1,12.86,13.25,12.5,6.79,0.08,0.79
8923,時報出版,1110475,60410,36,18.37,19.7,18,18.55,18.95,15.28,6.59,0.2,1.35
8924,大田精密,34569411,1597924,1037,21.63,23.3,20,21.63,20.3,507.5,12.31,1.32,1.23
8925,偉盟工業,1017244885,59074752,9472,17.21,18.05,15.5,17.24,16.95,58.45,3,20.52,1.31
8928,鉅明    ,3155006,430464,206,7.32,7.69,6.71,7.27,7.56,N/A,6.61,0.68,0.89
8929,富堡工業,18716270,686556,514,27.26,31.2,23,26.74,24.1,8.89,7.46,2.51,1.28
8932,宏大    ,2545560,345000,155,7.37,7.61,7.01,7.41,7.29,N/A,0,0.71,0.86
8933,愛地雅  ,102766803,8399062,3405,12.23,13.4,11.5,12.17,12.25,21.12,8.16,6.83,0.89
8934,馭鳳    ,824726,193728,64,4.25,5.74,3.25,4.46,5.37,13.1,0,0.3,5.37
8935,邦泰    ,43630110,7363339,2496,5.92,6.38,5.48,5.88,5.69,N/A,0,3.65,0.67
8936,國統國際,605046521,16312040,8069,37.09,42.15,28.85,36.65,30.1,2.58,3.98,12.05,1
8937,合騏    ,16167328,1055881,506,15.31,16.3,14.3,15.37,15.8,N/A,0,1.46,1.47
8938,明安國際,92699759,2678333,1823,34.61,37.3,33,34.33,34.3,26.8,7.58,1.98,1.35
8942,森鉅科技,1148203583,28667200,12873,40.05,47.5,33,41.08,38.15,15.96,2.51,22.21,2.01
9949,琉園    ,48506130,2001216,1151,24.23,27.2,21.15,23.98,22.75,50.56,5.27,4.26,1.38
1742,台蠟    ,91423936,3676400,2457,24.86,29.5,20.75,24.01,21.2,7.68,14.15,5.68,1.23
1787,福盈科技,36555346,3454229,1240,10.58,11.3,9.86,10.5,10.8,16.62,6.38,4.95,0.73
4702,中美聯合,60407500,2874822,1312,21.01,23.5,18.35,21.37,21.9,N/A,0,3.76,2.06
4703,金美克能,17922414,2181433,508,8.21,8.76,7.26,8.13,8.15,N/A,0,3.19,1.4
4706,大恭化學,10406510,803010,312,12.95,13.55,12.3,12.98,12.4,12.28,8.06,1.02,0.79
4707,磐亞    ,176809470,13905084,4648,12.71,15,9.8,12.55,10.75,21.5,1.86,6.17,0.61
4711,永純    ,16584666,868444,327,19.09,20,18.55,19.3,18.8,14.24,7.44,1.42,1.07
4712,南璋    ,448650157,13956418,5750,32.14,37.5,28.7,32.39,34.2,342,0,23.23,3.21
4714,永捷    ,11481890,651688,401,17.61,19.9,15.1,18.37,15.5,10.92,6.45,1.54,1.05
4716,大立    ,79459289,4214403,2378,18.85,21.4,16.55,18.77,17.1,13.26,5.84,6.99,1.26
4720,德淵企業,73071327,5398314,2440,13.53,14.9,12.6,13.15,12.95,99.62,1.54,7.74,1.05
4721,美琪瑪  ,53014169,2322526,1268,22.82,23.9,21.6,22.84,22.8,10.04,10.39,3.1,1.65
4722,國精化學,151791125,6866015,2661,22.1,24.15,19.9,22.04,20.9,16.2,3.77,9.31,1.36
6506,雙邦實業,27122880,1753644,1068,15.46,17,13.5,14.71,14,14.58,7.14,2.79,1.07
6509,聚和國際,102316153,7550053,3383,13.55,15,12.15,13.54,12.7,N/A,2.36,4.5,0.81
1565,精華光學,1155722767,3012989,2658,383.58,414,364,384.14,375,19.25,3.86,5.98,8.36
1752,南光    ,73107944,2655208,1796,27.53,29.4,26,27.08,27,168.75,0.74,4.21,2.1
1777,生泰合成,28564941,663941,467,43.02,45.6,40.1,43.08,42.25,16.38,5.44,2.79,2.34
1781,合世生醫,18638193,1366502,736,13.63,14.65,12.8,13.49,12.85,N/A,0,3.25,1.39
1784,訊聯    ,141413210,4112109,2691,34.38,42.8,29.45,36.35,31.3,284.55,0,8.24,1.41
1788,杏昌生技,215328441,2767196,2200,77.81,83.8,71.6,78.03,78,15.63,4.48,9.46,2.72
1795,美時化學,79644445,2643367,1643,30.12,33.8,25.8,29.57,28.25,14.13,1.06,5.93,1.79
1799,紅電醫  ,4793922,401518,214,11.93,12.75,11,11.98,11.9,N/A,16.8,1.27,1.03
1813,寶利徠  ,99173175,2739307,1685,36.2,39.55,31.6,34.76,32.7,22.4,4.58,6.66,2.11
3118,進階    ,40675528,1393229,993,29.19,32.05,27,29.06,28.1,12.6,7.11,4.29,1.85
3205,佰研生化,10503824,552670,175,19,20.6,17.8,19.3,17.8,N/A,0,2.24,1.58
3218,大學光學,106993049,4101704,2554,26.08,30.8,22,26.64,23.9,58.29,0,8.81,1.54
3266,昇陽開發,49080309,2675178,1021,18.34,22.6,15.7,19.04,16.45,6.4,4.86,3.22,1.21
4102,永日化工,1006101466,24994609,16122,40.25,47.35,36.65,40.26,40.2,14.01,4.97,58.99,2.11
4103,百略    ,101835207,2292987,1390,44.41,46,42.7,44.49,45.85,13.61,6.54,1.88,2.32
4105,東洋藥品,3891550289,41004153,24947,94.9,118,78.5,96.54,85.2,26.96,3.05,23.76,4.85
4107,邦特生技,168359180,7505592,4137,22.43,26.8,19.9,22.96,22.25,12.79,8.08,9.59,1.51
4109,加捷    ,51447419,2830124,1556,18.17,19.5,16.55,18.34,19.45,121.56,3.03,5.32,1.41
4111,濟生    ,58668609,3102939,1378,18.9,20.7,16.5,18.97,17.6,33.21,2.84,6.18,1.08
4114,健喬信元,66957183,2467078,1523,27.14,29.5,24.8,27.42,25.7,N/A,2.37,2.86,1.83
4120,友華生技,132075427,3140763,1826,42.05,43.75,39.4,41.97,40.55,11.89,1.6,3.62,1.67
4121,優盛醫學,30339880,2052387,1066,14.78,15.7,14.3,14.72,14.4,10.43,5.55,2.8,0.94
4123,晟德    ,52569050,1442518,882,36.44,40.1,31.45,36.6,33.7,105.31,3.7,1.47,1.67
4126,太平洋醫,338575121,3456889,2582,97.94,104.5,91,98.53,97.4,15.48,4.22,5.76,3.84
4127,天良    ,28566056,1854891,1116,15.4,17.5,13.5,15.5,14.6,N/A,1.36,4.05,0.96
4128,中天生技,473645107,15354696,9092,30.84,34.4,27.7,30.99,29.6,9.67,8.44,5.61,1.31
4129,聯合骨科,119222709,3432541,2212,34.73,37.5,32,35.02,33.4,34.08,2.03,7.4,2.49
4131,晶宇生技,30144548,2118801,799,14.22,16.15,13.5,14.23,14,N/A,0,4.39,2.27
4138,曜亞國際,425235069,3764413,2934,112.96,132,88.8,114.77,95.7,18.16,5.22,12.55,2.92
4139,KY馬光  ,14603058,176787,132,82.61,89.4,75,83.07,79,44.13,0.98,1.07,4.52
4735,豪展    ,17147323,1270023,607,13.5,14.5,12.25,13.32,12.5,N/A,4,4.42,0.99
4736,泰博    ,50865845,1345344,770,37.8,42.5,35,37.85,36.9,13.87,11.19,2.06,1.36
4743,合一    ,312667889,15213917,4681,20.55,21.8,19,20.4,19.4,107.78,2.57,13.66,1.77
4911,德英    ,90755315,1396890,1156,64.96,70.9,58.3,65.59,61.2,N/A,0,2.54,4.06
8403,盛弘    ,25610995,699562,595,36.61,39,32.2,36.63,33.15,17.18,5.42,1.61,1.74
8908,欣雄    ,7393313,335455,307,22.03,24.35,19.6,21.73,22.85,15.13,6.12,0.38,1.79
8917,欣泰    ,2111507,49082,27,43.02,43.5,42.1,42.9,43,17.55,5.11,0.04,2.77
8927,北基加油,65838739,4265626,896,15.43,16.7,13.6,15.24,15.1,N/A,1.98,3.78,1.37
8931,大園汽電,7144994,580259,359,12.31,13.25,11.7,12.57,11.85,22.79,7.59,0.54,0.91
3073,普格    ,13753934,1112715,498,12.36,13.45,11.5,12.32,11.75,N/A,1.53,2.28,0.8
3087,翔準    ,203285620,14602699,3642,13.92,14.6,13,13.85,13.35,13.48,0,5.27,0.91
3169,亞信電子,37761067,1413640,856,26.71,27.5,25.25,26.57,27.3,13.32,9.15,2.67,1.89
3188,安茂    ,13840644,1777883,818,7.78,8.68,7.03,7.65,7.2,N/A,0,3.78,0.75
3219,倚強科技,442217,108062,53,4.09,4.65,3.72,4.25,4.49,N/A,0,0.19,1
3227,原相科技,2546542973,34432342,24883,73.95,81,65,72.4,73,21.1,6.57,26.21,1.68
3228,金麗科  ,34959173,1334139,997,26.2,28,24.1,26.15,25.3,N/A,0,2.26,2.38
3252,海灣科技,764757,52599,59,14.53,16.8,13.7,14.99,16.8,N/A,0,0.11,4.1
3259,鑫創科技,41651219,2763644,1144,15.07,17.3,13.55,15.55,14.8,N/A,2.7,4.42,1.09
3260,威剛科技,748235948,23274099,11357,32.14,35.45,28.6,31.62,33,N/A,9.03,10.2,1.1
3264,欣銓科技,1353847622,73026070,27189,18.53,20,17.15,18.47,18.1,7.48,11.6,16.05,1.06
3265,台星科  ,387119036,18948776,8099,20.42,22.2,18.5,19.92,20.6,5.32,8.05,13.91,1.02
3268,海德威  ,18493712,1561694,877,11.84,13.05,10.1,11.79,10.4,N/A,0,3.66,1.08
3291,遠翔科技,78509408,2843773,1736,27.6,29.8,25.3,27.52,26.5,9.93,9.24,8.16,1.82
3317,尼克森  ,76606330,4839524,2718,15.82,17.8,14.15,15.46,15.4,N/A,2.59,7.88,0.6
3372,典範    ,46104655,10199863,3200,4.52,5.19,4.01,4.54,4.11,N/A,0,3.37,0.37
3438,類比科  ,84220958,2151428,1522,39.14,41.8,36.8,38.9,37.85,10.15,8.45,5.57,1.5
3527,聚積    ,384943791,4184696,3230,91.98,97.8,86.2,91.46,91.4,11.58,8.75,12.62,2.19
3529,力旺電子,1317271044,19920942,12374,66.12,75.7,57.7,65.2,67.5,30.41,3.7,26.18,3.27
3553,力積電子,853384589,41886396,20555,20.37,24.4,14.45,18.52,22,N/A,10,65.9,1.45
3556,禾瑞亞  ,3784818478,43541390,31537,86.92,94,76.2,86.26,81.7,18.78,3.42,92.08,3.86
3567,逸昌    ,22825373,1786114,776,12.77,14.3,10.3,12.41,10.5,8.33,14.57,4.47,0.79
3582,凌耀    ,3452599683,33287467,23767,103.72,116.5,87.1,100.61,104.5,16.05,5.28,93.54,3.53
3680,家登    ,262366789,6493388,4130,40.4,46.95,36,39.68,41.9,18.87,4.77,15.62,3.07
