櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
04月Apr. 08,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 503,279,227,831元",,,,,,4. 加權平均本益比：16.07,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 12,875,680,645股",,,,,,5. 加權平均殖利率： 5.56%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 4,278,317筆",,,,,,6. 成交量週轉率： 19.33%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
8932,宏大    ,208122372,12096997,2358,17.2,19.9,15,16.72,19.9,NA,3.66,32,2.33
8933,愛地雅  ,539902858,25262531,11295,21.37,22.5,20.2,21.1,20.5,34.17,1.46,22.54,1.39
8934,世一旦  ,0,0,0,0,0,0,0,10.3,NA,0,0,17.17
8935,邦泰    ,191036687,22970689,5586,8.31,9.04,6.82,8.25,8.3,NA,14.45,16.07,0.68
8936,國統國際,621831732,18334203,8131,33.91,37.6,28.8,31.81,31.8,12.52,2.07,27.42,2.48
8937,合騏    ,35716452,2811381,1301,12.7,13.6,12,12.64,12.2,76.25,2.04,3.51,0.97
8938,明安國際,748784139,12188819,6829,61.43,64,58.5,60.58,61,10.97,7.75,10.55,2.44
8942,森鉅科技,141877744,3725969,2416,38.07,40.6,36,38.03,36.1,11.01,5.78,4.89,1.92
9946,金革科技,7127610,493997,176,14.42,14.85,13.5,14.38,14.3,476.67,3.49,1.93,1.27
9949,琉園    ,91076033,1816856,1174,50.12,52,46.5,50.18,49.9,27.12,3.2,4.34,2.77
1742,台蠟    ,62426853,1260959,877,49.5,52.6,48,49.2,49.8,11.66,7.32,4.15,2.88
1787,福盈科技,29086071,2056341,876,14.14,15,13.4,14.09,14,12.96,8.92,3.59,0.97
3303,岱稜    ,1015691028,18516576,10689,54.85,58.6,51,53.81,53.5,16.02,4.26,30.19,2.41
4702,中美聯合,67615467,8942896,2561,7.56,8.6,6.52,7.34,7.81,NA,0,14.65,1.1
4703,金美克能,79151984,6828607,2091,11.59,12.35,10.5,11.22,10.9,NA,0,9.98,1.7
4706,大恭化學,24465548,2021552,755,12.1,13,10.9,11.54,11.8,56.19,5.08,2.56,0.82
4707,磐亞    ,181185547,9820127,3088,18.45,19.5,17.25,18.39,17.6,18.72,0,5.18,0.81
4711,永純    ,37715853,2065025,910,18.26,19.8,17.5,18.06,18.35,12.48,7.62,3.38,1.1
4712,南璋    ,50984925,5922135,1750,8.6,9.45,8.05,8.39,8.08,20.72,6.18,9.24,0.66
4714,永捷    ,75476511,6378236,2112,11.83,13.1,9.78,11.47,12.5,21.93,8,15.03,0.97
4716,大立    ,610179017,23393376,10044,26.08,30.35,19.75,24.4,26.4,203.08,0.94,44.89,2.27
4720,德淵企業,62992723,4651612,1740,13.54,14.4,12.5,13.34,13.55,9.89,5.9,7.61,0.98
4721,美琪瑪  ,719433633,18627188,9376,38.62,40.9,34.9,37.85,36.6,17.6,3.52,29.13,2.63
4722,國精化學,19572745,1864890,666,10.49,11.6,9.3,10.3,10.2,46.36,4.9,3.02,0.7
6509,聚和國際,3392566253,126848425,40718,26.74,31.85,19.3,24.99,26.75,38.77,8.89,93.8,1.45
1565,精華光學,709386853,4840012,2884,146.56,151,142,146.33,145,15.07,3.65,9.62,4.5
1777,生泰合成,267600948,7089917,3596,37.74,42.3,30.2,35.55,38.25,19.92,6.27,32.81,2.3
1781,合世生醫,233817806,7987838,4359,29.27,33.15,23.15,28.6,27.6,NA,1.12,22.82,2.88
1784,訊聯    ,751068125,9182801,6181,81.79,92,69,78.94,84.1,53.23,0.68,29.78,5.52
3205,天騵生科,113899331,8905978,3811,12.78,14.85,9.5,12.35,13.5,NA,0,29.97,2.65
3218,大學光學,171886154,3523152,1856,48.78,52.4,43.7,47.9,49,24.5,3.36,8.77,2.87
3266,弘如洋  ,134945939,5804738,2423,23.24,26.05,20.05,22.34,23.4,146.25,4.95,25.07,2.09
4102,永日化工,274692467,13158598,5448,20.87,23.7,17.3,20.31,21,67.74,2.38,39.81,1.51
4103,百略    ,149333382,3313024,2166,45.07,49,40.9,44.36,45,12.06,5.55,2.82,2.38
4105,東洋藥品,674374300,11526449,6117,58.5,62.7,54.5,57.44,56.2,27.55,4.8,12.4,3.21
4107,邦拓    ,1563634282,47884944,22324,32.65,36.8,26.5,31.88,33.3,6.57,1.89,63.01,2.06
4108,懷特    ,1487238076,28937570,15875,51.39,57.7,40.8,48.71,55.2,NA,0,30.72,3.78
4109,加捷    ,264832060,10686405,4685,24.78,26.9,21.7,23.94,23.3,20.99,6.95,24.46,1.62
4111,濟生    ,334125031,17903083,6708,18.66,21,15.7,18.09,18.5,31.9,3.78,37.42,1.16
4113,聯上生技,9077899,731670,414,12.4,13.6,11.1,12.11,11.6,NA,0,2.9,1.46
