櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年05月 May 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 425,129,230,170元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,019,226筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,585,590,742股",,,,,,4. 成交量週轉率： 14.59%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
8929,富堡工業,39753845,990907,561,40.11,41.35,39,40.05,39.3,14.29,5,3.7,1.97
8932,宏大    ,7275229,809026,419,8.99,9.94,8.01,8.83,8.75,N/A,0,1.66,1.03
8933,愛地雅  ,911596998,52834804,18007,17.25,18.5,15.55,16.75,16.35,20.96,6.17,42.98,1.16
8934,馭鳳    ,0,0,0,0,0,0,0,2.17,N/A,0,0,4.52
8935,邦泰    ,194347660,23014276,5941,8.44,9.3,7.3,8.41,8.25,N/A,0,11.4,0.96
8936,國統國際,3112153087,68287462,35438,45.57,49.3,39.1,44.06,43,3.53,2.9,56.55,1.4
8937,合騏    ,47102488,3523371,1431,13.36,14.2,12.6,13.33,12.9,N/A,0,4.86,1.17
8938,明安國際,1628157522,27317453,14369,59.6,64.2,55.3,58.39,56.7,23.63,6.37,20.23,2.07
8942,森鉅科技,3495284825,64851614,28735,53.89,57.4,48.8,52.5,51.4,25.32,2.01,53.43,2.72
9946,金革科技,79084701,4460376,1590,17.73,19.2,15.3,17.76,16,15.09,0,2.79,1.41
9949,琉園    ,316896497,8962529,5500,35.35,39.1,29.2,33.1,36.8,46.58,2.58,19.83,2.32
1742,台蠟    ,192531716,3993548,2401,48.21,50,45.3,48.2,48.25,14.40,5.51,7.9,2.76
1787,福盈科技,62753449,3930840,1861,15.96,17,14.7,15.85,15.4,13.63,2.7,5.63,1
4702,中美聯合,120943381,7614839,3381,15.88,17.25,14.1,15.4,14.5,N/A,0,20.91,1.49
4703,金美克能,15289937,1960514,464,7.79,8.35,7.5,7.87,8,N/A,0,2.87,1.31
4706,大恭化學,24647422,1518813,588,16.22,16.7,15.7,16.17,16,13.22,4.37,1.92,0.97
4707,磐亞    ,398041743,21881021,8608,18.19,20.3,16,18.12,17.6,60.69,1.2,9.71,0.99
4711,永純    ,25299963,1170788,594,21.6,22.35,21,21.6,21.75,13.43,7.51,1.92,1.18
4712,南璋    ,842521623,16531306,7607,50.96,55.8,42.65,51.08,43.5,N/A,0,27.51,3.97
4714,永捷    ,96951669,5210922,2383,18.6,20.3,16.95,18.22,17.2,15.22,5.83,12.28,1.07
4716,大立    ,234268614,7138545,3394,32.81,34.6,30,32.39,32.35,24.88,1.63,12.78,2.42
4720,德淵企業,122402368,6844622,3152,17.88,19.1,16,17.64,16.65,79.29,3.01,9.82,1.34
4721,美琪瑪  ,124469016,4090918,2179,30.42,31.3,29.7,30.49,30.3,12.02,3.3,5.66,1.97
4722,國精化學,549177041,22210153,9730,24.72,26.45,22.6,24.17,23.3,18.49,2.5,30.47,1.46
