櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年02月 Feb. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 302,787,585,616元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,812,595筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 7,293,877,701股",,,,,,4. 成交量週轉率： 11.05%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4712,南璋    ,2180603751,35951192,17640,60.65,68.9,53,61.3,58,N/A,0,59.83,5.47
4714,永捷    ,830187085,34627259,13779,23.97,26.85,18.25,22.97,24.6,14.82,4.06,81.58,1.47
4716,大立    ,167475078,5606454,2962,29.87,32.2,28.4,29.53,30.9,25.54,1.71,10.04,2.39
4720,德淵企業,223990428,10784493,4786,20.76,22.3,19,19.97,20.4,51.00,2.45,15.47,1.61
4721,美琪瑪  ,152152020,4986678,2930,30.51,32.3,29.5,30.27,29.95,12.22,3.33,6.9,2.05
4722,國精化學,169909133,7579581,2724,22.41,23.8,20.85,21.57,21.5,29.86,2.74,10.41,1.39
6509,聚和國際,329075322,12744907,6170,25.82,26.95,24.2,25.75,24.6,22.78,3.98,7.76,1.49
1565,精華光學,758620675,2013234,1795,376.81,388,356,376.28,360,21.45,2.91,3.99,8.04
1752,南光    ,178356220,5157240,2960,34.58,37.25,32.7,34.27,33,N/A,0.6,8.19,2.61
1777,生泰合成,62966770,1060239,731,59.38,61.1,57.8,59.39,59.7,18.31,2.84,4.46,3.19
1781,合世生醫,41528622,1438446,966,28.87,30.3,28,28.61,28.4,11.59,0,3.45,2.78
1784,訊聯    ,460597078,7810660,5585,58.97,61.8,55.5,57.9,55.6,N/A,0,15.67,2.89
1788,杏昌生技,492563237,4610946,3286,106.82,115,99,106.21,106,21.37,3.01,15.76,3.73
