櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年03月 Mar. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 523,700,709,051元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,914,571筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,928,243,769股",,,,,,4. 成交量週轉率： 18.00%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
3388,崇越電通,2139432357,23423941,16132,91.33,99.9,82.7,90.52,93,12.00,4.52,42.07,2.22
5312,寶島科  ,1510311319,17608027,12467,85.77,90.7,76.8,84.03,85.5,24.85,2.34,29.32,4.9
6186,晶磊興業,60638838,3448827,1559,17.58,18.6,16,17.4,17.5,16.67,0,16.28,1.44
6803,崑鼎投控,161926234,1380881,1204,117.26,123,106.5,116.65,117,17.06,5.18,2.39,3.21
8390,金益鼎  ,305672626,7364714,4211,41.5,44.1,37.45,40.54,41.9,16.50,3.58,12.69,2.21
8401,白紗科技,272160029,8062094,4350,33.75,36.15,30.55,33.08,33.75,12.27,5.93,21.89,2.08
8705,東隆五金,44426127,1379060,733,32.21,33.1,31.3,32.28,32.3,12.10,7.59,1.66,2.2
8905,裕國    ,40170869,2887971,1099,13.9,14.6,13.25,13.88,14.45,12.35,2.77,2.42,1.05
8906,花王企業,147151716,15922531,1487,9.24,9.05,7.1,8.13,7.89,N/A,0,31.03,0.9
8913,華夏資融,216386513,10103924,4605,21.41,22.65,18.6,20.97,21.85,2.96,1.83,22.37,1.26
8916,光隆    ,86052241,4206252,2026,20.45,22.25,18.5,20.41,19.8,8.57,3.23,4.74,0.9
8921,沈氏印刷,36967110,2352538,978,15.71,17.15,14,14.95,14.75,15.36,4.07,5.05,0.87
8923,時報出版,2318520,128625,67,18.02,18.75,17.1,18.18,18.45,12.81,5.42,0.42,1.27
8924,大田精密,166619661,4918535,2810,33.87,35.5,32.5,33.91,33.9,15.99,7.37,4.06,1.89
8925,偉盟工業,1161740319,63153476,15731,18.39,19.45,17.3,18.51,18.4,54.12,5.38,22.75,1.43
8928,鉅明    ,15693181,1497860,612,10.47,11.2,9.7,10.15,10.1,N/A,4.95,2.36,0.97
8929,富堡工業,83428334,1985407,1252,42.02,45.65,39,41.96,40.8,10.43,4.85,7.41,2.11
8932,宏大    ,12427819,1239067,481,10.02,10.35,9.63,10.01,10.05,18.27,0,2.54,1.1
8933,愛地雅  ,407377250,26843797,10352,15.17,16.6,13.3,14.8,16,24.24,6.25,21.84,1.07
8934,馭鳳    ,0,0,0,0,0,0,0,2.32,N/A,0,0,4.14
8935,邦泰    ,708625842,60620677,13821,11.68,12.5,10.7,11.57,11.5,N/A,0,30.02,1.36
8936,國統國際,4042076314,95190861,44737,42.46,47.1,37.6,42.02,46.9,30.06,2.52,79.78,2.87
8937,合騏    ,156056517,10026392,2509,15.56,16.65,13.5,14.44,13.75,N/A,0,13.83,1.19
8938,明安國際,428733765,7516157,4096,57.04,61.3,52,56.06,55,10.34,6.55,5.57,1.98
8942,森鉅科技,7108574840,125315800,57098,56.72,63.3,47.8,56.69,58.3,46.27,1.72,111.38,3.55
9946,金革科技,20547113,1151189,478,17.84,19.05,16.6,17.85,17.5,28.69,0,1.15,1.94
9949,琉園    ,1152528873,25689149,14057,44.86,50.6,37.4,44.77,41.6,38.88,2.09,56.83,2.67
1742,台蠟    ,141431080,2744827,1959,51.52,55,47.8,51.17,54,14.21,4.87,5.43,3.36
1787,福盈科技,162338215,9561817,3946,16.97,18.5,14.7,16.63,16.6,15.09,2.53,13.72,1.08
4702,中美聯合,301731861,19733808,8176,15.29,17.9,12.7,14.36,14,N/A,0,54.2,1.43
4703,金美克能,7265270,957515,294,7.58,8.04,7.11,7.57,7.41,N/A,0,1.4,1.22
4706,大恭化學,34174434,2122540,768,16.1,17,15.05,16.12,16.05,8.77,4.36,2.69,0.99
4707,磐亞    ,1533969171,73212173,25332,20.95,22.8,18,20.38,22.25,41.20,0.9,32.47,1.32
4711,永純    ,27995700,1439224,773,19.45,20.4,18,19.47,19.75,11.48,8.1,2.36,1.13
4712,南璋    ,1606327242,26848711,13201,59.82,63.5,54,59.86,60.1,N/A,0,44.68,5.66
4714,永捷    ,510976677,22961288,9998,22.25,24.6,20.2,22.1,23.2,13.98,4.31,54.1,1.39
4716,大立    ,1080963914,31518345,15676,34.29,37.8,29.05,33.15,35.7,29.50,1.48,56.45,2.76
4720,德淵企業,1210558825,55463556,22407,21.82,24.6,19,20.69,22.8,57.00,2.19,79.57,1.8
4721,美琪瑪  ,173026292,5968908,3451,28.98,31.1,26,28.78,28.9,11.80,3.46,8.25,1.98
4722,國精化學,110645502,5169434,2029,21.4,22.55,18.9,21.36,22.1,30.69,2.67,7.1,1.43
6509,聚和國際,341207295,14557710,7285,23.43,25.7,20.5,23.5,22.8,21.11,4.3,8.85,1.38
1565,精華光學,1194989147,3326352,3066,359.24,384,316,363.41,362,21.57,2.9,6.6,8.08
1752,南光    ,592625938,16473440,8654,35.97,38.8,32.8,34.65,34.6,N/A,0.58,26.15,2.73
1777,生泰合成,116197246,1913825,1361,60.71,64.5,57.5,60.43,60.6,18.59,2.81,8.05,3.24
1781,合世生醫,96759408,3465421,2146,27.92,31.5,23.6,27.23,25.1,10.24,0,8.31,2.46
1784,訊聯    ,499718540,8798594,6387,56.79,61,51,55.24,53.5,N/A,0,17.65,2.78
1788,杏昌生技,633057665,6176178,4598,102.49,115,91.7,102.96,98.9,19.94,3.24,21.12,3.48
1795,美時化學,485030013,10062619,5746,48.2,54.4,40,47.54,45.7,N/A,1.53,22.57,3.5
1799,紅電醫  ,35308845,1623675,949,21.74,23,20.05,21.65,21.8,43.60,9.17,5.14,1.67
1813,寶利徠  ,58945413,1487116,954,39.63,41.75,36.3,38.75,38.95,20.83,2.57,3.62,2.39
3118,進階    ,138214921,3182845,2076,43.42,49,37,43,41.2,17.91,3.64,10.3,2.76
3205,佰研生化,30898685,1542445,1249,20.03,21.15,18.15,19.95,19.8,N/A,0,6.24,2.65
3218,大學光學,4616577910,91877286,49606,50.24,57.9,38.9,49.52,50,N/A,0,202.94,3.48
3266,弘如洋  ,74656292,3009098,1351,24.81,26.15,22.5,24.27,24,N/A,0,3.62,2.04
4102,永日化工,1854342050,27974802,18322,66.28,71.6,60,65.54,64.2,21.26,3.12,69.32,4.31
4103,百略    ,131410892,2796669,1813,46.98,49.4,44.1,47.03,46.6,11.80,6.44,2.29,2.14
4105,東洋藥品,8727803558,55037626,30090,158.57,173,146,156.34,155.5,56.14,1.93,39.36,10.3
4107,邦特生技,345307640,8452519,4709,40.85,44.9,36.6,40.56,39.1,16.64,5.12,10.8,2.49
4109,加捷    ,2155024380,63019209,28463,34.19,37.3,28.85,33.02,36.25,145.00,2.21,136.5,2.88
4111,濟生    ,155864323,6126085,3493,25.44,27.7,23,25.18,24.4,35.88,2.25,12.45,1.51
4114,健喬信元,335319465,9834662,5307,34.09,37,31,33.96,33.7,63.58,0,12.01,2.31
4120,友華生技,201866717,4450358,2897,45.35,48.65,41.8,45.05,43.4,11.39,4.84,5.14,1.89
4121,優盛醫學,469279347,19754167,8441,23.75,25.5,20.8,22.71,22.1,13.15,2.26,28.02,1.45
4123,晟德    ,583183497,12165068,6512,47.93,51,43.5,46.82,45.6,175.38,5.48,13.97,2.36
4126,太平洋醫,1015816687,8630980,5595,117.69,125.5,99.8,118.6,119,17.55,0.83,15.99,4.58
4127,天良    ,254244725,8604590,5014,29.54,31.9,26.1,29.08,28.05,56.10,0.71,18.8,1.66
4128,中天生技,1317172368,29585665,16344,44.52,47.35,40.3,44.77,44.8,95.32,0,13.19,2.26
4129,聯合骨科,564254843,11226747,6861,50.25,53.6,45.6,48.83,48.7,65.81,1.89,24.22,3.6
4131,晶宇生技,87481476,3069588,1990,28.49,30.9,25.3,28.18,29.5,N/A,0,6.36,4.42
4138,曜亞國際,981213099,6647432,4920,147.6,156,136,145.39,142,26.35,1.41,25.08,6.6
4736,泰博    ,415098388,6509185,3923,63.77,67.5,53.3,63,66.4,14.34,10.54,9.97,2.48
4911,德英    ,438116483,6079278,4254,72.06,80,66,70.86,71.1,N/A,0,11.05,8.61
8403,盛弘    ,836265053,15531705,9929,53.84,62.3,46.6,54.27,57.6,22.95,3.13,36.81,3.31
8908,欣雄    ,32926459,1612546,705,20.41,23.15,18.15,19.29,20.7,19.35,1.45,2.06,1.8
8917,欣泰    ,5286313,129689,43,40.76,41.7,38.45,40.93,41.7,20.24,4.8,0.12,2.75
8927,北基加油,130437651,7982191,2475,16.34,17.25,14.8,15.72,17.05,47.36,2.93,7.24,1.5
8931,大園汽電,100210961,6443617,2818,15.55,16.4,14.05,14.93,15.5,13.25,6.45,6.04,1.12
3073,普格    ,105852864,5117022,2319,20.68,22.95,18.5,20.2,19.05,N/A,0.94,10.49,0.98
3087,翔準    ,847707863,64356021,15178,13.17,14.1,11.45,12.75,13.3,20.46,0,22.58,0.97
3169,亞信電子,120015565,3196280,2040,37.54,39.5,34.5,37.51,38,12.34,5.53,5.96,2.42
3188,安茂    ,120964934,9481783,2975,12.75,14.8,11.2,12.8,12.05,N/A,0,20.15,1.03
3219,倚強科技,1573384,267803,131,5.87,6.58,5.16,6,6.09,N/A,0,0.67,1
3227,原相科技,4459636519,38851036,26767,114.78,124.5,100,114.34,121,16.64,4.13,29.7,2.59
3228,金麗科  ,207908299,4586876,3297,45.32,50,40.3,44.44,42,N/A,0,7.76,3.47
3252,海灣科技,2588643,161727,110,16,17.05,14,15.63,17,N/A,0,0.32,25.37
3259,鑫創科技,493793592,20238122,8692,24.39,27.9,19.85,22.08,20.3,N/A,1.97,32.52,1.31
3260,威剛科技,3019973041,65087960,30671,46.39,53,41.05,46.47,43.6,13.13,6.83,28.52,1.41
3264,欣銓科技,4318647348,162666763,43999,26.54,30.45,23.15,26.44,26.05,8.38,4.61,36.2,1.5
3265,台星科  ,1697534735,88374482,29655,19.2,21.7,16.8,19.03,19.95,10.03,2.11,32.43,1.36
3268,海德威  ,86127171,3959471,2296,21.75,24,18.45,21.11,20.1,64.84,0,12.91,1.92
3291,遠翔科技,94422664,2754303,1732,34.28,37.1,31.8,34.25,33.3,11.10,5.2,8.26,2.29
3317,尼克森  ,135360043,4854091,2950,27.88,31.45,24.5,28.38,27,21.43,3.7,7.9,1
3372,典範    ,130816536,14313683,4370,9.13,10.1,8.01,9.07,8.59,N/A,0,4.73,0.75
3438,類比科  ,236788001,3442256,2505,68.78,72.9,63.6,68.45,66.4,13.69,3.01,8.67,2.53
3527,聚積    ,910049681,7248977,5655,125.54,135,112,126.04,123,12.09,4.85,21.86,2.68
3529,力旺電子,1344140699,13034411,9143,103.12,119.5,89.1,100.93,92.2,23.52,3.04,17.13,6.3
3553,力積電子,2116120334,33862209,21860,62.49,71.1,50.7,62.08,52,6.78,9.62,59.48,2.36
3556,禾瑞亞  ,7423452808,65646984,39595,113.08,134,98.5,110.04,106,38.97,2.26,145.76,5.38
3567,逸昌    ,66955529,3653383,1629,18.32,19.4,16.6,18.34,18.35,6.82,5.45,9.13,1.3
3582,凌耀    ,1394780842,8565500,5804,162.83,172.5,152.5,161.84,154,16.49,3.62,25.46,5.1
5302,太欣半導,25159639,2603387,1141,9.66,11,8.65,9.79,9.89,N/A,0,1.6,1.23
5314,世紀民生,56057521,5675221,1885,9.87,10.9,9.05,9.84,9.4,62.67,0,5.06,1.09
5324,士林開發,5352740,124809,149,42.92,46.35,39.8,42.6,42,18.58,0,0.25,3.85
5326,漢磊科技,3126043399,146342420,40925,21.36,23,19.25,20.93,20.25,13.15,0,44.8,1.99
5344,立衛科技,32788285,1855687,805,17.66,18.65,16.35,17.54,17.65,17.65,6.52,2.34,1.6
