櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年10月 Oct. 10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 376,490,989,404元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,870,596筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,756,239,918股",,,,,,4. 成交量週轉率： 14.87%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱N/Ame of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
6016,康和證券,321505938,33063780,7884,9.72,10.15,9.4,9.59,9.6,68.57,4.16,4.85,0.84
6020,大展證券,12608302,734220,363,17.17,17.8,16.6,17.11,17.3,21.90,3.1,0.32,1.21
6021,大慶證券,325476488,18288258,5270,17.79,19.05,16.8,17.47,17.05,12.54,2.92,6.56,1.17
6022,大眾證  ,242806529,18353118,5046,13.22,13.9,12.7,13.05,13,20.31,16.8,4.7,1.07
6023,寶來期  ,39163248,1014447,664,38.6,39.45,38,38.6,38.45,21.01,4.76,0.77,1.81
6024,群益期  ,36344418,1281220,730,28.36,29.1,27,28.26,28.15,15.55,6.28,1.51,1.56
2916,滿心企業,77316763,3631778,1589,21.28,22.5,20.5,21.07,21.25,10.52,8.75,7.82,1.36
5902,德記洋行,114370217,8227729,2372,13.9,15.2,12.65,13.67,12.75,N/A,0,8.71,1.74
5903,全家    ,101942949,1141216,857,89.32,92.4,86.2,89.18,87.9,21.39,2.9,0.51,4.91
5904,寶雅國際,82612044,2737406,1776,30.17,31.5,29.05,30.19,29.35,10.60,8.19,3.1,1.83
5905,南仁湖  ,794205119,37469929,12615,21.19,22.8,19.3,21.05,20.15,N/A,0,18.12,1.71
8941,關中    ,68130349,5435639,2124,12.53,13.6,10.7,11.76,13.25,N/A,0,4.46,2.05
9960,邁達康  ,13098799,625014,464,20.95,22.25,19.4,20.84,20,10.31,12,2.01,1.52
1584,精剛精密,444752843,14720516,7968,30.21,32.8,27.4,29.65,27.4,456.67,0,25.22,1.77
