櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年04月 Apr. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 375,300,588,732元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,686,830筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,764,672,186股",,,,,,4. 成交量週轉率： 13.20%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4131,晶宇生技,202619436,6368339,4071,31.81,33.8,29.8,31.66,30.4,N/A,0,13.22,4.83
4138,曜亞國際,1130365357,7048657,4778,160.36,180,142,154.44,178.5,35.00,1.19,26.66,4.87
4139,KY馬光  ,63203300,959000,562,65.9,72,60,68,68,N/A,1.3,6.27,6.05
4736,泰博    ,316094164,4663217,2899,67.78,71.6,64.3,67.64,67,16.07,10.18,7.9,2
4911,德英    ,106796770,1544583,1251,69.14,71.8,67.7,68.86,67.8,N/A,0,3.79,4.49
8403,盛弘    ,427729282,7354583,4852,58.15,62.5,53.5,56.83,61,22.43,3.24,17.46,3.03
8908,欣雄    ,7515130,343273,283,21.89,23.75,20.7,22.03,22.55,14.27,1.3,0.44,1.83
8917,欣泰    ,3285709,76974,45,42.68,44.45,42.1,43.06,43.5,16.99,4.65,0.07,2.65
8927,北基加油,147027565,8461332,2201,17.37,18.05,16.65,17.28,17.2,156.36,2.84,7.83,1.54
8931,大園汽電,49650199,3170882,1843,15.65,15.9,15.35,15.63,15.55,23.21,6.38,3.14,1.13
3073,普格    ,83347966,4480132,1562,18.6,20.35,17.5,18.47,17.5,N/A,1,9.21,1.18
3087,翔準    ,273334621,20427273,5534,13.38,14.15,12.55,13.15,12.65,12.40,0,7.18,0.89
3169,亞信電子,51158245,1332647,911,38.38,39.75,37.3,38.24,38.4,15.61,5.46,2.53,2.31
3188,安茂    ,32025631,2686383,1156,11.92,12.3,11.3,11.86,11.35,N/A,0,5.74,1.11
3219,倚強科技,2036658,330118,137,6.16,6.74,5.7,6.33,6.5,N/A,0,0.83,1.33
3227,原相科技,3306801236,27696502,20348,119.39,129.5,111,118.92,112,22.54,4.46,21.22,2.34
3228,金麗科  ,84898231,2098223,1566,40.46,42.6,38.8,40.66,38.9,N/A,0,3.56,3.53
3252,海灣科技,2881627,174120,150,16.54,18.1,14.25,16.46,14.9,5.91,0,0.35,4.45
3259,鑫創科技,88354855,4188334,1957,21.09,22.8,19.75,20.73,20.3,N/A,1.81,6.7,1.42
3260,威剛科技,1004608284,23134994,11405,43.42,45.4,41.3,43.07,41.85,N/A,7.12,10.36,1.37
3264,欣銓科技,3595922503,132878430,39034,27.06,29,25.2,26.5,27.25,9.66,4.47,29.53,1.47
3265,台星科  ,1069667307,55980216,20552,19.1,20.3,17.9,18.88,18.7,8.46,2.28,20.55,1.19
3268,海德威  ,37657514,1752487,1125,21.48,22.85,19.75,21.2,20.75,188.64,0,5.71,2.17
3291,遠翔科技,57541346,1640213,1071,35.08,36,33.3,34.77,34.3,13.61,4.96,4.99,2.22
3317,尼克森  ,151163437,5493470,3111,27.51,28.85,25.8,27,26.5,54.08,3.57,8.96,0.99
3372,典範    ,107882451,12156768,3623,8.87,9.3,8.51,8.76,8.85,N/A,0,4.31,0.79
3438,類比科  ,317897082,5297062,3618,60.01,66.7,57,60.08,58.1,12.28,3.33,14.5,2.09
3527,聚積    ,1630829841,12070857,8581,135.1,146,120.5,127.84,140.5,15.80,4.2,36.9,2.98
3529,力旺電子,587905565,6938172,4876,84.73,97,75,84.76,76.5,26.84,3.58,9.14,3.36
3553,力積電子,835289308,16727881,10972,49.93,53.9,44.95,49.53,44.95,N/A,9.94,29.43,2.6
3556,禾瑞亞  ,6222544967,53209360,34286,116.94,125,105,115.42,108,34.84,2.06,118.41,5.04
3567,逸昌    ,30365828,1655118,776,18.34,18.8,17.65,18.33,18.1,9.68,5.49,4.14,1.26
3582,凌耀    ,584990729,3812124,2977,153.45,164,144,154.36,148,23.99,3.73,11.32,4.48
5302,太欣半導,276545889,20254823,7887,13.65,15.8,10.55,13.16,14.2,N/A,0,12.48,1.88
5314,世紀民生,57334583,5988159,1953,9.57,9.92,8.9,9.34,9.35,4.79,0,5.37,0.91
