櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
01月Jan. 08,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 339,872,575,306元",,,,,,4. 加權平均本益比：12.89,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,981,240,714股",,,,,,5. 加權平均殖利率： 7.13%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 2,927,065筆",,,,,,6. 成交量週轉率： 13.40%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
6008,中信證券,7548105723,446218727,55286,16.91,18.85,15.1,16.53,16.15,7.05,4.33,17.58,1.13
6015,宏遠證券,1667610828,125098103,26802,13.33,15.3,11.3,12.82,12.15,8.74,0,29.09,1.1
6016,康和證券,1911741958,142595584,28706,13.4,15.4,11.4,12.82,12.1,8.01,3.3,23.21,0.92
6020,大展證券,326076777,15801984,4623,20.63,24.2,16.7,19.21,18.15,8.48,3.58,6.79,1.12
6021,大慶證券,503954071,27517074,8613,18.31,21.4,15.35,17.4,16.05,8.15,2.49,11.03,1.08
6022,大眾證  ,2523462326,133716065,25270,18.87,21.35,16.75,18.1,17.45,5.58,4.18,59.6,1.18
6023,寶來期  ,355331365,8094335,2778,43.89,46.9,40,44.12,45.1,10.07,5.92,7.38,2.43
2916,滿心企業,9146769,455481,224,20.08,21.3,19.3,20.32,19.4,10.26,11.34,1.08,1.25
2921,特力和樂,34653390,1587539,399,21.82,24.3,20.15,22.3,22,11.06,10.68,3.97,1.49
5902,德記洋行,26380590,3553518,913,7.42,8.73,6.51,7.43,6.59,NA,7.58,2.05,0.74
5903,全家    ,15096278,302596,261,49.89,50.9,47,49.69,50.1,18.83,4.79,0.14,3.29
5904,寶雅國際,29717508,1540380,746,19.29,21.3,17.9,19.43,18.6,9.39,8.27,2.38,1.16
5905,南仁湖  ,1697292023,78563681,27087,21.6,23.3,19.2,21.13,19.85,90.23,3.92,46.56,1.5
8941,關中    ,54358213,2665934,1086,20.38,22.6,18.15,20.91,19.75,14.11,2.48,2.81,1.08
