櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
100年12月 Dec. 11,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 174,139,891,484元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,310,869筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,415,902,760股",,,,,,4. 成交量週轉率： 7.94%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
6195,詩肯    ,235773090,5122109,3737,46.03,51,40.55,45.77,45.6,7.9,4.38,13.49,2.74,
8941,關中    ,102251283,8342172,3100,12.25,15.1,6.61,10.02,14.1,N/A,0,6.38,2.66,
9960,邁達康  ,9132639,521384,290,17.51,18.6,16,17.63,17.7,10.93,4.51,1.61,1.31,
1584,精剛精密,172758832,8079904,3967,21.38,23.3,19.5,21.48,21.05,15.25,0.95,10.2,1.17,
2221,大甲    ,73159999,4039116,2305,18.11,20.2,16.15,17.54,18.1,9.53,0,9.52,1.34,
3284,太普高  ,14909143,1644131,603,9.06,10,8.43,9.05,8.88,18.89,12.38,3.08,0.7,
3388,崇越電通,56943231,935215,734,60.88,63.5,57,60.83,60.2,8.66,9.96,1.51,1.33,
4430,耀億    ,32826923,907846,535,36.15,39,33.15,35.9,36.9,67.09,5.42,2.07,1.28,
5312,寶島科  ,251286902,3591976,2731,69.95,75.4,65,68.9,71.5,18.43,3.07,5.98,3.71,
6186,新潤興業,4559243,329995,150,13.81,14.8,13.35,13.99,13.95,N/A,0,0.66,1.25,
6803,崑鼎投控,299339641,2123616,1805,140.95,147,137,139.9,140,15.56,4.42,3.63,3.35,
8390,金益鼎  ,97784641,2918052,1139,33.51,35,30.5,32.7,31.8,10.43,5.09,4.31,1.42,
8401,白紗科技,41131953,2786308,1412,14.76,15.9,13.6,14.33,15.7,10.19,15.98,6.88,1.06,
8418,F-必勝  ,466021838,11126319,5577,41.88,47.5,35.6,40.78,41.9,10.85,0.47,20.07,1.3,
8426,F-紅木  ,172613649,4031225,2686,42.81,48,34.9,40.62,39.25,12.27,1.93,10.08,3.09,
8705,東隆五金,10605210,398074,292,26.64,27.1,25.5,26.59,26.35,17.22,6.37,0.49,1.87,
8905,裕國    ,39029273,2352718,993,16.58,17.75,15.6,16.56,15.6,20,3.84,1.97,1.12,
8906,花王企業,10916077,1877950,863,5.81,6.62,4.71,5.81,6.15,N/A,0,3.66,0.73,
8913,華夏資融,16765433,1704079,608,9.83,10.55,8.62,9.71,10.15,18.45,24.63,3.43,0.68,
8916,光隆    ,33848729,1755498,895,19.28,20.1,18.5,19.34,18.7,12.38,5.88,1.97,0.87,
8921,沈氏印刷,2238878,159727,48,14.01,14.1,13.15,13.9,14,14.58,6.42,0.34,0.82,
8923,時報出版,15951900,912000,190,17.49,20.55,15.6,17.3,16,14.68,7.81,3,1.15,
8924,大田精密,30645578,1724773,1115,17.76,18.4,17.35,17.77,18,N/A,0,1.42,1.06,
8925,偉盟工業,962242875,58899039,10674,16.33,17,15.6,16.4,16.75,104.69,3.04,20.58,1.31,
8928,鉅明    ,2839305,405541,206,7,7.5,6.28,6.84,7.3,N/A,0,0.64,0.78,
8929,富堡工業,5827673,258213,206,22.56,23.8,21.6,22.55,22.5,8.65,8,0.94,1.13,
8932,宏大    ,10784341,1319073,240,8.17,8.88,7.6,8.34,7.95,N/A,0,2.7,0.93,
8933,愛地雅  ,51050682,5548041,2520,9.2,10.2,8.11,9.11,9.03,16.72,8.74,4.26,0.63,
8934,衡平    ,60820,17000,15,3.57,4.12,3.18,3.59,3.32,6.51,0,0.03,2.89,
8935,邦泰    ,66623307,14558701,2865,4.57,5.33,3.82,4.33,5.33,N/A,0,7.21,0.64,
8936,國統國際,321586489,10835491,6062,29.67,31.5,27.3,29.23,30,2.52,4,8,1.01,
8937,合騏    ,19153830,1847200,742,10.36,12.1,9.5,10.66,11.5,N/A,0,2.55,1.05,
8938,明安國際,69175926,2402496,1517,28.79,29.95,26.8,28.6,29,76.32,8.96,1.78,1.13,
8942,森鉅科技,278610769,6994513,3933,39.83,44.4,36.9,40.01,38.85,13.13,2.47,5.37,1.93,
9949,琉園    ,57940731,2792886,1780,20.74,23.7,18.1,20.74,23.45,45.98,5.11,5.94,1.41,
1742,台蠟    ,70713341,4315609,2316,16.38,19.25,14.1,17.23,19.25,19.64,15.58,6.67,1.49,
1787,福盈科技,117091185,9412218,3814,12.44,14.2,10.75,12.19,11.6,21.48,5.94,13.49,0.76,
4702,中美聯合,40469985,2278520,935,17.76,21.2,15.55,17.91,20.85,N/A,0,2.98,2.24,
4703,金美克能,191722473,17124043,4056,11.19,14.2,9.44,11.11,11.8,98.33,0,25.03,1.92,
4706,大恭化學,9450252,711851,285,13.27,13.95,12.4,13.13,13,12.5,7.69,0.9,0.79,
4707,磐亞    ,37552886,4137336,1611,9.07,9.98,8.05,9.11,8.81,15.73,0,1.84,0.51,
4711,永純    ,6478276,415515,239,15.59,16.2,14.8,15.66,15.5,10.99,9.03,0.68,0.89,
4712,南璋    ,232785161,6400548,3095,36.36,38.5,34.2,36.05,36,59.02,0,10.65,3.18,
4714,永捷    ,18536344,1555210,403,11.91,12.75,10.5,11.93,12.1,9.76,8.26,3.66,0.83,
4716,大立    ,54734732,3416277,1909,16.02,17.3,15.05,16.04,16.45,13.6,6.07,5.66,1.27,
4720,德淵企業,27752229,2259080,928,12.28,13.3,11.6,12.24,13.3,26.08,1.5,3.24,1.02,
4721,美琪瑪  ,28051617,1362502,955,20.58,21.8,19.5,20.64,20.85,10.48,11.36,1.82,1.48,
4722,國精化學,110220783,5012683,1831,21.98,23.6,20.5,21.51,21.4,12.66,3.69,6.72,1.31,
