櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年11月 Nov. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 247,439,664,390元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,951,773筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 7,075,106,374股",,,,,,4. 成交量週轉率： 10.48%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
8917,欣泰    ,3236079,76028,41,42.56,43,42,42.55,42.1,19.67,5.22,0.07,2.82
8927,北基加油,13868005,1038089,400,13.35,14.45,12.1,13.64,12.95,N/A,2.31,0.92,1.2
8931,大園汽電,13587312,1119692,598,12.13,12.85,11.6,12.21,11.9,19.83,7.56,1.05,0.88
3073,普格    ,38989917,2925922,1362,13.32,14.8,11.7,12.77,14.4,N/A,0,6,0.99
3087,翔準    ,142349997,13050929,3655,10.9,12.25,9.2,10.84,9.45,7.94,0,4.71,0.63
3169,亞信電子,29312908,1251225,782,23.42,26.4,20.2,23.76,21.3,12.03,11.73,2.36,1.46
3188,安茂    ,11081750,1641353,703,6.75,7.5,6.02,6.91,6.1,N/A,0,3.49,0.64
3219,倚強科技,5213045,1097351,267,4.75,6.07,2.98,4.41,6,N/A,0,1.97,1.43
3227,原相科技,2392097799,30976418,21503,77.22,83.4,66.1,74.93,71,26.01,6.76,23.58,1.62
3228,金麗科  ,51876281,2427275,1628,21.37,25,16.4,21.56,18.55,N/A,0,4.11,1.83
3252,海灣科技,21379841,859645,646,24.87,28.6,20,24.22,21.05,4.24,0,2.46,3.57
