櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
"101年11月  Nov., 12",,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 203,955,035,096元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,395,365筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,392,892,597股",,,,,,4. 成交量週轉率： 8.32%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
"代 號
 Code",股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,"總  成  交  量
（ 股 ）　　　Total Trading Volume　　　　　（Share）","總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比      P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
5511,德昌營造,189380284,6018197,3182,31.46,32.45,29.9,31.27,31.9,5.27,9.4,5.08,1.52,,,
5512,力麒建設,900603758,62724640,17376,14.35,14.7,13.9,14.3,14.4,5.16,6.94,9.91,0.78,,,
5514,三豐建設,14250515,712298,446,20,20.75,19.75,20.06,20.15,8.61,8.43,0.53,1.42,,,
5516,雙喜    ,11823881,882723,524,13.39,14.55,11.55,13.54,12,4.01,8.33,2.31,0.76,,,
5519,隆大營建,114488983,4245344,2442,26.96,27.7,26.1,26.93,27.3,7.67,17.28,3.54,1.85,,,
5520,力泰建設,7169722,299225,188,23.96,24.6,22.65,23.51,24.05,12.27,5.61,0.42,0.93,,,
5521,工信    ,58138595,6711118,2096,8.66,8.98,8.19,8.65,8.76,11.68,5.7,1.93,0.73,,,
5523,宏都建設,14926560,1751704,616,8.52,9.24,7.94,8.43,8.12,N/A,0,0.99,0.92,,,
5529,志嘉建設,92950395,3646802,1574,25.48,27.4,22.6,24.68,23.4,N/A,4.27,6.84,2.6,,,
6177,達麗建設,59638099,2123962,1115,28.07,29.55,26.5,27.49,28.7,8.91,5.22,1.67,1.78,,,
6212,理銘科技,4657274,383751,195,12.13,12.75,11.5,12.28,12.2,55.45,0,0.38,1.31,,,
6219,富旺    ,57981286,3087785,970,18.77,20,16.4,18.57,19.5,40.63,0,1.97,1.94,,,
6264,德士通  ,25252009,2305567,863,10.95,11.55,10.4,10.94,11.55,N/A,0,1.68,1.57,,,
9946,三發地產,162603692,9341530,3329,17.4,18,16.85,17.26,17.8,6.79,0,4.67,1.13,,,
2636,台驊國際,18100707,1040371,717,17.39,18.2,17,17.35,17.55,16.71,11.16,1.43,1.05,,,
5601,台聯貨櫃,3615872,181917,110,19.87,20.55,19.05,19.78,19.8,37.36,1.31,0.25,0.99,,,
5603,陸海交通,7335050,698276,240,10.5,10.9,10.25,10.56,10.6,N/A,5.94,1.11,0.78,,,
5604,中連貨運,7339723,286480,203,25.62,26.15,25.3,25.72,26,25.24,5.38,0.26,1.08,,,
5609,中菲行  ,35552215,1960644,1216,18.13,19,17.5,18.3,18.35,19.32,5.55,1.45,1.43,,,
1259,安心    ,59135249,694459,751,85.15,90.1,79,85.02,83.5,26.18,3.59,2.14,1.78,,,
2718,桃園店  ,632909,14121,16,44.8,47.6,43.75,45.35,44.5,33.46,3.37,0.06,1.79,,,
2719,燦星旅  ,26595440,1218742,902,21.82,23,20.3,21.74,22,36.67,2.95,3.36,1.58,,,
2724,F-富驛  ,156634614,2723082,1218,57.52,63.8,52,58.23,53,20.78,1.37,8.61,1.87,,,
2729,瓦城    ,303167438,1647120,1559,184.05,192,175,183.45,182,22.84,4.39,7.08,2.55,,,
5701,劍湖山  ,56241476,13290660,3717,4.23,4.53,3.96,4.26,4.31,N/A,0,3.2,0.68,,,
5703,亞都麗緻,16284729,769160,425,21.17,22.25,20.2,21.33,21.15,23.5,2.36,1.1,1.73,,,
5704,老爺知  ,63100039,3037265,139,20.77,21.75,19,20.21,19.7,26.27,3.55,7.82,1.54,,,
5820,日盛金控,112074061,14330894,4267,7.82,8.13,7.58,7.75,8.06,9.37,9.18,0.53,0.74,,,
6008,凱基證券,221686439,17122595,4013,12.94,13.9,12.4,12.86,13.35,36.08,2.99,0.52,0.91,,,
6015,宏遠證券,167804818,24687433,4389,6.79,7.19,6.31,6.73,7.15,1.96,0,5.4,0.59,,,
6016,康和證券,74801919,12029865,2656,6.21,6.65,6,6.15,6.59,N/A,2.27,1.74,0.59,,,
6020,大展證券,4694997,362848,185,12.93,13.7,12.5,13.07,13.2,57.39,4.84,0.16,0.93,,,
6021,大慶證券,43067838,4269662,1419,10.08,10.8,9.31,9.85,10.7,24.88,13.08,1.39,0.76,,,
6022,大眾證  ,51818863,6987817,2056,7.41,8.08,7.03,7.28,7.95,N/A,4.27,1.85,0.66,,,
6023,元大期貨,16380608,533109,404,30.72,31,30.3,30.76,30.7,14.21,7.81,0.23,1.19,,,
6024,群益期  ,36032734,1487946,813,24.21,24.7,23.75,24.24,24.55,10.45,9.36,1.61,1.25,,,
2916,滿心企業,25313422,1449921,486,17.45,17.95,17,17.44,17.65,18.78,8.49,2.65,1.11,,,
2924,F-東凌  ,40124266,665500,379,60.29,61.3,59.3,60.57,60.3,14.06,4.64,2.2,2.88,,,
5902,德記洋行,13224178,1035210,448,12.77,13.5,12.2,12.63,12.6,N/A,0,1.1,2.07,,,
5903,全家    ,219352998,1560808,1223,140.53,144,138,140.86,142,38.38,2.53,0.7,7.44,,,
5904,寶雅國際,373940391,5420187,3156,68.99,73,66.5,68.94,73,13.59,4.63,5.92,3.82,,,
5905,南仁湖  ,115040197,11205391,3736,10.26,10.85,9.96,10.17,10.5,N/A,0,5.3,0.86,,,
6195,詩肯    ,75221446,1725086,1325,43.6,46.4,40.5,43.82,44.55,8.75,11.22,4.33,2.68,,,
8941,關中    ,1211925,268269,97,4.51,5.1,4.1,4.58,4.9,N/A,0,0.21,3.36,,,
9960,邁達康  ,6659571,407840,256,16.32,17.85,15.45,16.32,17.45,11.48,8.02,1.21,1.31,,,
1584,精剛精密,267385807,19060433,5958,14.02,15.25,12.65,13.75,14.25,N/A,3.5,22.83,0.82,,,
2221,大甲    ,8599827,577202,408,14.89,15.5,14.3,14.9,15.25,14.66,8.52,1.36,1.15,,,
2640,大車隊  ,528684088,6905488,4731,76.55,86.8,63.1,69.86,72.4,17.16,2.76,18.08,3.68,,,
3284,太普高  ,160118243,12322323,2929,12.99,13.4,12.4,12.97,13.15,17.77,8.36,23.08,0.92,,,
4430,耀億    ,87349104,2733709,944,31.95,32.9,31.1,32.04,32.7,14.09,3.97,5.44,1.09,,,
5304,鼎創達  ,8141695,2185860,1190,3.72,4.28,3.13,3.77,3.99,N/A,0,1.18,0.76,,,
5312,寶島科  ,362442068,4683156,2914,77.39,80,74,76.98,78.5,16.77,3.31,7.8,3.04,,,
5530,龍巖    ,1003132044,10966731,8153,91.47,94.7,88.3,91.32,92.9,18.04,3.22,2.75,4.79,,,
6186,新潤興業,14267306,871521,336,16.37,17.5,16,16.39,16.2,405,0,1.52,1.41,,,
6294,智基科技,1076090,22053,45,48.84,50.9,47.5,48.6,50.9,12.95,0,0.14,5,,,
6803,崑鼎投控,93456343,661823,565,141.21,143.5,138.5,140.86,141,14.43,5.84,1.1,3.09,,,
8390,金益鼎  ,78508975,2856958,1910,27.47,29.3,25.1,27.79,28.9,19.01,7.43,3.92,1.35,,,
8401,白紗科技,22182741,1440508,855,15.39,16.2,14.7,15.33,15.65,8.89,8.24,3.23,1.05,,,
8418,F-必勝  ,174424272,6364242,583,27.4,28.9,25.1,26.76,26.7,33.38,11.23,10.43,0.89,,,
8421,旭源    ,124757898,5529490,3265,22.56,24.3,20.05,22.03,24.1,35.44,3.73,14.51,1.55,,,
8423,F-保綠  ,7401114,222229,208,33.3,35.6,31.6,33.39,33,22.45,1.6,1.31,2.04,,,
8426,F-紅木  ,53050811,1309050,494,40.52,42.8,38.8,40.4,41.4,10.48,8.45,3.12,2.55,,,
8705,東隆五金,17601770,434135,450,40.54,40.7,40.5,40.6,40.65,15.76,4.42,0.53,2.66,,,
8905,裕國    ,56948780,2633331,1092,21.62,22.3,20.9,21.57,21.7,11.92,2.76,2.2,1.39,,,
8906,花王企業,2787997,327807,196,8.5,9.08,7.72,8.55,8.25,206.25,0,0.64,0.97,,,
8913,華夏資融,12382062,960629,384,12.88,13.7,12.5,13.09,13.2,18.33,3.03,1.93,0.86,,,
8916,光隆    ,24478620,1220271,613,20.05,21.3,19.55,20.03,20.85,10.86,4.79,1.36,0.97,,,
8921,沈氏印刷,1383630,77341,39,17.89,18.4,16.5,17.86,17.6,13.86,4.54,0.17,1.01,,,
8923,時報出版,309497,20196,27,15.32,15.9,15.1,15.43,15.7,17.44,6.36,0.07,1.13,,,
8924,大田精密,15202524,883783,524,17.2,18,16.75,17.3,17.3,28.83,3.46,0.73,1.03,,,
8925,偉盟工業,997154053,80248819,11113,12.42,13.85,11.35,12.52,12.3,N/A,1.62,28.04,1,,,
8928,鉅明    ,7005625,1080523,361,6.48,6.87,6.2,6.49,6.77,N/A,0,1.7,0.92,,,
8929,富堡工業,11338283,391271,295,28.97,29.95,28.05,29.04,29.4,9.51,6.12,1.43,1.4,,,
8932,宏大    ,2408989,339136,167,7.1,7.44,6.81,7.18,7.19,N/A,0,0.69,0.84,,,
8933,愛地雅  ,43879471,4678343,2141,9.37,9.74,9.05,9.34,9.61,10.22,5.2,3.46,0.68,,,
8934,衡平    ,110159,2001,3,55.05,57,53.1,55.05,53.1,10.84,2.95,0.03,3.01,,,
8935,邦泰    ,13564729,3600449,1276,3.76,4.04,3.51,3.79,3.88,N/A,0,1.78,0.54,,,
8936,國統國際,236032072,12489977,6402,18.89,19.6,16.65,18.79,19.05,42.33,20.94,7.19,0.96,,,
8937,合騏    ,4699176,501311,199,9.37,9.99,9,9.4,9.5,N/A,0,0.69,0.89,,,
8938,明安國際,94471225,2386272,1415,39.58,40.9,38,39.55,40.7,14.59,2.7,1.78,1.51,,,
8942,森鉅科技,862820850,18362291,6882,46.98,49.6,42.6,45.86,47.05,10.87,4.35,12.69,1.94,,,
9949,琉園    ,7551186,435763,327,17.32,18.1,16.7,17.4,17.5,22.44,5.6,0.89,1.12,,,
1742,台蠟    ,16357953,1262248,778,12.95,14.3,12,12.92,12.65,N/A,23.71,1.95,0.92,,,
1787,福盈科技,33951930,2723267,925,12.46,12.85,12,12.48,12.7,26.46,3.46,3.9,0.85,,,
4702,中美聯合,142602398,3825042,2342,37.28,41.3,32.2,37.07,37.8,N/A,0,5.01,5.23,,,
4703,揚華科技,31332889,2678676,1199,11.69,12.45,10.95,11.7,12,7.1,0,3.92,1.6,,,
4706,大恭化學,5238799,364224,177,14.38,14.8,13.9,14.4,14.4,11.8,6.94,0.46,0.87,,,
4707,磐亞    ,24961933,3222208,1182,7.74,8.09,7.4,7.75,8,42.11,0,1.43,0.45,,,
4711,永純    ,4867855,326098,232,14.92,15.6,14.4,15.07,15.1,27.96,6.62,0.53,0.82,,,
4714,永捷    ,23601503,2389380,902,9.87,10.5,9.37,9.88,9.95,12.59,5.02,5.63,0.72,,,
4716,大立    ,62687909,3653837,1957,17.15,18.15,15.9,17.1,17.9,17.05,5.75,5.66,1.41,,,
4720,德淵企業,27064599,1929929,779,14.02,14.25,13.7,14.03,14.1,13.06,5.31,2.64,1.08,,,
4721,美琪瑪  ,27467400,1352242,802,20.31,20.85,19.7,20.4,20.65,16.65,7.74,1.8,1.53,,,
4739,康普    ,2525275,137101,86,18.41,19.7,17.5,18.65,18.4,51.11,6.52,0.28,0.92,,,
6506,雙邦實業,3670630,313734,170,11.69,12.5,11.05,11.76,12.35,36.32,4.85,0.49,1.02,,,
6509,聚和國際,181623071,13823830,6470,13.13,14,11.4,12.87,13.05,30.35,2.29,8.08,0.83,,,
1565,精華光學,3238235365,7693519,6758,420.9,455,374,420.18,455,20.71,3.4,15.26,7.93,,,
1593,祺驊    ,10320407,427284,295,24.15,24.9,23.2,24.16,24.5,14.08,7.34,1.74,0.96,,,
1752,南光    ,1508377760,37024357,21567,40.74,44.9,35.7,39.57,42.6,37.04,0.46,58.77,3.12,,,
1777,生泰合成,9283908,217946,211,42.59,43.9,40.45,42.86,42.95,19.88,3.49,0.87,2.13,,,
1781,合世生醫,149818770,5213851,2352,28.73,31.5,23.8,27.75,30.8,66.96,0,12.4,2.93,,,
1784,訊聯    ,210894788,5958277,4105,35.39,38,32,35.5,35.25,39.17,0,11.87,1.52,,,
1788,杏昌生技,124095368,1813821,1374,68.41,71.3,64,68.39,70.2,15.63,4.98,5.18,1.88,,,
1795,美時化學,157286707,6835672,4224,23,25.15,20.7,22.85,23,N/A,0,11.98,2.15,,,
1799,紅電醫  ,147067808,11046980,6053,13.31,15,11.35,13.04,13,N/A,0,34.72,1.79,,,
1813,寶利徠  ,124982478,3237404,2021,38.6,40.25,36.05,38.44,39.6,11.82,3.03,7.87,2.25,,,
3118,進階    ,126482382,4128872,2923,30.63,32.4,28.55,30.39,30.3,17.02,6.6,12.72,2.11,,,
3176,基亞    ,11065068197,77009045,49976,143.68,162,115.5,143.04,152.5,N/A,0,59.85,12.4,,,
3205,佰研生化,21598229,1365519,896,15.81,17.3,13.5,15.36,15.7,N/A,0,5.53,1.52,,,
3218,大學光學,121778188,6208225,2723,19.61,20.6,18.8,19.67,20.3,N/A,1.62,9.38,1.27,,,
4102,永日化工,152053701,5307710,3813,28.64,30.4,26.35,28.36,28.7,63.78,6.27,12.53,1.65,,,
4103,百略    ,154152013,2652124,2360,58.12,60,55.6,57.48,59,11.2,5.08,2.41,2.35,,,
4105,東洋藥品,3906069940,40205834,28226,97.15,102,89,96.12,99.7,45.73,2.7,18.79,6.34,,,
4107,邦特生技,104745546,3585567,2344,29.21,30.3,27.8,29.17,29.7,13.94,5.05,4.58,1.89,,,
4109,加捷    ,124330877,7184432,4202,17.3,18.45,15.8,16.92,16.85,67.4,4.74,13.1,1.36,,,
4111,濟生    ,310293536,11992977,7198,25.87,27.1,24.4,25.61,25.9,18.91,1.35,23.9,1.52,,,
4114,健喬信元,404967248,13010813,8069,31.12,32.65,28.8,30.81,30.8,34.22,1.88,14.39,2.32,,,
4120,友華生技,470400644,10566168,7452,44.51,47.8,40.15,43.72,44.65,21.06,2.68,12.18,1.66,,,
4121,優盛醫學,110836204,9027070,5108,12.27,13,10.8,11.99,12.2,27.73,6.55,12.31,0.79,,,
4123,晟德    ,176956110,5406445,3429,32.73,34.4,31.1,32.42,32.5,N/A,4.61,4.68,1.49,,,
4126,太平洋醫,353050863,4113858,3001,85.81,92.5,83.4,86,85.6,19.02,4.67,6.23,3.61,,,
4127,天良    ,373556803,18762917,10557,19.9,21.2,18.1,19.71,19.8,15.35,0,41,1.21,,,
4128,中天生技,591941984,20492498,10654,28.88,30.45,27.05,28.83,28.85,N/A,6.93,6.29,1.87,,,
4129,聯合骨科,112352582,3247283,2297,34.59,37.25,31.85,34.51,34.2,41.2,2.92,7,2.5,,,
4130,健亞    ,1646928540,47816200,29799,34.44,37.55,29.65,33.99,35.7,44.63,0,49.32,3.37,,,
4131,晶宇生技,118325701,7170450,4538,16.5,18.35,14.8,16.06,16.45,N/A,0,14.85,3.07,,,
4138,曜亞國際,191387606,2352531,1952,81.35,85.9,75.1,81.16,80.5,14.12,6.21,7.84,2.24,,,
4139,F-馬光  ,319339510,2934040,1931,108.83,118,90.8,107.5,111,100.91,1.36,13.04,4.58,,,
4154,F-康樂  ,185814432,5803866,2208,32.01,34.4,28,31.5,31.2,12.28,5.06,26.62,1.94,,,
