櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
03月 Mar. 08,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 364,128,386,063元",,,,,,4. 加權平均本益比：14.74,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,069,402,673股",,,,,,5. 加權平均殖利率： 6.09%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 3,316,682筆",,,,,,6. 成交量週轉率： 15.04%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4714,永捷    ,11527815,1177748,488,9.78,10,9.41,9.77,9.82,17.23,10.18,2.77,0.76
4716,大立    ,316552525,15307941,5695,20.67,22.3,18.4,20.32,20.7,159.23,1.2,29.37,1.78
4720,德淵企業,45401493,3552530,1487,12.78,14.2,12,12.84,12.7,9.27,6.29,5.81,0.92
4721,美琪瑪  ,690376226,18791950,9942,36.73,40,32.6,35.96,36.4,17.5,3.54,29.39,2.62
4722,國精化學,3229271,343164,213,9.41,9.8,9,9.44,9.49,43.14,5.26,0.56,0.65
6509,聚和國際,716082343,37017578,12161,19.34,21.15,17.5,18.79,20.3,29.42,11.72,27.37,1.1
1565,精華光學,465998137,3486163,2365,133.67,144,123.5,130.14,141.5,14.71,3.74,6.93,4.4
1777,生泰合成,84339390,2618222,1297,32.21,35.8,27,29.81,35.3,18.39,6.79,12.12,2.12
1781,合世生醫,52134723,2152586,1126,24.21,25.85,22.55,24.15,23.4,NA,1.32,6.15,2.45
1784,訊聯    ,593184854,8189777,5595,72.42,81.8,57.8,70.58,70.8,44.81,0.81,26.57,4.65
3205,天騵生科,38969663,3385184,1644,11.51,13.35,10,11.07,10.4,NA,0,11.39,2.04
3218,大學光學,142106563,3156253,1697,45.02,47.8,40.1,43.95,43.9,21.95,3.75,7.86,2.57
3266,弘如洋  ,74761360,3675822,1520,20.33,22,17,18.82,20.65,129.06,5.61,15.88,1.85
