櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
100年01月 Jan. 11,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 404,489,101,824元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,819,332筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,735,860,704股",,,,,,4. 成交量週轉率： 16.30%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
4707,磐亞    ,3024591268,130999327,42182,23.08,24.95,20.7,22.89,23.1,42.78,0.85,58.11,1.38,,
4711,永純    ,15059877,744913,352,20.21,20.55,19.95,20.25,19.95,11.60,8.02,1.22,1.14,,
4712,南璋    ,1924664137,42847637,18949,44.91,54.9,30.45,43.07,50,N/A,0,71.31,4.65,,
4714,永捷    ,68409165,3831448,1371,17.85,18.7,17.3,17.77,18.25,10.99,5.61,9.03,1.07,,
4716,大立    ,215684177,6545283,3796,32.95,34.4,31.55,32.48,32,26.45,1.64,11.72,2.49,,
4720,德淵企業,445186560,21124242,7815,21.07,22.25,19.9,20.44,20.05,50.13,2.49,30.31,1.58,,
4721,美琪瑪  ,289856292,9048498,5150,32.03,33.5,30.75,31.6,32,13.06,3.1,12.51,2.2,,
4722,國精化學,167638024,7526165,2609,22.27,23.3,20.8,21.98,21.3,29.58,2.7,10.41,1.41,,
6509,聚和國際,912288812,33195520,14164,27.48,29.4,25.8,26.49,26.4,24.44,3.66,20.2,1.62,,
1565,精華光學,1539503533,4064302,3467,378.78,407,356,383,368,21.93,2.84,8.06,8.23,,
1752,南光    ,380134198,10529423,5769,36.1,38.5,32.6,34.67,37.25,N/A,0.53,16.71,2.97,,
1777,生泰合成,125527566,2153549,1445,58.28,61,54.3,58.49,60,18.40,2.92,9.06,3.11,,
1781,合世生醫,99106215,3355716,2067,29.53,30.85,28,29.58,30.1,12.29,0,8.19,2.9,,
1784,訊聯    ,555112535,8976343,6580,61.84,65.4,57.6,60.93,58,N/A,0,18.01,3.13,,
1788,杏昌生技,566463048,4989576,3661,113.52,125,102,114.15,103,20.77,3.07,17.06,3.66,,
1795,美時化學,395218351,7808660,5080,50.61,54.3,44.4,49.85,50.1,N/A,1.41,17.52,3.79,,
1799,紅電醫  ,27436848,1273875,556,21.53,22,21.3,21.54,21.5,43.00,9.28,4.03,1.65,,
1813,寶利徠  ,46218826,1150952,666,40.15,41.9,38.45,40.04,39.5,21.12,2.55,2.8,2.4,,
3118,進階    ,100825407,2171674,1565,46.42,48.6,44.35,46.23,45.15,19.63,3.31,7.03,3.03,,
3205,佰研生化,12580588,527362,405,23.85,25.75,22.8,23.82,24.3,N/A,0,2.13,3.12,,
3218,大學光學,62099948,2278346,1395,27.25,28.95,25.75,26.99,27,N/A,0,5.03,1.94,,
3266,弘如洋  ,40103088,1585281,871,25.29,26.65,24,25.21,25.2,N/A,0,1.91,2.11,,
4102,永日化工,1040488390,14990369,10102,69.41,76.5,60.6,70.71,61,20.20,3.03,37.15,4.42,,
4103,百略    ,179362999,3452773,2439,51.94,53.5,50.7,51.81,52.3,13.24,5.63,2.83,2.45,,
4105,東洋藥品,6284394875,43886510,24341,143.19,152,130,139.22,144,51.99,2.01,31.38,9.87,,
4107,邦特生技,290506518,6314411,4113,46,49.1,43,45.91,43.5,18.51,4.6,8.07,2.76,,
4109,加捷    ,718265795,23615384,10035,30.41,32.8,27.7,30.02,32.2,128.80,2.48,51.16,2.56,,
4111,濟生    ,336962929,11425119,6058,29.49,30.9,27.8,28.96,28.1,41.32,1.95,23.23,1.74,,
4114,健喬信元,460390590,12480817,6034,36.88,38.7,34.5,35.96,37.9,71.51,0,15.3,2.52,,
4120,友華生技,198064214,3737813,2610,52.98,55.4,51.2,52.7,51.3,13.46,4.08,4.61,2.23,,
4121,優盛醫學,172885881,7690405,4159,22.48,23.3,21.75,22.35,22.65,13.48,2.27,10.91,1.44,,
4123,晟德    ,163037656,3906057,2234,41.73,42.8,40.45,41.68,41.05,157.88,5.96,4.49,2.17,,
4126,太平洋醫,565944201,4858774,3774,116.47,126.5,103,118.02,109,16.08,0.84,9,4.5,,
4127,天良    ,205857508,6961355,4085,29.57,30.75,28.5,29.34,28.95,57.90,0.69,15.21,1.71,,
4128,中天生技,2438023188,49116088,24006,49.63,51.2,46.8,49.33,49.25,104.79,0,21.9,2.48,,
4129,聯合骨科,233486839,4726097,3243,49.4,51,46.85,49.14,47,63.51,1.87,10.19,3.63,,
4131,晶宇生技,52865069,1818114,1189,29.07,31,27.5,29.03,27.85,N/A,0,3.76,4.25,,
4138,曜亞國際,1316386521,10224335,6919,128.75,145,114,127.05,141,26.16,1.48,38.58,6.25,,
4736,泰博    ,273508971,3811880,2540,71.75,76.3,68.5,71.3,70.5,15.23,9.92,5.84,2.63,,
8908,欣雄    ,9645524,510497,383,18.89,19.6,17.85,18.96,18.4,17.20,1.57,0.65,1.66,,
8917,欣泰    ,3633830,91184,38,39.85,40.5,39.3,39.99,39.55,19.20,5.05,0.09,2.61,,
8927,北基加油,31973598,2091614,866,15.28,15.75,15,15.24,15.35,42.64,3.25,1.9,1.35,,
8931,大園汽電,41706410,2800981,1145,14.88,15.35,14.5,14.97,15.05,12.86,6.57,2.63,1.09,,
3073,普格    ,60530517,2765190,1392,21.89,24.75,20.4,21.73,20.5,N/A,0.83,5.68,1.11,,
3087,翔準    ,135175558,12037834,3093,11.22,11.8,10.6,11,11.55,17.77,0,4.22,0.85,,
3169,亞信電子,183299679,4333432,2434,42.29,46.85,40.3,42.07,41,13.31,5.07,8.12,2.64,,
3188,安茂    ,39311293,2979039,1297,13.19,13.65,12.75,13.12,13.55,N/A,0,6.33,1.11,,
3219,倚強科技,6436913,1029508,358,6.25,7.44,5.04,5.87,7.43,N/A,0,2.59,1.17,,
