櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
100年10月 Oct. 11,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 223,329,158,139元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,516,490筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,475,576,574股",,,,,,4. 成交量週轉率： 8.12%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
3073,普格    ,21847155,1747966,720,12.49,13.3,11.4,12.29,12.95,N/A,0,3.58,0.89,,,
3087,翔準    ,100443720,8076144,2657,12.43,13.45,11.25,12.34,11.35,9.54,0,2.91,0.76,,,
3169,亞信電子,53716669,1990090,1380,26.99,29.5,25,26.41,25,14.12,10,3.75,1.72,,,
3188,安茂    ,9259763,1276121,596,7.25,7.65,6.84,7.31,7.55,N/A,0,2.71,0.79,,,
3219,倚強科技,288593,78072,35,3.69,4.68,3.3,4.06,3.35,N/A,0,0.14,0.8,,,
3227,原相科技,2001162246,25974653,18593,77.04,79.7,71.8,76.54,74,27.11,6.48,19.77,1.69,,,
3228,金麗科  ,33365779,1323884,954,25.2,26,24.35,25.21,25,N/A,0,2.24,2.47,,,
3252,海灣科技,5344387,239188,143,22.34,25.65,19.65,22.03,20,4.03,0,0.68,3.4,,,
3259,鑫創科技,41149404,3012589,1015,13.65,14.85,12.4,13.67,13.95,N/A,0,4.82,1.08,,,
3260,威剛科技,944644889,27185881,13624,34.74,36.6,30.5,34.34,32.6,N/A,0,11.91,1.09,,,
3264,欣銓科技,726884574,40547247,15245,17.92,18.8,17,17.88,17.9,8.86,11.73,8.91,1.07,,,
3265,台星科  ,320836062,15854167,6948,20.23,21.2,19.05,19.96,20.65,6.09,8.03,11.64,0.98,,,
