櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年12月 Dec.10,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 523,052,176,581元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,998,387筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,526,535,192股",,,,,,4. 成交量週轉率： 20.65%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
8916,光隆    ,1174916220,42149909,18284,27.87,29.5,26.25,27.29,26.55,11.49,2.4,47.59,1.21,,,,
8921,沈氏印刷,6276893,448234,124,14,14.3,13.65,13.99,13.9,14.48,4.28,0.96,0.83,,,,
8923,時報出版,6073220,321572,169,18.88,19.85,18,18.95,18.45,12.81,5.42,1.06,1.27,,,,
8924,大田精密,103251921,2661253,1684,38.79,39.85,38.1,38.75,39.35,18.56,6.35,2.19,2.2,,,,
8925,偉盟工業,2328838833,114160989,24039,20.39,22.2,18,19.85,21.6,63.53,4.8,41.12,1.6,,,,
8928,鉅明    ,14988267,1504922,482,9.95,10.5,9.16,9.98,10.15,N/A,4.97,2.37,0.97,,,,
8929,富堡工業,750816092,14972405,7452,50.14,54.5,40.35,47.49,49.6,12.69,3.94,56.81,2.6,,,,
8932,宏大    ,17743294,1771392,622,10.01,10.5,9.7,9.99,9.99,18.16,0,3.63,1.09,,,,
8933,愛地雅  ,217517509,14448022,6248,15.05,15.95,13.8,14.86,14.7,22.27,6.55,11.75,1.02,,,,
8934,馭鳳    ,0,0,0,-,-,-,-,2.48,N/A,0,0,4.43,,,,
8935,邦泰    ,377381405,35273101,8610,10.69,11.35,10.05,10.54,10.65,N/A,0,17.47,1.25,,,,
8936,國統國際,503391545,17836403,7937,28.22,30.3,25.5,28.17,28.6,18.33,4.07,14.95,1.77,,,,
8937,合騏    ,201574815,9293259,2963,21.69,23.3,19,20.66,19.9,N/A,0,12.82,1.72,,,,
8938,明安國際,568713097,9429957,5623,60.3,63.2,57.3,59.6,60.9,11.45,5.95,7.02,2.18,,,,
8942,森鉅科技,2047175309,58832851,21442,34.79,37.8,27.7,33.4,36.55,29.01,2.75,53.41,2.22,,,,
9946,金革科技,129654737,5906391,2124,21.95,24,18.45,22.08,23.5,38.52,0,5.91,2.59,,,,
9949,琉園    ,68296750,2793094,1760,24.45,25.6,23.1,24.51,24.4,22.80,3.45,6.18,1.61,,,,
1742,台蠟    ,208208035,4179678,2888,49.81,52,46.3,49.1,50.5,13.29,5.16,8.27,3.16,,,,
1787,福盈科技,170296819,9602917,4143,17.73,18.45,16.75,17.56,17.65,16.05,2.33,13.78,1.18,,,,
4702,中美聯合,200232300,13860533,5986,14.44,16.1,12.6,14.13,13.6,N/A,0,38.07,1.48,,,,
4703,金美克能,20638014,2584682,539,7.98,8.36,7.71,7.98,8.02,N/A,0,3.78,1.31,,,,
4706,大恭化學,33511488,1957829,819,17.11,17.7,16.45,16.99,17,9.29,4.01,2.48,1.07,,,,
4707,磐亞    ,2117838618,112111419,30916,18.89,21.45,15.3,17.49,21.4,39.63,1.17,49.73,1.01,,,,
4711,永純    ,29860727,1465851,529,20.37,21.25,20,20.46,20.5,11.92,7.78,2.4,1.18,,,,
4712,南璋    ,669189047,26325460,8782,25.41,30.5,18.15,24.71,30.45,N/A,0,43.81,2.54,,,,
4714,永捷    ,58182085,3441389,1027,16.9,17.7,15.75,16.73,17.5,10.54,5.88,8.11,1.02,,,,
4716,大立    ,468076046,12940003,7576,36.17,38.8,32.1,35.35,33.2,27.44,1.49,23.17,2.75,,,,
4720,德淵企業,196191346,9540691,4600,20.56,21.3,19.6,20.27,20.2,50.50,2.46,13.69,1.6,,,,
4721,美琪瑪  ,307562391,9677650,5502,31.78,33,30.6,31.51,30.85,12.59,3.25,13.38,2.1,,,,
4722,國精化學,177037798,8012635,2734,22.09,23.45,20.45,21.96,22.8,31.67,2.68,11.1,1.42,,,,
4733,上緯企業,373272554,6418151,3701,58.15,62.7,53.6,56.41,60.2,N/A,5.46,9.8,2.75,,,,
6509,聚和國際,1181377272,43040845,19143,27.44,29.1,25.8,26.64,26.5,24.54,3.43,26.19,1.73,,,,
1565,精華光學,2354540789,5831968,5510,403.73,445,375,400,388,23.12,2.66,11.57,8.79,,,,
1752,南光    ,608181870,16094515,9816,37.78,41.5,33.6,36.94,34.4,N/A,0.54,25.55,2.91,,,,
1777,生泰合成,217582735,3523097,2198,61.75,66.6,56.1,61.65,56.9,17.45,2.77,14.82,3.27,,,,
1781,合世生醫,243928199,7618388,4472,32.01,34.8,28,31.61,28.5,11.63,0,18.6,3.13,,,,
1784,訊聯    ,2940891915,41187465,27087,71.4,78.5,63.5,69.9,64.1,N/A,3.26,91.8,3.34,,,,
1788,杏昌生技,1427978008,10928839,7763,130.66,143,114,129.08,120.5,24.29,2.72,37.36,4.13,,,,
1795,美時化學,462914349,8419185,5529,54.98,60.2,49.95,54.34,50.1,N/A,1.38,18.89,3.87,,,,
1799,紅電醫  ,31589878,1426303,968,22.14,23.4,21.4,22.07,22,44.00,9.13,4.61,1.68,,,,
1813,寶利徠  ,128843646,3042710,1787,42.34,45.6,39.5,41.04,40.8,21.82,2.49,7.4,2.46,,,,
3118,進階    ,374480394,7118057,4652,52.6,58,47.35,51.88,48.3,21.00,2.87,23.03,3.49,,,,
3205,佰研生化,30044993,1090086,831,27.56,29.5,25.15,26.8,25.65,N/A,0,4.41,3.74,,,,
3218,大學光學,105080726,3700563,2162,28.39,30.2,25.9,27.21,26.25,N/A,0,8.17,1.85,,,,
3266,弘如洋  ,142645061,5359329,2492,26.61,28.2,24.15,26.21,26.25,N/A,0,6.45,2.25,,,,
4102,永日化工,2487178979,31738675,19902,78.36,84.5,71,77.76,76,25.17,2.63,78.65,5.1,,,,
4103,百略    ,400361468,7237627,4956,55.31,59.2,51.1,54.56,51.2,12.96,5.84,5.92,2.36,,,,
4105,東洋藥品,9376261608,67520417,42177,138.86,154,130,137.97,136,49.10,2.25,48.28,8.81,,,,
4107,邦特生技,886232070,17154593,10553,51.66,55.7,47.5,51.05,47.5,20.21,3.91,21.92,3.25,,,,
4109,加捷    ,1612026533,51953872,19526,31.02,35.25,23.4,29.9,31,124.00,2.55,112.54,2.48,,,,
4111,濟生    ,1265135248,40474705,19020,31.25,33.1,27.6,30.61,28.95,42.57,1.89,82.28,1.79,,,,
4114,健喬信元,595436217,16696810,8027,35.66,38.2,33,34.93,34.65,65.38,0,20.48,2.51,,,,
4120,友華生技,464403524,8234262,5267,56.39,58.9,54.4,56.08,55.4,14.54,3.74,10.15,2.44,,,,
4121,優盛醫學,588439899,24248034,12363,24.26,25.95,22.3,23.82,22.6,13.45,2.1,34.4,1.56,,,,
4123,晟德    ,297023507,6752952,4050,43.98,46.45,41.5,43.7,42.1,161.92,5.74,7.75,2.25,,,,
4126,太平洋醫,1937436962,14925362,9890,129.8,140,121.5,128.47,122.5,18.07,0.77,27.66,4.92,,,,
4127,天良    ,460669744,14519355,8440,31.72,33.5,28.4,31.47,28.65,57.30,0.69,31.73,1.69,,,,
4128,中天生技,3075285019,61576392,30998,49.94,52.9,46.6,49.64,47.2,100.43,0,27.46,2.41,,,,
4129,聯合骨科,897591575,16833254,10932,53.32,57,49,52.16,50.2,67.84,1.87,36.31,3.62,,,,
4131,晶宇生技,193053187,6030293,3485,32.01,35.4,29.7,30.73,30,N/A,0,12.49,4.81,,,,
4138,曜亞國際,331570000,2753000,1993,120.43,130,114.5,121.33,127,23.56,1.57,10.39,5.9,,,,
4736,泰博    ,1366298448,16881196,11355,80.93,87.8,71,77.95,72.5,15.66,9.43,25.85,2.77,,,,
8908,欣雄    ,37573846,2072193,337,18.13,19.3,17.6,18.31,18.65,17.43,1.61,2.65,1.62,,,,
8917,欣泰    ,4035470,99870,51,40.4,41.7,40,40.29,40.2,19.51,4.97,0.09,2.65,,,,
8927,北基加油,44129966,2913643,1155,15.14,15.55,14.85,15.13,15.3,42.50,3.32,2.67,1.32,,,,
8931,大園汽電,29233061,2023524,867,14.44,15.1,14.2,14.45,14.9,12.74,6.87,1.9,1.05,,,,
3073,普格    ,93804365,3784077,1538,24.78,25.55,23.65,24.81,24.6,N/A,0.73,7.77,1.26,,,,
3087,翔準    ,159906290,14334417,3365,11.15,11.45,10.65,11.01,10.8,16.62,0,5.03,0.81,,,,
3169,亞信電子,353595312,7110977,4141,49.72,53,46.1,49.5,46.45,15.08,4.34,13.32,3.07,,,,
3188,安茂    ,86643510,6186439,2451,14,14.8,12.7,13.64,13.1,N/A,0,13.15,1.12,,,,
3219,倚強科技,3828070,663396,216,5.77,6.24,5.24,5.81,5.66,N/A,0,1.67,0.95,,,,
3227,原相科技,6075692161,40171898,26113,151.24,159.5,138,148.95,145,19.94,3.44,30.71,3.11,,,,
3228,金麗科  ,405002823,7492738,5536,54.05,59,49.8,53.22,50.9,N/A,0,12.68,4.13,,,,
3252,海灣科技,6770782,442243,351,15.31,16.8,12,14.93,14.4,N/A,0,0.88,20.15,,,,
3259,鑫創科技,81796834,3619053,1641,22.6,24.55,19.8,21.79,22.4,N/A,1.81,5.81,1.42,,,,
3260,威剛科技,6205720873,121057794,52349,51.26,54.6,45.4,50.3,49,14.76,5.63,53.06,1.71,,,,
3264,欣銓科技,5973561407,198136877,54225,30.14,32.5,28.6,29.93,30.25,9.73,4.01,44.48,1.72,,,,
3265,台星科  ,3990706294,199120991,56697,20.04,22.45,17.45,19.66,21.2,10.65,1.95,73.07,1.47,,,,
3268,海德威  ,58200899,2063892,1384,28.19,29.7,25.8,27.81,27.8,89.68,0,6.73,2.74,,,,
3291,遠翔科技,153158337,3881086,2629,39.46,42.8,36.35,38.74,36.5,12.17,4.73,11.63,2.51,,,,
