櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
99年05月 May 10,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,920,360,344元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,781,712筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,263,394,846股",,,,,,4. 成交量週轉率： 18.06%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
5903,全家    ,24111162,375167,319,64.26,68.1,61.6,64,63.9,17.65,3.9,0.17,3.54,
5904,寶雅國際,179280413,5659619,2901,31.67,33.25,30.3,31.75,31.7,10.46,8.58,7.75,1.71,
5905,南仁湖  ,1322497878,57059734,21193,23.17,25.1,21.5,22.96,24.25,N/A,0,32.05,2.17,
8941,關中    ,113461765,9215226,3220,12.31,15.15,10.2,12.04,11.3,N/A,8.78,10.02,1.86,
9960,邁達康  ,73062366,2349600,1328,31.09,33.5,26.5,30.08,28.1,10.89,4.43,9.38,1.82,
1584,精剛精密,72163547,4482815,1750,16.09,18.4,14.8,15.92,15.7,N/A,0,7.7,0.98,
2221,大甲    ,53605472,3500346,1536,15.31,16.35,12.55,14.5,13.9,N/A,10.13,8.25,1.18,
3284,太普高  ,537732664,22968785,7204,23.41,24.4,20.75,23.14,22.9,14.59,0,44.69,1.77,
3388,崇越電通,382241099,4949334,3286,77.23,83.7,69,76.6,74,10.57,3.87,8.89,1.77,
5312,寶島科  ,725677967,10749060,6079,67.51,75.5,60.3,67.16,62.7,22.55,2.98,17.9,3.59,
6186,晶磊興業,91418599,4058660,2171,22.52,25.75,19.5,22,20.8,49.52,0,20.11,2.02,
6803,崑鼎投控,425564798,3816563,2764,111.5,130,101,108.83,105.5,14.59,5.26,7.31,3.27,
8390,金益鼎  ,138008285,3182853,1758,43.35,46.35,38.75,42.53,40.05,17.96,3.84,5.65,2.09,
8401,白紗科技,1208299078,23567828,13728,51.26,56.7,43.85,51.04,50.5,19.73,2.12,70.39,2.92,
8705,東隆五金,43467096,1366884,848,31.8,33.45,29.8,31.51,30.8,12.32,2.53,1.64,2.02,
8905,裕國    ,95231972,6231127,2532,15.28,16.65,14,15.14,14.3,14.59,1.37,5.22,1.07,
8906,花王企業,34029112,4813472,1602,7.06,7.89,6.47,7.03,6.8,N/A,0,9.38,0.76,
8913,華夏資融,1703272291,54871840,23028,31.04,34.4,24.8,29.53,27.5,3.63,0,121.49,1.55,
8916,光隆    ,20194380,1397154,521,14.45,15.4,13.3,14.33,14.1,7.75,3.5,1.61,0.71,
8921,沈氏印刷,62671671,4475607,1386,14,15.15,12.05,13.22,12.5,16.89,1.53,9.61,0.73,
8923,時報出版,46469459,2458873,1163,18.89,20.3,17.1,18.63,19.3,13.31,4.32,8.09,1.29,
8924,大田精密,138705076,3320706,1981,41.76,43.1,39.8,41.86,41.8,19.62,8.39,2.74,2.12,
8925,偉盟工業,2945734980,117524442,34784,25.06,26.65,22.3,24.65,26,78.79,6.17,47.03,1.89,
