櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
12月Dec. 07,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 370,142,867,977元",,,,,,4. 加權平均本益比：15.94,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,664,846,017股",,,,,,5. 加權平均股利率： 5.71%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 3,076,601筆",,,,,,6. 成交量週轉率： 12.76%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均股利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5312,寶島科  ,70344227,2241301,1369,31.38,37.5,27.05,32.35,30.75,13.67,8.78,3.92,2.19
8705,東隆五金,76668813,1536061,991,49.91,52,48.2,50.01,50,9.73,10,1.92,2.63
8905,裕國    ,3396701,212977,151,15.94,16.8,15.4,15.98,16,13.01,4.25,0.18,1.19
8906,花王企業,4274164,682897,215,6.25,6.58,5.84,6.28,6.21,NA,1.61,1.33,0.6
8913,華夏資融,7518327,833942,372,9.01,9.59,8.3,9.04,8.6,6.28,0,2.37,0.93
8916,光隆    ,10890783,946195,366,11.51,12.45,10.5,11.37,10.95,9.61,3.65,1.15,0.57
8921,沈氏印刷,1065756,87124,36,12.23,13.5,11.75,12.37,12,0,5.91,0.18,0.73
8923,時報出版,1454834,112030,74,12.98,13.5,12.5,13.07,13,0,7.69,0.37,0.97
8924,大田精密,164278673,2343023,1569,70.11,72.5,66.2,69.97,69.4,10.33,8.78,1.94,3.26
8925,偉盟工業,469472861,18282233,4975,25.67,29.7,22.1,26.19,25.9,35.97,4.98,10.16,2.03
8928,鉅明    ,30207563,1879082,716,16.07,17.9,14.3,16.28,16.5,24.26,3.63,2.88,1.36
8929,富堡工業,301970,32000,27,9.43,9.99,8.93,9.75,9.99,NA,0,0.17,1.42
8932,宏大    ,14283833,1248605,601,11.43,12.1,10.75,11.53,11.7,NA,6.23,3.3,1.37
8933,愛地雅  ,216078442,13971997,6188,15.46,18.7,12.4,15.73,15.1,25.17,1.98,12.46,1.03
8934,世一旦  ,0,0,0,0,0,0,0,11.05,NA,0,0,18.42
8935,邦泰    ,73783940,9618568,2406,7.67,8.93,6.7,7.94,8.27,NA,14.51,6.73,0.68
8936,國統國際,630311903,15970160,6096,39.46,45,31.95,38.38,39.5,15.55,1.67,23.89,3.08
8937,合騏    ,33901365,2724907,877,12.44,14.2,11.5,12.58,14.2,88.75,1.76,3.41,1.13
8938,明安國際,582339685,9123464,5085,63.82,71.5,59,63.8,63.9,11.49,7.4,7.94,2.56
8942,森鉅科技,136322090,3732110,1841,36.52,39.9,33.95,36.8,37.4,11.4,5.58,4.89,1.98
9946,金革科技,31676351,2039936,613,15.52,16.6,13,14.92,14.25,0,3.5,7.98,1.27
9949,琉園    ,300318574,5716617,3320,52.53,56,47,51.96,52,28.26,3.07,13.66,2.89
9955,佳龍科技,1013666874,15556352,10114,65.16,79,53.5,66.53,67.4,24.6,2.22,18.95,3.74
1742,台蠟    ,23642606,579571,402,40.79,42.75,39,40.94,40.9,9.58,8.92,1.91,2.37
1787,福盈科技,18322836,1309264,599,13.99,15.05,12.55,14.08,13.9,12.87,8.99,2.28,0.96
3303,岱稜    ,1210480294,20154568,11118,60.05,67.9,53,59.21,56.5,16.91,4.03,33.82,2.54
4702,中美聯合,15103314,2462759,858,6.13,7.39,5.05,6.21,5.7,NA,0,4.04,0.8
4703,金美克能,9930688,946356,385,10.49,11.6,9.25,10.22,10.5,NA,0,1.38,1.63
4706,大恭化學,4373435,434002,201,10.07,10.9,9.55,10.23,10.2,48.57,5.88,0.55,0.71
4707,磐亞    ,74813690,5688490,1566,13.15,16.4,11.4,14.06,12.9,13.72,0,3,0.59
4711,永純    ,14727556,922032,466,15.97,16.65,14.6,16.02,16.3,11.09,8.58,1.51,0.98
4712,南璋    ,10076355,1206882,496,8.34,8.8,7.72,8.32,8.26,21.18,6.05,1.88,0.68
4714,永捷    ,14151651,1514605,695,9.34,10.4,8.55,9.37,9.14,16.04,10.94,3.57,0.71
4716,大立    ,328520147,18363319,6438,17.89,22.85,14.65,18.84,20.05,154.23,1.24,35.23,1.72
4720,德淵企業,37031297,2695371,1318,13.73,14.75,12.35,13.95,13.9,10.15,5.75,5.6,1
4721,美琪瑪  ,71630753,2721831,1548,26.31,28.45,23.9,26.08,26.5,12.74,4.86,4.26,1.91
4722,國精化學,6753115,714412,336,9.45,10.6,8.72,9.72,10,45.45,5,1.16,0.69
6509,聚和國際,775199282,39261972,14234,19.74,24,16.4,19.71,19.55,28.33,12.17,29.78,1.06
1565,精華光學,281084039,1981422,1308,141.85,149.5,132,141.59,140.5,14.6,3.77,3.94,4.36
1777,生泰合成,12536950,483000,253,25.95,29.3,23.6,26.55,26.5,13.8,9.05,2.24,1.59
1781,合世生醫,22167794,874441,521,25.35,28.4,20.65,24.93,26.95,NA,1.15,2.5,2.82
1784,訊聯    ,277149368,4113899,3342,67.36,73.8,58,65.16,64.5,40.82,0.89,13.36,4.23
3205,天騵生科,12721557,1274003,703,9.98,11.8,8.7,9.82,9.13,NA,0,4.29,1.79
3218,大學光學,185095207,4767833,2065,38.82,47.45,34.3,40.42,40.4,20.2,4.08,11.87,2.37
3266,弘如洋  ,42825944,1851959,768,23.12,26,19.1,21.72,20.7,129.38,5.6,8,1.85
4102,永日化工,193865116,10791710,5411,17.96,21,14.55,17.27,17.55,56.61,2.84,32.65,1.26
4103,百略    ,70471359,1479565,971,47.62,51.4,42.8,47.48,46.8,12.55,5.34,1.25,2.47
4104,東貿國際,338710714,5395746,3569,62.77,70.8,59,62.28,67.2,5.55,4.16,6.74,1.76
4105,東洋藥品,320453821,6385769,3779,50.18,52.8,45.3,49.93,49.7,24.36,5.43,6.81,2.84
4107,邦拓    ,675397825,21474389,10686,31.45,35.8,26.05,29.84,28.75,5.67,2.19,28.26,1.78
4108,懷特    ,836633008,14195842,7899,58.93,65,50.5,57.61,55.6,NA,0,15.07,3.81
4109,加捷    ,48833673,2496910,1350,19.55,22.4,17.5,19.97,19.25,17.34,8.41,5.72,1.34
4111,濟生    ,149079150,8969225,3598,16.62,18.45,14.35,16.16,15.95,27.5,4.38,18.75,1
4113,聯上生技,2774550,281003,210,9.87,10.95,9.1,9.88,9.51,NA,0,1.11,1.2
4114,健喬信元,399813868,11170170,5691,35.79,40.05,29.9,33.76,31.9,48.33,1.34,19.47,2.41
4120,友華生技,90455698,2451109,1577,36.9,41.2,32.3,36.5,35.5,11.56,3.63,4.77,1.87
4121,優盛醫學,167912760,6862290,3279,24.46,27.4,21.3,24.29,23.5,9.75,4.55,10.14,1.57
4123,晟德    ,130472369,2909993,2016,44.83,51,39.8,45.12,45.5,9.14,0.92,9.91,2.63
