櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年07月 Jul.10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,840,760,681元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,740,919筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,163,617,037股",,,,,,4. 成交量週轉率： 17.83%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高        Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
3218,大學光學,127807382,4464090,2572,28.63,30.8,24.75,28.14,28,N/A,0,9.86,1.91
3266,弘如洋  ,136187239,6142848,3010,22.17,24,20.2,21.23,23.8,N/A,0,7.39,2.02
4102,永日化工,222694144,5751712,3320,38.71,40.5,36.1,38.17,38.9,17.06,1.28,17.4,2.56
4103,百略    ,320046984,6300477,3503,50.79,53.4,48.5,50.26,52.8,10.39,5.3,5.16,2.32
4105,東洋藥品,2269175302,23423815,13703,96.87,101,91.7,95.83,96.3,33.91,3.42,18.26,5.77
4107,邦特生技,554004535,13411032,7708,41.3,43.85,37.6,40.65,41.6,19.26,3.6,17.13,2.52
4109,加捷    ,566755197,23063460,9796,24.57,26.2,22.4,23.72,25.2,60,2.77,51.46,1.86
4111,濟生    ,1033184558,39343421,15198,26.26,28.5,21.5,24,26.5,38.97,1.88,81.98,1.59
4114,健喬信元,1901076365,45983966,21634,41.34,43.5,39,40.41,40,N/A,0,58.11,2.9
4120,友華生技,619073126,11155720,6266,55.49,59.9,48.5,55.23,49.3,13.22,4.25,13.75,1.97
4121,優盛醫學,213913327,11965090,4765,17.87,18.95,16.65,17.62,17.3,18.8,2.89,17.82,1.15
4123,晟德    ,178163013,4029949,2429,44.2,46,41.5,43.59,45.15,24.02,4,5.78,2.02
4126,太平洋醫,1013593652,13354517,7450,75.89,80.6,71,74.33,79.7,52.78,2.69,21.88,4.03
4127,天良    ,2957715765,84764837,38580,34.89,38.8,29.65,34.07,36.15,37.27,0.55,185.24,2.08
4128,中天生技,6244753692,118122914,56714,52.86,57,49.6,52.36,52.5,477.27,0,52.74,2.65
4129,聯合骨科,2501292206,53310832,27004,46.91,54.6,36.5,45.37,51.1,52.68,1.8,114.99,3.63
4131,晶宇生技,319297571,7533775,5182,42.38,45.5,40.05,41.59,41.05,N/A,0,15.6,5.83
8908,欣雄    ,15494773,871565,566,17.77,18.7,16.5,17.3,17.5,36.46,2.28,1.15,1.58
8917,欣泰    ,2471045,59138,38,41.78,44.5,39.6,42.03,41.8,18.91,4.78,0.06,2.6
8927,北基加油,132940765,7558342,2425,17.58,19,16.5,17.21,18.95,45.12,2.63,7.22,1.56
8931,大園汽電,92237068,5486570,2410,16.81,18.2,15.25,16.52,15.6,11.47,6.41,5.15,1.09
3073,普格    ,139229806,4403828,2267,31.61,34.3,28.5,30.64,32,N/A,0.56,9.07,1.66
3087,翔準    ,377675295,32807116,9119,11.51,12.1,10.5,11.21,11.6,31.35,0,11.51,0.88
3169,亞信電子,1689440086,28706431,15669,58.85,62.8,50.3,57.46,54.8,21.66,3.83,53.77,3.37
3188,安茂    ,126682432,6862623,3084,18.45,19.9,16.75,17.67,17.2,N/A,0,14.34,1.47
3219,倚強科技,70947332,5056322,2062,14.03,14.8,12.75,13.34,13.35,N/A,0,12.72,1.91
3227,原相科技,4131645436,22081053,17582,187.11,198,177.5,185.06,180,25.5,3.35,16.88,3.76
3228,金麗科  ,2654010722,31094736,18953,85.35,96.5,71.7,86.33,88.2,N/A,0,52.84,7.66
3252,海灣科技,5447631,643858,319,8.46,9.11,6.4,8.31,8.8,N/A,0,1.05,24.44
3259,鑫創科技,88023040,3206440,1696,27.45,29,26.5,27.31,26.65,166.56,0,5.16,1.55
3260,威剛科技,5899222075,94924458,44425,62.14,68.6,53.8,63.25,54.5,5.48,5.46,41.61,1.54
3264,欣銓科技,3148130419,123514234,30726,25.48,26.85,24.05,25.32,24.8,11.75,4.83,27.79,1.49
3265,台星科  ,1451320359,84828715,22038,17.1,18.3,14.35,16.57,17.8,16.64,3.08,31.13,1.29
3268,海德威  ,189647975,5220066,3193,36.33,38.35,34.7,35.97,35.05,N/A,0,17.02,3.7
3291,遠翔科技,298464604,5841271,3797,51.09,54.1,49.3,50.69,50.1,19.65,2.35,17.91,3.4
3317,尼克森  ,573056463,13857303,7930,41.35,43.9,36.7,40.19,39.8,19.8,2.51,22.61,1.46
3372,典範    ,358520236,32050319,8878,11.18,11.85,10.05,10.9,11,N/A,0,10.6,0.97
3438,類比科  ,718591592,9202904,6275,78.08,81.8,74.1,77.11,75,19.63,2.66,23.11,2.99
3527,聚積    ,1677529933,11854729,7402,141.5,150.5,129.5,140.02,143,22.24,4.17,35.79,3.16
3553,力積電子,3547347420,34892717,21885,101.66,110,89.5,99.47,103.5,13.71,1.44,67.82,4.31
3556,禾瑞亞  ,1774174172,23045125,14200,76.98,81.1,68.8,75.5,76,27.94,2.23,52.45,3.63
3582,凌耀    ,1948050311,10061865,7257,193.6,220,164,195.47,187,30.06,2.97,30.12,9.32
5302,太欣半導,116530008,8367309,1777,13.92,14.7,12.5,13.47,13.6,N/A,0,5.14,1.65
5314,世紀民生,117428700,10703473,3561,10.97,11.7,10.15,10.62,10.9,64.12,0,9.57,1.29
5324,德豐    ,4026080,141065,179,28.55,31.25,24.45,28.51,28.2,N/A,0,0.3,3.52
5326,漢磊科技,3490574947,191813036,46544,18.19,21.45,14,17.78,20.35,N/A,0,58.72,2.34
5344,立衛科技,43901238,2235739,1068,19.63,20.75,18.8,19.37,19.25,17.5,4.36,2.81,1.66
5346,力晶    ,2112003080,445562668,32191,4.74,5.1,4.17,4.7,4.6,N/A,0,4.93,1.26
5347,世界先進,1201171750,87678430,21509,13.69,14.4,12.85,13.55,13.3,19.56,3,5.22,1.1
5351,鈺創科技,2595777533,104186076,36745,24.91,26.3,23.5,24.77,23.9,26.56,0,23.49,1.63
5387,茂德科技,163464305,90238285,5499,1.81,1.96,1.65,1.81,1.71,N/A,0,1.24,0.68
5425,台半    ,1378112901,54467778,19648,25.3,26.6,23.8,24.95,24.4,29.05,1.63,22.32,1.36
5455,訊利電業,429762333,27053660,9371,15.88,18.8,12.65,14.36,14.6,N/A,0,74.12,1.97
5466,泰林科技,248652606,20710815,5311,12,12.4,11.3,11.81,11.8,90.77,0,8.48,0.75
5468,凱鈺科技,37371663,3158898,1354,11.83,12.4,11.4,11.79,11.8,N/A,0,3.99,1.74
5483,中美晶  ,18386864781,224207316,102766,82,89.2,68.7,80.05,82.2,36.05,2.06,69.93,2.42
