櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
02月Feb. 08,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 214,612,664,226元",,,,,,4. 加權平均本益比：14.44,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,670,823,819股",,,,,,5. 加權平均殖利率： 6.25%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 1,973,597筆",,,,,,6. 成交量週轉率： 8.46%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4711,永純    ,9729939,647222,294,15.03,15.4,14.65,15.08,15.2,10.34,9.21,1.06,0.91
4712,南璋    ,4847385,605551,278,8,8.37,7.52,8.1,8.15,20.9,6.13,0.94,0.67
4714,永捷    ,5550761,593862,281,9.34,9.84,8.72,9.25,9.84,17.26,10.16,1.4,0.76
4716,大立    ,119074748,6606820,2865,18.02,20.1,13.7,17.15,19.2,147.69,1.3,12.68,1.65
4720,德淵企業,31118946,2498096,1297,12.45,13,11.9,12.38,12.8,9.34,6.25,4.08,0.92
4721,美琪瑪  ,334198518,10392361,4851,32.15,36.3,24.6,29.14,35.1,16.88,3.67,16.25,2.52
4722,國精化學,1541513,174211,116,8.84,9.19,8.33,8.91,9.19,41.77,5.44,0.28,0.63
6509,聚和國際,419139717,24485721,8243,17.11,18.75,13.85,16.76,18.1,26.23,13.14,18.16,0.98
1565,精華光學,144084146,1159315,913,124.28,130,117,124.75,125,12.99,4.24,2.3,3.88
1777,生泰合成,15224037,549301,367,27.71,29.3,23.7,26.97,28.5,14.84,8.42,2.54,1.71
1781,合世生醫,22264478,894505,591,24.89,26.8,22.1,24.36,24.5,NA,1.26,2.56,2.56
1784,訊聯    ,201812540,3617399,2558,55.78,60.9,46.2,55.77,59.5,37.66,0.97,11.74,3.9
3205,天騵生科,32895209,2974795,1226,11.05,12.1,6.71,10.08,11.2,NA,0,10.01,2.2
