櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年07月 Jul. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 353,599,920,958元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,448,634筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,295,407,222股",,,,,,4. 成交量週轉率： 12.59%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
8916,光隆    ,143559764,6394089,2909,22.45,23.8,20.25,21.99,23,13.29,4.78,7.17,1.14
8921,沈氏印刷,2184702,157220,66,13.89,14.65,13.05,13.56,13.3,12.55,6.77,0.34,0.76
8923,時報出版,2515480,135810,89,18.52,19.75,18,18.78,18.6,15.12,6.72,0.45,1.22
8924,大田精密,63880934,2283544,1417,27.97,29.2,26.65,27.94,28.6,24.24,8.74,1.88,1.66
8925,偉盟工業,986912476,53131473,8980,18.57,19.3,17.3,18.54,19.15,61.77,2.66,18.46,1.48
8928,鉅明    ,7373176,887188,359,8.31,8.97,7.92,8.28,8.08,N/A,6.19,1.4,0.95
8929,富堡工業,11973551,393830,259,30.4,33,29,30.7,30.1,10.95,6.58,1.47,1.51
8932,宏大    ,2120623,271003,126,7.82,8.2,7.46,7.9,7.54,#錯誤,0,0.56,0.88
8933,愛地雅  ,332823802,20625046,8257,16.13,16.9,14.8,15.82,16.1,20.64,6.21,16.78,1.15
8934,馭鳳    ,39488,16867,9,2.34,3,2.2,2.63,3,N/A,0,0.03,6.25
8935,邦泰    ,93216020,11207256,3433,8.31,8.62,7.91,8.3,8.13,N/A,0,5.55,0.95
8936,國統國際,922553531,23078004,11265,39.97,42.3,36.3,39.24,41.2,3.38,2.86,18.73,1.34
8937,合騏    ,138828843,9238693,3588,15.02,19,10.65,13.7,18,N/A,0,12.75,1.63
8938,明安國際,780915541,18047773,7468,43.26,49.45,38,42.62,38.8,16.17,6.7,13.36,1.41
8942,森鉅科技,6332957773,102253262,44440,61.93,66.3,56.3,61.91,61.1,30.10,1.57,80.45,3.23
9949,琉園    ,75233601,2376404,1615,31.65,35,29,31.37,30.5,38.61,2.85,5.26,1.92
1742,台蠟    ,225726403,5318955,3700,42.43,45.9,39.9,42.46,40.6,12.12,6.48,10.52,2.33
1787,福盈科技,58865407,4435296,1607,13.27,14.5,12.65,13.4,13,11.50,5.31,6.36,0.84
4702,中美聯合,597592712,26322088,10414,22.7,28.85,15.5,22.06,27,N/A,0,34.45,2.77
4703,金美克能,15477252,1983606,476,7.8,8.12,7.01,7.81,8,N/A,0,2.9,1.31
4706,大恭化學,15624943,1016988,445,15.36,15.9,14.45,15.04,14.9,12.31,6.71,1.29,0.9
4707,磐亞    ,238879425,14597975,5435,16.36,17.4,14.95,16.11,16.8,57.93,1.19,6.48,0.95
4711,永純    ,46727941,2197771,971,21.26,22.7,19,20.79,21,12.96,6.67,3.6,1.14
4712,南璋    ,1635142474,36394589,15689,44.92,47.2,41.3,44.45,42,N/A,0,60.57,3.83
4714,永捷    ,101389150,4674633,2048,21.68,22.9,20.3,21.3,22,19.47,4.55,11.01,1.37
4716,大立    ,121463188,3995502,2197,30.39,33.05,28.1,30.39,29,22.31,1.83,7.16,2.17
4720,德淵企業,68708546,4145223,2030,16.57,17.95,15.5,16.44,16.3,77.62,1.23,5.95,1.31
4721,美琪瑪  ,90179734,3125942,1710,28.84,29.95,28,28.88,28.8,11.43,3.47,4.32,1.87
4722,國精化學,505672243,20307338,7719,24.9,26.25,22.7,24.28,26.15,20.75,3.02,27.53,1.64
6506,雙邦實業,52189853,2951085,1298,17.68,19.95,15.75,17.42,16.15,10.16,3.72,4.88,1.24
6509,聚和國際,207303495,11275354,5151,18.38,21.2,16.65,18.72,16.9,N/A,5.8,6.86,1.06
1565,精華光學,1361076439,3113587,2858,437.14,454,414,433.02,444.5,23.61,3.26,6.18,8.19
1752,南光    ,211250266,6759073,4297,31.25,33,28.2,30.73,30.8,140.00,0.65,10.73,2.38
1777,生泰合成,48172640,984363,715,48.93,50.9,46,48.85,47.7,14.37,4.82,4.14,2.4
1781,合世生醫,50268315,2661048,1816,18.89,20.2,17.35,18.75,18,19.57,0,6.35,1.83
1784,訊聯    ,309937679,5867433,4235,52.82,55.5,47.65,51.66,51.5,N/A,0,11.76,2.3
1788,杏昌生技,608299092,5796611,3834,104.94,112,98.2,104.52,101.5,20.14,3.45,19.82,3.27
1795,美時化學,117808528,2784618,1835,42.3,45.2,40.1,42.08,40.8,76.98,1.72,6.25,2.82
1799,紅電醫  ,5642756,333790,268,16.9,18.6,15.5,17.13,15.5,N/A,12.9,1.06,1.29
1813,寶利徠  ,79633350,1908000,1158,41.73,45,40.05,41.68,40.7,40.70,2.46,4.64,2.52
3118,進階    ,36302473,902369,642,40.23,42.5,38.25,40.04,39.35,16.82,3.81,2.92,2.46
3205,佰研生化,8676376,444815,219,19.5,21,18.55,19.59,19.4,N/A,0,1.8,1.66
3218,大學光學,514153159,13029451,7952,39.46,41.6,35.3,38.51,37.4,1870.00,0,27.99,2.45
3266,弘如洋  ,401559273,14013192,6693,28.65,30.8,25.4,27.96,27.65,13.36,0,16.85,1.99
4102,永日化工,993183575,12063038,8330,82.33,86,75.1,81.5,83.2,33.82,2.4,29.89,4.24
4103,百略    ,116687117,2354271,1596,49.56,51.9,47.8,49.48,48.85,14.89,6.14,1.93,2.17
4105,東洋藥品,3874580101,26024031,17178,148.88,162,129,150.45,132,53.66,1.97,15.08,8.16
4107,邦特生技,198730566,5475222,3423,36.29,38,34.5,36.13,35.3,17.39,5.67,6.99,2.17
4109,加捷    ,218898240,9447668,4742,23.16,24.8,20.8,22.85,22,115.79,3.64,18.79,1.61
4111,濟生    ,77767918,3218180,2029,24.16,25.5,22.75,23.97,23.95,45.19,2.3,6.54,1.45
4114,健喬信元,115435868,3366824,2004,34.28,36,33.15,34.2,33.55,671.00,0,4.1,2.27
4120,友華生技,241945014,4975975,2604,48.62,50.7,45.8,48.43,48.65,12.77,1.34,5.74,1.87
4121,優盛醫學,62331375,3369822,1818,18.49,19.55,17.45,18.3,18.55,12.05,2.7,4.78,1.19
4123,晟德    ,145642310,3171415,1825,45.92,47.5,44.75,45.67,46.2,118.46,5.41,3.64,2.32
4126,太平洋醫,1028295450,8866162,6106,115.97,123,109.5,115.16,114,18.97,3.61,14.77,4.3
4127,天良    ,100841194,4571292,2648,22.05,23.35,19.8,21.62,21.5,N/A,0.93,9.99,1.39
