櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
"101年2月 Feb., 12",,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 459,457,575,866元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,903,874筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,868,461,438股",,,,,,4. 成交量週轉率： 17.38%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
5609,中菲行  ,151134105,7777948,4001,19.43,20.5,18.2,19.34,19.4,10.78,7.78,5.76,1.43,,
1259,安心    ,977302900,5419590,4953,180.32,196.5,160,181.17,195,26.46,1.54,18.41,7.76,,
2718,桃園店  ,30485110,803951,149,37.91,39.2,36.5,37.75,37.5,33.19,2.53,3.56,2.08,,
2719,燦星旅  ,347855829,7586458,4996,45.85,71,34.5,59.8,55.6,32.33,2.93,22.05,4.2,,
5701,劍湖山  ,363742344,51610374,12505,7.04,7.6,6.2,6.99,7.25,N/A,0,12.42,0.97,,
5703,亞都麗緻,7747556,329259,228,23.53,25,21.5,23.55,24.25,39.75,1.03,0.47,2.06,,
5704,老爺知  ,12241524,654014,372,18.71,19.35,18,18.79,18.7,31.17,1.6,1.68,1.47,,
5820,日盛金控,1183568407,126689370,19390,9.34,9.98,8.39,9.28,9.93,11.82,9.16,4.96,0.92,,
6008,凱基證券,3329911215,253728244,51728,13.12,13.8,12.35,13.1,13.2,17.6,4.92,7.76,0.88,,
6015,宏遠證券,312769096,48799465,9380,6.4,7.2,5.14,6.37,6.75,N/A,0,10.68,0.79,,
6016,康和證券,365583154,46001128,10079,7.94,8.6,6.99,7.91,8.08,N/A,1.86,6.65,0.71,,
6020,大展證券,33916431,2159704,995,15.7,16.95,12.8,15.36,16.3,N/A,3.93,0.93,1.16,,
6021,大慶證券,159942367,12096746,4353,13.22,14.5,11.3,13.24,13.8,86.25,10.14,3.94,1.02,,
6022,大眾證  ,350262513,34148997,7531,10.25,11.5,8.3,10.19,10.65,N/A,3.19,8.73,0.89,,
6023,寶來期  ,40795530,1120115,827,36.42,37,35.6,36.45,36.9,10.22,4.28,0.85,1.49,,
6024,群益期  ,54802935,2303508,1248,23.79,24.5,22.5,23.84,23.85,10.06,4.19,2.5,1.22,,
2916,滿心企業,90430984,3998879,1440,22.61,24,20,22.17,24,11.32,8.33,7.32,1.58,,
2924,F-東凌  ,71889520,1107998,791,64.88,67,62.4,64.9,64.5,19.97,3.1,3.66,3.98,,
5902,德記洋行,29977746,2952629,952,10.15,11.05,8.9,9.93,10.95,N/A,0,3.12,1.77,,
5903,全家    ,1087717960,7970164,5235,136.47,143,128.5,135.95,142,31.21,2.39,3.57,7.38,,
5904,寶雅國際,681865699,15828308,8310,43.07,45.35,38.5,42.93,42.05,12.74,6.9,17.57,2.49,,
5905,南仁湖  ,868305743,74186205,18434,11.7,12.5,10.35,11.61,12.1,N/A,0,35.09,0.98,,
6195,詩肯    ,540427898,9900255,6167,54.58,58,50.8,54.04,54.1,9.38,3.7,26.08,3.25,,
8941,關中    ,233408751,11271345,4240,20.7,25.4,16.5,19.97,24.3,N/A,0,8.62,4.58,,
9960,邁達康  ,12879953,636467,449,20.23,21.35,19.3,20.15,20.7,12.78,3.86,1.97,1.53,,
1584,精剛精密,728746130,29987163,10665,24.3,26,21.7,24.44,24.65,17.86,0.81,37.86,1.37,,
2221,大甲    ,385102404,16599861,7372,23.19,26,18.65,22.15,24.55,12.92,0,39.13,1.82,,
3284,太普高  ,38593200,3635203,1200,10.61,11.3,9.6,10.56,10.5,22.34,10.48,7.22,0.83,,
3388,崇越電通,388342716,5549732,4032,69.97,72.6,68,69.75,70.2,10.1,8.55,8.95,1.55,,
