櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年1月 Jan. 2010,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 634,665,897,804元",,,,,,"3. 櫃檯買賣月總成交筆數： 6,047,741筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 17,662,926,769股",,,,,,4. 成交量週轉率： 24.41%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
2636,台驊國際,429345727,20901327,7536,20.54,21.9,18.85,20.04,19.5,67.24,7.84,41.44,1.23,,,,
5601,台聯貨櫃,45025229,2566836,1117,17.54,20.1,14.1,16.18,14.9,59.6,1.47,3.57,0.76,,,,
5603,陸海交通,216242679,17422750,5173,12.41,13.9,10.45,11.79,11.6,29.74,4.31,27.69,0.88,,,,
5604,中連貨運,62071374,2793930,1303,22.21,23.5,20.9,21.95,21.05,14.93,7.36,2.57,1.06,,,,
5609,中菲行  ,841853266,25639351,10668,32.83,35.2,28.95,32.78,33.05,18.89,3.63,20.85,2.52,,,,
5701,劍湖山  ,2873814663,207377701,50976,13.85,14.85,12,13.59,13,NA,0,49.89,1.41,,,,
5703,亞都麗緻,11088560,431569,336,25.69,27.2,23.9,25.7,25.4,NA,0,0.61,2.36,,,,
5704,老爺知  ,15370996,756858,404,20.3,20.9,19,20.21,20.3,2030,1.47,1.27,1.75,,,,
5706,鳳凰國際,656497488,10173640,6254,64.52,67.8,56,63.5,58.5,30.47,2.78,25.55,3.06,,,,
5820,日盛金控,840885766,174838013,19310,4.8,5.09,4.19,4.73,4.27,NA,0,3.87,0.84,,,,
6008,凱基證券,9733962878,563036402,99435,17.28,19.2,14.9,17.09,15.1,29.04,0.99,17.56,1.09,,,,
6015,宏遠證券,1118460568,99283564,20759,11.26,12.35,9.35,10.95,9.76,NA,0,23.09,1.1,,,,
6016,康和證券,1780954896,148154181,28603,12.02,13,10.55,11.8,11.1,48.26,6.03,22.6,0.94,,,,
6020,大展證券,79346551,4326344,1726,18.34,19.6,15.8,17.88,16.1,44.72,7.51,1.86,1.15,,,,
6021,大慶證券,1206687651,56014732,17758,21.54,23.65,17.9,21.01,19.55,12.95,3.32,21.09,1.43,,,,
6022,大眾證  ,1853901756,97670900,23163,18.98,20.35,16.3,18.59,17.3,14.42,6.82,31.08,1.29,,,,
6023,寶來期  ,413508215,9796778,5407,42.2,45.45,37.9,41.35,38.5,10.43,7.79,7.46,1.82,,,,
