櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
99年06月 Jun. 10,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 345,045,767,594元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,770,524筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,491,891,600股",,,,,,4. 成交量週轉率： 12.89%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
5516,雙喜    ,13817382,1057084,497,13.07,14.25,12,12.58,12.25,14.76,5.92,2.76,1.03,,,
5519,隆大營建,10115609,434378,290,23.28,24.45,21.3,23.01,23.6,17.61,6.05,0.66,1.83,,,
5520,力泰建設,6914916,283399,174,24.39,25,23.6,24.17,23.75,7.81,4.49,0.4,0.91,,,
5521,工信    ,688875856,59082372,12318,11.65,12.2,10.8,11.53,11.4,24.26,6.95,17,0.99,,,
5523,宏都建設,98135549,9516438,2839,10.31,11.2,9.32,9.94,9.99,N/A,15,8.7,0.92,,,
5529,志嘉建設,12482088,1241259,480,10.05,10.6,9.62,10.03,10.15,N/A,5.01,2.68,0.69,,,
5530,大漢建設,1205940603,25842196,10227,46.66,49.8,41.8,46.56,46.7,46.7,0,6.76,4.5,,,
6177,達麗建設,41984624,1671352,786,25.12,26.55,24,25.34,24.85,20.71,3.53,2.61,1.9,,,
6212,理銘科技,38808777,3685431,1428,10.53,11.9,9.06,9.78,10.55,3.56,0,3.61,1.2,,,
2636,台驊國際,283191340,10099503,4295,28.04,30.9,24.7,26.74,28.8,25.71,5.55,20.02,1.82,,,
5601,台聯貨櫃,22709804,1425400,708,15.93,17.25,14.75,15.55,15.95,63.8,1.44,1.98,0.8,,,
5603,陸海交通,48041330,3597951,946,13.35,14.1,12.6,13.15,13.2,132,3.87,5.72,1.01,,,
5604,中連貨運,29764278,1294260,574,22.99,23.4,22,23.09,22.85,15.34,6.66,1.19,1.12,,,
5609,中菲行  ,856271042,26074471,12158,32.83,34.35,30.7,32.17,31.85,15.93,3.77,21.2,2.23,,,
5701,劍湖山  ,960620108,81796310,22192,11.74,12.3,11.2,11.7,11.75,N/A,0,19.68,1.34,,,
5703,亞都麗緻,123511916,3950549,2262,31.26,34.9,25.05,29.71,29.8,63.4,0,5.62,2.63,,,
5704,老爺知  ,57448886,2701450,1430,21.26,22.9,18.5,20.67,20.45,68.17,0.9,4.52,1.75,,,
5706,鳳凰國際,653789650,10573351,6645,61.83,65.2,57.7,61.16,60.2,25.62,2.57,26.55,2.56,,,
5820,日盛金控,406432136,104220218,13079,3.89,4.16,3.48,3.78,4.04,N/A,0,2.31,0.78,,,
6008,凱基證券,2641354162,217349302,40738,12.15,13.15,11.25,12.09,12.6,15.75,1.19,6.78,0.88,,,
6015,宏遠證券,103450593,13612894,3563,7.59,8.25,7.01,7.5,7.51,12.73,0,2.98,0.81,,,
6016,康和證券,210802168,23455349,5529,8.98,9.45,8.43,8.91,8.88,24,7.2,3.58,0.76,,,
6020,大展證券,8753876,544971,247,16.06,16.45,15.7,16.08,16,22.54,7.51,0.23,1.12,,,
6021,大慶證券,76703466,5196062,1871,14.76,15.85,13.3,14.66,14.5,5.71,4.24,1.96,1,,,
6022,大眾證  ,188778339,12350261,4042,15.28,15.75,14.75,15.25,14.95,9.06,7.63,3.84,1.06,,,
6023,寶來期  ,178454165,4399492,2409,40.56,42.35,38.75,40.15,39.3,21.71,4.66,3.35,1.8,,,
6024,群益期  ,78186758,2395546,1169,32.63,33.4,31.5,32.5,32.25,15.5,1.54,3.18,1.66,,,
2916,滿心企業,85470641,3878249,1549,22.03,22.5,21,22,21.85,14.86,1.35,9.19,1.29,,,
5902,德記洋行,11713772,1155908,509,10.13,10.8,9.82,10.13,10.1,N/A,0,1.22,1.26,,,
5903,全家    ,66127111,1009403,673,65.51,69,63,65.67,65.7,18.15,3.63,0.45,3.64,,,
5904,寶雅國際,97187139,3003720,1423,32.35,33.9,30.6,32.15,32.3,10.66,8.38,4.11,1.74,,,
5905,南仁湖  ,3036815456,119630803,37918,25.38,26.35,23,25.06,23.8,N/A,0,66.09,2.13,,,
8941,關中    ,22977966,2037245,906,11.27,11.7,10.5,11.23,11.05,N/A,7.82,1.67,1.82,,,
