櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年08月 Aug. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 344,867,404,777元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,701,055筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,265,894,136股",,,,,,4. 成交量週轉率： 13.94%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1584,精剛精密,2195065415,56457797,29186,38.87,44.3,31.4,36.99,32.1,25.89,0.62,80.53,1.76
2221,大甲    ,1804541174,55731356,28372,32.37,37,25,30.71,27.7,15.65,0,131.36,2.16
3284,太普高  ,60298234,5067300,1859,11.89,14.25,10.15,12.15,11.3,15.69,9.73,9.5,0.89
3388,崇越電通,199656240,2892464,2050,69.02,76.9,62,69.65,70,9.33,8.57,5.19,1.72
4430,耀億    ,377265803,6766352,3479,55.75,64,46.8,56.19,52.6,82.19,3.8,15.45,1.9
5312,寶島科  ,1424775409,16783239,10813,84.89,96.8,70.1,82.9,73.1,19.04,3,27.94,4.16
6186,晶磊興業,87888265,4847837,1753,18.12,19.9,15.8,18.1,17.9,N/A,0,16.06,1.65
6803,崑鼎投控,405567900,3122943,2203,129.86,144,115,130.58,131,16.05,4.72,5.4,3.36
8390,金益鼎  ,1032667629,22031807,10955,46.87,53.5,38.5,44.56,41.9,15.13,3.86,32.65,1.97
8401,白紗科技,44388593,2223098,1410,19.96,24.5,18.2,20.48,19.8,10.05,12.67,5.49,1.27
8705,東隆五金,24869641,866868,528,28.68,30.5,26.4,29.03,28.8,14.33,5.83,1.04,2.2
8905,裕國    ,30231631,2034273,691,14.86,15.75,13.2,14.94,15.25,15.1,3.93,1.7,1.11
8906,花王企業,4296931,678590,309,6.33,7.2,5.75,6.34,5.86,N/A,0,1.32,0.69
8913,華夏資融,45761325,3193750,1409,14.32,18,13.1,14.78,13.55,N/A,18.45,6.43,0.87
8916,光隆    ,214306960,9398961,4208,22.8,26,18.75,22.29,19.85,12.89,5.54,10.54,1.05
8921,沈氏印刷,2200804,173396,64,12.69,13.45,12.1,12.65,12.55,11.84,7.17,0.37,0.75
8923,時報出版,2951676,163185,97,18.08,18.95,17.1,18.24,18.75,15.12,6.66,0.54,1.33
8924,大田精密,82623871,3375917,1759,24.47,28.9,21.5,24.88,23.4,585,10.68,2.78,1.42
8925,偉盟工業,1798683548,99775833,14532,18.02,19.4,15.55,18.09,17.8,61.38,2.86,34.66,1.38
