櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年06月 Jun. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 370,341,054,350元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,553,086筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,178,032,248股",,,,,,4. 成交量週轉率： 12.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4716,大立    ,208347153,6175354,3269,33.73,35.3,31.1,32.98,31.9,24.54,1.66,11.06,2.38
4720,德淵企業,194941145,10720391,4703,18.18,19.4,16.6,17.69,17.5,83.33,2.86,15.38,1.4
4721,美琪瑪  ,63311050,2188659,1358,28.92,30.5,27.6,28.83,28,11.11,3.53,3.03,1.82
4722,國精化學,230717513,9735182,3719,23.69,25.25,21.55,23.5,22.75,18.06,2.59,13.22,1.43
6506,雙邦實業,145882877,6846602,3224,21.3,23.5,18.35,20.83,19.35,12.17,2.93,11.33,1.48
6509,聚和國際,323711445,14691048,5815,22.03,23.2,20.55,21.52,20.85,N/A,4.68,8.93,1.31
1565,精華光學,1541689401,3608923,3282,427.18,454.5,404,418.54,435.5,23.13,2.47,7.16,8.02
1752,南光    ,121633538,3933476,2322,30.92,33,27.5,30.82,31.4,142.73,0.66,6.24,2.42
1777,生泰合成,68361075,1330089,885,51.39,58.4,46.1,51.63,49,14.76,3.56,5.6,2.47
1781,合世生醫,93509627,4698185,2417,19.9,24.5,17.15,21.11,19.2,20.87,0,11.21,1.95
1784,訊聯    ,151963381,2926310,2242,51.93,55.8,48,51.57,50.1,N/A,0,5.87,2.23
1788,杏昌生技,551212998,5262221,3618,104.74,114.5,98.2,104.33,106,21.03,3,17.99,3.42
1795,美時化學,224825438,4954688,3080,45.37,48.35,40.3,44.62,44.6,84.15,1.6,11.11,3.08
1799,紅電醫  ,10206349,532392,352,19.17,21.8,16.85,19.08,17.25,N/A,11.23,1.69,1.43
1813,寶利徠  ,135182150,2996000,2026,45.12,47.75,42.05,44.63,44.3,44.30,2.23,7.29,2.74
3118,進階    ,36017671,889595,665,40.48,42.75,38,40.68,40.7,17.39,3.78,2.88,2.55
