櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
99年09月 Sep.10,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 515,562,430,247元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,945,715筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 12,962,323,819股",,,,,,4. 成交量週轉率： 18.66%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
8401,白紗科技,209432580,4371745,2892,47.9,50.7,46.1,47.54,47.15,17.02,4.23,11.87,2.69,,,
8705,東隆五金,29018842,898258,613,32.3,32.8,31.5,32.29,32.55,13.68,7.62,1.08,2.42,,,
8905,裕國    ,17649250,1413612,632,12.48,12.75,12.2,12.51,12.5,12.38,3.18,1.18,0.96,,,
8906,花王企業,19828395,2980955,989,6.65,7,6.25,6.66,6.49,N/A,0,5.81,0.74,,,
8913,華夏資融,226563989,8907283,4476,25.43,27.15,23.65,25.21,23.9,3.15,1.64,19.72,1.4,,,
8916,光隆    ,1068199547,42256793,13635,25.27,28.3,20.55,24.77,23.55,12.59,2.6,48.49,1.21,,,
8921,沈氏印刷,11872104,875423,443,13.56,14.3,12.75,13.52,13.85,16.69,4.41,1.88,0.82,,,
8923,時報出版,7470549,398453,218,18.74,19.7,18.3,18.98,19.3,13.99,5.18,1.31,1.37,,,
8924,大田精密,177207017,4280017,2195,41.4,42.5,39.7,41.45,41.75,20.67,6.03,3.53,2.33,,,
8925,偉盟工業,1182831701,57444195,15258,20.59,21.6,19.8,20.52,20.7,94.09,4.79,20.79,1.47,,,
8928,鉅明    ,14611859,1347856,534,10.84,11.5,10.3,10.99,11.2,N/A,4.46,2.12,1.01,,,
8929,富堡工業,188235014,4407591,2729,42.7,44.9,40.6,42.47,42.95,10.11,4.7,17.49,2.42,,,
8932,宏大    ,27109800,2346200,768,11.55,12.15,10.9,11.52,11.3,25.68,0,4.81,1.27,,,
8933,愛地雅  ,197356136,11859497,5002,16.64,17.3,15.6,16.59,15.7,32.04,5.93,9.65,1.16,,,
8934,馭鳳    ,7800,3000,2,2.6,2.66,2.48,2.57,2.48,N/A,0,0,4.51,,,
8935,邦泰    ,141598340,11978320,3418,11.82,12.5,11.05,11.68,11.6,N/A,0,7.89,1.39,,,
8936,國統國際,797716706,25916518,11700,30.78,33,28.5,30.29,29.4,12.56,3.72,21.72,2.25,,,
8937,合騏    ,999044183,46543171,13038,21.46,24.15,17.5,21.04,22.35,N/A,0,64.22,1.84,,,
8938,明安國際,477633385,7912569,4615,60.36,64.4,57.6,59.55,63.8,12.46,6.02,6.03,2.18,,,
8942,森鉅科技,167284144,6065332,2524,27.58,29.1,25.55,27.28,27.75,28.61,3.58,5.51,1.71,,,
9946,金革科技,70924890,3741798,1275,18.95,20.65,16.35,18.55,18,138.46,0,5.35,2.21,,,
9949,琉園    ,556714412,13795783,1948,40.35,45.25,28.9,39.06,28.9,26.04,2.18,30.52,2.53,,,
1742,台蠟    ,125625559,2765573,1907,45.42,46.4,44.8,45.49,45.3,11.19,5.81,5.47,2.44,,,
1787,福盈科技,569049923,26817457,10599,21.21,22.7,19.5,20.79,20.8,18.25,2.04,40.74,1.34,,,
4702,中美聯合,1019833627,46117628,17896,22.11,31.25,16.15,21.73,17.75,N/A,0,126.66,1.81,,,
4703,金美克能,39769801,4849922,1418,8.2,8.7,7.06,7.81,7.64,69.45,0,7.09,1.25,,,
4706,大恭化學,51406375,2914126,1119,17.64,18.4,17,17.62,17.65,9.54,3.96,3.69,1.11,,,
4707,磐亞    ,2229355641,122237136,34261,18.23,20.6,12.6,17.21,18.75,29.76,1.06,54.22,1.14,,,
4711,永純    ,69886618,2875123,1033,24.3,25,23.95,24.42,24,9.80,6.54,4.71,1.39,,,
4712,南璋    ,64819952,3850855,1198,16.83,17.55,16.3,16.68,16.5,N/A,0,6.41,1.52,,,
4714,永捷    ,85549738,4866559,1891,17.57,18.9,16.6,17.3,16.7,9.18,5.98,11.47,1.01,,,
4716,大立    ,1288809370,24978328,14342,51.59,55.3,45.7,51,51.7,50.19,1.01,44.73,3.99,,,
4720,德淵企業,1635941904,61539790,23858,26.58,29,23.85,25.74,24.7,30.88,1.91,88.29,1.96,,,
4721,美琪瑪  ,238052477,7576261,4090,31.42,33.1,30.3,31.28,31.45,14.49,3.19,10.48,2.16,,,
4722,國精化學,1848055589,78732997,21663,23.47,26.9,19.75,22.47,24,29.27,2.35,124.73,1.59,,,
4733,上緯企業,474206398,7979382,4839,59.42,62.7,55.5,58.82,61.3,23.31,5.15,12.19,3.03,,,
6509,聚和國際,2166060249,71674064,32724,30.22,31.95,29.1,29.77,29.35,23.29,3.33,44.33,1.71,,,
1565,精華光學,2214448357,6847377,5508,323.4,343,301,321.9,324,21.30,3.24,13.58,8.12,,,
1752,南光    ,1775087873,48042063,19155,36.94,45.6,28,34.38,40.75,N/A,0.49,76.26,3.24,,,
1777,生泰合成,892590697,14071413,8350,63.43,68.9,59.4,62.99,65,23.13,2.73,59.2,3.46,,,
