櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
101年1月 Jan. 12,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 172,173,857,770元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,095,298筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,980,615,626股",,,,,,4. 成交量週轉率： 7.29%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1565,精華光學,801310318,2668433,2559,300.29,319,286,301,313,15.4,4.63,5.29,6.18
1752,南光    ,18364391,781893,500,23.48,24.7,22.65,23.34,24.55,2455,0,1.24,1.91
1777,生泰合成,13740040,331988,263,41.38,42.5,40.1,41.38,42.3,18.72,5.43,1.4,2.28
1781,合世生醫,11317486,902570,477,12.53,13.4,11.85,12.42,13.25,N/A,0,2.15,1.3
1784,訊聯    ,146205285,3675111,2629,39.78,41.9,37.3,39.13,41.75,101.83,0,7.32,1.83
1788,杏昌生技,163759867,2428083,1846,67.44,73.2,62,66.26,72.4,15.77,4.83,6.94,2.45
1795,美時化學,43586201,2070057,1251,21.05,22.65,19.6,20.87,22.65,N/A,1.32,4.64,1.7
1799,紅電醫  ,5185661,535068,326,9.69,10.7,8.89,9.99,9.85,N/A,0,1.69,0.89
1813,寶利徠  ,14002531,525126,350,26.66,28.2,25.5,26.54,28.2,31.69,5.31,1.28,1.81
3118,進階    ,26689822,971124,499,27.48,29.3,25.1,27.49,28.9,16.24,6.92,2.99,1.98
3176,基亞    ,1074833562,26205145,13967,41.01,46.05,37.65,40.66,46.05,N/A,0,23.68,6.68
3205,佰研生化,1336482,98025,78,13.63,14.45,12.7,13.72,14,N/A,0,0.4,1.28
3218,大學光學,772616481,29182325,15221,26.47,30.2,21.4,25.18,30.2,47.19,0,43.85,1.92
3266,昇陽開發,9042781,630418,267,14.34,14.85,13.75,14.26,14.5,5.49,5.51,0.76,1.07
4102,永日化工,502660940,11957077,8031,42.03,45.1,39.5,41.2,45.1,22.66,4.43,28.22,2.42
4103,百略    ,57975977,1269392,936,45.67,49,44.5,45.62,48,13.11,6.25,1.04,2.19
4105,東洋藥品,1654179282,18037916,11222,91.7,103.5,81.8,88.66,103,35.76,2.52,10.45,6.68
4107,邦特生技,66391389,3062842,1540,21.67,23.75,20.2,21.02,23.75,16.84,7.57,3.91,1.56
4109,加捷    ,30880207,1822918,1085,16.93,17.85,16.5,16.89,17.55,46.18,3.36,3.42,1.25
4111,濟生    ,34058792,2199827,1005,15.48,17.2,14.6,15.4,17.15,35,2.91,4.38,1.07
4114,健喬信元,52122477,2072132,1250,25.15,26.4,24,24.9,26.1,N/A,2.33,2.4,1.93
4120,友華生技,124955566,3538804,2415,35.31,38.95,33.1,34.98,38.3,12.52,1.69,4.08,1.54
4121,優盛醫學,16464233,1429002,780,11.52,12.4,10.95,11.36,12.2,15.64,6.55,1.95,0.82
4123,晟德    ,127803404,4045711,2232,31.58,33.4,29.7,30.9,32.5,95.59,3.84,4.13,1.93
4126,太平洋醫,430323340,5508542,4189,78.11,87.8,73,76.12,87,15.45,4.73,9.18,3.6
4127,天良    ,104623455,6326089,3323,16.53,17.6,14.5,16.09,17.4,N/A,0,13.82,1.15
4128,中天生技,3275738746,84630049,40882,38.7,42.25,35.3,38.23,42.25,17.68,5.91,30.9,2.28
4129,聯合骨科,86433161,2738989,1612,31.55,35.3,29.7,30.83,34.9,30.88,1.94,5.91,2.49
4130,健亞    ,771427269,35968853,12175,21.44,24.6,19.45,21.46,24.6,33.24,0,37.11,2.62
4131,晶宇生技,6332447,509306,350,12.43,12.9,11.85,12.41,12.9,N/A,0,1.05,2.13
4138,曜亞國際,175941935,1926365,1463,91.33,102,84.8,88.6,102,18.68,4.9,7.27,2.88
4139,F-馬光  ,41071568,556224,115,73.83,78,71.2,75.63,75.5,38.32,1.03,3.37,4.48
4154,F-康樂  ,428334018,9549995,6380,44.85,49.4,40.3,44.17,47.7,13.91,4.04,43.81,4.05
4728,雙美    ,862354340,25004135,13774,34.48,39.8,26.5,34.71,38.9,34.12,0,45.91,3.59
4735,豪展    ,2725393,237182,139,11.49,12.25,10.8,11.25,11.7,N/A,4.27,0.83,0.9
4736,泰博    ,95307001,2151716,1337,44.29,48.5,40,44.24,47.75,18.23,8.64,3.4,1.62
4743,合一    ,261373995,13213077,4137,19.78,20.9,17.8,19.38,20.2,112.22,2.22,11.36,1.71
4911,德英    ,47337949,940459,795,50.33,52.9,47,50.54,51.6,N/A,0,1.71,3.44
8403,盛弘    ,19339319,744335,514,25.98,27.8,24.6,25.56,27.8,16.75,6.47,1.71,1.47
8908,欣雄    ,782728,37703,53,20.76,21.3,20.05,20.8,21.15,17.2,6.61,0.04,1.87
8917,欣泰    ,814371,19172,20,42.47,43.1,42,42.7,42.1,19.67,5.22,0.02,2.82
8927,北基加油,3555901,262696,138,13.53,14.65,13.2,13.55,13.4,N/A,2.23,0.23,1.24
8931,大園汽電,79818633,5616912,2279,14.21,15,12.3,14.14,14.3,23.83,6.29,5.27,1.06
3073,普格    ,16601611,1392073,594,11.92,13.2,11.2,11.83,12.85,N/A,0,2.85,0.88
3087,翔準    ,114275774,10237059,2577,11.16,11.85,10.25,10.93,11.6,9.75,0,3.89,0.78
3105,穩懋    ,4149141117,112807809,41666,36.78,41.6,29.2,36.16,40.5,26.64,2.02,17.39,2.82
3169,亞信電子,45241188,1889604,875,23.94,26.15,22.8,23.55,25.7,14.52,9.72,3.56,1.76
3188,安茂    ,3487176,516344,285,6.75,7.15,6.49,6.82,7.1,N/A,0,1.15,0.75
3219,倚強科技,354545,61001,32,5.81,6.84,4.81,5.66,5.51,N/A,0,0.11,1.31
3227,原相科技,1373331638,18995607,12129,72.29,80.9,66,69.88,78.8,28.86,6.09,14.46,1.8
3228,金麗科  ,19109084,1043964,702,18.3,19.75,17,18.19,19.55,N/A,0,1.77,1.93
3252,海灣科技,13333004,612591,114,21.76,22.6,20.05,21.5,21.2,4.27,0,1.75,3.6
3259,鑫創科技,9336889,865251,362,10.79,11.65,10.05,10.72,11.6,N/A,0,1.38,0.89
3260,威剛科技,1180188363,37452541,16503,31.51,33.6,29.5,31.34,32.75,N/A,0,16.59,1.09
3264,欣銓科技,1422371508,69482945,24014,20.47,22.45,18.5,19.95,22.3,11.04,9.41,15.27,1.34
3265,台星科  ,540600229,23960484,8457,22.56,25.6,19.35,22.06,24.75,7.3,6.7,17.58,1.18
3268,海德威  ,53380386,4842598,2385,11.02,12.5,8.05,10.33,11.65,N/A,0,11.35,1.2
3291,遠翔科技,32998818,1312166,801,25.14,26.9,23.55,24.63,26.5,9.89,9.24,3.76,1.8
