櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年7月 Jul., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 169,699,787,272元",,,,,,"3. 櫃檯買賣月總成交筆數： 1,997,256筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,331,731,279股",,,,,,4. 成交量週轉率： 6.43%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
3284,太普高  ,114523828,8970406,2201,12.76,13.4,12.2,12.69,12.85,85.67,8.56,17.82,1.01
4430,耀億    ,32028468,837535,497,38.24,40.2,37,37.89,38.3,23.5,3.39,1.91,1.3
5304,鼎創達  ,4115865,821330,525,5.01,5.44,4.58,5.01,4.97,7.89,0,0.44,0.94
5312,寶島科  ,372743931,5318460,3357,70.08,73.1,66.5,69.85,67.6,16.73,3.84,8.86,3.12
5530,龍巖    ,2232208746,24629419,15170,90.63,97,84.4,88.8,95.6,18.71,3.13,6.17,4.92
6186,新潤興業,4381114,272245,133,16.09,16.5,15.4,16.24,15.8,83.16,0,0.48,1.38
6294,智基科技,2538797,62475,72,40.64,42.85,39.5,40.82,41.25,19.64,0,0.41,4.67
6803,崑鼎投控,189707775,1331081,885,142.52,147,132,142.72,138,14.54,5.97,2.22,2.93
8390,金益鼎  ,90959747,2482448,1496,36.64,38.2,35.4,36.36,36.75,12.99,4.4,3.54,1.57
8401,白紗科技,30187828,1631975,1062,18.49,20.2,15.9,18.2,18.45,9.92,6.99,3.66,1.15
8418,F-必勝  ,99855194,2307167,1052,43.28,47.75,38.5,41.64,38.75,8.41,7.74,3.78,1.1
