公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
1809,中釉,128345,131083,-2.09 ,141508,-9.30 ,999544,988551,1.11 ,27.15,14.7,84.69 
1810,和成,229923,222660,3.26 ,188959,21.68 ,1787252,1462878,22.17 ,10.85,7.98,35.96 
1902,台紙,405066,411401,-1.54 ,335688,20.67 ,3342640,2645540,26.35 ,14.8,9.38,57.78 
1903,士紙,187915,190958,-1.59 ,141958,32.37 ,1383628,992078,39.47 ,65,63.3,2.69 
1904,正隆,1945972,1917612,1.48 ,1587102,22.61 ,14975824,11794241,26.98 ,12.8,10.9,17.43 
1905,華紙,506479,479501,5.63 ,335074,51.15 ,4632871,2949365,57.08 ,14.3,12.05,18.67 
1906,寶隆,13324,21343,-37.57 ,54967,-75.76 ,225046,552855,-59.29 ,7.34,5.14,42.80 
1907,永豐餘,1475564,1458899,1.14 ,1382664,6.72 ,11789608,9658933,22.06 ,12.85,10.15,26.60 
1909,榮成,536443,553059,-3.00 ,368425,45.60 ,4127124,2659756,55.17 ,10.3,9.45,8.99 
2002,中鋼,22232265,22021578,0.96 ,13226480,68.09 ,156762462,101501751,54.44 ,30.3,29.9,1.34 
2006,東和鋼鐵,2884156,2415710,19.39 ,2050213,40.68 ,21222305,13463033,57.63 ,27.7,33.6,-17.56 
2007,燁興公司,864845,736482,17.43 ,651789,32.69 ,7402679,3648384,102.90 ,7.9,8.46,-6.62 
2008,高興昌,583533,454764,28.32 ,589622,-1.03 ,4637423,4254792,8.99 ,8.8,6.02,46.18 
2009,第一伸銅,608009,625225,-2.75 ,434136,40.05 ,4661527,2691523,73.19 ,12.9,9.22,39.91 
2010,春源鋼鐵,1255682,1187400,5.75 ,1177969,6.60 ,9662305,9095764,6.23 ,14.6,10.55,38.39 
2012,春雨,299332,283099,5.73 ,234952,27.40 ,2340737,1551282,50.89 ,9.58,8.47,13.11 
2013,中鋼構,724951,741538,-2.24 ,565842,28.12 ,5788282,5465744,5.90 ,22.85,24.3,-5.97 
2014,中鴻,2978033,2769875,7.52 ,3136104,-5.04 ,28022988,24653889,13.67 ,14.3,12.4,15.32 
2015,豐興鋼鐵,3164957,2821803,12.16 ,2007925,57.62 ,21565176,13491028,59.85 ,49.2,51.9,-5.20 
2017,官田鋼,468073,434397,7.75 ,451105,3.76 ,3592662,2530111,42.00 ,10.3,6.65,54.89 
2020,美亞鋼管,482212,378518,27.39 ,406791,18.54 ,3607517,3217738,12.11 ,22.15,17.35,27.67 
2022,聚亨,188852,130113,45.14 ,132708,42.31 ,1516103,1065789,42.25 ,6.03,5.44,10.85 
2023,燁輝,2503573,2595862,-3.56 ,2448361,2.26 ,22794265,16558736,37.66 ,11.9,12.65,-5.93 
2024,志聯工業,127810,130576,-2.12 ,98099,30.29 ,1211942,630529,92.21 ,6.5,5,30.00 
2025,千興,342044,208628,63.95 ,305987,11.78 ,3090837,3422609,-9.69 ,6.26,5.43,15.29 
2027,大成鋼,695264,845011,-17.72 ,630978,10.19 ,6357253,3485394,82.40 ,20.1,23,-12.61 
