公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
1531,高林股,149301,201378,-25.86 ,293544,-49.14 ,3226034,3386546,-4.74 ,21.60 ,26.45 ,-18.34 
1532,勤美,471676,524445,-10.06 ,373597,26.25 ,4604723,3903403,17.97 ,20.15 ,32.30 ,-37.62 
1533,車王電,133256,107566,23.88 ,134431,-0.87 ,1355062,1317378,2.86 ,15.80 ,22.30 ,-29.15 
1535,中宇,746557,757944,-1.50 ,546931,36.50 ,7486987,6585413,13.69 ,53.60 ,48.30 ,10.97 
1536,和大工業,222164,202591,9.66 ,220564,0.73 ,2409272,2140809,12.54 ,10.55 ,15.00 ,-29.67 
1537,廣隆光電,350922,341403,2.79 ,326211,7.58 ,3663938,3135475,16.85 ,36.80 ,58.90 ,-37.52 
1538,正峰新,69400,71263,-2.61 ,91376,-24.05 ,865604,1062716,-18.55 ,18.05 ,31.25 ,-42.24 
1539,巨庭機械,101947,72156,41.29 ,62763,62.43 ,964688,940164,2.61 ,5.72 ,8.79 ,-34.93 
1540,喬福機械,107589,120740,-10.89 ,77490,38.84 ,1154650,1009035,14.43 ,17.10 ,23.25 ,-26.45 
1541,錩泰,92099,86251,6.78 ,61350,50.12 ,951620,1192416,-20.19 ,8.11 ,14.95 ,-45.75 
1560,中砂,309941,316921,-2.20 ,306535,1.11 ,3546638,3009696,17.84 ,37.00 ,49.95 ,-25.93 
1582,信錦,121008,106132,14.02 ,66868,80.97 ,1316947,1061843,24.02 ,33.80 ,50.40 ,-32.94 
1583,程泰,174933,247728,-29.39 ,190024,-7.94 ,2243144,1742993,28.69 ,40.60 ,39.30 ,3.31 
1603,華電,285723,504140,-43.32 ,238931,19.58 ,3279777,2320099,41.36 ,7.86 ,11.55 ,-31.95 
1604,聲寶,636460,476871,33.47 ,646115,-1.49 ,7766977,7723325,0.57 ,7.46 ,7.75 ,-3.74 
1605,華新,5366914,5826205,-7.88 ,5984227,-10.32 ,69083244,73028102,-5.40 ,8.94 ,17.85 ,-49.92 
1608,華榮,617638,756074,-18.31 ,819240,-24.61 ,9017394,9216341,-2.16 ,7.09 ,10.95 ,-35.25 
1609,大亞電線,743283,635207,17.01 ,773918,-3.96 ,8224794,7946043,3.51 ,7.51 ,8.44 ,-11.02 
1611,中電,668236,611984,9.19 ,519580,28.61 ,6249361,5591571,11.76 ,17.35 ,23.20 ,-25.22 
1612,宏泰,341415,335902,1.64 ,574481,-40.57 ,5268417,5221725,0.89 ,8.16 ,14.30 ,-42.94 
1613,台一,423698,481189,-11.95 ,505403,-16.17 ,5767656,5170827,11.54 ,4.88 ,5.27 ,-7.40 
1614,三洋電,398605,383527,3.93 ,483887,-17.62 ,5823998,6463786,-9.90 ,26.50 ,37.75 ,-29.80 
1615,大山,212059,216651,-2.12 ,310871,-31.79 ,3651616,3542312,3.09 ,11.50 ,14.45 ,-20.42 
1616,億泰,402719,316519,27.23 ,389558,3.38 ,3783558,3305934,14.45 ,3.65 ,6.74 ,-45.85 
1617,榮星電線,308132,265364,16.12 ,433923,-28.99 ,4405705,4655232,-5.36 ,12.05 ,12.15 ,-0.82 
1618,合機公司,119076,280398,-57.53 ,324226,-63.27 ,3102353,3433484,-9.64 ,9.12 ,20.80 ,-56.15 
1701,中化,240666,282367,-14.77 ,219188,9.80 ,2863893,2548148,12.39 ,16.45 ,32.60 ,-49.54 
1702,南僑化工,206334,199712,3.32 ,191312,7.85 ,2114642,1795944,17.75 ,26.50 ,41.10 ,-35.52 
1704,榮化,2523509,2087870,20.87 ,2286274,10.38 ,27845957,26054729,6.87 ,40.80 ,67.30 ,-39.38 
1707,葡萄王,205136,193782,5.86 ,192057,6.81 ,2176237,1928750,12.83 ,37.80 ,49.00 ,-22.86 
1708,東鹼,253124,241618,4.76 ,271301,-6.70 ,2529476,2574742,-1.76 ,32.65 ,33.95 ,-3.83 
1709,和益化工,1221684,927290,31.75 ,669923,82.36 ,9901378,8366103,18.35 ,19.30 ,17.10 ,12.87 
1710,東聯,1148239,1045785,9.80 ,1078566,6.46 ,12717876,11618833,9.46 ,37.20 ,33.80 ,10.06 
1711,永光化學,408397,421456,-3.10 ,467909,-12.72 ,4970597,5640525,-11.88 ,16.30 ,34.45 ,-52.69 
1712,興農,502421,645654,-22.18 ,509921,-1.47 ,6724027,6064713,10.87 ,11.90 ,14.00 ,-15.00 
1713,國化,41227,45162,-8.71 ,56013,-26.40 ,526044,508835,3.38 ,9.83 ,13.10 ,-24.96 
1714,和桐化學,722441,1163620,-37.91 ,1057003,-31.65 ,12011365,10983868,9.35 ,15.70 ,16.15 ,-2.79 
1715,亞洲化學,418708,421707,-0.71 ,325834,28.50 ,4293534,3688084,16.42 ,12.15 ,20.30 ,-40.15 
1717,長興化學,1466842,1481076,-0.96 ,1561361,-6.05 ,17002735,17306411,-1.75 ,22.20 ,33.60 ,-33.93 
1718,中纖,1319044,1094923,20.47 ,1358137,-2.88 ,15453576,15258167,1.28 ,9.35 ,14.80 ,-36.82 
1720,生達化學,169280,185315,-8.65 ,153644,10.18 ,1867840,1898323,-1.61 ,22.00 ,35.00 ,-37.14 
1721,三晃,135572,144849,-6.40 ,155742,-12.95 ,1574003,1610875,-2.29 ,7.70 ,11.05 ,-30.32 
1722,台肥,1491055,1219665,22.25 ,1280368,16.46 ,15299001,12985704,17.81 ,70.30 ,110.00 ,-36.09 
1723,中碳,530120,810160,-34.57 ,653341,-18.86 ,8186383,7184460,13.95 ,118.00 ,113.50 ,3.96 
1724,台硝,164584,233290,-29.45 ,189113,-12.97 ,2344750,1717384,36.53 ,26.50 ,13.50 ,96.30 
1725,元禎,694471,677941,2.44 ,807218,-13.97 ,8546899,9474752,-9.79 ,16.70 ,23.40 ,-28.63 
1726,永記造漆,539340,496334,8.66 ,512436,5.25 ,5818659,5272336,10.36 ,41.60 ,43.70 ,-4.81 
